time,Minnesota,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. K. Towns (M. Chriss gains possession),,,,Jump ball: T. Chandler vs. K. Towns (M. Chriss gains possession)
11:47.0,,,0-0,,Turnover by T. Warren (bad pass; steal by A. Wiggins)
11:33.0,K. Towns makes 2-pt shot from 1 ft (assist by G. Dieng),2,2-0,,
11:33.0,Shooting foul by M. Chriss (drawn by K. Towns),,2-0,,
11:33.0,K. Towns makes free throw 1 of 1,1,3-0,,
11:22.0,,,3-0,,Shooting foul by A. Wiggins (drawn by T. Chandler)
11:22.0,,,3-0,,T. Chandler misses free throw 1 of 2
11:22.0,,,3-0,,Offensive rebound by Team
11:22.0,,,3-1,1,T. Chandler makes free throw 2 of 2
10:59.0,R. Rubio misses 2-pt shot from 20 ft,,3-1,,
10:57.0,,,3-1,,Defensive rebound by D. Booker
10:34.0,,,3-1,,E. Bledsoe misses 2-pt shot from 15 ft
10:34.0,Defensive rebound by K. Towns,,3-1,,
10:29.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,5-1,,
10:10.0,,,5-3,2,D. Booker makes 2-pt shot from 2 ft
10:04.0,K. Towns makes 2-pt shot from 1 ft (assist by Z. LaVine),2,7-3,,
9:45.0,,,7-3,,D. Booker misses 3-pt shot from 26 ft
9:45.0,Defensive rebound by G. Dieng,,7-3,,
9:38.0,A. Wiggins misses 2-pt shot from 5 ft,,7-3,,
9:33.0,,,7-3,,Defensive rebound by M. Chriss
9:24.0,,,7-3,,T. Warren misses 3-pt shot from 22 ft
9:24.0,Defensive rebound by G. Dieng,,7-3,,
9:12.0,A. Wiggins misses 2-pt shot from 16 ft,,7-3,,
9:10.0,,,7-3,,Defensive rebound by T. Chandler
9:04.0,,,7-5,2,M. Chriss makes 2-pt shot at rim (assist by E. Bledsoe)
8:42.0,Shooting foul by M. Chriss (drawn by A. Wiggins),,7-5,,
8:42.0,A. Wiggins makes free throw 1 of 2,1,8-5,,
