time,Portland,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Plumlee (C. Paul gains possession),,,,Jump ball: D. Jordan vs. M. Plumlee (C. Paul gains possession)
11:46.0,,,0-2,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
11:22.0,C. McCollum makes 2-pt shot from 12 ft,2,2-2,,
11:04.0,,,2-5,3,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul)
10:46.0,M. Harkless misses 3-pt shot from 25 ft,,2-5,,
10:45.0,,,2-5,,Defensive rebound by D. Jordan
10:27.0,,,2-8,3,C. Paul makes 3-pt shot from 26 ft
10:02.0,M. Plumlee makes 2-pt shot from 10 ft,2,4-8,,
9:45.0,,,4-8,,Offensive foul by J. Redick
9:45.0,,,4-8,,Turnover by J. Redick (offensive foul)
9:23.0,D. Lillard misses 3-pt shot from 27 ft,,4-8,,
9:20.0,,,4-8,,Defensive rebound by D. Jordan
9:18.0,,,4-10,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
8:59.0,,,4-10,,Personal foul by J. Redick (drawn by C. McCollum)
8:50.0,M. Plumlee misses 2-pt shot from 15 ft,,4-10,,
8:48.0,,,4-10,,Defensive rebound by B. Griffin
8:41.0,,,4-12,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
8:21.0,M. Harkless makes 2-pt shot from 4 ft (assist by M. Plumlee),2,6-12,,
8:13.0,,,6-12,,Turnover by C. Paul (bad pass)
8:13.0,,,6-12,,A. Rivers enters the game for J. Redick
7:51.0,Turnover by D. Lillard (bad pass; steal by B. Griffin),,6-12,,
7:36.0,,,6-14,2,C. Paul makes 2-pt shot from 13 ft (assist by B. Griffin)
7:29.0,Portland full timeout,,6-14,,
7:07.0,C. McCollum makes 2-pt shot from 4 ft,2,8-14,,
6:43.0,,,8-14,,B. Griffin misses 2-pt shot from 3 ft (block by M. Harkless)
6:37.0,,,8-14,,Offensive rebound by B. Griffin
6:37.0,,,8-16,2,B. Griffin makes 2-pt shot from 1 ft
6:27.0,D. Lillard makes 2-pt shot from 20 ft (assist by M. Plumlee),2,10-16,,
6:12.0,,,10-18,2,B. Griffin makes 2-pt shot from 2 ft
6:12.0,,,10-18,,Shooting foul by M. Harkless (drawn by B. Griffin)
6:12.0,,,10-19,1,B. Griffin makes free throw 1 of 1
5:55.0,D. Lillard misses 3-pt shot from 26 ft,,10-19,,
5:55.0,,,10-19,,Defensive rebound by Team
5:55.0,E. Turner enters the game for N. Vonleh,,10-19,,
5:55.0,A. Crabbe enters the game for C. McCollum,,10-19,,
5:49.0,Personal foul by E. Turner (drawn by C. Paul),,10-19,,
5:38.0,,,10-19,,C. Paul misses 3-pt shot from 27 ft
5:37.0,Defensive rebound by M. Harkless,,10-19,,
5:30.0,,,10-19,,Personal foul by L. Mbah a Moute (drawn by D. Lillard)
5:20.0,M. Plumlee misses 2-pt shot from 5 ft,,10-19,,
5:17.0,,,10-19,,Defensive rebound by C. Paul
5:09.0,,,10-21,2,D. Jordan makes 2-pt shot from 3 ft (assist by C. Paul)
5:02.0,,,10-21,,Violation by C. Paul (kicked ball)
4:55.0,M. Plumlee misses 2-pt shot from 12 ft,,10-21,,
4:51.0,,,10-21,,Defensive rebound by B. Griffin
4:44.0,,,10-21,,B. Griffin misses 2-pt shot from 3 ft
4:43.0,,,10-21,,Offensive rebound by B. Griffin
4:43.0,,,10-21,,B. Griffin misses 2-pt shot from 3 ft
4:40.0,,,10-21,,Offensive rebound by B. Griffin
4:40.0,,,10-23,2,B. Griffin makes 2-pt shot from 2 ft
4:39.0,,,10-23,,Violation by Team (jump ball)
4:21.0,M. Harkless misses 3-pt shot from 24 ft,,10-23,,
4:20.0,,,10-23,,Defensive rebound by C. Paul
4:14.0,,,10-25,2,C. Paul makes 2-pt shot from 9 ft
4:14.0,Portland full timeout,,10-25,,
4:14.0,M. Leonard enters the game for M. Harkless,,10-25,,
4:14.0,E. Davis enters the game for M. Plumlee,,10-25,,
3:56.0,Turnover by D. Lillard (bad pass),,10-25,,
3:50.0,,,10-25,,Shooting foul by E. Davis (drawn by B. Griffin)
3:50.0,,,10-25,,B. Griffin misses free throw 1 of 2
3:50.0,,,10-25,,Offensive rebound by Team
3:50.0,,,10-26,1,B. Griffin makes free throw 2 of 2
3:36.0,E. Turner makes 2-pt shot from 14 ft,2,12-26,,
3:26.0,,,12-26,,B. Griffin misses 2-pt shot from 4 ft
3:24.0,,,12-26,,Offensive rebound by B. Griffin
3:16.0,,,12-26,,Shooting foul by E. Davis (drawn by D. Jordan)
3:16.0,,,12-27,1,D. Jordan makes free throw 1 of 2
3:16.0,,,12-28,1,D. Jordan makes free throw 2 of 2
3:16.0,,,12-27,,J. Crawford enters the game for C. Paul
3:03.0,D. Lillard misses 2-pt shot from 2 ft,,12-28,,
3:03.0,,,12-28,,Defensive rebound by B. Griffin
3:03.0,,,12-28,,LA Clippers full timeout
3:02.0,Personal take foul by M. Leonard (drawn by D. Jordan),,12-28,,
3:02.0,,,12-29,1,D. Jordan makes free throw 1 of 2
3:02.0,,,12-29,,D. Jordan misses free throw 2 of 2
3:00.0,Defensive rebound by M. Leonard,,12-29,,
2:45.0,Shooting foul by A. Rivers (drawn by D. Lillard),,12-29,,
2:45.0,D. Lillard makes free throw 1 of 2,1,13-29,,
2:45.0,D. Lillard makes free throw 2 of 2,1,14-29,,
2:45.0,,,13-29,,M. Speights enters the game for D. Jordan
2:34.0,,,14-29,,Shooting foul by E. Davis (drawn by B. Griffin)
2:34.0,,,14-30,1,B. Griffin makes free throw 1 of 2
2:34.0,,,14-31,1,B. Griffin makes free throw 2 of 2
2:34.0,N. Vonleh enters the game for E. Davis,,14-30,,
2:34.0,,,14-30,,R. Felton enters the game for L. Mbah a Moute
2:16.0,E. Turner misses 2-pt shot from 3 ft (block by M. Speights),,14-31,,
2:16.0,Offensive rebound by Team,,14-31,,
2:14.0,Turnover by M. Leonard (offensive foul),,14-31,,
2:14.0,Offensive foul by M. Leonard,,14-31,,
1:57.0,,,14-33,2,B. Griffin makes 2-pt shot from 6 ft
1:45.0,M. Leonard misses 3-pt shot from 25 ft,,14-33,,
1:44.0,,,14-33,,Defensive rebound by A. Rivers
1:35.0,,,14-33,,A. Rivers misses 2-pt shot from 2 ft
1:33.0,Defensive rebound by N. Vonleh,,14-33,,
1:28.0,E. Turner misses 2-pt shot from 19 ft,,14-33,,
1:25.0,Offensive rebound by E. Turner,,14-33,,
1:24.0,N. Vonleh makes 2-pt shot from 1 ft (assist by E. Turner),2,16-33,,
1:04.0,,,16-36,3,A. Rivers makes 3-pt shot from 23 ft (assist by M. Speights)
0:52.0,D. Lillard misses 3-pt shot from 26 ft,,16-36,,
0:50.0,Offensive rebound by N. Vonleh,,16-36,,
0:46.0,N. Vonleh misses 2-pt shot from 4 ft,,16-36,,
0:43.0,,,16-36,,Defensive rebound by M. Speights
0:25.0,,,16-36,,B. Griffin misses 3-pt shot from 27 ft
0:24.0,Defensive rebound by M. Leonard,,16-36,,
0:22.0,Turnover by M. Leonard (bad pass; steal by J. Crawford),,16-36,,
