time,Toronto,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:41.0,,,0-0,,A. Drummond misses 2-pt shot from 6 ft
12:00.0,Jump ball: A. Drummond vs. J. Valanciunas (I. Smith gains possession),,,,Jump ball: A. Drummond vs. J. Valanciunas (I. Smith gains possession)
11:41.0,Defensive rebound by S. Ibaka,,0-0,,
11:20.0,D. Carroll misses 3-pt shot from 26 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by J. Leuer
11:06.0,,,0-0,,M. Morris misses 2-pt shot from 11 ft
11:05.0,,,0-0,,Offensive rebound by R. Bullock
11:03.0,,,0-2,2,R. Bullock makes 2-pt shot from 1 ft
10:35.0,D. DeRozan misses 2-pt shot from 17 ft,,0-2,,
10:35.0,,,0-2,,Defensive rebound by I. Smith
10:14.0,,,0-4,2,A. Drummond makes 2-pt shot from 8 ft
10:05.0,Turnover by D. DeRozan (bad pass; steal by R. Bullock),,0-4,,
10:00.0,,,0-4,,R. Bullock misses 2-pt shot from 1 ft
10:00.0,,,0-4,,Offensive rebound by J. Leuer
9:57.0,,,0-6,2,J. Leuer makes 2-pt shot at rim
9:33.0,D. Carroll misses 2-pt shot from 7 ft,,0-6,,
9:33.0,Offensive rebound by D. Carroll,,0-6,,
9:30.0,D. Carroll makes 2-pt shot at rim,2,2-6,,
9:11.0,,,2-9,3,M. Morris makes 3-pt shot from 25 ft (assist by J. Leuer)
9:02.0,,,2-9,,Personal foul by M. Morris (drawn by D. DeRozan)
8:53.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. DeRozan),2,4-9,,
8:38.0,,,4-9,,R. Bullock misses 3-pt shot from 26 ft
8:38.0,Defensive rebound by S. Ibaka,,4-9,,
8:25.0,D. DeRozan misses 2-pt shot from 20 ft,,4-9,,
8:25.0,,,4-9,,Defensive rebound by J. Leuer
8:19.0,,,4-9,,M. Morris misses 2-pt shot from 4 ft
8:19.0,,,4-9,,Offensive rebound by I. Smith
8:13.0,,,4-11,2,I. Smith makes 2-pt shot from 7 ft
7:58.0,J. Valanciunas misses 2-pt shot from 15 ft,,4-11,,
7:58.0,,,4-11,,Defensive rebound by I. Smith
7:49.0,,,4-11,,Shooting foul by J. Valanciunas (drawn by A. Drummond)
7:49.0,,,4-11,,A. Drummond misses free throw 1 of 2
7:49.0,,,4-11,,Offensive rebound by Team
7:49.0,,,4-11,,A. Drummond misses free throw 2 of 2
7:48.0,Defensive rebound by J. Valanciunas,,4-11,,
7:43.0,Toronto full timeout,,4-11,,
7:31.0,K. Lowry makes 3-pt shot from 27 ft (assist by D. DeRozan),3,7-11,,
7:11.0,,,7-13,2,J. Leuer makes 2-pt shot from 18 ft (assist by M. Morris)
6:48.0,D. Carroll misses 3-pt shot from 24 ft,,7-13,,
6:48.0,,,7-13,,Defensive rebound by A. Drummond
6:34.0,,,7-13,,J. Leuer misses 2-pt shot from 13 ft
6:34.0,,,7-13,,Offensive rebound by A. Drummond
6:30.0,,,7-15,2,A. Drummond makes 2-pt shot from 1 ft
6:22.0,,,7-15,,Personal foul by M. Morris (drawn by D. DeRozan)
6:22.0,,,7-15,,S. Johnson enters the game for M. Morris
6:14.0,S. Ibaka misses 3-pt shot from 26 ft,,7-15,,
6:11.0,,,7-15,,Defensive rebound by S. Johnson
6:04.0,,,7-17,2,I. Smith makes 2-pt shot from 1 ft
5:53.0,K. Lowry makes 2-pt shot at rim,2,9-17,,
5:46.0,,,9-20,3,R. Bullock makes 3-pt shot from 24 ft (assist by I. Smith)
5:27.0,D. DeRozan makes 2-pt shot from 13 ft (assist by J. Valanciunas),2,11-20,,
5:14.0,,,11-20,,Turnover by J. Leuer (bad pass)
5:14.0,,,11-20,,T. Harris enters the game for J. Leuer
5:03.0,D. Carroll misses 3-pt shot from 25 ft,,11-20,,
5:02.0,,,11-20,,Defensive rebound by T. Harris
4:53.0,,,11-22,2,I. Smith makes 2-pt shot from 1 ft
4:40.0,K. Lowry makes 2-pt shot from 1 ft,2,13-22,,
4:15.0,,,13-24,2,I. Smith makes 2-pt shot at rim (assist by T. Harris)
3:54.0,Turnover by J. Valanciunas (3 sec),,13-24,,
3:54.0,P. Patterson enters the game for D. Carroll,,13-24,,
3:54.0,P. Tucker enters the game for S. Ibaka,,13-24,,
3:38.0,,,13-27,3,T. Harris makes 3-pt shot from 27 ft (assist by S. Johnson)
3:26.0,K. Lowry misses 2-pt shot from 12 ft,,13-27,,
3:24.0,,,13-27,,Defensive rebound by A. Drummond
3:18.0,,,13-27,,I. Smith misses 2-pt shot at rim
3:16.0,,,13-27,,Offensive rebound by A. Drummond
3:09.0,,,13-29,2,T. Harris makes 2-pt shot at rim (assist by R. Bullock)
3:05.0,Toronto full timeout,,13-29,,
3:05.0,,,13-29,,B. Udrih enters the game for A. Drummond
3:05.0,,,13-29,,A. Baynes enters the game for I. Smith
3:05.0,C. Joseph enters the game for K. Lowry,,13-29,,
2:53.0,P. Patterson makes 2-pt shot from 5 ft (assist by J. Valanciunas),2,15-29,,
2:30.0,,,15-31,2,T. Harris makes 2-pt shot from 18 ft (assist by B. Udrih)
2:08.0,,,15-31,,Personal foul by T. Harris (drawn by J. Valanciunas)
2:08.0,,,15-31,,Detroit full timeout
2:08.0,J. Poeltl enters the game for J. Valanciunas,,15-31,,
1:58.0,C. Joseph misses 2-pt shot from 16 ft,,15-31,,
1:58.0,,,15-31,,Defensive rebound by A. Baynes
1:50.0,,,15-33,2,A. Baynes makes 2-pt shot at rim (assist by B. Udrih)
1:33.0,D. DeRozan misses 2-pt shot from 16 ft (block by S. Johnson),,15-33,,
1:32.0,Offensive rebound by D. DeRozan,,15-33,,
1:22.0,Turnover by Team (shot clock),,15-33,,
1:01.0,,,15-33,,S. Johnson misses 2-pt shot from 17 ft
1:01.0,Defensive rebound by D. DeRozan,,15-33,,
0:47.0,D. DeRozan misses 2-pt shot from 10 ft,,15-33,,
0:47.0,,,15-33,,Defensive rebound by A. Baynes
0:27.0,,,15-33,,Turnover by S. Johnson (bad pass)
0:07.0,,,15-33,,Personal foul by B. Udrih (drawn by C. Joseph)
0:02.0,P. Patterson misses 3-pt shot from 25 ft,,15-33,,
0:00.0,Offensive rebound by Team,,15-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,C. Joseph makes 2-pt shot at rim,2,17-33,,
11:22.0,,,17-33,,Turnover by D. Hilliard (bad pass; steal by P. Patterson)
11:05.0,C. Joseph misses 3-pt shot from 27 ft,,17-33,,
11:02.0,,,17-33,,Defensive rebound by D. Hilliard
10:59.0,Personal foul by P. Patterson (drawn by A. Baynes),,17-33,,
10:48.0,,,17-33,,B. Udrih misses 2-pt shot from 1 ft
10:47.0,,,17-33,,Offensive rebound by A. Baynes
10:41.0,,,17-33,,T. Harris misses 3-pt shot from 26 ft
10:40.0,Defensive rebound by P. Tucker,,17-33,,
10:29.0,S. Ibaka misses 2-pt shot from 6 ft,,17-33,,
10:29.0,,,17-33,,Defensive rebound by B. Udrih
10:15.0,,,17-33,,B. Udrih misses 2-pt shot from 11 ft
10:15.0,Defensive rebound by P. Tucker,,17-33,,
10:06.0,S. Ibaka misses 3-pt shot from 27 ft,,17-33,,
10:06.0,,,17-33,,Defensive rebound by B. Udrih
9:58.0,,,17-33,,S. Johnson misses 3-pt shot from 23 ft
9:57.0,Defensive rebound by P. Patterson,,17-33,,
