time,LA Clippers,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. D. Jordan (C. Paul gains possession),,,,Jump ball: P. Gasol vs. D. Jordan (C. Paul gains possession)
11:47.0,D. Jordan misses 2-pt shot from 2 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by K. Anderson
11:36.0,,,0-3,3,P. Gasol makes 3-pt shot from 24 ft (assist by K. Anderson)
11:10.0,B. Griffin misses 3-pt shot from 26 ft,,0-3,,
11:09.0,,,0-3,,Defensive rebound by K. Leonard
10:59.0,,,0-5,2,K. Leonard makes 2-pt shot at rim
10:45.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,0-5,,
10:43.0,,,0-5,,Defensive rebound by P. Gasol
10:36.0,,,0-8,3,L. Aldridge makes 3-pt shot from 24 ft (assist by K. Leonard)
10:36.0,LA Clippers full timeout,,0-8,,
10:18.0,D. Jordan misses 2-pt shot at rim (block by P. Gasol),,0-8,,
10:16.0,,,0-8,,Defensive rebound by P. Mills
10:03.0,,,0-8,,P. Gasol misses 3-pt shot from 23 ft
10:02.0,Defensive rebound by J. Redick,,0-8,,
9:48.0,L. Mbah a Moute makes 2-pt shot at rim (assist by C. Paul),2,2-8,,
9:34.0,,,2-8,,K. Leonard misses 2-pt shot from 2 ft
9:33.0,Defensive rebound by D. Jordan,,2-8,,
9:24.0,J. Redick makes 2-pt shot from 2 ft (assist by B. Griffin),2,4-8,,
9:24.0,Shooting foul by L. Aldridge (drawn by J. Redick),,4-8,,
9:24.0,J. Redick makes free throw 1 of 1,1,5-8,,
9:16.0,Personal foul by C. Paul,,5-8,,
9:12.0,,,5-10,2,K. Leonard makes 2-pt shot from 20 ft (assist by P. Mills)
8:58.0,J. Redick misses 2-pt shot from 22 ft,,5-10,,
8:56.0,,,5-10,,Defensive rebound by P. Gasol
8:50.0,,,5-10,,K. Leonard misses 3-pt shot from 26 ft
8:49.0,Defensive rebound by B. Griffin,,5-10,,
8:36.0,B. Griffin makes 2-pt shot from 20 ft (assist by C. Paul),2,7-10,,
8:21.0,,,7-10,,K. Leonard misses 2-pt shot from 20 ft
8:21.0,Defensive rebound by Team,,7-10,,
8:16.0,,,7-10,,Personal foul by K. Anderson (drawn by C. Paul)
7:55.0,B. Griffin makes 2-pt shot from 21 ft (assist by C. Paul),2,9-10,,
7:37.0,,,9-10,,L. Aldridge misses 2-pt shot from 15 ft
7:36.0,Defensive rebound by C. Paul,,9-10,,
7:23.0,L. Mbah a Moute makes 3-pt shot from 22 ft (assist by D. Jordan),3,12-10,,
7:10.0,,,12-10,,P. Mills misses 2-pt shot from 19 ft
7:09.0,Defensive rebound by C. Paul,,12-10,,
7:03.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,14-10,,
