time,Washington,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Howard (M. Morris gains possession),,,,Jump ball: M. Gortat vs. D. Howard (M. Morris gains possession)
11:37.0,M. Gortat misses 2-pt shot from 9 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by D. Howard
11:23.0,,,0-0,,K. Bazemore misses 2-pt shot from 3 ft
11:22.0,Defensive rebound by B. Beal,,0-0,,
11:12.0,O. Porter makes 3-pt shot from 25 ft (assist by B. Beal),3,3-0,,
10:57.0,,,3-0,,K. Bazemore misses 3-pt shot from 25 ft
10:55.0,Defensive rebound by O. Porter,,3-0,,
10:41.0,B. Beal misses 2-pt shot from 3 ft,,3-0,,
10:40.0,Offensive rebound by M. Morris,,3-0,,
10:40.0,M. Morris misses 2-pt shot from 1 ft,,3-0,,
10:39.0,,,3-0,,Defensive rebound by D. Howard
10:33.0,,,3-0,,Shooting foul by O. Porter (drawn by P. Millsap)
10:33.0,,,3-0,,P. Millsap misses free throw 1 of 2
10:33.0,,,3-0,,Offensive rebound by Team
10:33.0,,,3-1,1,P. Millsap makes free throw 2 of 2
10:15.0,M. Morris makes 3-pt shot from 23 ft (assist by M. Gortat),3,6-1,,
10:03.0,,,6-1,,D. Schroder misses 3-pt shot from 25 ft
10:00.0,Defensive rebound by J. Wall,,6-1,,
9:53.0,J. Wall misses 2-pt shot from 16 ft,,6-1,,
9:52.0,,,6-1,,Defensive rebound by T. Sefolosha
9:43.0,,,6-1,,D. Schroder misses 2-pt shot from 6 ft
9:40.0,Defensive rebound by O. Porter,,6-1,,
9:36.0,B. Beal makes 2-pt shot from 1 ft (assist by O. Porter),2,8-1,,
9:36.0,,,8-1,,Atlanta full timeout
9:14.0,,,8-1,,D. Howard misses 2-pt shot from 9 ft
9:13.0,Defensive rebound by O. Porter,,8-1,,
8:57.0,,,8-1,,Flagrant foul type 1 by K. Bazemore (drawn by M. Morris)
8:57.0,M. Morris makes flagrant free throw 1 of 2,1,9-1,,
8:57.0,M. Morris makes flagrant free throw 2 of 2,1,10-1,,
8:51.0,Turnover by M. Morris (traveling),,10-1,,
