time,Charlotte,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. C. Zeller (M. Williams gains possession),,,,Jump ball: M. Turner vs. C. Zeller (M. Williams gains possession)
11:40.0,M. Williams makes 3-pt shot from 24 ft (assist by C. Zeller),3,3-0,,
11:24.0,,,3-3,3,P. George makes 3-pt shot from 27 ft (assist by J. Teague)
11:08.0,K. Walker misses 2-pt shot from 22 ft,,3-3,,
11:07.0,Offensive rebound by N. Batum,,3-3,,
10:54.0,M. Kidd-Gilchrist misses 3-pt shot from 23 ft,,3-3,,
10:53.0,,,3-3,,Defensive rebound by P. George
10:46.0,,,3-5,2,P. George makes 2-pt shot from 14 ft
10:31.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft,,3-5,,
10:30.0,Offensive rebound by C. Zeller,,3-5,,
10:30.0,C. Zeller makes 2-pt shot from 2 ft,2,5-5,,
10:19.0,Personal foul by C. Zeller (drawn by P. George),,5-5,,
10:09.0,,,5-5,,J. Teague misses 2-pt shot from 8 ft
10:08.0,Defensive rebound by M. Kidd-Gilchrist,,5-5,,
9:57.0,M. Williams makes 2-pt shot from 14 ft (assist by N. Batum),2,7-5,,
9:47.0,,,7-5,,Shooting foul by M. Williams (drawn by J. Teague)
9:47.0,,,7-6,1,J. Teague makes free throw 1 of 2
9:47.0,,,7-7,1,J. Teague makes free throw 2 of 2
9:37.0,K. Walker misses 2-pt shot from 2 ft,,7-7,,
9:36.0,,,7-7,,Defensive rebound by M. Turner
9:27.0,,,7-10,3,M. Turner makes 3-pt shot from 27 ft (assist by G. Robinson)
9:09.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by M. Turner),,7-10,,
9:08.0,Offensive rebound by M. Kidd-Gilchrist,,7-10,,
8:51.0,K. Walker misses 3-pt shot from 24 ft,,7-10,,
8:51.0,,,7-10,,Defensive rebound by T. Young
8:36.0,,,7-13,3,G. Robinson makes 3-pt shot from 23 ft (assist by P. George)
8:22.0,Turnover by N. Batum (traveling),,7-13,,
8:13.0,,,7-13,,P. George misses 3-pt shot from 27 ft
8:12.0,Defensive rebound by M. Williams,,7-13,,
8:04.0,N. Batum misses 2-pt shot from 18 ft,,7-13,,
8:04.0,,,7-13,,Defensive rebound by M. Turner
7:52.0,,,7-13,,M. Turner misses 3-pt shot from 28 ft
7:50.0,Defensive rebound by N. Batum,,7-13,,
7:48.0,Turnover by K. Walker (lost ball),,7-13,,
7:40.0,,,7-15,2,M. Turner makes 2-pt shot from 2 ft (assist by T. Young)
7:33.0,Charlotte full timeout,,7-15,,
7:18.0,Turnover by N. Batum (bad pass),,7-15,,
7:00.0,,,7-15,,Turnover by J. Teague (bad pass)
6:49.0,C. Zeller misses 2-pt shot from 2 ft,,7-15,,
6:48.0,,,7-15,,Defensive rebound by T. Young
6:43.0,,,7-15,,Turnover by T. Young (lost ball; steal by M. Kidd-Gilchrist)
6:43.0,Charlotte full timeout,,7-15,,
