time,New Orleans,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Turner (J. Holiday gains possession),,,,Jump ball: A. Davis vs. M. Turner (J. Holiday gains possession)
11:45.0,J. Holiday makes 2-pt shot from 16 ft,2,2-0,,
11:29.0,,,2-2,2,J. Teague makes 2-pt shot from 9 ft
11:12.0,A. Davis makes 2-pt shot from 22 ft (assist by J. Holiday),2,4-2,,
10:54.0,,,4-4,2,J. Teague makes 2-pt shot from 21 ft
10:44.0,Turnover by B. Hield (lost ball; steal by T. Young),,4-4,,
10:34.0,,,4-4,,Turnover by J. Teague (lost ball; steal by D. Cunningham)
10:18.0,J. Holiday misses 2-pt shot from 6 ft (block by G. Robinson),,4-4,,
10:17.0,,,4-4,,Defensive rebound by G. Robinson
10:12.0,Personal foul by J. Holiday,,4-4,,
10:03.0,,,4-7,3,M. Turner makes 3-pt shot from 28 ft (assist by J. Teague)
9:47.0,,,4-7,,Personal foul by P. George
9:40.0,A. Davis makes 2-pt shot from 4 ft (assist by J. Holiday),2,6-7,,
9:20.0,,,6-7,,P. George misses 3-pt shot from 26 ft
9:20.0,Defensive rebound by B. Hield,,6-7,,
9:04.0,S. Hill misses 3-pt shot from 25 ft,,6-7,,
9:03.0,,,6-7,,Defensive rebound by T. Young
8:50.0,,,6-7,,G. Robinson misses 3-pt shot from 24 ft
8:50.0,Defensive rebound by B. Hield,,6-7,,
8:32.0,D. Cunningham misses 2-pt shot from 17 ft,,6-7,,
8:31.0,,,6-7,,Defensive rebound by J. Teague
8:27.0,Personal foul by S. Hill,,6-7,,
8:15.0,,,6-9,2,G. Robinson makes 2-pt shot from 3 ft (assist by J. Teague)
8:03.0,,,6-9,,Personal foul by T. Young
7:55.0,A. Davis misses 2-pt shot from 9 ft,,6-9,,
7:55.0,,,6-9,,Defensive rebound by M. Turner
7:42.0,,,6-11,2,P. George makes 2-pt shot from 21 ft (assist by J. Teague)
7:23.0,B. Hield makes 3-pt shot from 25 ft (assist by A. Davis),3,9-11,,
6:59.0,,,9-11,,P. George misses 2-pt shot from 15 ft
6:59.0,,,9-11,,Offensive rebound by M. Turner
6:59.0,Loose ball foul by J. Holiday,,9-11,,
6:59.0,T. Evans enters the game for J. Holiday,,9-11,,
6:51.0,,,9-11,,M. Turner misses 2-pt shot from 16 ft (block by B. Hield)
6:50.0,Defensive rebound by A. Davis,,9-11,,
6:43.0,D. Cunningham misses 3-pt shot from 23 ft,,9-11,,
6:42.0,,,9-11,,Defensive rebound by J. Teague
6:35.0,,,9-13,2,T. Young makes 2-pt shot from 8 ft (assist by J. Teague)
6:29.0,Turnover by T. Evans (lost ball; steal by T. Young),,9-13,,
