time,Denver,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. J. Nurkic,,,,Jump ball: R. Gobert vs. J. Nurkic
11:47.0,,,0-3,3,G. Hayward makes 3-pt shot from 24 ft (assist by G. Hill)
11:21.0,J. Nurkic misses 2-pt shot from 8 ft,,0-3,,
11:21.0,,,0-3,,Defensive rebound by G. Hill
11:04.0,,,0-6,3,R. Hood makes 3-pt shot from 24 ft (assist by T. Lyles)
10:49.0,K. Faried misses 2-pt shot from 9 ft,,0-6,,
10:49.0,,,0-6,,Defensive rebound by T. Lyles
10:41.0,,,0-8,2,T. Lyles makes 2-pt shot from 3 ft
10:41.0,,,0-8,,Shooting foul by J. Nurkic (drawn by T. Lyles)
10:41.0,,,0-9,1,T. Lyles makes free throw 1 of 1
10:26.0,Shooting foul by G. Hayward,,0-9,,
10:26.0,J. Hernangomez misses free throw 1 of 2,,0-9,,
10:26.0,Offensive rebound by Team,,0-9,,
10:26.0,J. Hernangomez misses free throw 2 of 2,,0-9,,
10:25.0,,,0-9,,Defensive rebound by R. Hood
10:14.0,,,0-11,2,G. Hayward makes 2-pt shot from 2 ft
10:14.0,,,0-11,,Shooting foul by J. Hernangomez (drawn by G. Hayward)
10:14.0,,,0-12,1,G. Hayward makes free throw 1 of 1
10:11.0,Denver full timeout,,0-12,,
10:00.0,W. Barton misses 2-pt shot from 8 ft,,0-12,,
9:59.0,Offensive rebound by W. Barton,,0-12,,
9:55.0,W. Barton misses 2-pt shot from 3 ft (block by R. Gobert),,0-12,,
9:54.0,,,0-12,,Defensive rebound by T. Lyles
9:47.0,,,0-12,,Turnover by G. Hayward (bad pass)
9:30.0,J. Hernangomez misses 3-pt shot from 24 ft,,0-12,,
9:30.0,,,0-12,,Defensive rebound by G. Hayward
9:17.0,,,0-14,2,G. Hill makes 2-pt shot from 19 ft
9:02.0,Shooting foul by G. Hill (drawn by E. Mudiay),,0-14,,
9:02.0,E. Mudiay misses free throw 1 of 2,,0-14,,
9:02.0,Offensive rebound by Team,,0-14,,
9:02.0,E. Mudiay makes free throw 2 of 2,1,1-14,,
9:02.0,W. Chandler enters the game for K. Faried,,0-14,,
8:50.0,,,1-14,,Turnover by R. Hood (bad pass; steal by J. Hernangomez)
8:45.0,,,1-14,,Shooting block foul by T. Lyles (drawn by W. Chandler)
8:45.0,W. Chandler makes free throw 1 of 2,1,2-14,,
8:45.0,W. Chandler makes free throw 2 of 2,1,3-14,,
8:25.0,,,3-14,,T. Lyles misses 3-pt shot from 23 ft
8:24.0,Defensive rebound by J. Nurkic,,3-14,,
8:20.0,,,3-14,,Personal foul by R. Hood
8:11.0,J. Hernangomez misses 2-pt shot from 3 ft,,3-14,,
8:10.0,Offensive rebound by J. Nurkic,,3-14,,
8:07.0,J. Nurkic misses 2-pt shot from 2 ft,,3-14,,
8:07.0,,,3-14,,Defensive rebound by R. Hood
8:01.0,,,3-16,2,R. Gobert makes 2-pt shot at rim (assist by R. Hood)
7:46.0,E. Mudiay misses 2-pt shot from 5 ft (block by G. Hayward),,3-16,,
7:44.0,,,3-16,,Defensive rebound by R. Gobert
7:39.0,,,3-19,3,G. Hill makes 3-pt shot from 23 ft (assist by G. Hayward)
7:39.0,Denver full timeout,,3-19,,
7:39.0,J. Nelson enters the game for E. Mudiay,,3-19,,
7:39.0,N. Jokic enters the game for W. Barton,,3-19,,
7:39.0,J. Murray enters the game for J. Nurkic,,3-19,,
7:25.0,W. Chandler makes 2-pt shot from 8 ft,2,5-19,,
7:08.0,,,5-22,3,R. Hood makes 3-pt shot from 25 ft (assist by G. Hayward)
6:54.0,W. Chandler misses 3-pt shot from 25 ft,,5-22,,
6:53.0,,,5-22,,Defensive rebound by R. Gobert
6:45.0,,,5-22,,G. Hayward misses 3-pt shot from 24 ft
6:44.0,Defensive rebound by J. Murray,,5-22,,
6:32.0,Shooting foul by T. Lyles,,5-22,,
6:32.0,J. Hernangomez makes free throw 1 of 2,1,6-22,,
6:32.0,J. Hernangomez makes free throw 2 of 2,1,7-22,,
6:32.0,,,6-22,,B. Diaw enters the game for T. Lyles
6:18.0,,,7-24,2,R. Gobert makes 2-pt shot at rim (assist by B. Diaw)
6:03.0,,,7-24,,Shooting block foul by R. Hood (drawn by W. Chandler)
6:03.0,W. Chandler makes free throw 1 of 2,1,8-24,,
6:03.0,W. Chandler makes free throw 2 of 2,1,9-24,,
6:03.0,,,8-24,,J. Johnson enters the game for R. Hood
6:03.0,D. Arthur enters the game for J. Hernangomez,,8-24,,
5:51.0,,,9-24,,Offensive foul by R. Gobert
5:51.0,,,9-24,,Turnover by R. Gobert (offensive foul)
5:30.0,W. Chandler makes 2-pt shot from 13 ft,2,11-24,,
5:10.0,,,11-26,2,G. Hill makes 2-pt shot from 9 ft
5:10.0,,,11-26,,Shooting foul by J. Murray (drawn by G. Hill)
5:10.0,,,11-26,,G. Hill misses free throw 1 of 1
5:10.0,Defensive rebound by J. Nelson,,11-26,,
4:46.0,J. Nelson misses 2-pt shot from 19 ft,,11-26,,
4:46.0,,,11-26,,Defensive rebound by Team
4:22.0,,,11-26,,G. Hayward misses 2-pt shot from 12 ft
4:21.0,Defensive rebound by W. Chandler,,11-26,,
4:13.0,W. Chandler misses 2-pt shot from 10 ft,,11-26,,
4:13.0,Offensive rebound by W. Chandler,,11-26,,
4:02.0,D. Arthur makes 3-pt shot from 24 ft (assist by N. Jokic),3,14-26,,
3:46.0,,,14-29,3,G. Hayward makes 3-pt shot from 24 ft (assist by B. Diaw)
3:32.0,W. Chandler makes 3-pt shot from 25 ft (assist by J. Nelson),3,17-29,,
3:27.0,,,17-29,,Utah full timeout
3:27.0,,,17-29,,D. Exum enters the game for G. Hill
3:15.0,,,17-31,2,G. Hayward makes 2-pt shot from 18 ft (assist by J. Johnson)
3:01.0,J. Murray makes 3-pt shot from 24 ft (assist by N. Jokic),3,20-31,,
2:43.0,,,20-31,,Turnover by D. Exum (bad pass)
2:43.0,,,20-31,,J. Withey enters the game for R. Gobert
2:28.0,J. Murray misses 2-pt shot from 11 ft,,20-31,,
2:28.0,,,20-31,,Defensive rebound by B. Diaw
2:09.0,,,20-31,,B. Diaw misses 2-pt shot from 3 ft
2:08.0,Defensive rebound by W. Chandler,,20-31,,
2:00.0,D. Arthur misses 2-pt shot from 22 ft,,20-31,,
1:59.0,,,20-31,,Defensive rebound by J. Withey
1:47.0,,,20-34,3,B. Diaw makes 3-pt shot from 24 ft (assist by G. Hayward)
1:23.0,J. Nelson misses 3-pt shot from 24 ft,,20-34,,
1:22.0,,,20-34,,Defensive rebound by J. Withey
1:09.0,,,20-36,2,B. Diaw makes 2-pt shot from 2 ft
0:59.0,N. Jokic makes 2-pt shot at rim,2,22-36,,
0:45.0,,,22-36,,J. Johnson misses 2-pt shot from 6 ft
0:44.0,Defensive rebound by N. Jokic,,22-36,,
0:31.0,J. Murray makes 3-pt shot from 23 ft (assist by J. Nelson),3,25-36,,
0:24.0,A. Gee enters the game for J. Nelson,,25-36,,
0:17.0,,,25-36,,G. Hayward misses 3-pt shot from 24 ft
0:17.0,Defensive rebound by W. Chandler,,25-36,,
0:01.0,W. Chandler makes 2-pt shot from 18 ft,2,27-36,,
0:01.0,,,27-36,,D. Exum misses 3-pt shot from 53 ft (block by J. Murray)
0:00.0,,,27-36,,Offensive rebound by Team
