time,Indiana,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. M. Turner (T. Young gains possession),,,,Jump ball: T. Maker vs. M. Turner (T. Young gains possession)
11:38.0,M. Turner makes 2-pt shot from 3 ft (assist by J. Teague),2,2-0,,
11:19.0,,,2-0,,G. Antetokounmpo misses 2-pt shot from 21 ft
11:18.0,Defensive rebound by P. George,,2-0,,
11:05.0,J. Teague misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,2-0,,
11:02.0,Offensive rebound by M. Turner,,2-0,,
10:58.0,C. Miles makes 3-pt shot from 26 ft (assist by M. Turner),3,5-0,,
10:38.0,,,5-0,,M. Dellavedova misses 3-pt shot from 26 ft
10:37.0,Defensive rebound by P. George,,5-0,,
10:26.0,J. Teague makes 3-pt shot from 27 ft (assist by P. George),3,8-0,,
10:06.0,,,8-0,,K. Middleton misses 2-pt shot from 16 ft
10:05.0,Defensive rebound by M. Turner,,8-0,,
9:59.0,T. Young makes 2-pt shot at rim (assist by J. Teague),2,10-0,,
9:40.0,Personal block foul by T. Young (drawn by G. Antetokounmpo),,10-0,,
9:31.0,,,10-2,2,T. Maker makes 2-pt shot at rim (assist by T. Snell)
9:31.0,,,10-2,,Shooting foul by T. Young (drawn by T. Maker)
9:31.0,,,10-3,1,T. Maker makes free throw 1 of 1
9:31.0,L. Allen enters the game for T. Young,,10-2,,
9:20.0,P. George misses 3-pt shot from 24 ft,,10-3,,
9:19.0,,,10-3,,Defensive rebound by K. Middleton
9:04.0,,,10-3,,K. Middleton misses 2-pt shot from 15 ft
9:02.0,Defensive rebound by C. Miles,,10-3,,
8:49.0,C. Miles makes 2-pt shot from 18 ft (assist by J. Teague),2,12-3,,
8:29.0,,,12-3,,T. Maker misses 3-pt shot from 26 ft
8:27.0,Defensive rebound by P. George,,12-3,,
8:14.0,M. Turner makes 2-pt shot from 1 ft (assist by P. George),2,14-3,,
8:12.0,,,14-3,,Milwaukee full timeout
8:12.0,,,14-3,,G. Monroe enters the game for T. Maker
7:56.0,,,14-5,2,G. Monroe makes 2-pt shot from 6 ft
7:42.0,Turnover by J. Teague (bad pass),,14-5,,
7:16.0,,,14-5,,Turnover by M. Dellavedova (bad pass; steal by M. Turner)
7:12.0,Shooting foul by T. Snell (drawn by P. George),,14-5,,
7:12.0,P. George makes free throw 1 of 2,1,15-5,,
7:12.0,P. George makes free throw 2 of 2,1,16-5,,
6:55.0,,,16-7,2,G. Monroe makes 2-pt shot from 19 ft (assist by T. Snell)
6:36.0,M. Turner makes 2-pt shot from 4 ft (assist by P. George),2,18-7,,
6:28.0,,,18-10,3,T. Snell makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
6:13.0,L. Allen misses 2-pt shot from 13 ft,,18-10,,
6:12.0,,,18-10,,Defensive rebound by G. Antetokounmpo
6:05.0,,,18-12,2,G. Antetokounmpo makes 2-pt shot at rim
5:39.0,L. Allen makes 2-pt shot from 1 ft,2,20-12,,
5:20.0,,,20-12,,Turnover by G. Monroe (bad pass; steal by M. Turner)
4:58.0,Turnover by J. Teague (bad pass; steal by K. Middleton),,20-12,,
4:55.0,Personal foul by J. Teague (drawn by G. Antetokounmpo),,20-12,,
4:55.0,,,20-12,,J. Terry enters the game for K. Middleton
4:55.0,,,20-12,,R. Vaughn enters the game for M. Dellavedova
4:48.0,,,20-15,3,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by G. Monroe)
4:37.0,P. George misses 3-pt shot from 26 ft,,20-15,,
4:36.0,,,20-15,,Defensive rebound by G. Antetokounmpo
4:32.0,,,20-15,,Turnover by G. Antetokounmpo (bad pass; steal by J. Teague)
4:26.0,L. Allen makes 2-pt shot from 1 ft (assist by P. George),2,22-15,,
4:26.0,Shooting foul by J. Terry (drawn by L. Allen),,22-15,,
4:26.0,L. Allen makes free throw 1 of 1,1,23-15,,
4:26.0,M. Ellis enters the game for C. Miles,,22-15,,
4:13.0,Personal block foul by M. Turner (drawn by G. Monroe),,23-15,,
4:01.0,,,23-15,,R. Vaughn misses 2-pt shot from 10 ft
4:00.0,Defensive rebound by M. Turner,,23-15,,
3:51.0,Turnover by P. George (lost ball; steal by G. Antetokounmpo),,23-15,,
3:45.0,,,23-17,2,T. Snell makes 2-pt shot at rim
3:38.0,Indiana full timeout,,23-17,,
3:38.0,R. Stuckey enters the game for M. Turner,,23-17,,
3:38.0,A. Jefferson enters the game for J. Teague,,23-17,,
3:26.0,L. Allen makes 2-pt shot from 3 ft (assist by P. George),2,25-17,,
2:59.0,,,25-17,,G. Antetokounmpo misses 3-pt shot from 25 ft
2:58.0,Defensive rebound by R. Stuckey,,25-17,,
