time,Detroit,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. A. Drummond (R. Jackson gains possession),,,,Jump ball: D. Cousins vs. A. Drummond (R. Jackson gains possession)
11:50.0,Shooting foul by D. Cousins (drawn by A. Drummond),,0-0,,
11:50.0,A. Drummond misses free throw 1 of 2,,0-0,,
11:50.0,Offensive rebound by Team,,0-0,,
11:50.0,A. Drummond misses free throw 2 of 2,,0-0,,
11:49.0,,,0-0,,Defensive rebound by D. Cousins
11:26.0,,,0-2,2,G. Temple makes 2-pt shot from 3 ft (assist by D. Cousins)
11:12.0,T. Harris misses 2-pt shot from 18 ft,,0-2,,
11:10.0,,,0-2,,Defensive rebound by D. Cousins
10:57.0,,,0-2,,A. Tolliver misses 3-pt shot from 25 ft
10:55.0,,,0-2,,Offensive rebound by D. Cousins
10:55.0,,,0-4,2,D. Cousins makes 2-pt shot from 3 ft
10:29.0,T. Harris makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,3-4,,
10:13.0,,,3-7,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Gay)
10:00.0,Offensive foul by R. Jackson,,3-7,,
10:00.0,Turnover by R. Jackson (offensive foul),,3-7,,
9:43.0,,,3-7,,A. Tolliver misses 2-pt shot from 15 ft
9:42.0,Defensive rebound by T. Harris,,3-7,,
9:29.0,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson),3,6-7,,
9:04.0,,,6-7,,D. Cousins misses 2-pt shot from 18 ft
9:04.0,,,6-7,,Offensive rebound by Team
9:04.0,,,6-7,,Turnover by Team (shot clock)
8:53.0,Turnover by A. Drummond (bad pass),,6-7,,
8:29.0,,,6-9,2,D. Cousins makes 2-pt shot from 2 ft
8:05.0,R. Jackson makes 3-pt shot from 27 ft,3,9-9,,
7:52.0,,,9-9,,R. Gay misses 2-pt shot from 18 ft
7:51.0,Defensive rebound by A. Drummond,,9-9,,
7:44.0,M. Morris misses 3-pt shot from 25 ft,,9-9,,
7:44.0,,,9-9,,Defensive rebound by Team
7:29.0,,,9-11,2,D. Collison makes 2-pt shot from 3 ft (assist by D. Cousins)
7:16.0,R. Jackson makes 2-pt shot from 4 ft,2,11-11,,
7:05.0,,,11-11,,D. Collison misses 2-pt shot from 3 ft
7:04.0,Defensive rebound by A. Drummond,,11-11,,
6:52.0,T. Harris makes 2-pt shot from 8 ft,2,13-11,,
6:39.0,,,13-11,,Shooting foul by M. Morris (drawn by R. Gay)
6:39.0,,,13-12,1,R. Gay makes free throw 1 of 2
6:39.0,,,13-13,1,R. Gay makes free throw 2 of 2
6:27.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,15-13,,
6:05.0,,,15-15,2,D. Cousins makes 2-pt shot from 14 ft
6:05.0,,,15-15,,Shooting foul by A. Drummond (drawn by D. Cousins)
6:05.0,,,15-16,1,D. Cousins makes free throw 1 of 1
5:47.0,M. Morris makes 2-pt shot from 16 ft,2,17-16,,
5:28.0,,,17-19,3,R. Gay makes 3-pt shot from 25 ft (assist by D. Cousins)
5:19.0,Detroit full timeout,,17-19,,
5:19.0,,,17-19,,O. Casspi enters the game for A. Tolliver
5:19.0,S. Johnson enters the game for M. Morris,,17-19,,
5:04.0,T. Harris misses 2-pt shot from 11 ft,,17-19,,
5:04.0,,,17-19,,Defensive rebound by O. Casspi
4:42.0,,,17-19,,R. Gay misses 2-pt shot from 7 ft
4:40.0,Defensive rebound by A. Drummond,,17-19,,
4:31.0,R. Jackson misses 2-pt shot from 4 ft (block by D. Cousins),,17-19,,
4:31.0,Offensive rebound by Team,,17-19,,
4:21.0,T. Harris makes 2-pt shot from 13 ft,2,19-19,,
3:53.0,,,19-19,,R. Gay misses 3-pt shot from 25 ft
3:52.0,,,19-19,,Offensive rebound by D. Cousins
3:50.0,,,19-19,,G. Temple misses 2-pt shot from 2 ft (block by A. Drummond)
3:48.0,Defensive rebound by K. Caldwell-Pope,,19-19,,
3:41.0,A. Drummond misses 2-pt shot from 5 ft,,19-19,,
3:39.0,,,19-19,,Defensive rebound by O. Casspi
3:30.0,,,19-19,,D. Cousins misses 2-pt shot from 3 ft (block by A. Drummond)
3:28.0,,,19-19,,Offensive rebound by R. Gay
3:27.0,,,19-21,2,R. Gay makes 2-pt shot at rim
3:12.0,R. Jackson makes 3-pt shot from 25 ft,3,22-21,,
3:00.0,,,22-21,,D. Collison misses 2-pt shot from 3 ft (block by T. Harris)
2:58.0,Defensive rebound by S. Johnson,,22-21,,
2:45.0,,,22-21,,Sacramento full timeout
2:45.0,M. Morris enters the game for T. Harris,,22-21,,
2:45.0,I. Smith enters the game for R. Jackson,,22-21,,
2:45.0,,,22-21,,T. Lawson enters the game for D. Collison
2:45.0,,,22-21,,A. Afflalo enters the game for R. Gay
2:37.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by S. Johnson),3,25-21,,
2:26.0,Personal foul by S. Johnson (drawn by A. Afflalo),,25-21,,
2:12.0,,,25-21,,T. Lawson misses 2-pt shot from 17 ft
2:11.0,,,25-21,,Offensive rebound by O. Casspi
2:07.0,,,25-21,,Offensive charge foul by D. Cousins
2:07.0,,,25-21,,Turnover by D. Cousins (offensive foul)
2:07.0,,,25-21,,K. Koufos enters the game for D. Cousins
2:07.0,B. Marjanovic enters the game for A. Drummond,,25-21,,
1:57.0,I. Smith misses 2-pt shot from 19 ft,,25-21,,
1:56.0,Offensive rebound by B. Marjanovic,,25-21,,
1:56.0,Shooting foul by O. Casspi (drawn by B. Marjanovic),,25-21,,
1:56.0,B. Marjanovic makes free throw 1 of 2,1,26-21,,
1:56.0,B. Marjanovic makes free throw 2 of 2,1,27-21,,
1:42.0,,,27-21,,K. Koufos misses 2-pt shot from 6 ft
1:41.0,Defensive rebound by B. Marjanovic,,27-21,,
1:26.0,K. Caldwell-Pope misses 2-pt shot from 9 ft,,27-21,,
1:25.0,Offensive rebound by M. Morris,,27-21,,
1:14.0,B. Marjanovic misses 2-pt shot from 9 ft,,27-21,,
1:13.0,,,27-21,,Defensive rebound by K. Koufos
1:04.0,Personal foul by M. Morris (drawn by O. Casspi),,27-21,,
1:04.0,T. Harris enters the game for M. Morris,,27-21,,
0:51.0,,,27-21,,K. Koufos misses 2-pt shot from 6 ft
0:50.0,Defensive rebound by B. Marjanovic,,27-21,,
0:42.0,S. Johnson misses 2-pt shot from 8 ft,,27-21,,
0:41.0,,,27-21,,Defensive rebound by K. Koufos
0:28.0,,,27-21,,Turnover by K. Koufos (lost ball; steal by I. Smith)
0:24.0,Shooting foul by G. Temple (drawn by T. Harris),,27-21,,
0:24.0,T. Harris makes free throw 1 of 2,1,28-21,,
0:24.0,T. Harris makes free throw 2 of 2,1,29-21,,
0:24.0,,,28-21,,B. McLemore enters the game for K. Koufos
0:24.0,D. Hilliard enters the game for B. Marjanovic,,28-21,,
0:03.0,,,29-21,,Turnover by T. Lawson (bad pass; steal by I. Smith)
0:00.0,I. Smith misses 3-pt shot from 42 ft,,29-21,,
0:00.0,Offensive rebound by Team,,29-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,29-21,,Turnover by T. Lawson (bad pass; steal by S. Johnson)
11:45.0,I. Smith makes 2-pt shot from 2 ft (assist by S. Johnson),2,31-21,,
11:21.0,,,31-23,2,A. Afflalo makes 2-pt shot from 22 ft (assist by B. McLemore)
10:59.0,T. Harris misses 2-pt shot from 14 ft,,31-23,,
10:59.0,,,31-23,,Defensive rebound by O. Casspi
10:55.0,,,31-23,,Turnover by T. Lawson (dbl dribble)
10:38.0,B. Marjanovic misses 2-pt shot from 6 ft,,31-23,,
10:36.0,Offensive rebound by H. Ellenson,,31-23,,
10:36.0,H. Ellenson makes 2-pt shot from 2 ft,2,33-23,,
10:23.0,,,33-23,,O. Casspi misses 2-pt shot from 6 ft
10:23.0,Defensive rebound by B. Marjanovic,,33-23,,
10:09.0,S. Johnson makes 2-pt shot from 19 ft,2,35-23,,
10:04.0,,,35-23,,Sacramento full timeout
9:56.0,,,35-23,,Shooting foul by T. Harris (drawn by A. Afflalo)
9:56.0,,,35-24,1,A. Afflalo makes free throw 1 of 2
9:56.0,,,35-25,1,A. Afflalo makes free throw 2 of 2
9:56.0,,,35-24,,R. Gay enters the game for O. Casspi
9:56.0,,,35-24,,A. Tolliver enters the game for B. McLemore
9:47.0,B. Marjanovic makes 2-pt shot at rim (assist by H. Ellenson),2,37-25,,
9:36.0,,,37-25,,Turnover by R. Gay (lost ball; steal by S. Johnson)
9:33.0,T. Harris makes 2-pt shot at rim (assist by S. Johnson),2,39-25,,
9:28.0,,,39-25,,Sacramento full timeout
9:28.0,A. Drummond enters the game for B. Marjanovic,,39-25,,
9:28.0,,,39-25,,D. Cousins enters the game for K. Koufos
9:11.0,,,39-25,,Shooting foul by A. Drummond (drawn by D. Cousins)
9:11.0,,,39-26,1,D. Cousins makes free throw 1 of 2
9:11.0,,,39-27,1,D. Cousins makes free throw 2 of 2
8:49.0,S. Johnson misses 3-pt shot from 23 ft,,39-27,,
8:48.0,,,39-27,,Defensive rebound by D. Cousins
8:29.0,,,39-27,,T. Lawson misses 2-pt shot from 8 ft
8:28.0,Defensive rebound by H. Ellenson,,39-27,,
8:20.0,I. Smith misses 2-pt shot from 16 ft,,39-27,,
8:19.0,,,39-27,,Defensive rebound by D. Cousins
8:09.0,,,39-27,,A. Tolliver misses 3-pt shot from 25 ft
8:08.0,,,39-27,,Offensive rebound by A. Tolliver
8:04.0,,,39-27,,D. Collison enters the game for T. Lawson
7:49.0,,,39-30,3,D. Cousins makes 3-pt shot from 25 ft (assist by A. Afflalo)
7:31.0,H. Ellenson misses 3-pt shot from 25 ft,,39-30,,
7:30.0,,,39-30,,Defensive rebound by A. Afflalo
7:18.0,,,39-30,,Turnover by R. Gay (lost ball; steal by S. Johnson)
7:15.0,S. Johnson misses 2-pt shot from 3 ft (block by R. Gay),,39-30,,
7:15.0,Offensive rebound by Team,,39-30,,
7:15.0,R. Jackson enters the game for I. Smith,,39-30,,
7:15.0,M. Morris enters the game for T. Harris,,39-30,,
7:04.0,M. Morris misses 2-pt shot from 16 ft,,39-30,,
7:02.0,,,39-30,,Defensive rebound by D. Cousins
6:51.0,,,39-33,3,A. Tolliver makes 3-pt shot from 24 ft (assist by D. Collison)
6:44.0,Detroit full timeout,,39-33,,
