time,San Antonio,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. B. Lopez (S. Dinwiddie gains possession),,,,Jump ball: D. Dedmon vs. B. Lopez (S. Dinwiddie gains possession)
11:45.0,,,0-0,,Turnover by R. Foye (lost ball; steal by L. Aldridge)
11:31.0,D. Murray misses 2-pt shot from 6 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by T. Booker
11:14.0,,,0-2,2,B. Lopez makes 2-pt shot from 15 ft (assist by B. Bogdanovic)
10:54.0,L. Aldridge misses 2-pt shot from 18 ft,,0-2,,
10:52.0,,,0-2,,Defensive rebound by B. Bogdanovic
10:39.0,,,0-2,,T. Booker misses 2-pt shot from 6 ft
10:38.0,Defensive rebound by D. Dedmon,,0-2,,
10:26.0,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Murray),2,2-2,,
10:09.0,,,2-2,,B. Lopez misses 2-pt shot from 8 ft
10:08.0,Defensive rebound by D. Murray,,2-2,,
10:00.0,D. Murray misses 2-pt shot from 2 ft (block by S. Dinwiddie),,2-2,,
9:59.0,,,2-2,,Defensive rebound by S. Dinwiddie
9:49.0,,,2-4,2,S. Dinwiddie makes 2-pt shot from 11 ft
9:19.0,L. Aldridge misses 2-pt shot from 20 ft,,2-4,,
9:18.0,,,2-4,,Defensive rebound by B. Bogdanovic
9:05.0,,,2-4,,B. Lopez misses 2-pt shot from 10 ft
9:03.0,Defensive rebound by D. Murray,,2-4,,
8:49.0,K. Anderson misses 2-pt shot from 2 ft,,2-4,,
8:48.0,Offensive rebound by D. Dedmon,,2-4,,
8:41.0,D. Green makes 2-pt shot from 2 ft,2,4-4,,
8:22.0,,,4-7,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by B. Lopez)
8:00.0,D. Murray misses 2-pt shot from 5 ft (block by S. Dinwiddie),,4-7,,
7:58.0,,,4-7,,Defensive rebound by B. Lopez
7:40.0,,,4-7,,R. Foye misses 3-pt shot from 24 ft
7:39.0,Defensive rebound by D. Dedmon,,4-7,,
7:34.0,Turnover by D. Murray (lost ball),,4-7,,
7:23.0,,,4-7,,S. Dinwiddie misses 2-pt shot from 2 ft
7:22.0,,,4-7,,Offensive rebound by B. Lopez
7:21.0,,,4-9,2,B. Lopez makes 2-pt shot from 2 ft
7:20.0,San Antonio full timeout,,4-9,,
7:06.0,Turnover by D. Murray (lost ball; steal by B. Lopez),,4-9,,
6:58.0,,,4-11,2,B. Lopez makes 2-pt shot from 11 ft (assist by S. Dinwiddie)
6:32.0,D. Green makes 2-pt shot from 22 ft (assist by L. Aldridge),2,6-11,,
6:10.0,,,6-11,,R. Foye misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by D. Murray,,6-11,,
5:59.0,L. Aldridge misses 3-pt shot from 25 ft,,6-11,,
5:58.0,,,6-11,,Defensive rebound by R. Foye
5:49.0,,,6-11,,Shooting foul by D. Green (drawn by B. Lopez)
5:49.0,,,6-12,1,B. Lopez makes free throw 1 of 2
5:49.0,,,6-13,1,B. Lopez makes free throw 2 of 2
5:49.0,P. Mills enters the game for D. Murray,,6-12,,
5:49.0,D. Lee enters the game for D. Dedmon,,6-12,,
5:49.0,,,6-12,,S. Kilpatrick enters the game for B. Bogdanovic
5:28.0,P. Mills misses 2-pt shot from 19 ft,,6-13,,
5:27.0,,,6-13,,Defensive rebound by S. Kilpatrick
5:16.0,,,6-15,2,S. Dinwiddie makes 2-pt shot from 18 ft
4:55.0,K. Anderson makes 3-pt shot from 25 ft (assist by L. Aldridge),3,9-15,,
4:39.0,,,9-15,,Turnover by Team (5 sec)
4:39.0,,,9-15,,J. Hamilton enters the game for B. Lopez
4:31.0,,,9-15,,Personal foul by S. Kilpatrick (drawn by K. Anderson)
4:31.0,,,9-15,,I. Whitehead enters the game for S. Dinwiddie
4:31.0,J. Simmons enters the game for D. Green,,9-15,,
4:31.0,,,9-15,,R. Hollis-Jefferson enters the game for T. Booker
4:20.0,K. Anderson misses 2-pt shot from 15 ft,,9-15,,
4:18.0,Offensive rebound by L. Aldridge,,9-15,,
4:17.0,L. Aldridge makes 2-pt shot from 1 ft,2,11-15,,
3:54.0,,,11-15,,R. Hollis-Jefferson misses 2-pt shot from 19 ft
3:53.0,Defensive rebound by L. Aldridge,,11-15,,
3:43.0,P. Mills makes 2-pt shot from 2 ft,2,13-15,,
3:40.0,,,13-15,,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by L. Aldridge)
3:38.0,Defensive rebound by P. Mills,,13-15,,
3:31.0,D. Lee misses 2-pt shot from 2 ft,,13-15,,
3:30.0,Offensive rebound by D. Lee,,13-15,,
3:29.0,D. Lee misses 2-pt shot from 4 ft,,13-15,,
3:28.0,Offensive rebound by L. Aldridge,,13-15,,
3:27.0,L. Aldridge misses 2-pt shot from 1 ft,,13-15,,
3:26.0,,,13-15,,Defensive rebound by R. Foye
3:22.0,,,13-17,2,S. Kilpatrick makes 2-pt shot from 2 ft (assist by R. Foye)
3:05.0,P. Mills misses 2-pt shot from 18 ft,,13-17,,
3:04.0,,,13-17,,Defensive rebound by J. Hamilton
2:58.0,,,13-17,,Turnover by S. Kilpatrick (lost ball; steal by K. Anderson)
2:55.0,K. Anderson misses 2-pt shot from 3 ft (block by J. Hamilton),,13-17,,
2:55.0,Offensive rebound by Team,,13-17,,
2:55.0,,,13-17,,Brooklyn full timeout
2:55.0,,,13-17,,B. Bogdanovic enters the game for R. Foye
2:55.0,D. Dedmon enters the game for L. Aldridge,,13-17,,
2:52.0,P. Mills misses 3-pt shot from 25 ft,,13-17,,
2:51.0,Offensive rebound by D. Lee,,13-17,,
2:50.0,D. Lee makes 2-pt shot from 2 ft,2,15-17,,
2:36.0,,,15-17,,B. Bogdanovic misses 3-pt shot from 24 ft
2:35.0,,,15-17,,Offensive rebound by R. Hollis-Jefferson
2:27.0,,,15-20,3,S. Kilpatrick makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
2:15.0,D. Lee makes 2-pt shot from 2 ft (assist by K. Anderson),2,17-20,,
2:06.0,,,17-20,,I. Whitehead misses 2-pt shot from 3 ft (block by K. Anderson)
2:05.0,Defensive rebound by Team,,17-20,,
2:05.0,D. Green enters the game for K. Anderson,,17-20,,
1:48.0,D. Green makes 2-pt shot from 20 ft,2,19-20,,
1:32.0,,,19-22,2,J. Hamilton makes 2-pt shot from 6 ft (assist by I. Whitehead)
1:22.0,P. Mills misses 2-pt shot from 3 ft,,19-22,,
1:20.0,,,19-22,,Defensive rebound by J. Hamilton
1:14.0,,,19-22,,B. Bogdanovic misses 3-pt shot from 23 ft
1:12.0,Defensive rebound by D. Lee,,19-22,,
1:07.0,D. Green makes 3-pt shot from 25 ft,3,22-22,,
0:55.0,,,22-22,,Shooting foul by D. Lee (drawn by R. Hollis-Jefferson)
0:55.0,,,22-23,1,R. Hollis-Jefferson makes free throw 1 of 2
0:55.0,,,22-24,1,R. Hollis-Jefferson makes free throw 2 of 2
0:55.0,D. Bertans enters the game for D. Dedmon,,22-23,,
0:41.0,Shooting foul by R. Hollis-Jefferson (drawn by D. Bertans),,22-24,,
0:41.0,D. Bertans makes free throw 1 of 3,1,23-24,,
0:41.0,D. Bertans makes free throw 2 of 3,1,24-24,,
0:41.0,D. Bertans makes free throw 3 of 3,1,25-24,,
0:33.0,,,25-24,,B. Bogdanovic misses 2-pt shot from 2 ft
0:32.0,Defensive rebound by D. Bertans,,25-24,,
0:20.0,D. Lee makes 2-pt shot at rim (assist by D. Bertans),2,27-24,,
0:01.0,,,27-26,2,I. Whitehead makes 2-pt shot from 3 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,D. Green misses 3-pt shot from 25 ft,,27-26,,
