time,Golden State,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. Z. Pachulia (J. Leuer gains possession),,,,Jump ball: A. Drummond vs. Z. Pachulia (J. Leuer gains possession)
11:48.0,,,0-0,,Turnover by R. Jackson (bad pass)
11:36.0,K. Durant misses 2-pt shot from 18 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by J. Leuer
11:26.0,,,0-0,,R. Jackson misses 3-pt shot from 26 ft
11:26.0,Defensive rebound by Z. Pachulia,,0-0,,
11:16.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,3-0,,
11:09.0,,,3-0,,Offensive foul by A. Drummond
11:09.0,,,3-0,,Turnover by A. Drummond (offensive foul)
11:06.0,,,3-0,,Violation by A. Drummond (def goaltending)
11:06.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry),2,5-0,,
10:50.0,Personal foul by S. Curry (drawn by J. Leuer),,5-0,,
10:39.0,,,5-2,2,A. Drummond makes 2-pt shot from 8 ft (assist by J. Leuer)
10:21.0,D. Green misses 3-pt shot from 26 ft,,5-2,,
10:21.0,,,5-2,,Defensive rebound by M. Morris
10:14.0,,,5-4,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
10:04.0,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green),3,8-4,,
9:50.0,,,8-4,,M. Morris misses 2-pt shot from 1 ft (block by D. Green)
9:48.0,Defensive rebound by K. Durant,,8-4,,
9:39.0,K. Durant makes 3-pt shot from 26 ft (assist by S. Curry),3,11-4,,
9:33.0,,,11-4,,Detroit full timeout
9:17.0,,,11-4,,R. Jackson misses 2-pt shot from 15 ft
9:16.0,Defensive rebound by D. Green,,11-4,,
9:10.0,Turnover by K. Thompson (lost ball; steal by M. Morris),,11-4,,
9:07.0,,,11-6,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by M. Morris)
8:56.0,Turnover by K. Durant (bad pass; steal by K. Caldwell-Pope),,11-6,,
8:50.0,,,11-9,3,K. Caldwell-Pope makes 3-pt shot from 26 ft
8:34.0,K. Thompson makes 2-pt shot from 21 ft (assist by K. Durant),2,13-9,,
8:17.0,,,13-11,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
8:05.0,K. Durant misses 2-pt shot from 1 ft,,13-11,,
8:05.0,,,13-11,,Defensive rebound by A. Drummond
7:59.0,,,13-13,2,J. Leuer makes 2-pt shot from 1 ft (assist by M. Morris)
7:58.0,Golden State full timeout,,13-13,,
7:44.0,S. Curry makes 2-pt shot from 17 ft (assist by D. Green),2,15-13,,
7:18.0,,,15-13,,R. Jackson misses 3-pt shot from 26 ft
7:17.0,Defensive rebound by Z. Pachulia,,15-13,,
7:01.0,K. Durant makes 3-pt shot from 25 ft (assist by S. Curry),3,18-13,,
6:46.0,,,18-16,3,K. Caldwell-Pope makes 3-pt shot from 26 ft
6:34.0,K. Thompson misses 2-pt shot from 10 ft,,18-16,,
6:34.0,,,18-16,,Defensive rebound by R. Jackson
6:25.0,,,18-16,,J. Leuer misses 2-pt shot from 11 ft
6:25.0,Defensive rebound by Z. Pachulia,,18-16,,
6:22.0,K. Durant makes 2-pt shot from 11 ft (assist by D. Green),2,20-16,,
6:22.0,Shooting foul by M. Morris (drawn by K. Durant),,20-16,,
6:22.0,K. Durant misses free throw 1 of 1,,20-16,,
6:21.0,,,20-16,,Defensive rebound by A. Drummond
6:04.0,,,20-16,,R. Jackson misses 2-pt shot from 8 ft
6:03.0,Defensive rebound by K. Thompson,,20-16,,
5:55.0,Turnover by Z. Pachulia (traveling),,20-16,,
5:33.0,,,20-16,,M. Morris misses 3-pt shot from 23 ft
5:33.0,Defensive rebound by D. Green,,20-16,,
5:25.0,D. Green misses 3-pt shot from 26 ft,,20-16,,
5:25.0,,,20-16,,Defensive rebound by Team
5:25.0,J. McGee enters the game for Z. Pachulia,,20-16,,
5:09.0,,,20-16,,K. Caldwell-Pope misses 3-pt shot from 26 ft
5:08.0,Defensive rebound by K. Durant,,20-16,,
5:00.0,J. McGee makes 2-pt shot at rim (assist by D. Green),2,22-16,,
5:00.0,,,22-16,,Technical foul by Team
5:00.0,S. Curry makes technical free throw,1,23-16,,
5:00.0,A. Iguodala enters the game for K. Durant,,23-16,,
4:44.0,,,23-18,2,R. Jackson makes 2-pt shot from 21 ft
4:34.0,Turnover by S. Curry (kicked ball),,23-18,,
4:23.0,,,23-20,2,M. Morris makes 2-pt shot from 19 ft (assist by R. Jackson)
4:06.0,A. Iguodala misses 2-pt shot from 15 ft,,23-20,,
4:05.0,,,23-20,,Defensive rebound by A. Drummond
3:59.0,,,23-20,,M. Morris misses 3-pt shot from 25 ft
3:58.0,Defensive rebound by J. McGee,,23-20,,
3:43.0,J. McGee misses 2-pt shot at rim (block by A. Drummond),,23-20,,
3:40.0,,,23-20,,Defensive rebound by M. Morris
3:28.0,,,23-22,2,J. Leuer makes 2-pt shot at rim (assist by A. Drummond)
3:19.0,Turnover by S. Curry (bad pass; steal by J. Leuer),,23-22,,
3:14.0,,,23-24,2,J. Leuer makes 2-pt shot from 1 ft
3:14.0,Golden State full timeout,,23-24,,
3:14.0,I. Clark enters the game for K. Thompson,,23-24,,
3:14.0,,,23-24,,T. Harris enters the game for M. Morris
2:58.0,,,23-24,,Personal foul by T. Harris (drawn by A. Iguodala)
2:58.0,,,23-24,,I. Smith enters the game for R. Jackson
2:48.0,J. McGee makes 2-pt shot at rim (assist by D. Green),2,25-24,,
2:32.0,,,25-24,,K. Caldwell-Pope misses 2-pt shot from 16 ft
2:31.0,Defensive rebound by I. Clark,,25-24,,
2:25.0,Turnover by D. Green (bad pass; steal by K. Caldwell-Pope),,25-24,,
2:15.0,,,25-24,,K. Caldwell-Pope misses 3-pt shot from 27 ft
2:15.0,Defensive rebound by J. McGee,,25-24,,
2:00.0,J. McGee makes 2-pt shot from 1 ft (assist by S. Curry),2,27-24,,
1:47.0,,,27-26,2,I. Smith makes 2-pt shot from 1 ft
1:47.0,,,27-26,,Shooting foul by I. Clark (drawn by I. Smith)
1:47.0,,,27-26,,I. Smith misses free throw 1 of 1
1:47.0,,,27-26,,A. Baynes enters the game for A. Drummond
1:46.0,Defensive rebound by D. Green,,27-26,,
1:28.0,D. Green misses 3-pt shot from 26 ft,,27-26,,
1:28.0,,,27-26,,Defensive rebound by T. Harris
1:21.0,,,27-28,2,I. Smith makes 2-pt shot from 6 ft
1:00.0,S. Curry makes 3-pt shot from 24 ft,3,30-28,,
0:44.0,,,30-30,2,K. Caldwell-Pope makes 2-pt shot from 21 ft
0:36.0,D. West enters the game for J. McGee,,30-30,,
0:36.0,K. Durant enters the game for D. Green,,30-30,,
0:33.0,,,30-30,,Personal foul by A. Baynes (drawn by S. Curry)
0:30.0,,,30-30,,Personal foul by K. Caldwell-Pope (drawn by S. Curry)
0:30.0,S. Curry makes free throw 1 of 3,1,31-30,,
0:30.0,S. Curry makes free throw 2 of 3,1,32-30,,
0:30.0,S. Curry makes free throw 3 of 3,1,33-30,,
0:10.0,,,33-32,2,A. Baynes makes 2-pt shot at rim (assist by I. Smith)
0:02.0,K. Durant misses 2-pt shot from 16 ft,,33-32,,
0:00.0,,,33-32,,Defensive rebound by T. Harris
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,D. West makes 2-pt shot at rim (assist by K. Durant),2,35-32,,
11:30.0,,,35-32,,T. Harris misses 2-pt shot from 13 ft
11:29.0,Defensive rebound by A. Iguodala,,35-32,,
11:15.0,S. Livingston misses 2-pt shot from 10 ft,,35-32,,
11:15.0,,,35-32,,Defensive rebound by S. Johnson
11:06.0,,,35-34,2,I. Smith makes 2-pt shot from 16 ft
10:39.0,D. West misses 2-pt shot from 11 ft,,35-34,,
10:39.0,,,35-34,,Defensive rebound by I. Smith
10:22.0,,,35-37,3,S. Johnson makes 3-pt shot from 26 ft (assist by I. Smith)
10:04.0,S. Livingston makes 2-pt shot from 7 ft (assist by D. West),2,37-37,,
9:45.0,,,37-37,,T. Harris misses 2-pt shot from 12 ft
9:45.0,Defensive rebound by K. Durant,,37-37,,
9:40.0,K. Durant makes 2-pt shot at rim,2,39-37,,
9:29.0,,,39-37,,Shooting foul by K. Durant (drawn by T. Harris)
9:29.0,,,39-38,1,T. Harris makes free throw 1 of 2
9:29.0,,,39-39,1,T. Harris makes free throw 2 of 2
9:16.0,K. Thompson makes 2-pt shot from 1 ft,2,41-39,,
8:59.0,Official timeout,,41-39,,
8:59.0,,,41-39,,A. Drummond enters the game for A. Baynes
8:59.0,I. Clark enters the game for A. Iguodala,,41-39,,
8:53.0,,,41-39,,I. Smith misses 2-pt shot from 19 ft
8:52.0,Defensive rebound by K. Durant,,41-39,,
8:38.0,K. Durant makes 2-pt shot from 6 ft (assist by D. West),2,43-39,,
8:23.0,,,43-39,,S. Johnson misses 2-pt shot from 17 ft
8:23.0,Defensive rebound by Team,,43-39,,
8:23.0,,,43-39,,Loose ball foul by A. Drummond (drawn by D. West)
8:09.0,Jump ball: I. Clark vs. M. Morris (S. Livingston gains possession),,,,Jump ball: I. Clark vs. M. Morris (S. Livingston gains possession)
7:56.0,K. Durant misses 3-pt shot from 26 ft,,43-39,,
7:56.0,,,43-39,,Defensive rebound by A. Drummond
7:47.0,,,43-39,,Shooting foul by D. West (drawn by T. Harris)
7:47.0,,,43-40,1,T. Harris makes free throw 1 of 2
7:47.0,,,43-41,1,T. Harris makes free throw 2 of 2
7:39.0,,,43-41,,Personal foul by M. Morris (drawn by K. Durant)
7:36.0,Shooting foul by M. Morris (drawn by I. Clark),,43-41,,
7:36.0,I. Clark makes free throw 1 of 2,1,44-41,,
7:36.0,I. Clark makes free throw 2 of 2,1,45-41,,
7:36.0,,,44-41,,J. Leuer enters the game for M. Morris
7:15.0,,,45-41,,T. Harris misses 2-pt shot from 5 ft
7:14.0,Defensive rebound by K. Durant,,45-41,,
7:10.0,K. Durant makes 2-pt shot at rim,2,47-41,,
7:05.0,,,47-41,,Detroit full timeout
7:05.0,,,47-41,,K. Caldwell-Pope enters the game for I. Smith
7:05.0,,,47-41,,R. Jackson enters the game for S. Johnson
7:05.0,D. Green enters the game for K. Durant,,47-41,,
7:05.0,Z. Pachulia enters the game for D. West,,47-41,,
6:50.0,,,47-43,2,A. Drummond makes 2-pt shot from 7 ft
6:31.0,K. Thompson misses 2-pt shot from 5 ft (block by A. Drummond),,47-43,,
6:30.0,,,47-43,,Defensive rebound by J. Leuer
6:26.0,,,47-43,,Turnover by K. Caldwell-Pope (bad pass; steal by S. Livingston)
6:16.0,D. Green misses 3-pt shot from 27 ft,,47-43,,
6:16.0,,,47-43,,Defensive rebound by J. Leuer
6:06.0,,,47-45,2,J. Leuer makes 2-pt shot from 7 ft
5:58.0,Offensive foul by Z. Pachulia,,47-45,,
5:58.0,Turnover by Z. Pachulia (offensive foul),,47-45,,
5:58.0,S. Curry enters the game for K. Thompson,,47-45,,
5:44.0,,,47-48,3,T. Harris makes 3-pt shot from 23 ft (assist by R. Jackson)
5:33.0,S. Livingston misses 2-pt shot from 14 ft,,47-48,,
5:33.0,,,47-48,,Defensive rebound by A. Drummond
5:26.0,,,47-50,2,R. Jackson makes 2-pt shot from 1 ft
5:11.0,Shooting foul by J. Leuer (drawn by D. Green),,47-50,,
5:11.0,D. Green makes free throw 1 of 2,1,48-50,,
5:11.0,D. Green misses free throw 2 of 2,,48-50,,
5:11.0,A. Iguodala enters the game for I. Clark,,48-50,,
5:10.0,,,48-50,,Defensive rebound by T. Harris
4:58.0,,,48-50,,Turnover by R. Jackson (bad pass; steal by S. Curry)
4:46.0,S. Curry misses 2-pt shot at rim,,48-50,,
4:45.0,,,48-50,,Defensive rebound by R. Jackson
4:44.0,Personal foul by S. Livingston (drawn by A. Drummond),,48-50,,
4:25.0,,,48-50,,T. Harris misses 3-pt shot from 27 ft
4:24.0,Defensive rebound by Team,,48-50,,
4:14.0,S. Curry misses 3-pt shot from 25 ft,,48-50,,
4:13.0,Offensive rebound by Z. Pachulia,,48-50,,
4:03.0,Turnover by A. Iguodala (3 sec),,48-50,,
3:46.0,,,48-52,2,A. Drummond makes 2-pt shot at rim (assist by J. Leuer)
3:46.0,,,48-52,,Shooting foul by S. Livingston (drawn by A. Drummond)
3:46.0,Golden State full timeout,,48-52,,
3:46.0,,,48-52,,A. Drummond misses free throw 1 of 1
3:46.0,K. Thompson enters the game for Z. Pachulia,,48-52,,
3:46.0,K. Durant enters the game for S. Livingston,,48-52,,
3:45.0,Defensive rebound by K. Thompson,,48-52,,
3:21.0,Turnover by Team (shot clock),,48-52,,
3:08.0,,,48-52,,Shooting foul by K. Durant (drawn by A. Drummond)
3:08.0,,,48-52,,A. Drummond misses free throw 1 of 2
3:08.0,,,48-52,,Offensive rebound by Team
3:08.0,,,48-52,,A. Drummond misses free throw 2 of 2
3:08.0,Defensive rebound by D. Green,,48-52,,
2:55.0,S. Curry makes 3-pt shot from 26 ft (assist by K. Durant),3,51-52,,
2:43.0,,,51-52,,R. Jackson misses 3-pt shot from 26 ft
2:43.0,Defensive rebound by A. Iguodala,,51-52,,
2:33.0,K. Thompson misses 3-pt shot from 24 ft,,51-52,,
2:32.0,,,51-52,,Defensive rebound by J. Leuer
2:22.0,,,51-52,,R. Jackson misses 2-pt shot at rim
2:21.0,Defensive rebound by D. Green,,51-52,,
2:14.0,Turnover by S. Curry (bad pass),,51-52,,
1:58.0,,,51-52,,A. Drummond misses 2-pt shot from 8 ft
1:58.0,Defensive rebound by K. Durant,,51-52,,
1:56.0,Turnover by K. Durant (lost ball; steal by A. Drummond),,51-52,,
1:51.0,,,51-55,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by A. Drummond)
1:32.0,Turnover by D. Green (bad pass; steal by R. Jackson),,51-55,,
1:25.0,,,51-55,,Turnover by R. Jackson (bad pass)
1:25.0,,,51-55,,S. Johnson enters the game for A. Drummond
1:11.0,Shooting foul by J. Leuer (drawn by K. Durant),,51-55,,
1:11.0,K. Durant makes free throw 1 of 2,1,52-55,,
1:11.0,K. Durant makes free throw 2 of 2,1,53-55,,
1:11.0,,,52-55,,A. Baynes enters the game for J. Leuer
1:00.0,,,53-57,2,R. Jackson makes 2-pt shot at rim
0:50.0,A. Iguodala makes 2-pt shot from 1 ft,2,55-57,,
0:37.0,,,55-59,2,T. Harris makes 2-pt shot from 13 ft (assist by R. Jackson)
