time,Utah,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. J. Valanciunas (G. Hayward gains possession),,,,Jump ball: R. Gobert vs. J. Valanciunas (G. Hayward gains possession)
11:42.0,D. Favors misses 2-pt shot from 18 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by D. Carroll
11:20.0,,,0-0,,D. Carroll misses 2-pt shot from 5 ft
11:20.0,Defensive rebound by R. Hood,,0-0,,
11:04.0,R. Hood makes 2-pt shot from 16 ft,2,2-0,,
10:45.0,,,2-2,2,D. DeRozan makes 2-pt shot from 19 ft
10:32.0,R. Hood misses 2-pt shot from 20 ft,,2-2,,
10:32.0,,,2-2,,Defensive rebound by L. Nogueira
10:22.0,,,2-2,,D. DeRozan misses 2-pt shot from 13 ft
10:22.0,Defensive rebound by D. Favors,,2-2,,
10:01.0,S. Mack makes 2-pt shot from 18 ft,2,4-2,,
9:38.0,,,4-4,2,J. Valanciunas makes 2-pt shot from 7 ft
9:18.0,S. Mack makes 2-pt shot from 8 ft (assist by D. Favors),2,6-4,,
9:05.0,,,6-4,,Turnover by K. Lowry (bad pass)
8:47.0,Turnover by D. Favors (bad pass; steal by D. DeRozan),,6-4,,
8:30.0,,,6-4,,D. DeRozan misses 2-pt shot from 13 ft (block by R. Hood)
8:28.0,,,6-4,,Offensive rebound by D. DeRozan
8:27.0,,,6-4,,Turnover by D. DeRozan (bad pass; steal by D. Favors)
8:20.0,S. Mack makes 3-pt shot from 24 ft (assist by R. Hood),3,9-4,,
8:06.0,,,9-4,,K. Lowry misses 2-pt shot from 10 ft
8:05.0,,,9-4,,Offensive rebound by J. Valanciunas
8:04.0,,,9-6,2,J. Valanciunas makes 2-pt shot from 1 ft
7:56.0,R. Hood misses 3-pt shot from 25 ft,,9-6,,
7:56.0,,,9-6,,Defensive rebound by D. DeRozan
7:56.0,,,9-6,,Toronto full timeout
7:40.0,,,9-9,3,D. Carroll makes 3-pt shot from 25 ft (assist by K. Lowry)
7:23.0,Turnover by G. Hayward (bad pass),,9-9,,
