time,Cleveland,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. J. Valanciunas (C. Joseph gains possession),,,,Jump ball: T. Thompson vs. J. Valanciunas (C. Joseph gains possession)
11:39.0,,,0-2,2,J. Valanciunas makes 2-pt shot from 8 ft
11:23.0,,,0-2,,Personal foul by S. Ibaka (drawn by K. Love)
11:15.0,Turnover by L. James (step out of bounds),,0-2,,
11:01.0,,,0-2,,C. Joseph misses 2-pt shot from 18 ft
11:00.0,Defensive rebound by T. Thompson,,0-2,,
10:50.0,K. Irving misses 2-pt shot from 20 ft (block by C. Joseph),,0-2,,
10:50.0,,,0-2,,Defensive rebound by Team
10:50.0,Loose ball foul by T. Thompson (drawn by J. Valanciunas),,0-2,,
10:30.0,,,0-2,,J. Valanciunas misses 2-pt shot from 8 ft
10:29.0,Defensive rebound by K. Love,,0-2,,
10:12.0,K. Irving makes 2-pt shot from 19 ft,2,2-2,,
9:58.0,,,2-4,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. DeRozan)
9:51.0,Turnover by K. Love (step out of bounds),,2-4,,
9:36.0,,,2-4,,N. Powell misses 3-pt shot from 25 ft
9:35.0,Defensive rebound by K. Irving,,2-4,,
9:19.0,L. James makes 2-pt shot from 2 ft,2,4-4,,
9:08.0,,,4-6,2,S. Ibaka makes 2-pt shot from 21 ft (assist by D. DeRozan)
8:48.0,,,4-6,,Violation by J. Valanciunas (def goaltending)
8:48.0,K. Love makes 2-pt shot from 1 ft,2,6-6,,
8:36.0,,,6-6,,D. DeRozan misses 2-pt shot from 2 ft (block by J. Smith)
8:36.0,,,6-6,,Offensive rebound by Team
8:33.0,,,6-6,,D. DeRozan misses 2-pt shot from 15 ft
8:32.0,Defensive rebound by J. Smith,,6-6,,
8:28.0,,,6-6,,Personal foul by C. Joseph (drawn by L. James)
8:25.0,Turnover by J. Smith (bad pass; steal by N. Powell),,6-6,,
8:13.0,,,6-8,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by N. Powell)
7:57.0,K. Irving misses 2-pt shot from 19 ft,,6-8,,
7:56.0,,,6-8,,Defensive rebound by S. Ibaka
7:44.0,,,6-8,,S. Ibaka misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by Team,,6-8,,
7:23.0,,,6-8,,Def 3 sec tech foul by J. Valanciunas
7:23.0,K. Irving makes technical free throw,1,7-8,,
7:16.0,K. Love makes 2-pt shot from 2 ft,2,9-8,,
7:04.0,,,9-8,,S. Ibaka misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by K. Irving,,9-8,,
6:57.0,Shooting foul by J. Valanciunas (drawn by K. Love),,9-8,,
6:57.0,K. Love makes free throw 1 of 2,1,10-8,,
6:57.0,K. Love makes free throw 2 of 2,1,11-8,,
6:46.0,,,11-8,,Shooting foul by J. Smith (drawn by D. DeRozan)
6:46.0,,,11-9,1,D. DeRozan makes free throw 1 of 2
6:46.0,,,11-10,1,D. DeRozan makes free throw 2 of 2
6:31.0,K. Love makes 2-pt shot at rim (assist by L. James),2,13-10,,
6:20.0,,,13-10,,Turnover by N. Powell (step out of bounds)
6:09.0,K. Love misses 2-pt shot from 3 ft,,13-10,,
6:09.0,,,13-10,,Defensive rebound by Team
6:09.0,,,13-10,,Toronto full timeout
5:56.0,,,13-10,,D. DeRozan misses 2-pt shot from 17 ft
5:56.0,,,13-10,,Offensive rebound by Team
5:56.0,,,13-10,,Turnover by J. Valanciunas (offensive goaltending)
5:44.0,T. Thompson misses 2-pt shot from 4 ft,,13-10,,
5:44.0,,,13-10,,Defensive rebound by J. Valanciunas
5:30.0,,,13-10,,N. Powell misses 3-pt shot from 23 ft
5:29.0,Defensive rebound by K. Love,,13-10,,
5:11.0,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving),3,16-10,,
5:05.0,Personal foul by K. Irving (drawn by C. Joseph),,16-10,,
4:55.0,,,16-10,,J. Valanciunas misses 2-pt shot from 17 ft
4:54.0,Defensive rebound by K. Love,,16-10,,
