time,Minnesota,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. K. Towns (Z. LaVine gains possession),,,,Jump ball: N. Jokic vs. K. Towns (Z. LaVine gains possession)
11:40.0,A. Wiggins makes 2-pt shot from 2 ft (assist by K. Towns),2,2-0,,
11:20.0,,,2-2,2,D. Gallinari makes 2-pt shot from 12 ft
10:53.0,G. Dieng misses 2-pt shot from 16 ft,,2-2,,
10:52.0,Offensive rebound by R. Rubio,,2-2,,
10:43.0,Z. LaVine makes 2-pt shot from 18 ft (assist by G. Dieng),2,4-2,,
10:24.0,,,4-2,,Turnover by D. Gallinari (lost ball; steal by A. Wiggins)
10:09.0,A. Wiggins makes 2-pt shot from 2 ft (assist by K. Towns),2,6-2,,
9:48.0,,,6-2,,G. Harris misses 3-pt shot from 26 ft
9:47.0,Defensive rebound by K. Towns,,6-2,,
9:31.0,K. Towns misses 2-pt shot from 8 ft,,6-2,,
9:30.0,,,6-2,,Defensive rebound by N. Jokic
9:24.0,,,6-4,2,G. Harris makes 2-pt shot at rim (assist by N. Jokic)
9:00.0,A. Wiggins makes 2-pt shot from 19 ft (assist by K. Towns),2,8-4,,
8:46.0,,,8-7,3,D. Gallinari makes 3-pt shot from 25 ft (assist by E. Mudiay)
8:25.0,A. Wiggins makes 3-pt shot from 26 ft (assist by K. Towns),3,11-7,,
8:25.0,,,11-7,,Denver full timeout
8:06.0,,,11-7,,W. Chandler misses 2-pt shot from 19 ft
8:04.0,,,11-7,,Offensive rebound by N. Jokic
8:01.0,,,11-9,2,N. Jokic makes 2-pt shot from 4 ft
7:36.0,Z. LaVine makes 2-pt shot from 19 ft,2,13-9,,
7:25.0,,,13-9,,G. Harris misses 2-pt shot from 13 ft
7:24.0,Defensive rebound by G. Dieng,,13-9,,
7:13.0,R. Rubio misses 2-pt shot from 1 ft,,13-9,,
7:13.0,,,13-9,,Defensive rebound by D. Gallinari
7:04.0,,,13-9,,W. Chandler misses 3-pt shot from 26 ft
7:04.0,Defensive rebound by G. Dieng,,13-9,,
6:41.0,R. Rubio misses 3-pt shot from 26 ft,,13-9,,
6:40.0,,,13-9,,Defensive rebound by D. Gallinari
6:27.0,,,13-9,,E. Mudiay misses 2-pt shot from 15 ft
6:25.0,Defensive rebound by K. Towns,,13-9,,
6:19.0,K. Towns makes 2-pt shot from 2 ft,2,15-9,,
6:07.0,,,15-11,2,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic)
5:42.0,Turnover by R. Rubio (traveling),,15-11,,
5:42.0,,,15-11,,K. Faried enters the game for W. Chandler
5:28.0,,,15-14,3,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic)
5:10.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,17-14,,
5:06.0,,,17-14,,Offensive charge foul by E. Mudiay
5:06.0,,,17-14,,Turnover by E. Mudiay (offensive foul)
5:06.0,S. Muhammad enters the game for Z. LaVine,,17-14,,
4:51.0,G. Dieng makes 2-pt shot from 7 ft (assist by R. Rubio),2,19-14,,
4:32.0,,,19-14,,N. Jokic misses 3-pt shot from 23 ft
4:31.0,Defensive rebound by A. Wiggins,,19-14,,
4:27.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,21-14,,
4:27.0,,,21-14,,Denver full timeout
4:27.0,,,21-14,,W. Barton enters the game for G. Harris
4:27.0,,,21-14,,J. Nelson enters the game for E. Mudiay
4:19.0,,,21-14,,Turnover by J. Nelson (bad pass; steal by G. Dieng)
4:13.0,R. Rubio misses 2-pt shot from 16 ft,,21-14,,
4:10.0,Offensive rebound by R. Rubio,,21-14,,
4:01.0,A. Wiggins makes 2-pt shot from 18 ft,2,23-14,,
3:43.0,,,23-16,2,D. Gallinari makes 2-pt shot from 21 ft (assist by K. Faried)
3:37.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,25-16,,
3:37.0,,,25-16,,Denver full timeout
3:37.0,N. Bjelica enters the game for K. Towns,,25-16,,
3:16.0,,,25-16,,N. Jokic misses 3-pt shot from 25 ft
3:15.0,Defensive rebound by S. Muhammad,,25-16,,
2:57.0,R. Rubio misses 3-pt shot from 24 ft,,25-16,,
2:56.0,,,25-16,,Defensive rebound by J. Nelson
2:40.0,,,25-18,2,K. Faried makes 2-pt shot from 2 ft (assist by N. Jokic)
2:25.0,A. Wiggins misses 2-pt shot from 7 ft,,25-18,,
2:22.0,,,25-18,,Defensive rebound by N. Jokic
2:20.0,Personal foul by N. Bjelica (drawn by K. Faried),,25-18,,
2:20.0,K. Dunn enters the game for R. Rubio,,25-18,,
2:20.0,,,25-18,,W. Chandler enters the game for N. Jokic
2:08.0,,,25-18,,Turnover by D. Gallinari (lost ball; steal by A. Wiggins)
2:07.0,,,25-18,,Personal foul by D. Gallinari (drawn by A. Wiggins)
