time,Golden State,pts.away,score,pts.home,Philadelphia
9:58.0,K. Thompson misses 3-pt shot from 24 ft,,93-85,,
9:56.0,,,93-85,,Defensive rebound by R. Covington
9:42.0,,,93-85,,N. Stauskas misses 2-pt shot from 15 ft
9:41.0,Defensive rebound by K. Thompson,,93-85,,
9:30.0,D. Green misses 3-pt shot from 26 ft,,93-85,,
9:28.0,,,93-85,,Defensive rebound by R. Covington
9:19.0,,,93-85,,Turnover by J. Okafor (lost ball; steal by D. Green)
9:14.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,96-85,,
9:13.0,,,96-85,,Philadelphia full timeout
9:13.0,,,96-85,,D. Saric enters the game for T. Luwawu-Cabarrot
8:57.0,,,96-85,,Turnover by N. Stauskas (bad pass; steal by D. Green)
8:52.0,Turnover by D. Green (bad pass),,96-85,,
8:39.0,,,96-87,2,D. Saric makes 2-pt shot from 3 ft
8:20.0,K. Thompson makes 3-pt shot from 25 ft (assist by A. Iguodala),3,99-87,,
7:58.0,,,99-87,,S. Rodriguez misses 3-pt shot from 26 ft
7:56.0,,,99-87,,Offensive rebound by D. Saric
7:54.0,Flagrant foul type 1 by D. West (drawn by D. Saric),,99-87,,
7:54.0,,,99-88,1,D. Saric makes flagrant free throw 1 of 2
7:54.0,,,99-89,1,D. Saric makes flagrant free throw 2 of 2
7:40.0,,,99-91,2,N. Stauskas makes 2-pt shot from 12 ft
7:20.0,S. Livingston makes 2-pt shot from 1 ft (assist by D. West),2,101-91,,
7:02.0,,,101-91,,Turnover by N. Stauskas (bad pass; steal by A. Iguodala)
6:56.0,K. Thompson misses 2-pt shot from 8 ft,,101-91,,
6:55.0,,,101-91,,Defensive rebound by J. Okafor
6:44.0,,,101-91,,J. Okafor misses 2-pt shot from 8 ft (block by D. West)
6:41.0,Defensive rebound by S. Livingston,,101-91,,
6:26.0,D. Green makes 3-pt shot from 24 ft (assist by D. West),3,104-91,,
6:18.0,,,104-91,,Philadelphia full timeout
6:18.0,K. Durant enters the game for D. Green,,104-91,,
6:18.0,I. Clark enters the game for K. Thompson,,104-91,,
6:18.0,S. Curry enters the game for A. Iguodala,,104-91,,
6:18.0,,,104-91,,G. Henderson enters the game for S. Rodriguez
6:18.0,,,104-91,,T. McConnell enters the game for N. Stauskas
6:07.0,,,104-91,,Shooting foul by K. Durant (drawn by D. Saric)
6:07.0,,,104-91,,D. Saric misses free throw 1 of 2
6:07.0,,,104-91,,Offensive rebound by Team
6:07.0,,,104-92,1,D. Saric makes free throw 2 of 2
5:51.0,S. Curry makes 2-pt shot from 1 ft (assist by D. West),2,106-92,,
5:38.0,,,106-92,,Shooting foul by S. Livingston (drawn by R. Covington)
5:38.0,,,106-92,,R. Covington misses free throw 1 of 2
5:38.0,,,106-92,,Offensive rebound by Team
5:38.0,,,106-93,1,R. Covington makes free throw 2 of 2
5:38.0,,,106-92,,R. Holmes enters the game for J. Okafor
5:38.0,Z. Pachulia enters the game for D. West,,106-92,,
5:19.0,S. Curry misses 3-pt shot from 27 ft,,106-93,,
5:16.0,,,106-93,,Defensive rebound by R. Covington
5:03.0,,,106-95,2,R. Holmes makes 2-pt shot at rim (assist by D. Saric)
4:49.0,Turnover by S. Curry (bad pass; steal by T. McConnell),,106-95,,
4:46.0,Personal foul by K. Durant,,106-95,,
4:38.0,,,106-97,2,G. Henderson makes 2-pt shot from 6 ft (assist by R. Holmes)
4:37.0,Golden State full timeout,,106-97,,
4:37.0,A. Iguodala enters the game for Z. Pachulia,,106-97,,
4:37.0,K. Thompson enters the game for I. Clark,,106-97,,
4:27.0,D. Green enters the game for S. Livingston,,106-97,,
4:21.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,108-97,,
3:56.0,,,108-97,,G. Henderson misses 2-pt shot from 13 ft
3:55.0,Defensive rebound by D. Green,,108-97,,
3:42.0,S. Curry makes 2-pt shot from 2 ft (assist by D. Green),2,110-97,,
3:35.0,,,110-97,,R. Covington misses 3-pt shot from 25 ft
3:33.0,Defensive rebound by A. Iguodala,,110-97,,
3:10.0,Shooting foul by R. Covington (drawn by K. Durant),,110-97,,
3:10.0,K. Durant misses free throw 1 of 2,,110-97,,
3:10.0,Offensive rebound by Team,,110-97,,
3:10.0,K. Durant makes free throw 2 of 2,1,111-97,,
3:01.0,,,111-99,2,D. Saric makes 2-pt shot from 2 ft (assist by T. McConnell)
3:01.0,,,111-99,,Shooting foul by D. Green (drawn by D. Saric)
3:01.0,,,111-100,1,D. Saric makes free throw 1 of 1
2:41.0,K. Thompson misses 2-pt shot from 14 ft,,111-100,,
2:39.0,Offensive rebound by A. Iguodala,,111-100,,
2:36.0,Shooting foul by D. Saric (drawn by K. Durant),,111-100,,
2:36.0,K. Durant makes free throw 1 of 2,1,112-100,,
2:36.0,K. Durant makes free throw 2 of 2,1,113-100,,
2:20.0,,,113-100,,Shooting foul by A. Iguodala (drawn by R. Holmes)
2:20.0,,,113-101,1,R. Holmes makes free throw 1 of 2
2:20.0,,,113-102,1,R. Holmes makes free throw 2 of 2
1:56.0,K. Durant makes 2-pt shot from 4 ft,2,115-102,,
1:45.0,,,115-102,,G. Henderson misses 2-pt shot from 2 ft
1:42.0,Defensive rebound by D. Green,,115-102,,
1:21.0,Turnover by Team (shot clock),,115-102,,
1:21.0,I. Clark enters the game for S. Curry,,115-102,,
1:21.0,,,115-102,,Philadelphia full timeout
1:21.0,J. McAdoo enters the game for K. Durant,,115-102,,
1:21.0,P. McCaw enters the game for D. Green,,115-102,,
1:21.0,K. Looney enters the game for A. Iguodala,,115-102,,
1:11.0,,,115-102,,Shooting foul by J. McAdoo (drawn by D. Saric)
1:11.0,,,115-103,1,D. Saric makes free throw 1 of 2
1:11.0,,,115-104,1,D. Saric makes free throw 2 of 2
1:11.0,,,115-103,,J. Anderson enters the game for R. Covington
1:11.0,,,115-103,,N. Stauskas enters the game for G. Henderson
1:11.0,,,115-103,,T. Luwawu-Cabarrot enters the game for R. Holmes
1:11.0,,,115-103,,S. Rodriguez enters the game for T. McConnell
0:55.0,K. Looney makes 2-pt shot at rim (assist by K. Thompson),2,117-104,,
0:55.0,,,117-104,,Philadelphia full timeout
0:55.0,,,117-104,,R. Holmes enters the game for D. Saric
0:39.0,,,117-106,2,J. Anderson makes 2-pt shot from 5 ft
0:17.0,I. Clark makes 2-pt shot from 13 ft,2,119-106,,
0:08.0,,,119-106,,R. Holmes misses 3-pt shot from 24 ft
0:06.0,,,119-106,,Offensive rebound by J. Anderson
0:01.0,,,119-108,2,J. Anderson makes 2-pt shot at rim (assist by N. Stauskas)
0:00.0,End of 4th quarter,,,,End of 4th quarter
