time,Golden State,pts.away,score,pts.home,Philadelphia
2:35.0,K. Durant makes free throw 1 of 2,1,27-29,,
2:35.0,K. Durant makes free throw 2 of 2,1,28-29,,
2:26.0,,,28-29,,D. Saric misses 3-pt shot from 25 ft
2:25.0,,,28-29,,Offensive rebound by R. Holmes
2:23.0,,,28-31,2,R. Holmes makes 2-pt shot from 9 ft
2:08.0,S. Curry misses 3-pt shot from 24 ft,,28-31,,
2:05.0,Offensive rebound by J. McGee,,28-31,,
2:02.0,Turnover by A. Iguodala (bad pass; steal by D. Saric),,28-31,,
1:53.0,,,28-31,,Turnover by T. Luwawu-Cabarrot (bad pass)
1:53.0,D. Green enters the game for K. Durant,,28-31,,
1:37.0,J. McGee misses 2-pt shot from 4 ft (block by R. Holmes),,28-31,,
1:36.0,,,28-31,,Defensive rebound by D. Saric
1:31.0,,,28-31,,N. Stauskas misses 3-pt shot from 26 ft
1:29.0,Defensive rebound by D. Green,,28-31,,
1:14.0,S. Curry misses 3-pt shot from 26 ft,,28-31,,
1:13.0,,,28-31,,Defensive rebound by N. Stauskas
1:02.0,,,28-31,,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by P. McCaw,,28-31,,
1:00.0,,,28-31,,Personal foul by S. Rodriguez (drawn by P. McCaw)
1:00.0,P. McCaw makes free throw 1 of 2,1,29-31,,
1:00.0,P. McCaw makes free throw 2 of 2,1,30-31,,
0:45.0,,,30-31,,D. Saric misses 3-pt shot from 25 ft
0:44.0,,,30-31,,Offensive rebound by R. Holmes
0:38.0,,,30-31,,N. Stauskas misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by A. Iguodala,,30-31,,
0:33.0,D. Green makes 2-pt shot from 2 ft (assist by A. Iguodala),2,32-31,,
0:18.0,Personal foul by J. McGee (drawn by R. Holmes),,32-31,,
0:18.0,S. Livingston enters the game for S. Curry,,32-31,,
0:18.0,D. West enters the game for J. McGee,,32-31,,
0:06.0,,,32-31,,S. Rodriguez misses 3-pt shot from 27 ft
0:04.0,,,32-31,,Offensive rebound by T. Luwawu-Cabarrot
0:04.0,,,32-31,,Turnover by Team (shot clock)
0:04.0,S. Curry enters the game for P. McCaw,,32-31,,
0:00.0,S. Curry misses 2-pt shot from 6 ft,,32-31,,
0:00.0,Offensive rebound by Team,,32-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,D. West makes 2-pt shot from 17 ft (assist by D. Green),2,34-31,,
11:19.0,,,34-31,,S. Rodriguez misses 2-pt shot from 15 ft
11:18.0,Defensive rebound by D. Green,,34-31,,
11:08.0,K. Thompson makes 3-pt shot from 27 ft (assist by D. Green),3,37-31,,
11:06.0,,,37-31,,Philadelphia full timeout
10:51.0,,,37-33,2,D. Saric makes 2-pt shot from 18 ft
10:35.0,,,37-33,,Shooting block foul by D. Saric (drawn by D. Green)
10:35.0,D. Green misses free throw 1 of 2,,37-33,,
10:35.0,Offensive rebound by Team,,37-33,,
10:35.0,D. Green misses free throw 2 of 2,,37-33,,
10:35.0,,,37-33,,T. McConnell enters the game for S. Rodriguez
10:35.0,,,37-33,,J. Okafor enters the game for R. Holmes
10:34.0,,,37-33,,Defensive rebound by D. Saric
10:22.0,,,37-33,,Shooting foul by D. West (drawn by G. Henderson)
10:22.0,,,37-34,1,G. Henderson makes free throw 1 of 2
10:22.0,,,37-35,1,G. Henderson makes free throw 2 of 2
10:04.0,K. Thompson misses 2-pt shot from 18 ft,,37-35,,
10:03.0,,,37-35,,Defensive rebound by J. Anderson
9:43.0,,,37-35,,G. Henderson misses 2-pt shot from 2 ft
9:42.0,Defensive rebound by A. Iguodala,,37-35,,
9:33.0,,,37-35,,R. Covington enters the game for D. Saric
9:30.0,K. Thompson makes 2-pt shot from 2 ft (assist by S. Livingston),2,39-35,,
9:16.0,,,39-35,,G. Henderson misses 2-pt shot from 11 ft
9:14.0,Defensive rebound by D. West,,39-35,,
9:11.0,,,39-35,,Personal foul by T. McConnell
9:11.0,K. Thompson makes free throw 1 of 2,1,40-35,,
9:11.0,K. Thompson makes free throw 2 of 2,1,41-35,,
9:11.0,,,40-35,,S. Rodriguez enters the game for T. McConnell
8:49.0,,,41-35,,Turnover by J. Okafor (bad pass)
8:40.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green),2,43-35,,
8:26.0,,,43-35,,Turnover by J. Okafor (lost ball; steal by D. Green)
8:20.0,Shooting foul by J. Anderson (drawn by D. West),,43-35,,
8:20.0,D. West makes free throw 1 of 2,1,44-35,,
8:20.0,D. West makes free throw 2 of 2,1,45-35,,
7:56.0,,,45-35,,Turnover by J. Anderson (lost ball)
7:45.0,D. West misses 2-pt shot from 19 ft,,45-35,,
7:44.0,,,45-35,,Defensive rebound by J. Okafor
7:37.0,,,45-35,,Offensive charge foul by J. Okafor
7:37.0,,,45-35,,Turnover by J. Okafor (offensive foul)
7:37.0,,,45-35,,R. Holmes enters the game for J. Okafor
7:37.0,K. Durant enters the game for D. Green,,45-35,,
7:37.0,P. McCaw enters the game for A. Iguodala,,45-35,,
7:20.0,,,45-35,,Personal foul by R. Covington (drawn by D. West)
7:16.0,Turnover by K. Thompson (bad pass),,45-35,,
7:05.0,,,45-35,,J. Anderson misses 3-pt shot from 26 ft
7:04.0,Defensive rebound by Team,,45-35,,
7:04.0,,,45-35,,Loose ball foul by S. Rodriguez (drawn by S. Livingston)
7:04.0,S. Livingston misses free throw 1 of 2,,45-35,,
7:04.0,Offensive rebound by Team,,45-35,,
7:04.0,S. Livingston makes free throw 2 of 2,1,46-35,,
7:04.0,,,45-35,,D. Saric enters the game for J. Anderson
6:43.0,,,46-37,2,R. Covington makes 2-pt shot from 1 ft (assist by D. Saric)
6:24.0,K. Durant misses 2-pt shot from 18 ft,,46-37,,
6:23.0,,,46-37,,Defensive rebound by G. Henderson
6:17.0,,,46-37,,G. Henderson misses 2-pt shot from 2 ft
6:15.0,,,46-37,,Offensive rebound by G. Henderson
6:10.0,,,46-37,,S. Rodriguez misses 3-pt shot from 28 ft
6:09.0,,,46-37,,Offensive rebound by D. Saric
6:07.0,,,46-40,3,G. Henderson makes 3-pt shot from 26 ft (assist by D. Saric)
6:05.0,Golden State full timeout,,46-40,,
6:05.0,S. Curry enters the game for K. Thompson,,46-40,,
6:05.0,D. Green enters the game for D. West,,46-40,,
5:51.0,S. Curry misses 3-pt shot from 27 ft,,46-40,,
5:49.0,,,46-40,,Defensive rebound by R. Covington
5:42.0,,,46-42,2,R. Holmes makes 2-pt shot from 1 ft (assist by S. Rodriguez)
5:33.0,D. Green misses 2-pt shot from 4 ft (block by R. Holmes),,46-42,,
5:33.0,Offensive rebound by Team,,46-42,,
5:30.0,K. Durant misses 3-pt shot from 26 ft,,46-42,,
5:29.0,,,46-42,,Defensive rebound by S. Rodriguez
5:15.0,,,46-45,3,G. Henderson makes 3-pt shot from 26 ft (assist by D. Saric)
4:51.0,S. Curry makes 2-pt shot from 1 ft,2,48-45,,
4:38.0,,,48-47,2,D. Saric makes 2-pt shot from 1 ft
4:32.0,,,48-47,,Shooting block foul by D. Saric (drawn by K. Durant)
4:32.0,K. Durant makes free throw 1 of 2,1,49-47,,
4:32.0,K. Durant makes free throw 2 of 2,1,50-47,,
4:32.0,,,49-47,,N. Stauskas enters the game for G. Henderson
4:32.0,K. Thompson enters the game for P. McCaw,,49-47,,
4:32.0,A. Iguodala enters the game for S. Livingston,,49-47,,
4:23.0,,,50-47,,Turnover by D. Saric (bad pass; steal by K. Thompson)
4:12.0,Turnover by S. Curry (bad pass; steal by R. Covington),,50-47,,
4:07.0,,,50-49,2,R. Covington makes 2-pt shot from 2 ft (assist by S. Rodriguez)
3:51.0,K. Durant makes 2-pt shot at rim (assist by S. Curry),2,52-49,,
3:34.0,,,52-49,,D. Saric misses 2-pt shot from 5 ft
3:32.0,,,52-49,,Offensive rebound by R. Covington
3:30.0,,,52-49,,R. Holmes misses 2-pt shot from 1 ft
3:28.0,Defensive rebound by Team,,52-49,,
3:18.0,S. Curry misses 2-pt shot from 13 ft,,52-49,,
3:16.0,,,52-49,,Defensive rebound by R. Covington
3:09.0,,,52-49,,D. Saric misses 3-pt shot from 26 ft
3:08.0,Defensive rebound by A. Iguodala,,52-49,,
3:02.0,K. Durant misses 3-pt shot from 28 ft,,52-49,,
3:00.0,Offensive rebound by Team,,52-49,,
3:00.0,,,52-49,,T. Luwawu-Cabarrot enters the game for D. Saric
2:59.0,Shooting foul by N. Stauskas (drawn by K. Thompson),,52-49,,
2:59.0,Official timeout,,52-49,,
2:59.0,K. Thompson makes free throw 1 of 2,1,53-49,,
2:59.0,K. Thompson makes free throw 2 of 2,1,54-49,,
2:47.0,,,54-49,,Shooting foul by K. Thompson (drawn by N. Stauskas)
2:47.0,,,54-49,,N. Stauskas misses free throw 1 of 3
2:47.0,,,54-49,,Offensive rebound by Team
2:47.0,,,54-50,1,N. Stauskas makes free throw 2 of 3
2:47.0,,,54-51,1,N. Stauskas makes free throw 3 of 3
2:30.0,S. Curry misses 3-pt shot from 26 ft,,54-51,,
2:29.0,,,54-51,,Defensive rebound by T. Luwawu-Cabarrot
2:08.0,,,54-54,3,N. Stauskas makes 3-pt shot from 26 ft
1:54.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green),2,56-54,,
1:40.0,,,56-54,,Turnover by R. Covington (bad pass; steal by A. Iguodala)
1:33.0,Shooting foul by T. Luwawu-Cabarrot (drawn by S. Curry),,56-54,,
1:33.0,S. Curry makes free throw 1 of 2,1,57-54,,
1:33.0,S. Curry makes free throw 2 of 2,1,58-54,,
1:21.0,,,58-56,2,R. Holmes makes 2-pt shot at rim (assist by S. Rodriguez)
1:04.0,Shooting foul by R. Holmes (drawn by D. Green),,58-56,,
1:04.0,D. Green makes free throw 1 of 2,1,59-56,,
1:04.0,D. Green misses free throw 2 of 2,,59-56,,
1:04.0,,,59-56,,G. Henderson enters the game for R. Covington
1:02.0,,,59-56,,Defensive rebound by N. Stauskas
0:54.0,,,59-56,,S. Rodriguez misses 3-pt shot from 24 ft
0:52.0,Defensive rebound by A. Iguodala,,59-56,,
