time,LA Clippers,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:41.0,,,0-0,,A. Aminu misses 3-pt shot from 23 ft
12:00.0,Jump ball: D. Jordan vs. M. Plumlee (A. Aminu gains possession),,,,Jump ball: D. Jordan vs. M. Plumlee (A. Aminu gains possession)
11:39.0,,,0-0,,Offensive rebound by M. Plumlee
11:36.0,,,0-0,,A. Aminu misses 3-pt shot from 23 ft
11:36.0,Defensive rebound by Team,,0-0,,
11:36.0,,,0-0,,Loose ball foul by M. Plumlee (drawn by D. Jordan)
11:16.0,C. Paul makes 2-pt shot from 16 ft,2,2-0,,
10:56.0,,,2-0,,M. Harkless misses 3-pt shot from 23 ft
10:55.0,Defensive rebound by D. Jordan,,2-0,,
10:50.0,,,2-0,,Personal foul by A. Aminu (drawn by B. Griffin)
10:45.0,J. Redick makes 2-pt shot from 22 ft (assist by B. Griffin),2,4-0,,
10:23.0,,,4-2,2,D. Lillard makes 2-pt shot from 3 ft
10:03.0,C. Paul misses 3-pt shot from 25 ft,,4-2,,
10:03.0,,,4-2,,Defensive rebound by M. Plumlee
9:52.0,,,4-4,2,M. Plumlee makes 2-pt shot from 19 ft
9:40.0,Turnover by J. Redick (lost ball),,4-4,,
9:31.0,,,4-6,2,M. Harkless makes 2-pt shot from 2 ft (assist by M. Plumlee)
9:06.0,B. Griffin misses 2-pt shot from 3 ft,,4-6,,
9:05.0,,,4-6,,Defensive rebound by A. Aminu
8:55.0,,,4-6,,M. Plumlee misses 2-pt shot from 2 ft
8:54.0,Defensive rebound by L. Mbah a Moute,,4-6,,
8:44.0,,,4-6,,Personal foul by A. Aminu (drawn by B. Griffin)
8:44.0,,,4-6,,A. Crabbe enters the game for A. Aminu
8:29.0,C. Paul misses 2-pt shot from 10 ft,,4-6,,
8:27.0,Offensive rebound by D. Jordan,,4-6,,
8:27.0,D. Jordan misses 2-pt shot from 2 ft (block by M. Plumlee),,4-6,,
8:25.0,,,4-6,,Defensive rebound by D. Lillard
8:21.0,,,4-6,,D. Lillard misses 2-pt shot from 3 ft (block by L. Mbah a Moute)
8:21.0,,,4-6,,Offensive rebound by Team
8:17.0,,,4-6,,Turnover by M. Plumlee (lost ball; steal by C. Paul)
7:52.0,B. Griffin misses 2-pt shot from 3 ft,,4-6,,
