time,Portland,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. K. Towns (G. Dieng gains possession),,,,Jump ball: M. Plumlee vs. K. Towns (G. Dieng gains possession)
11:48.0,,,0-0,,Turnover by K. Towns (bad pass; steal by M. Harkless)
11:37.0,A. Aminu misses 2-pt shot from 5 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by K. Towns
11:31.0,,,0-2,2,Z. LaVine makes 2-pt shot at rim (assist by R. Rubio)
11:10.0,A. Crabbe makes 2-pt shot from 19 ft,2,2-2,,
10:42.0,,,2-2,,K. Towns misses 2-pt shot from 11 ft
10:42.0,Defensive rebound by M. Harkless,,2-2,,
10:36.0,A. Aminu misses 3-pt shot from 25 ft,,2-2,,
10:34.0,,,2-2,,Defensive rebound by G. Dieng
10:18.0,,,2-2,,Turnover by G. Dieng (bad pass; steal by A. Aminu)
10:11.0,A. Aminu misses 2-pt shot from 1 ft,,2-2,,
10:10.0,,,2-2,,Defensive rebound by K. Towns
10:06.0,Personal foul by C. McCollum (drawn by A. Wiggins),,2-2,,
9:58.0,,,2-2,,K. Towns misses 2-pt shot from 16 ft
9:57.0,Defensive rebound by C. McCollum,,2-2,,
9:50.0,C. McCollum misses 2-pt shot from 7 ft,,2-2,,
9:48.0,,,2-2,,Defensive rebound by G. Dieng
9:41.0,Def 3 sec tech foul by A. Crabbe,,2-2,,
9:41.0,,,2-3,1,R. Rubio makes technical free throw
9:24.0,,,2-3,,Z. LaVine misses 3-pt shot from 38 ft
9:23.0,,,2-3,,Offensive rebound by K. Towns
9:14.0,,,2-3,,A. Wiggins misses 2-pt shot from 15 ft
9:13.0,Defensive rebound by A. Aminu,,2-3,,
9:04.0,C. McCollum makes 2-pt shot from 14 ft,2,4-3,,
8:44.0,,,4-3,,R. Rubio misses 2-pt shot from 19 ft
8:43.0,,,4-3,,Offensive rebound by K. Towns
8:31.0,,,4-5,2,K. Towns makes 2-pt shot at rim
8:09.0,M. Harkless misses 3-pt shot from 25 ft,,4-5,,
8:07.0,,,4-5,,Defensive rebound by Z. LaVine
7:54.0,,,4-5,,Z. LaVine misses 2-pt shot from 20 ft
7:53.0,Defensive rebound by M. Harkless,,4-5,,
7:42.0,Shooting foul by K. Towns (drawn by C. McCollum),,4-5,,
7:42.0,C. McCollum makes free throw 1 of 2,1,5-5,,
7:42.0,C. McCollum makes free throw 2 of 2,1,6-5,,
7:36.0,,,6-7,2,K. Towns makes 2-pt shot from 4 ft (assist by R. Rubio)
7:36.0,,,6-7,,Shooting foul by A. Aminu (drawn by K. Towns)
7:36.0,,,6-8,1,K. Towns makes free throw 1 of 1
7:15.0,Shooting foul by A. Wiggins (drawn by M. Harkless),,6-8,,
7:15.0,M. Harkless misses free throw 1 of 2,,6-8,,
7:15.0,Offensive rebound by Team,,6-8,,
7:15.0,M. Harkless makes free throw 2 of 2,1,7-8,,
7:04.0,,,7-8,,K. Towns misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by M. Plumlee,,7-8,,
