time,Boston,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Johnson (A. Horford gains possession),,,,Jump ball: M. Gortat vs. A. Johnson (A. Horford gains possession)
11:39.0,A. Horford makes 2-pt shot from 14 ft,2,2-0,,
11:21.0,,,2-3,3,M. Morris makes 3-pt shot from 25 ft (assist by J. Wall)
10:59.0,A. Bradley misses 2-pt shot from 6 ft,,2-3,,
10:58.0,Offensive rebound by A. Johnson,,2-3,,
10:48.0,A. Horford misses 3-pt shot from 23 ft,,2-3,,
10:47.0,,,2-3,,Defensive rebound by J. Wall
10:40.0,,,2-3,,O. Porter misses 3-pt shot from 25 ft
10:39.0,,,2-3,,Offensive rebound by Team
10:39.0,Loose ball foul by A. Johnson (drawn by M. Gortat),,2-3,,
10:25.0,,,2-3,,M. Morris misses 2-pt shot from 3 ft
10:24.0,,,2-3,,Offensive rebound by O. Porter
10:21.0,,,2-3,,J. Wall misses 3-pt shot from 25 ft
10:20.0,Defensive rebound by J. Crowder,,2-3,,
10:03.0,Turnover by A. Horford (bad pass; steal by M. Morris),,2-3,,
9:56.0,,,2-5,2,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal)
9:38.0,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas),3,5-5,,
9:17.0,,,5-7,2,B. Beal makes 2-pt shot from 5 ft (assist by J. Wall)
9:01.0,A. Bradley misses 2-pt shot at rim,,5-7,,
9:00.0,,,5-7,,Defensive rebound by M. Gortat
8:42.0,,,5-7,,M. Morris misses 2-pt shot from 5 ft
8:41.0,,,5-7,,Offensive rebound by O. Porter
8:32.0,,,5-9,2,B. Beal makes 2-pt shot from 13 ft (assist by O. Porter)
8:13.0,I. Thomas misses 2-pt shot from 8 ft,,5-9,,
8:13.0,,,5-9,,Defensive rebound by M. Morris
7:58.0,,,5-9,,O. Porter misses 2-pt shot from 9 ft
7:57.0,Defensive rebound by A. Horford,,5-9,,
7:52.0,J. Crowder misses 2-pt shot from 13 ft,,5-9,,
7:51.0,,,5-9,,Defensive rebound by M. Gortat
7:44.0,,,5-9,,B. Beal misses 3-pt shot from 28 ft
7:43.0,Defensive rebound by Team,,5-9,,
7:27.0,I. Thomas misses 2-pt shot from 21 ft,,5-9,,
7:27.0,,,5-9,,Defensive rebound by M. Gortat
7:24.0,,,5-9,,Offensive foul by M. Morris
7:24.0,,,5-9,,Turnover by M. Morris (offensive foul)
7:16.0,,,5-9,,Personal foul by M. Gortat (drawn by A. Horford)
7:00.0,J. Crowder misses 2-pt shot from 21 ft,,5-9,,
7:00.0,,,5-9,,Defensive rebound by O. Porter
6:47.0,,,5-9,,J. Wall misses 2-pt shot from 15 ft
6:46.0,Defensive rebound by A. Johnson,,5-9,,
6:37.0,I. Thomas makes 3-pt shot from 23 ft,3,8-9,,
6:33.0,,,8-9,,Turnover by M. Morris (bad pass; steal by A. Bradley)
6:26.0,I. Thomas misses 3-pt shot from 27 ft,,8-9,,
6:25.0,,,8-9,,Defensive rebound by M. Gortat
6:11.0,,,8-11,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
5:58.0,Turnover by I. Thomas (bad pass; steal by O. Porter),,8-11,,
5:54.0,,,8-11,,Shooting foul by I. Thomas (drawn by J. Wall)
5:54.0,,,8-11,,Washington full timeout
5:54.0,,,8-11,,J. Wall misses free throw 1 of 2
5:54.0,,,8-11,,Offensive rebound by Team
5:54.0,,,8-12,1,J. Wall makes free throw 2 of 2
5:54.0,J. Brown enters the game for A. Johnson,,8-11,,
5:41.0,Turnover by A. Horford (traveling),,8-12,,
5:27.0,,,8-12,,Turnover by M. Morris (lost ball; steal by A. Bradley)
5:21.0,A. Bradley makes 2-pt shot at rim (assist by J. Crowder),2,10-12,,
