time,Portland,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:37.0,C. McCollum misses 2-pt shot from 2 ft,,0-0,,
12:00.0,Jump ball: A. Davis vs. J. Nurkic (D. Lillard gains possession),,,,Jump ball: A. Davis vs. J. Nurkic (D. Lillard gains possession)
11:37.0,Offensive rebound by J. Nurkic,,0-0,,
11:37.0,J. Nurkic misses 2-pt shot from 1 ft (block by S. Hill),,0-0,,
11:37.0,Offensive rebound by J. Nurkic,,0-0,,
11:37.0,Jump ball: S. Hill vs. J. Nurkic (D. Lillard gains possession),,,,Jump ball: S. Hill vs. J. Nurkic (D. Lillard gains possession)
11:17.0,J. Nurkic makes 2-pt shot from 20 ft (assist by C. McCollum),2,2-0,,
10:52.0,,,2-0,,D. Cousins misses 2-pt shot from 4 ft
10:52.0,Defensive rebound by C. McCollum,,2-0,,
10:44.0,D. Lillard makes 3-pt shot from 26 ft (assist by C. McCollum),3,5-0,,
10:32.0,,,5-0,,J. Holiday misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by N. Vonleh,,5-0,,
10:16.0,D. Lillard misses 3-pt shot from 27 ft,,5-0,,
10:16.0,,,5-0,,Defensive rebound by W. Selden
10:02.0,,,5-0,,A. Davis misses 2-pt shot from 17 ft
10:01.0,Defensive rebound by N. Vonleh,,5-0,,
9:53.0,Turnover by J. Nurkic (bad pass; steal by D. Cousins),,5-0,,
9:40.0,,,5-3,3,S. Hill makes 3-pt shot from 26 ft (assist by A. Davis)
9:22.0,,,5-3,,Personal foul by J. Holiday (drawn by D. Lillard)
9:09.0,C. McCollum misses 3-pt shot from 25 ft,,5-3,,
9:09.0,,,5-3,,Defensive rebound by A. Davis
8:53.0,,,5-3,,D. Cousins misses 3-pt shot from 26 ft
8:53.0,Defensive rebound by N. Vonleh,,5-3,,
8:48.0,Shooting foul by S. Hill (drawn by D. Lillard),,5-3,,
8:48.0,D. Lillard makes free throw 1 of 2,1,6-3,,
8:48.0,D. Lillard makes free throw 2 of 2,1,7-3,,
8:37.0,,,7-3,,A. Davis misses 2-pt shot from 6 ft
