time,Orlando,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. D. Howard (D. Schroder gains possession),,,,Jump ball: B. Biyombo vs. D. Howard (D. Schroder gains possession)
11:42.0,,,0-3,3,D. Schroder makes 3-pt shot from 25 ft (assist by T. Hardaway)
11:25.0,S. Ibaka makes 3-pt shot from 26 ft (assist by E. Fournier),3,3-3,,
11:14.0,,,3-3,,D. Schroder misses 2-pt shot from 16 ft
11:11.0,,,3-3,,Offensive rebound by D. Howard
11:08.0,,,3-5,2,D. Howard makes 2-pt shot at rim
10:52.0,E. Fournier makes 3-pt shot from 26 ft (assist by B. Biyombo),3,6-5,,
10:38.0,Personal foul by S. Ibaka (drawn by T. Sefolosha),,6-5,,
10:30.0,,,6-5,,P. Millsap misses 2-pt shot from 4 ft (block by B. Biyombo)
10:26.0,Defensive rebound by A. Gordon,,6-5,,
10:19.0,A. Gordon makes 2-pt shot from 5 ft,2,8-5,,
10:08.0,,,8-8,3,T. Hardaway makes 3-pt shot from 26 ft (assist by P. Millsap)
9:42.0,S. Ibaka makes 2-pt shot from 19 ft (assist by D. Augustin),2,10-8,,
9:28.0,,,10-8,,P. Millsap misses 2-pt shot from 7 ft
9:28.0,,,10-8,,Offensive rebound by D. Howard
9:28.0,,,10-10,2,D. Howard makes 2-pt shot from 3 ft (assist by P. Millsap)
9:28.0,,,10-10,,Shooting foul by B. Biyombo (drawn by D. Howard)
9:28.0,,,10-11,1,D. Howard makes free throw 1 of 1
9:16.0,E. Fournier makes 2-pt shot from 12 ft (assist by A. Gordon),2,12-11,,
9:07.0,,,12-11,,Turnover by D. Howard (3 sec)
8:56.0,D. Augustin misses 3-pt shot from 25 ft,,12-11,,
8:55.0,,,12-11,,Defensive rebound by P. Millsap
8:46.0,Personal foul by A. Gordon (drawn by T. Hardaway),,12-11,,
8:34.0,,,12-11,,P. Millsap misses 2-pt shot from 3 ft
8:31.0,,,12-11,,Offensive rebound by T. Sefolosha
8:29.0,,,12-13,2,T. Sefolosha makes 2-pt shot at rim
8:19.0,A. Gordon misses 2-pt shot from 6 ft,,12-13,,
8:16.0,,,12-13,,Defensive rebound by D. Howard
8:09.0,,,12-13,,D. Schroder misses 2-pt shot from 11 ft
8:07.0,Defensive rebound by B. Biyombo,,12-13,,
7:58.0,D. Augustin misses 2-pt shot from 11 ft,,12-13,,
7:56.0,,,12-13,,Defensive rebound by T. Hardaway
7:48.0,,,12-13,,Shooting foul by D. Augustin (drawn by P. Millsap)
7:48.0,,,12-14,1,P. Millsap makes free throw 1 of 2
7:48.0,,,12-15,1,P. Millsap makes free throw 2 of 2
7:36.0,A. Gordon misses 3-pt shot from 26 ft,,12-15,,
7:34.0,,,12-15,,Defensive rebound by P. Millsap
7:24.0,,,12-17,2,D. Howard makes 2-pt shot from 7 ft (assist by D. Schroder)
7:16.0,Orlando full timeout,,12-17,,
6:59.0,S. Ibaka misses 3-pt shot from 26 ft,,12-17,,
6:58.0,,,12-17,,Defensive rebound by D. Howard
6:47.0,,,12-17,,D. Howard misses 2-pt shot from 2 ft
6:46.0,,,12-17,,Offensive rebound by D. Howard
6:44.0,,,12-19,2,D. Howard makes 2-pt shot from 2 ft
6:29.0,S. Ibaka makes 2-pt shot from 19 ft (assist by D. Augustin),2,14-19,,
6:11.0,,,14-22,3,P. Millsap makes 3-pt shot from 25 ft (assist by D. Schroder)
5:59.0,Shooting foul by P. Millsap (drawn by B. Biyombo),,14-22,,
5:59.0,B. Biyombo misses free throw 1 of 2,,14-22,,
5:59.0,Offensive rebound by Team,,14-22,,
5:59.0,B. Biyombo makes free throw 2 of 2,1,15-22,,
5:59.0,,,14-22,,M. Muscala enters the game for D. Howard
5:59.0,E. Payton enters the game for D. Augustin,,14-22,,
5:43.0,,,15-24,2,D. Schroder makes 2-pt shot from 9 ft
5:37.0,J. Green enters the game for B. Biyombo,,15-24,,
5:37.0,,,15-24,,K. Korver enters the game for T. Hardaway
5:34.0,Shooting foul by D. Schroder (drawn by E. Payton),,15-24,,
5:34.0,E. Payton makes 2-pt shot from 3 ft (assist by J. Green),2,17-24,,
5:34.0,E. Payton misses free throw 1 of 1,,17-24,,
5:32.0,,,17-24,,Defensive rebound by T. Sefolosha
5:24.0,,,17-24,,Turnover by T. Sefolosha (bad pass; steal by E. Fournier)
5:16.0,E. Fournier makes 2-pt shot from 4 ft,2,19-24,,
5:06.0,,,19-24,,T. Sefolosha misses 2-pt shot from 2 ft (block by A. Gordon)
5:06.0,,,19-24,,Offensive rebound by Team
4:55.0,,,19-24,,Turnover by P. Millsap (bad pass)
4:43.0,J. Green makes 2-pt shot from 14 ft (assist by E. Payton),2,21-24,,
4:31.0,,,21-24,,D. Schroder misses 2-pt shot from 20 ft
4:29.0,,,21-24,,Offensive rebound by M. Muscala
4:27.0,,,21-26,2,M. Muscala makes 2-pt shot from 4 ft
4:10.0,A. Gordon makes 3-pt shot from 23 ft (assist by E. Payton),3,24-26,,
4:05.0,,,24-26,,Atlanta full timeout
4:05.0,,,24-26,,K. Bazemore enters the game for P. Millsap
4:05.0,,,24-26,,M. Delaney enters the game for D. Schroder
3:57.0,,,24-26,,M. Muscala misses 3-pt shot from 23 ft
3:56.0,Defensive rebound by A. Gordon,,24-26,,
3:51.0,J. Green misses 2-pt shot from 4 ft,,24-26,,
3:49.0,,,24-26,,Defensive rebound by M. Delaney
3:35.0,,,24-26,,M. Delaney misses 3-pt shot from 26 ft
3:35.0,Defensive rebound by Team,,24-26,,
3:35.0,,,24-26,,Loose ball foul by M. Muscala (drawn by J. Green)
3:35.0,D. Rudez enters the game for A. Gordon,,24-26,,
3:19.0,E. Payton makes 3-pt shot from 25 ft (assist by E. Fournier),3,27-26,,
2:56.0,,,27-26,,D. Howard enters the game for T. Sefolosha
2:56.0,B. Biyombo enters the game for S. Ibaka,,27-26,,
2:53.0,,,27-26,,M. Muscala misses 2-pt shot from 12 ft
2:52.0,Defensive rebound by B. Biyombo,,27-26,,
2:35.0,J. Green misses 2-pt shot from 8 ft (block by D. Howard),,27-26,,
2:31.0,Offensive rebound by J. Green,,27-26,,
2:31.0,D. Rudez misses 3-pt shot from 23 ft (block by M. Muscala),,27-26,,
2:31.0,Offensive rebound by D. Rudez,,27-26,,
2:29.0,E. Fournier misses 2-pt shot from 2 ft,,27-26,,
2:20.0,,,27-26,,Defensive rebound by M. Muscala
2:18.0,,,27-26,,Turnover by D. Howard (bad pass; steal by D. Rudez)
2:12.0,E. Fournier makes 2-pt shot from 3 ft (assist by D. Rudez),2,29-26,,
2:08.0,,,29-26,,Shooting foul by B. Biyombo (drawn by M. Delaney)
2:08.0,,,29-27,1,M. Delaney makes free throw 1 of 2
2:08.0,,,29-28,1,M. Delaney makes free throw 2 of 2
1:58.0,E. Payton makes 2-pt shot from 15 ft,2,31-28,,
1:49.0,,,31-28,,Turnover by M. Delaney (bad pass; steal by E. Fournier)
1:43.0,E. Fournier makes 2-pt shot from 3 ft (assist by D. Rudez),2,33-28,,
1:29.0,,,33-28,,K. Bazemore misses 2-pt shot from 7 ft (block by E. Fournier)
1:29.0,Defensive rebound by Team,,33-28,,
1:15.0,D. Rudez misses 3-pt shot from 26 ft,,33-28,,
1:11.0,,,33-28,,Defensive rebound by K. Bazemore
1:06.0,,,33-30,2,M. Muscala makes 2-pt shot at rim (assist by M. Delaney)
0:54.0,E. Fournier misses 3-pt shot from 27 ft,,33-30,,
0:53.0,,,33-30,,Defensive rebound by D. Howard
0:50.0,,,33-30,,Turnover by D. Howard (bad pass)
0:50.0,E. Payton makes 2-pt shot at rim,2,35-30,,
0:40.0,,,35-32,2,M. Delaney makes 2-pt shot from 19 ft
0:26.0,B. Biyombo misses 2-pt shot from 13 ft,,35-32,,
0:25.0,,,35-32,,Defensive rebound by K. Bazemore
0:07.0,,,35-34,2,K. Bazemore makes 2-pt shot from 9 ft
0:00.0,E. Fournier misses 3-pt shot from 27 ft,,35-34,,
0:00.0,Offensive rebound by Team,,35-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,J. Green makes 2-pt shot from 11 ft (assist by D. Rudez),2,37-34,,
11:23.0,,,37-34,,K. Bazemore misses 2-pt shot from 20 ft
11:20.0,,,37-34,,Offensive rebound by D. Howard
11:19.0,,,37-36,2,D. Howard makes 2-pt shot from 1 ft
11:03.0,Shooting foul by K. Korver (drawn by J. Green),,37-36,,
11:03.0,J. Green makes free throw 1 of 2,1,38-36,,
11:03.0,J. Green makes free throw 2 of 2,1,39-36,,
11:03.0,,,38-36,,P. Millsap enters the game for M. Muscala
11:03.0,,,38-36,,T. Hardaway enters the game for K. Bazemore
10:47.0,,,39-36,,Turnover by M. Delaney (bad pass)
10:35.0,E. Payton misses 2-pt shot from 10 ft,,39-36,,
10:34.0,Offensive rebound by E. Payton,,39-36,,
10:32.0,E. Payton makes 2-pt shot from 1 ft,2,41-36,,
10:17.0,,,41-36,,T. Hardaway misses 2-pt shot from 13 ft
10:16.0,,,41-36,,Offensive rebound by T. Hardaway
10:15.0,,,41-38,2,T. Hardaway makes 2-pt shot from 1 ft
9:51.0,B. Biyombo makes 2-pt shot from 3 ft (assist by D. Rudez),2,43-38,,
9:34.0,,,43-38,,Shooting foul by E. Payton (drawn by M. Delaney)
9:34.0,,,43-39,1,M. Delaney makes free throw 1 of 2
9:34.0,,,43-40,1,M. Delaney makes free throw 2 of 2
9:34.0,A. Gordon enters the game for D. Rudez,,43-39,,
9:19.0,J. Green makes 3-pt shot from 25 ft (assist by E. Payton),3,46-40,,
9:06.0,,,46-40,,T. Hardaway misses 2-pt shot from 9 ft
9:05.0,,,46-40,,Offensive rebound by D. Howard
9:04.0,,,46-42,2,D. Howard makes 2-pt shot from 1 ft
8:53.0,,,46-42,,Personal foul by M. Delaney (drawn by E. Payton)
8:53.0,Official timeout,,46-42,,
8:53.0,,,46-42,,D. Schroder enters the game for M. Delaney
8:38.0,A. Gordon misses 3-pt shot from 25 ft,,46-42,,
8:36.0,,,46-42,,Defensive rebound by P. Millsap
8:29.0,,,46-44,2,D. Howard makes 2-pt shot at rim (assist by D. Schroder)
8:12.0,J. Meeks makes 3-pt shot from 25 ft (assist by A. Gordon),3,49-44,,
7:58.0,,,49-44,,Turnover by D. Howard (bad pass; steal by J. Meeks)
7:51.0,A. Gordon makes 2-pt shot from 1 ft (assist by J. Meeks),2,51-44,,
7:44.0,,,51-44,,Atlanta full timeout
7:44.0,,,51-44,,M. Muscala enters the game for D. Howard
7:44.0,S. Ibaka enters the game for B. Biyombo,,51-44,,
7:37.0,,,51-46,2,M. Muscala makes 2-pt shot from 1 ft (assist by D. Schroder)
7:23.0,J. Green misses 3-pt shot from 24 ft,,51-46,,
7:22.0,,,51-46,,Defensive rebound by M. Muscala
7:15.0,,,51-49,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder)
7:00.0,Shooting foul by T. Hardaway (drawn by J. Meeks),,51-49,,
7:00.0,J. Meeks misses free throw 1 of 2,,51-49,,
7:00.0,Offensive rebound by Team,,51-49,,
7:00.0,J. Meeks makes free throw 2 of 2,1,52-49,,
6:50.0,Personal foul by A. Gordon (drawn by K. Korver),,52-49,,
6:45.0,,,52-51,2,T. Hardaway makes 2-pt shot from 5 ft
6:34.0,,,52-51,,Personal foul by M. Muscala (drawn by E. Payton)
6:23.0,J. Meeks makes 2-pt shot from 19 ft (assist by S. Ibaka),2,54-51,,
6:23.0,Shooting foul by T. Hardaway (drawn by J. Meeks),,54-51,,
6:23.0,J. Meeks makes free throw 1 of 1,1,55-51,,
6:11.0,,,55-51,,M. Muscala misses 2-pt shot from 16 ft
6:11.0,,,55-51,,Offensive rebound by Team
6:04.0,,,55-51,,T. Hardaway misses 3-pt shot from 23 ft
6:04.0,Defensive rebound by Team,,55-51,,
5:54.0,S. Ibaka makes 2-pt shot from 15 ft (assist by E. Payton),2,57-51,,
5:45.0,,,57-51,,Turnover by D. Schroder (lost ball; steal by E. Payton)
5:41.0,E. Payton makes 2-pt shot from 1 ft,2,59-51,,
5:22.0,,,59-53,2,D. Schroder makes 2-pt shot at rim
5:09.0,J. Green misses 3-pt shot from 24 ft,,59-53,,
5:08.0,,,59-53,,Defensive rebound by D. Schroder
4:59.0,,,59-53,,M. Muscala misses 2-pt shot from 1 ft
4:57.0,Defensive rebound by S. Ibaka,,59-53,,
4:51.0,S. Ibaka makes 3-pt shot from 25 ft (assist by E. Payton),3,62-53,,
4:27.0,,,62-53,,M. Muscala misses 2-pt shot from 2 ft
4:25.0,Defensive rebound by E. Payton,,62-53,,
4:17.0,S. Ibaka misses 3-pt shot from 25 ft,,62-53,,
4:16.0,,,62-53,,Defensive rebound by P. Millsap
4:13.0,,,62-53,,Turnover by T. Hardaway (bad pass)
4:13.0,,,62-53,,K. Bazemore enters the game for T. Hardaway
4:13.0,Orlando full timeout,,62-53,,
4:13.0,,,62-53,,D. Howard enters the game for P. Millsap
4:13.0,,,62-53,,T. Sefolosha enters the game for K. Korver
4:13.0,D. Augustin enters the game for E. Payton,,62-53,,
4:13.0,E. Fournier enters the game for J. Meeks,,62-53,,
3:55.0,S. Ibaka misses 3-pt shot from 25 ft,,62-53,,
3:54.0,,,62-53,,Defensive rebound by K. Bazemore
3:43.0,,,62-55,2,T. Sefolosha makes 2-pt shot from 17 ft (assist by D. Schroder)
3:19.0,S. Ibaka makes 2-pt shot from 9 ft (assist by E. Fournier),2,64-55,,
2:59.0,,,64-55,,D. Schroder misses 2-pt shot from 10 ft
2:57.0,Defensive rebound by S. Ibaka,,64-55,,
2:52.0,E. Fournier makes 2-pt shot from 3 ft (assist by D. Augustin),2,66-55,,
2:52.0,Shooting foul by K. Bazemore (drawn by E. Fournier),,66-55,,
2:52.0,E. Fournier misses free throw 1 of 1,,66-55,,
2:50.0,,,66-55,,Defensive rebound by D. Howard
2:39.0,,,66-55,,K. Bazemore misses 2-pt shot from 17 ft
2:38.0,,,66-55,,Offensive rebound by D. Howard
2:38.0,,,66-57,2,D. Howard makes 2-pt shot from 1 ft
2:22.0,E. Fournier makes 2-pt shot from 18 ft,2,68-57,,
2:07.0,,,68-57,,Shooting foul by A. Gordon (drawn by T. Sefolosha)
2:07.0,,,68-58,1,T. Sefolosha makes free throw 1 of 2
2:07.0,,,68-59,1,T. Sefolosha makes free throw 2 of 2
2:07.0,E. Payton enters the game for A. Gordon,,68-58,,
1:48.0,J. Green misses 2-pt shot from 13 ft,,68-59,,
1:43.0,,,68-59,,Defensive rebound by T. Sefolosha
1:35.0,,,68-59,,T. Sefolosha misses 3-pt shot from 25 ft
1:32.0,Defensive rebound by E. Payton,,68-59,,
1:30.0,,,68-59,,Personal foul by T. Sefolosha (drawn by S. Ibaka)
1:30.0,S. Ibaka makes free throw 1 of 2,1,69-59,,
1:30.0,S. Ibaka makes free throw 2 of 2,1,70-59,,
1:30.0,,,69-59,,P. Millsap enters the game for M. Muscala
1:10.0,,,70-59,,K. Bazemore misses 3-pt shot from 24 ft
1:08.0,,,70-59,,Offensive rebound by D. Howard
1:00.0,Shooting block foul by S. Ibaka (drawn by K. Bazemore),,70-59,,
1:00.0,,,70-60,1,K. Bazemore makes free throw 1 of 2
1:00.0,,,70-60,,K. Bazemore misses free throw 2 of 2
1:00.0,D. Rudez enters the game for S. Ibaka,,70-60,,
1:00.0,,,70-60,,K. Korver enters the game for D. Howard
0:58.0,Defensive rebound by J. Green,,70-60,,
0:46.0,Orlando full timeout,,70-60,,
0:44.0,Turnover by J. Green (bad pass; steal by T. Sefolosha),,70-60,,
0:39.0,,,70-60,,T. Sefolosha misses 2-pt shot from 2 ft
0:36.0,Defensive rebound by J. Green,,70-60,,
0:22.0,E. Fournier makes 2-pt shot from 5 ft,2,72-60,,
0:03.0,Personal block foul by D. Rudez (drawn by D. Schroder),,72-60,,
0:03.0,,,72-61,1,D. Schroder makes free throw 1 of 2
0:03.0,,,72-62,1,D. Schroder makes free throw 2 of 2
