time,Phoenix,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. M. Plumlee (M. Chriss gains possession),,,,Jump ball: A. Len vs. M. Plumlee (M. Chriss gains possession)
11:47.0,Turnover by T. Warren (lost ball; steal by M. Harkless),,0-0,,
11:42.0,,,0-2,2,M. Plumlee makes 2-pt shot from 1 ft (assist by M. Harkless)
11:19.0,D. Booker makes 2-pt shot from 19 ft,2,2-2,,
10:58.0,,,2-4,2,C. McCollum makes 2-pt shot from 11 ft
10:44.0,A. Len misses 2-pt shot from 5 ft,,2-4,,
10:44.0,,,2-4,,Defensive rebound by M. Plumlee
10:35.0,,,2-4,,D. Lillard misses 2-pt shot from 7 ft
10:35.0,Defensive rebound by A. Len,,2-4,,
10:21.0,A. Len misses 2-pt shot from 20 ft,,2-4,,
10:21.0,,,2-4,,Defensive rebound by D. Lillard
10:07.0,,,2-4,,Turnover by C. McCollum (bad pass)
9:49.0,D. Booker misses 2-pt shot from 19 ft (block by C. McCollum),,2-4,,
9:48.0,,,2-4,,Defensive rebound by C. McCollum
9:42.0,,,2-6,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
9:31.0,T. Warren misses 2-pt shot from 12 ft,,2-6,,
9:30.0,Offensive rebound by T. Warren,,2-6,,
9:28.0,T. Warren makes 2-pt shot from 1 ft,2,4-6,,
9:09.0,,,4-8,2,M. Plumlee makes 2-pt shot from 18 ft (assist by C. McCollum)
9:00.0,E. Bledsoe makes 2-pt shot from 20 ft,2,6-8,,
8:40.0,,,6-10,2,A. Aminu makes 2-pt shot from 2 ft
8:30.0,M. Chriss misses 2-pt shot from 7 ft,,6-10,,
8:29.0,,,6-10,,Defensive rebound by M. Plumlee
8:18.0,,,6-12,2,D. Lillard makes 2-pt shot from 2 ft
8:17.0,Phoenix full timeout,,6-12,,
8:04.0,T. Warren misses 2-pt shot from 13 ft,,6-12,,
8:04.0,,,6-12,,Defensive rebound by M. Harkless
7:57.0,,,6-15,3,C. McCollum makes 3-pt shot from 26 ft (assist by M. Plumlee)
7:52.0,Turnover by E. Bledsoe (bad pass),,6-15,,
7:52.0,,,6-15,,Portland full timeout
7:52.0,,,6-15,,E. Turner enters the game for A. Aminu
7:39.0,,,6-17,2,D. Lillard makes 2-pt shot from 18 ft (assist by M. Plumlee)
7:25.0,D. Booker makes 2-pt shot from 14 ft,2,8-17,,
7:07.0,,,8-19,2,C. McCollum makes 2-pt shot from 11 ft
6:52.0,M. Chriss makes 2-pt shot from 3 ft,2,10-19,,
6:37.0,,,10-22,3,C. McCollum makes 3-pt shot from 25 ft (assist by M. Plumlee)
6:28.0,M. Chriss makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,12-22,,
6:08.0,,,12-24,2,C. McCollum makes 2-pt shot from 9 ft (assist by D. Lillard)
5:53.0,D. Booker misses 2-pt shot from 17 ft,,12-24,,
