time,Cleveland,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. M. Turner (P. George gains possession),,,,Jump ball: T. Thompson vs. M. Turner (P. George gains possession)
11:57.0,,,0-0,,Turnover by P. George (bad pass; steal by D. Liggins)
11:46.0,K. Love misses 3-pt shot from 26 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by M. Turner
11:38.0,,,0-2,2,P. George makes 2-pt shot at rim (assist by J. Teague)
11:12.0,L. James misses 2-pt shot from 17 ft,,0-2,,
11:11.0,Offensive rebound by T. Thompson,,0-2,,
11:08.0,D. Liggins makes 2-pt shot from 3 ft (assist by T. Thompson),2,2-2,,
10:44.0,,,2-4,2,M. Turner makes 2-pt shot from 13 ft (assist by J. Teague)
10:30.0,K. Love misses 3-pt shot from 26 ft,,2-4,,
10:29.0,,,2-4,,Defensive rebound by C. Miles
10:13.0,,,2-4,,M. Turner misses 2-pt shot from 13 ft
10:12.0,Defensive rebound by L. James,,2-4,,
10:01.0,L. James makes 2-pt shot from 16 ft,2,4-4,,
9:42.0,,,4-7,3,C. Miles makes 3-pt shot from 23 ft (assist by P. George)
9:30.0,Turnover by K. Irving (bad pass; steal by J. Teague),,4-7,,
9:22.0,,,4-10,3,C. Miles makes 3-pt shot from 26 ft (assist by J. Teague)
9:03.0,Shooting foul by L. Allen (drawn by K. Love),,4-10,,
9:03.0,K. Love makes free throw 1 of 3,1,5-10,,
9:03.0,K. Love makes free throw 2 of 3,1,6-10,,
9:03.0,K. Love makes free throw 3 of 3,1,7-10,,
8:41.0,,,7-10,,Turnover by M. Turner (bad pass; steal by D. Liggins)
8:32.0,,,7-10,,Personal foul by C. Miles (drawn by D. Liggins)
8:18.0,K. Irving makes 2-pt shot from 20 ft,2,9-10,,
8:01.0,,,9-10,,Turnover by P. George (lost ball; steal by L. James)
7:53.0,D. Liggins makes 3-pt shot from 24 ft (assist by K. Irving),3,12-10,,
7:32.0,,,12-10,,J. Teague misses 3-pt shot from 26 ft
7:31.0,Defensive rebound by T. Thompson,,12-10,,
7:20.0,K. Irving misses 3-pt shot from 24 ft,,12-10,,
7:20.0,,,12-10,,Defensive rebound by M. Turner
7:10.0,,,12-13,3,C. Miles makes 3-pt shot from 28 ft (assist by J. Teague)
6:49.0,Turnover by L. James (lost ball; steal by P. George),,12-13,,
6:44.0,,,12-13,,Turnover by J. Teague (bad pass)
6:39.0,Shooting foul by C. Miles (drawn by K. Love),,12-13,,
6:39.0,K. Love makes free throw 1 of 2,1,13-13,,
6:39.0,K. Love makes free throw 2 of 2,1,14-13,,
6:39.0,,,13-13,,M. Ellis enters the game for C. Miles
6:27.0,,,14-15,2,P. George makes 2-pt shot from 17 ft
6:11.0,L. James misses 2-pt shot from 2 ft,,14-15,,
6:10.0,,,14-15,,Defensive rebound by L. Allen
5:52.0,,,14-17,2,P. George makes 2-pt shot from 18 ft
5:51.0,Cleveland full timeout,,14-17,,
5:48.0,Turnover by K. Irving (bad pass),,14-17,,
5:24.0,,,14-19,2,M. Ellis makes 2-pt shot from 2 ft
5:10.0,D. Liggins misses 3-pt shot from 23 ft,,14-19,,
5:08.0,Offensive rebound by L. James,,14-19,,
5:04.0,L. James misses 2-pt shot from 4 ft,,14-19,,
5:04.0,,,14-19,,Defensive rebound by L. Allen
4:57.0,,,14-22,3,J. Teague makes 3-pt shot from 25 ft (assist by P. George)
4:40.0,Turnover by K. Love (bad pass; steal by M. Ellis),,14-22,,
4:21.0,,,14-24,2,L. Allen makes 2-pt shot from 5 ft (assist by J. Teague)
4:21.0,Cleveland full timeout,,14-24,,
4:21.0,R. Jefferson enters the game for D. Liggins,,14-24,,
4:06.0,K. Irving makes 2-pt shot from 11 ft,2,16-24,,
3:58.0,,,16-24,,Turnover by J. Teague (lost ball; steal by K. Irving)
3:53.0,K. Irving misses 2-pt shot from 4 ft,,16-24,,
3:52.0,,,16-24,,Defensive rebound by P. George
3:44.0,,,16-24,,M. Turner misses 2-pt shot from 4 ft (block by K. Love)
3:43.0,,,16-24,,Offensive rebound by M. Turner
3:39.0,,,16-26,2,L. Allen makes 2-pt shot from 21 ft (assist by J. Teague)
3:19.0,K. Irving misses 3-pt shot from 25 ft,,16-26,,
3:19.0,,,16-26,,Defensive rebound by M. Ellis
3:06.0,,,16-26,,M. Turner misses 3-pt shot from 26 ft
3:05.0,,,16-26,,Offensive rebound by L. Allen
2:58.0,,,16-28,2,L. Allen makes 2-pt shot from 2 ft (assist by M. Ellis)
2:40.0,K. Love makes 2-pt shot from 15 ft,2,18-28,,
2:26.0,,,18-31,3,J. Teague makes 3-pt shot from 26 ft (assist by M. Ellis)
2:07.0,K. Love misses 3-pt shot from 26 ft,,18-31,,
2:07.0,,,18-31,,Defensive rebound by P. George
2:00.0,,,18-33,2,P. George makes 2-pt shot from 19 ft
1:47.0,L. James makes 2-pt shot from 3 ft,2,20-33,,
1:33.0,,,20-33,,L. Allen misses 2-pt shot from 19 ft
1:32.0,,,20-33,,Offensive rebound by L. Allen
1:29.0,,,20-33,,M. Turner misses 2-pt shot from 12 ft
1:28.0,,,20-33,,Offensive rebound by L. Allen
1:25.0,,,20-33,,M. Ellis misses 3-pt shot from 27 ft
1:24.0,Defensive rebound by K. Love,,20-33,,
1:16.0,,,20-33,,Personal foul by P. George (drawn by L. James)
1:16.0,,,20-33,,Indiana full timeout
1:16.0,K. Korver enters the game for L. James,,20-33,,
1:16.0,,,20-33,,A. Jefferson enters the game for P. George
1:16.0,,,20-33,,G. Robinson enters the game for M. Turner
1:11.0,,,20-33,,Def 3 sec tech foul by A. Jefferson
1:11.0,K. Irving makes technical free throw,1,21-33,,
0:58.0,K. Irving makes 2-pt shot from 16 ft,2,23-33,,
0:43.0,,,23-33,,L. Allen misses 2-pt shot from 17 ft
