time,Houston,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:44.0,,,0-0,,K. Korver misses 2-pt shot from 18 ft (block by T. Ariza)
12:00.0,Jump ball: C. Capela vs. D. Howard (D. Schroder gains possession),,,,Jump ball: C. Capela vs. D. Howard (D. Schroder gains possession)
11:42.0,Defensive rebound by E. Gordon,,0-0,,
11:30.0,J. Harden makes 2-pt shot from 1 ft,2,2-0,,
11:19.0,,,2-0,,D. Schroder misses 3-pt shot from 24 ft
11:16.0,Defensive rebound by C. Capela,,2-0,,
11:10.0,,,2-0,,Personal foul by K. Bazemore (drawn by J. Harden)
10:55.0,R. Anderson misses 2-pt shot from 18 ft,,2-0,,
10:52.0,,,2-0,,Defensive rebound by D. Howard
10:42.0,,,2-2,2,P. Millsap makes 2-pt shot from 5 ft
10:32.0,R. Anderson misses 3-pt shot from 26 ft,,2-2,,
10:31.0,,,2-2,,Defensive rebound by D. Schroder
10:27.0,,,2-4,2,P. Millsap makes 2-pt shot from 2 ft (assist by D. Schroder)
10:06.0,,,2-4,,Personal foul by P. Millsap (drawn by J. Harden)
9:53.0,Turnover by C. Capela (lost ball; steal by D. Howard),,2-4,,
9:43.0,,,2-6,2,P. Millsap makes 2-pt shot at rim (assist by K. Bazemore)
9:38.0,J. Harden makes 3-pt shot from 26 ft (assist by T. Ariza),3,5-6,,
9:18.0,,,5-9,3,K. Korver makes 3-pt shot from 25 ft (assist by D. Howard)
9:07.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,7-9,,
8:43.0,,,7-9,,P. Millsap misses 2-pt shot from 17 ft
8:40.0,Defensive rebound by C. Capela,,7-9,,
8:33.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,10-9,,
8:16.0,Personal foul by J. Harden (drawn by K. Bazemore),,10-9,,
8:11.0,,,10-9,,Offensive foul by D. Howard
8:11.0,,,10-9,,Turnover by D. Howard (offensive foul)
8:02.0,E. Gordon misses 3-pt shot from 26 ft,,10-9,,
8:01.0,,,10-9,,Defensive rebound by Team
7:50.0,,,10-9,,D. Schroder misses 2-pt shot from 5 ft
7:48.0,,,10-9,,Offensive rebound by P. Millsap
7:46.0,,,10-9,,Turnover by K. Korver (step out of bounds)
7:36.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,13-9,,
7:20.0,,,13-11,2,D. Howard makes 2-pt shot at rim (assist by D. Schroder)
7:07.0,T. Ariza makes 2-pt shot from 3 ft (assist by J. Harden),2,15-11,,
6:48.0,,,15-11,,K. Bazemore misses 2-pt shot from 7 ft
6:46.0,Defensive rebound by C. Capela,,15-11,,
6:42.0,E. Gordon misses 3-pt shot from 23 ft,,15-11,,
6:41.0,,,15-11,,Defensive rebound by K. Bazemore
6:41.0,Loose ball foul by C. Capela (drawn by K. Bazemore),,15-11,,
6:41.0,N. Hilario enters the game for C. Capela,,15-11,,
6:41.0,,,15-11,,M. Muscala enters the game for D. Howard
6:23.0,,,15-13,2,K. Bazemore makes 2-pt shot from 1 ft
6:12.0,N. Hilario misses 2-pt shot from 3 ft (block by K. Korver),,15-13,,
6:11.0,Offensive rebound by N. Hilario,,15-13,,
6:00.0,E. Gordon misses 2-pt shot from 2 ft,,15-13,,
5:59.0,Offensive rebound by N. Hilario,,15-13,,
5:59.0,N. Hilario misses 2-pt shot from 1 ft,,15-13,,
5:58.0,,,15-13,,Defensive rebound by P. Millsap
5:50.0,,,15-13,,P. Millsap misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by J. Harden,,15-13,,
5:42.0,Turnover by J. Harden (bad pass; steal by P. Millsap),,15-13,,
5:35.0,,,15-16,3,K. Korver makes 3-pt shot from 25 ft (assist by P. Millsap)
5:16.0,R. Anderson misses 3-pt shot from 28 ft,,15-16,,
5:14.0,,,15-16,,Defensive rebound by P. Millsap
5:06.0,Personal block foul by N. Hilario (drawn by D. Schroder),,15-16,,
5:06.0,,,15-16,,Atlanta full timeout
5:06.0,,,15-16,,T. Sefolosha enters the game for K. Bazemore
4:52.0,,,15-16,,P. Millsap misses 2-pt shot from 6 ft
4:51.0,Defensive rebound by N. Hilario,,15-16,,
4:37.0,Turnover by R. Anderson (bad pass; steal by T. Sefolosha),,15-16,,
4:32.0,,,15-18,2,T. Sefolosha makes 2-pt shot at rim
4:18.0,J. Harden misses 2-pt shot at rim,,15-18,,
4:18.0,,,15-18,,Defensive rebound by Team
4:18.0,Loose ball foul by N. Hilario (drawn by T. Sefolosha),,15-18,,
4:18.0,,,15-18,,T. Hardaway enters the game for K. Korver
4:18.0,K. McDaniels enters the game for E. Gordon,,15-18,,
4:06.0,,,15-20,2,D. Schroder makes 2-pt shot at rim
3:52.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,18-20,,
3:43.0,,,18-22,2,P. Millsap makes 2-pt shot at rim (assist by D. Schroder)
3:33.0,J. Harden misses 2-pt shot from 1 ft,,18-22,,
3:33.0,Offensive rebound by N. Hilario,,18-22,,
3:17.0,J. Harden makes 3-pt shot from 25 ft,3,21-22,,
3:06.0,,,21-22,,P. Millsap misses 2-pt shot at rim
3:03.0,,,21-22,,Offensive rebound by P. Millsap
3:02.0,,,21-22,,P. Millsap misses 2-pt shot from 1 ft
3:01.0,Defensive rebound by J. Harden,,21-22,,
2:59.0,Turnover by J. Harden (lost ball; steal by P. Millsap),,21-22,,
2:36.0,,,21-24,2,T. Sefolosha makes 2-pt shot from 22 ft (assist by D. Schroder)
2:22.0,T. Ariza makes 2-pt shot at rim,2,23-24,,
1:58.0,,,23-24,,P. Millsap misses 2-pt shot from 14 ft
1:55.0,Defensive rebound by K. McDaniels,,23-24,,
1:46.0,K. McDaniels makes 2-pt shot from 1 ft (assist by J. Harden),2,25-24,,
1:39.0,,,25-24,,Atlanta full timeout
1:39.0,Houston full timeout,,25-24,,
1:39.0,C. Brewer enters the game for T. Ariza,,25-24,,
1:39.0,M. Harrell enters the game for R. Anderson,,25-24,,
1:39.0,S. Dekker enters the game for N. Hilario,,25-24,,
1:39.0,,,25-24,,D. Howard enters the game for P. Millsap
1:39.0,,,25-24,,M. Delaney enters the game for D. Schroder
1:28.0,Personal foul by K. McDaniels (drawn by D. Howard),,25-24,,
1:28.0,,,25-25,1,D. Howard makes free throw 1 of 2
1:28.0,,,25-25,,D. Howard misses free throw 2 of 2
1:27.0,Defensive rebound by J. Harden,,25-25,,
1:16.0,,,25-25,,Personal foul by M. Muscala (drawn by S. Dekker)
1:11.0,J. Harden misses 3-pt shot from 24 ft,,25-25,,
1:09.0,,,25-25,,Defensive rebound by M. Muscala
1:03.0,,,25-25,,Turnover by M. Delaney (bad pass)
0:52.0,Turnover by S. Dekker (bad pass; steal by T. Sefolosha),,25-25,,
0:41.0,,,25-27,2,D. Howard makes 2-pt shot at rim (assist by T. Hardaway)
0:33.0,K. McDaniels makes 2-pt shot at rim (assist by J. Harden),2,27-27,,
0:25.0,,,27-30,3,M. Muscala makes 3-pt shot from 25 ft (assist by M. Delaney)
0:02.0,,,27-30,,Violation by D. Howard (def goaltending)
0:02.0,J. Harden makes 2-pt shot from 5 ft,2,29-30,,
0:02.0,Shooting foul by M. Muscala (drawn by J. Harden),,29-30,,
0:02.0,J. Harden makes free throw 1 of 1,1,30-30,,
0:00.0,,,30-30,,T. Hardaway misses 3-pt shot from 36 ft
0:00.0,,,30-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,C. Brewer misses 2-pt shot from 10 ft,,30-30,,
11:43.0,,,30-30,,Defensive rebound by M. Muscala
11:36.0,,,30-30,,Turnover by M. Muscala (bad pass; steal by S. Dekker)
11:31.0,S. Dekker misses 2-pt shot from 2 ft,,30-30,,
11:31.0,,,30-30,,Defensive rebound by Team
11:31.0,Loose ball foul by M. Harrell (drawn by M. Muscala),,30-30,,
11:31.0,,,30-30,,K. Korver enters the game for T. Sefolosha
11:17.0,,,30-30,,Offensive charge foul by D. Howard
11:17.0,,,30-30,,Turnover by D. Howard (offensive foul)
11:17.0,,,30-30,,Violation by Team (jump ball)
11:17.0,C. Capela enters the game for M. Harrell,,30-30,,
11:02.0,Turnover by E. Gordon (bad pass; steal by M. Muscala),,30-30,,
10:58.0,,,30-30,,Shooting foul by E. Gordon (drawn by T. Hardaway)
10:58.0,,,30-31,1,T. Hardaway makes free throw 1 of 2
10:58.0,,,30-31,,T. Hardaway misses free throw 2 of 2
10:57.0,Defensive rebound by S. Dekker,,30-31,,
10:49.0,Offensive charge foul by C. Capela,,30-31,,
10:49.0,Turnover by C. Capela (offensive foul),,30-31,,
10:36.0,,,30-31,,Turnover by M. Delaney (bad pass)
