time,Utah,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. R. Lopez (G. Hayward gains possession),,,,Jump ball: R. Gobert vs. R. Lopez (G. Hayward gains possession)
11:49.0,J. Johnson misses 2-pt shot from 11 ft,,0-0,,
11:48.0,,,0-0,,Defensive rebound by J. Butler
11:33.0,,,0-0,,R. Lopez misses 2-pt shot from 6 ft (block by R. Gobert)
11:31.0,Defensive rebound by R. Gobert,,0-0,,
11:15.0,G. Hayward makes 3-pt shot from 23 ft (assist by J. Johnson),3,3-0,,
11:00.0,,,3-0,,Turnover by J. Butler (bad pass)
10:36.0,G. Hill makes 2-pt shot from 2 ft (assist by R. Gobert),2,5-0,,
10:10.0,,,5-2,2,R. Lopez makes 2-pt shot from 5 ft (assist by J. Butler)
9:52.0,R. Gobert misses 2-pt shot from 8 ft (block by R. Lopez),,5-2,,
9:51.0,,,5-2,,Defensive rebound by R. Lopez
9:34.0,,,5-2,,N. Mirotic misses 2-pt shot from 12 ft
9:33.0,Defensive rebound by G. Hill,,5-2,,
9:17.0,G. Hayward misses 3-pt shot from 26 ft,,5-2,,
9:16.0,Offensive rebound by R. Gobert,,5-2,,
9:05.0,J. Ingles makes 2-pt shot from 2 ft,2,7-2,,
8:51.0,,,7-4,2,J. Butler makes 2-pt shot from 2 ft
8:34.0,G. Hayward misses 2-pt shot from 21 ft,,7-4,,
8:33.0,,,7-4,,Defensive rebound by N. Mirotic
8:24.0,,,7-4,,Turnover by R. Rondo (bad pass)
8:06.0,J. Johnson misses 2-pt shot from 7 ft,,7-4,,
8:05.0,Offensive rebound by J. Johnson,,7-4,,
8:05.0,J. Johnson makes 2-pt shot from 2 ft,2,9-4,,
7:51.0,,,9-4,,J. Butler misses 2-pt shot from 13 ft
7:50.0,Defensive rebound by J. Johnson,,9-4,,
7:29.0,G. Hill misses 2-pt shot from 21 ft,,9-4,,
7:28.0,,,9-4,,Defensive rebound by N. Mirotic
7:09.0,,,9-4,,Turnover by R. Rondo (bad pass; steal by G. Hill)
6:58.0,G. Hill makes 3-pt shot from 23 ft (assist by G. Hayward),3,12-4,,
6:55.0,,,12-4,,Chicago full timeout
6:44.0,,,12-4,,Turnover by J. Butler (bad pass; steal by J. Ingles)
6:43.0,,,12-4,,Personal foul by P. Zipser (drawn by G. Hill)
6:28.0,J. Johnson misses 3-pt shot from 25 ft,,12-4,,
6:26.0,,,12-4,,Defensive rebound by R. Rondo
6:21.0,,,12-4,,D. Valentine enters the game for P. Zipser
6:21.0,,,12-4,,R. Rondo misses 3-pt shot from 24 ft
6:20.0,Defensive rebound by R. Gobert,,12-4,,
5:52.0,G. Hill makes 3-pt shot from 27 ft,3,15-4,,
5:38.0,,,15-4,,N. Mirotic misses 3-pt shot from 25 ft
5:37.0,Defensive rebound by J. Ingles,,15-4,,
5:16.0,Turnover by J. Johnson (traveling),,15-4,,
5:16.0,,,15-4,,M. Carter-Williams enters the game for R. Rondo
5:07.0,,,15-4,,J. Butler misses 2-pt shot from 22 ft
5:07.0,Defensive rebound by G. Hill,,15-4,,
4:59.0,Turnover by G. Hill (bad pass; steal by D. Valentine),,15-4,,
4:53.0,,,15-4,,Turnover by N. Mirotic (bad pass; steal by G. Hayward)
4:52.0,Turnover by G. Hayward (bad pass; steal by J. Butler),,15-4,,
4:51.0,,,15-6,2,N. Mirotic makes 2-pt shot from 2 ft (assist by J. Butler)
4:29.0,G. Hayward makes 3-pt shot from 25 ft (assist by R. Gobert),3,18-6,,
4:11.0,,,18-8,2,R. Lopez makes 2-pt shot from 7 ft (assist by J. Butler)
3:46.0,G. Hayward misses 2-pt shot from 13 ft,,18-8,,
3:45.0,,,18-8,,Defensive rebound by D. Valentine
3:33.0,,,18-10,2,R. Lopez makes 2-pt shot from 19 ft (assist by M. Carter-Williams)
3:27.0,Utah full timeout,,18-10,,
