time,Golden State,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. K. Towns (R. Rubio gains possession),,,,Jump ball: Z. Pachulia vs. K. Towns (R. Rubio gains possession)
11:39.0,,,0-0,,A. Wiggins misses 2-pt shot from 21 ft
11:38.0,Defensive rebound by D. Green,,0-0,,
11:29.0,S. Curry misses 2-pt shot from 10 ft,,0-0,,
11:28.0,,,0-0,,Defensive rebound by G. Dieng
11:06.0,,,0-0,,Turnover by K. Towns (lost ball; steal by D. Green)
10:59.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry),2,2-0,,
10:42.0,,,2-2,2,K. Towns makes 2-pt shot from 8 ft (assist by B. Rush)
10:27.0,Turnover by S. Curry (lost ball),,2-2,,
10:12.0,,,2-4,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
10:04.0,K. Thompson misses 2-pt shot from 24 ft,,2-4,,
10:04.0,,,2-4,,Defensive rebound by K. Towns
9:51.0,,,2-4,,R. Rubio misses 2-pt shot from 17 ft
9:50.0,Defensive rebound by D. Green,,2-4,,
9:42.0,K. Thompson makes 2-pt shot from 15 ft,2,4-4,,
9:22.0,,,4-4,,A. Wiggins misses 2-pt shot from 1 ft
9:21.0,Defensive rebound by Z. Pachulia,,4-4,,
9:13.0,K. Thompson makes 2-pt shot from 15 ft,2,6-4,,
8:50.0,,,6-6,2,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio)
8:37.0,S. Curry misses 3-pt shot from 25 ft,,6-6,,
8:36.0,,,6-6,,Defensive rebound by G. Dieng
8:19.0,,,6-6,,B. Rush misses 3-pt shot from 24 ft
8:18.0,Defensive rebound by K. Thompson,,6-6,,
8:14.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Thompson),2,8-6,,
7:58.0,,,8-6,,Turnover by R. Rubio (bad pass; steal by D. Green)
7:57.0,,,8-6,,Personal foul by R. Rubio (drawn by D. Green)
7:48.0,P. McCaw misses 2-pt shot at rim,,8-6,,
7:47.0,,,8-6,,Defensive rebound by K. Towns
7:39.0,,,8-8,2,G. Dieng makes 2-pt shot from 16 ft (assist by R. Rubio)
7:19.0,K. Thompson makes 3-pt shot from 25 ft (assist by P. McCaw),3,11-8,,
7:05.0,,,11-11,3,K. Towns makes 3-pt shot from 25 ft (assist by B. Rush)
6:57.0,,,11-11,,Personal foul by G. Dieng (drawn by Z. Pachulia)
6:56.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,13-11,,
6:50.0,,,13-11,,Minnesota full timeout
6:45.0,Personal foul by D. Green (drawn by K. Towns),,13-11,,
6:30.0,,,13-11,,A. Wiggins misses 2-pt shot from 1 ft
6:28.0,,,13-11,,Offensive rebound by K. Towns
6:28.0,,,13-13,2,K. Towns makes 2-pt shot from 1 ft
