time,Brooklyn,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. C. Zeller (S. Dinwiddie gains possession),,,,Jump ball: B. Lopez vs. C. Zeller (S. Dinwiddie gains possession)
11:33.0,B. Lopez misses 3-pt shot from 30 ft,,0-0,,
11:33.0,Offensive rebound by Team,,0-0,,
11:33.0,Turnover by Team (shot clock),,0-0,,
11:27.0,Personal foul by B. Lopez (drawn by C. Zeller),,0-0,,
11:18.0,,,0-0,,M. Williams misses 3-pt shot from 27 ft
11:17.0,,,0-0,,Offensive rebound by M. Kidd-Gilchrist
11:11.0,,,0-0,,M. Williams misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by T. Booker,,0-0,,
10:56.0,B. Lopez misses 2-pt shot from 12 ft,,0-0,,
10:52.0,,,0-0,,Defensive rebound by M. Williams
10:42.0,,,0-0,,K. Walker misses 2-pt shot from 11 ft
10:41.0,Defensive rebound by T. Booker,,0-0,,
10:30.0,Shooting foul by M. Williams (drawn by B. Bogdanovic),,0-0,,
10:30.0,B. Bogdanovic makes free throw 1 of 2,1,1-0,,
10:30.0,B. Bogdanovic makes free throw 2 of 2,1,2-0,,
10:17.0,,,2-0,,N. Batum misses 2-pt shot from 11 ft
10:16.0,Defensive rebound by S. Kilpatrick,,2-0,,
9:59.0,T. Booker misses 3-pt shot from 23 ft,,2-0,,
9:58.0,Offensive rebound by Team,,2-0,,
9:48.0,B. Lopez makes 2-pt shot from 3 ft (assist by B. Bogdanovic),2,4-0,,
9:21.0,,,4-2,2,N. Batum makes 2-pt shot from 13 ft (assist by M. Williams)
9:04.0,B. Lopez misses 3-pt shot from 23 ft,,4-2,,
9:02.0,,,4-2,,Defensive rebound by N. Batum
8:56.0,,,4-4,2,C. Zeller makes 2-pt shot at rim (assist by M. Kidd-Gilchrist)
8:31.0,Turnover by B. Bogdanovic (bad pass; steal by N. Batum),,4-4,,
8:22.0,,,4-6,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
8:08.0,B. Bogdanovic misses 3-pt shot from 26 ft,,4-6,,
8:06.0,,,4-6,,Defensive rebound by M. Williams
8:02.0,,,4-8,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker)
8:02.0,Brooklyn full timeout,,4-8,,
7:45.0,B. Lopez misses 2-pt shot from 9 ft,,4-8,,
7:44.0,,,4-8,,Defensive rebound by C. Zeller
7:37.0,,,4-8,,K. Walker misses 3-pt shot from 25 ft
7:35.0,Defensive rebound by T. Booker,,4-8,,
7:27.0,,,4-8,,Violation by K. Walker (kicked ball)
7:20.0,Turnover by T. Booker (bad pass),,4-8,,
7:08.0,,,4-10,2,K. Walker makes 2-pt shot from 2 ft
6:46.0,B. Lopez misses 3-pt shot from 23 ft,,4-10,,
6:45.0,,,4-10,,Defensive rebound by N. Batum
6:38.0,,,4-12,2,K. Walker makes 2-pt shot from 16 ft
6:11.0,S. Kilpatrick misses 3-pt shot from 25 ft,,4-12,,
6:08.0,,,4-12,,Defensive rebound by M. Kidd-Gilchrist
5:51.0,,,4-14,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum)
5:36.0,S. Dinwiddie misses 2-pt shot from 18 ft,,4-14,,
5:35.0,,,4-14,,Defensive rebound by C. Zeller
5:17.0,,,4-14,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
5:16.0,Defensive rebound by B. Bogdanovic,,4-14,,
5:09.0,B. Bogdanovic misses 2-pt shot from 1 ft,,4-14,,
5:08.0,,,4-14,,Defensive rebound by M. Williams
4:56.0,,,4-14,,K. Walker misses 3-pt shot from 23 ft
4:55.0,Defensive rebound by S. Dinwiddie,,4-14,,
4:39.0,S. Kilpatrick misses 3-pt shot from 24 ft,,4-14,,
4:37.0,,,4-14,,Defensive rebound by C. Zeller
4:33.0,,,4-14,,Charlotte full timeout
4:33.0,R. Foye enters the game for B. Bogdanovic,,4-14,,
4:33.0,I. Whitehead enters the game for T. Booker,,4-14,,
4:33.0,Q. Acy enters the game for B. Lopez,,4-14,,
4:33.0,R. Hollis-Jefferson enters the game for S. Dinwiddie,,4-14,,
4:33.0,,,4-14,,F. Kaminsky enters the game for M. Williams
4:33.0,,,4-14,,M. Belinelli enters the game for N. Batum
4:23.0,,,4-14,,Shooting foul by S. Kilpatrick (drawn by M. Kidd-Gilchrist)
4:23.0,,,4-15,1,M. Kidd-Gilchrist makes free throw 1 of 2
4:23.0,,,4-16,1,M. Kidd-Gilchrist makes free throw 2 of 2
4:09.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by R. Foye),3,7-16,,
3:56.0,,,7-16,,Turnover by K. Walker (bad pass; steal by Q. Acy)
3:51.0,Turnover by R. Hollis-Jefferson (bad pass; steal by F. Kaminsky),,7-16,,
3:42.0,,,7-16,,Turnover by F. Kaminsky (bad pass; steal by S. Kilpatrick)
3:36.0,R. Foye misses 3-pt shot from 25 ft,,7-16,,
3:34.0,,,7-16,,Defensive rebound by M. Kidd-Gilchrist
3:27.0,,,7-19,3,M. Belinelli makes 3-pt shot from 24 ft (assist by K. Walker)
3:12.0,Q. Acy misses 2-pt shot from 15 ft,,7-19,,
3:11.0,,,7-19,,Defensive rebound by C. Zeller
3:06.0,,,7-19,,Shooting foul by R. Hollis-Jefferson (drawn by C. Zeller)
3:06.0,,,7-20,1,C. Zeller makes free throw 1 of 2
3:06.0,,,7-21,1,C. Zeller makes free throw 2 of 2
3:06.0,C. LeVert enters the game for S. Kilpatrick,,7-20,,
3:06.0,,,7-20,,R. Sessions enters the game for K. Walker
2:49.0,C. LeVert makes 2-pt shot from 11 ft,2,9-21,,
2:30.0,,,9-21,,C. Zeller misses 2-pt shot from 3 ft (block by Q. Acy)
2:28.0,Defensive rebound by R. Hollis-Jefferson,,9-21,,
2:22.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by R. Foye),2,11-21,,
2:06.0,,,11-21,,R. Sessions misses 2-pt shot from 7 ft
2:05.0,Defensive rebound by R. Foye,,11-21,,
1:50.0,Turnover by C. LeVert (bad pass),,11-21,,
1:50.0,,,11-21,,R. Hibbert enters the game for C. Zeller
1:31.0,,,11-23,2,F. Kaminsky makes 2-pt shot from 11 ft
1:12.0,R. Foye misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,11-23,,
1:11.0,,,11-23,,Defensive rebound by M. Kidd-Gilchrist
1:02.0,,,11-26,3,R. Sessions makes 3-pt shot from 25 ft (assist by F. Kaminsky)
0:50.0,C. LeVert misses 3-pt shot from 25 ft,,11-26,,
0:49.0,,,11-26,,Defensive rebound by M. Kidd-Gilchrist
0:37.0,,,11-26,,M. Belinelli misses 2-pt shot from 1 ft
0:35.0,,,11-26,,Offensive rebound by M. Kidd-Gilchrist
0:35.0,,,11-28,2,M. Kidd-Gilchrist makes 2-pt shot at rim
0:35.0,Brooklyn full timeout,,11-28,,
0:26.0,Q. Acy makes 3-pt shot from 24 ft (assist by C. LeVert),3,14-28,,
0:05.0,,,14-28,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
0:03.0,Defensive rebound by R. Hollis-Jefferson,,14-28,,
0:00.0,R. Hollis-Jefferson misses 3-pt shot from 49 ft,,14-28,,
0:00.0,Offensive rebound by Team,,14-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,14-28,,M. Belinelli misses 2-pt shot from 15 ft
11:45.0,Defensive rebound by I. Whitehead,,14-28,,
11:35.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by I. Whitehead),3,17-28,,
11:21.0,,,17-30,2,N. Batum makes 2-pt shot from 7 ft (assist by M. Belinelli)
11:02.0,B. Lopez makes 3-pt shot from 24 ft (assist by R. Foye),3,20-30,,
10:40.0,,,20-32,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by R. Sessions)
10:21.0,R. Foye misses 2-pt shot from 1 ft,,20-32,,
10:20.0,,,20-32,,Defensive rebound by R. Sessions
10:05.0,,,20-32,,F. Kaminsky misses 2-pt shot from 1 ft
10:01.0,Defensive rebound by I. Whitehead,,20-32,,
9:58.0,I. Whitehead misses 2-pt shot from 1 ft,,20-32,,
