time,San Antonio,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. W. Hernangomez (T. Parker gains possession),,,,Jump ball: D. Dedmon vs. W. Hernangomez (T. Parker gains possession)
11:37.0,L. Aldridge misses 3-pt shot from 23 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by D. Rose
11:13.0,,,0-2,2,C. Anthony makes 2-pt shot from 17 ft (assist by K. Porzingis)
10:54.0,K. Leonard misses 3-pt shot from 25 ft,,0-2,,
10:52.0,,,0-2,,Defensive rebound by W. Hernangomez
10:47.0,,,0-4,2,D. Rose makes 2-pt shot from 15 ft
10:26.0,D. Green misses 2-pt shot from 2 ft,,0-4,,
10:24.0,,,0-4,,Defensive rebound by K. Porzingis
10:15.0,,,0-4,,Turnover by D. Rose (bad pass)
10:00.0,L. Aldridge makes 2-pt shot from 14 ft,2,2-4,,
9:46.0,,,2-4,,Turnover by C. Lee (bad pass; steal by D. Dedmon)
9:39.0,K. Leonard makes 2-pt shot from 15 ft (assist by T. Parker),2,4-4,,
9:18.0,,,4-6,2,W. Hernangomez makes 2-pt shot from 4 ft (assist by K. Porzingis)
9:04.0,L. Aldridge misses 2-pt shot from 15 ft,,4-6,,
9:02.0,Offensive rebound by D. Dedmon,,4-6,,
8:46.0,D. Dedmon misses 2-pt shot from 2 ft,,4-6,,
8:44.0,Offensive rebound by L. Aldridge,,4-6,,
8:43.0,L. Aldridge makes 2-pt shot from 1 ft,2,6-6,,
8:32.0,,,6-6,,C. Anthony misses 2-pt shot from 15 ft
8:30.0,Defensive rebound by D. Dedmon,,6-6,,
8:23.0,T. Parker misses 2-pt shot from 17 ft (block by D. Rose),,6-6,,
8:21.0,Offensive rebound by L. Aldridge,,6-6,,
8:20.0,L. Aldridge misses 2-pt shot from 1 ft,,6-6,,
8:18.0,,,6-6,,Defensive rebound by W. Hernangomez
8:16.0,,,6-6,,Shooting foul by T. Parker (drawn by D. Rose)
8:16.0,,,6-7,1,D. Rose makes free throw 1 of 2
8:16.0,,,6-8,1,D. Rose makes free throw 2 of 2
8:02.0,D. Green makes 3-pt shot from 26 ft (assist by T. Parker),3,9-8,,
7:47.0,,,9-11,3,K. Porzingis makes 3-pt shot from 28 ft (assist by C. Anthony)
