time,Miami,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. H. Whiteside (J. McRoberts gains possession),,,,Jump ball: J. Nurkic vs. H. Whiteside (J. McRoberts gains possession)
11:40.0,H. Whiteside makes 2-pt shot from 4 ft,2,2-0,,
11:20.0,Personal foul by L. Babbitt (drawn by D. Gallinari),,2-0,,
11:12.0,,,2-2,2,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay)
11:12.0,,,2-2,,Shooting foul by H. Whiteside (drawn by K. Faried)
11:12.0,,,2-3,1,K. Faried makes free throw 1 of 1
10:58.0,L. Babbitt makes 3-pt shot from 25 ft (assist by J. McRoberts),3,5-3,,
10:40.0,,,5-6,3,J. Nelson makes 3-pt shot from 26 ft
10:15.0,G. Dragic misses 2-pt shot from 19 ft,,5-6,,
10:14.0,,,5-6,,Defensive rebound by J. Nelson
10:04.0,,,5-6,,D. Gallinari misses 2-pt shot at rim
10:04.0,Defensive rebound by L. Babbitt,,5-6,,
9:55.0,L. Babbitt misses 3-pt shot from 25 ft,,5-6,,
9:54.0,,,5-6,,Defensive rebound by E. Mudiay
9:45.0,,,5-6,,K. Faried misses 2-pt shot from 2 ft
9:42.0,Defensive rebound by J. McRoberts,,5-6,,
9:35.0,J. McRoberts misses 2-pt shot at rim (block by K. Faried),,5-6,,
9:33.0,,,5-6,,Defensive rebound by E. Mudiay
9:23.0,,,5-8,2,E. Mudiay makes 2-pt shot from 14 ft
9:05.0,R. McGruder misses 2-pt shot from 14 ft,,5-8,,
9:04.0,Offensive rebound by R. McGruder,,5-8,,
8:58.0,H. Whiteside makes 2-pt shot from 3 ft,2,7-8,,
8:58.0,Shooting foul by J. Nurkic (drawn by H. Whiteside),,7-8,,
8:58.0,H. Whiteside misses free throw 1 of 1,,7-8,,
8:50.0,,,7-8,,Defensive rebound by J. Nurkic
8:44.0,Personal foul by J. McRoberts (drawn by D. Gallinari),,7-8,,
8:37.0,,,7-10,2,D. Gallinari makes 2-pt shot at rim (assist by J. Nurkic)
8:25.0,H. Whiteside misses 2-pt shot from 2 ft,,7-10,,
8:24.0,Offensive rebound by H. Whiteside,,7-10,,
8:21.0,H. Whiteside makes 2-pt shot from 6 ft,2,9-10,,
8:11.0,,,9-12,2,E. Mudiay makes 2-pt shot at rim (assist by K. Faried)
8:00.0,G. Dragic makes 2-pt shot from 7 ft,2,11-12,,
7:47.0,,,11-12,,D. Gallinari misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by H. Whiteside,,11-12,,
7:35.0,G. Dragic misses 2-pt shot from 8 ft,,11-12,,
7:34.0,,,11-12,,Defensive rebound by D. Gallinari
7:28.0,,,11-15,3,J. Nelson makes 3-pt shot from 25 ft (assist by D. Gallinari)
7:10.0,H. Whiteside makes 2-pt shot from 19 ft (assist by G. Dragic),2,13-15,,
7:01.0,,,13-15,,Turnover by J. Nurkic (lost ball; steal by L. Babbitt)
6:41.0,J. McRoberts misses 2-pt shot from 19 ft,,13-15,,
6:40.0,,,13-15,,Defensive rebound by E. Mudiay
6:36.0,,,13-15,,Turnover by E. Mudiay (bad pass; steal by G. Dragic)
6:35.0,,,13-15,,Personal take foul by J. Nelson (drawn by G. Dragic)
6:28.0,Miami full timeout,,13-15,,
6:09.0,G. Dragic makes 2-pt shot from 4 ft,2,15-15,,
5:52.0,,,15-15,,E. Mudiay misses 2-pt shot from 1 ft
5:52.0,,,15-15,,Offensive rebound by K. Faried
5:48.0,,,15-17,2,K. Faried makes 2-pt shot from 2 ft
5:38.0,G. Dragic makes 2-pt shot from 1 ft,2,17-17,,
5:25.0,,,17-17,,K. Faried misses 2-pt shot from 17 ft
5:23.0,,,17-17,,Offensive rebound by Team
5:23.0,Loose ball foul by J. McRoberts (drawn by J. Nurkic),,17-17,,
5:23.0,J. Johnson enters the game for L. Babbitt,,17-17,,
5:23.0,T. Johnson enters the game for J. McRoberts,,17-17,,
5:20.0,,,17-17,,Turnover by J. Nurkic (bad pass; steal by J. Johnson)
5:15.0,G. Dragic misses 2-pt shot from 2 ft (block by K. Faried),,17-17,,
5:14.0,Offensive rebound by Team,,17-17,,
