time,Indiana,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: M. Turner vs. N. Vucevic (E. Payton gains possession)
11:44.0,,,0-2,2,N. Vucevic makes 2-pt shot from 15 ft (assist by E. Payton)
11:22.0,P. George makes 3-pt shot from 25 ft (assist by M. Turner),3,3-2,,
11:08.0,,,3-2,,S. Ibaka misses 2-pt shot from 14 ft
11:06.0,Defensive rebound by C. Miles,,3-2,,
11:00.0,P. George misses 2-pt shot from 6 ft,,3-2,,
10:59.0,,,3-2,,Defensive rebound by N. Vucevic
10:49.0,,,3-4,2,E. Payton makes 2-pt shot from 20 ft
10:40.0,P. George makes 2-pt shot from 9 ft (assist by J. Teague),2,5-4,,
10:25.0,,,5-4,,E. Payton misses 2-pt shot from 5 ft
10:23.0,Defensive rebound by T. Young,,5-4,,
10:09.0,T. Young makes 2-pt shot from 3 ft (assist by J. Teague),2,7-4,,
9:54.0,,,7-4,,E. Payton misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by P. George,,7-4,,
9:36.0,T. Young misses 3-pt shot from 23 ft,,7-4,,
9:35.0,,,7-4,,Defensive rebound by E. Payton
9:21.0,,,7-6,2,N. Vucevic makes 2-pt shot from 12 ft
9:04.0,C. Miles makes 2-pt shot from 17 ft (assist by J. Teague),2,9-6,,
8:51.0,,,9-6,,E. Fournier misses 2-pt shot from 15 ft
8:50.0,Defensive rebound by C. Miles,,9-6,,
8:39.0,J. Teague makes 3-pt shot from 25 ft,3,12-6,,
8:19.0,,,12-6,,A. Gordon misses 3-pt shot from 25 ft
8:17.0,Defensive rebound by T. Young,,12-6,,
8:05.0,T. Young makes 2-pt shot from 17 ft (assist by J. Teague),2,14-6,,
8:04.0,,,14-6,,Orlando full timeout
7:53.0,,,14-6,,N. Vucevic misses 2-pt shot from 18 ft
7:52.0,Defensive rebound by P. George,,14-6,,
7:38.0,T. Young makes 2-pt shot at rim (assist by P. George),2,16-6,,
7:20.0,,,16-6,,N. Vucevic misses 2-pt shot from 12 ft
7:19.0,,,16-6,,Offensive rebound by N. Vucevic
7:15.0,,,16-6,,A. Gordon misses 3-pt shot from 24 ft
7:13.0,Defensive rebound by Team,,16-6,,
6:51.0,T. Young makes 2-pt shot from 9 ft (assist by J. Teague),2,18-6,,
6:41.0,,,18-6,,Shooting foul by C. Miles (drawn by E. Fournier)
6:41.0,,,18-7,1,E. Fournier makes free throw 1 of 2
6:41.0,,,18-8,1,E. Fournier makes free throw 2 of 2
6:28.0,P. George misses 2-pt shot from 8 ft,,18-8,,
6:26.0,,,18-8,,Defensive rebound by S. Ibaka
6:20.0,,,18-8,,Shooting foul by C. Miles (drawn by N. Vucevic)
6:20.0,,,18-8,,N. Vucevic misses free throw 1 of 2
6:20.0,,,18-8,,Offensive rebound by Team
6:20.0,,,18-9,1,N. Vucevic makes free throw 2 of 2
6:20.0,M. Ellis enters the game for C. Miles,,18-8,,
6:06.0,Turnover by M. Ellis (bad pass; steal by E. Fournier),,18-9,,
6:00.0,,,18-11,2,A. Gordon makes 2-pt shot at rim (assist by E. Fournier)
5:44.0,M. Turner makes 2-pt shot from 20 ft (assist by M. Ellis),2,20-11,,
5:30.0,,,20-11,,E. Fournier misses 2-pt shot from 2 ft
5:29.0,Defensive rebound by T. Young,,20-11,,
5:19.0,Shooting foul by E. Payton (drawn by J. Teague),,20-11,,
5:19.0,J. Teague makes free throw 1 of 2,1,21-11,,
5:19.0,J. Teague makes free throw 2 of 2,1,22-11,,
5:10.0,,,22-11,,E. Payton misses 2-pt shot from 2 ft (block by M. Turner)
5:09.0,,,22-11,,Offensive rebound by Team
5:05.0,,,22-14,3,S. Ibaka makes 3-pt shot from 25 ft (assist by E. Fournier)
4:41.0,P. George misses 3-pt shot from 24 ft,,22-14,,
4:40.0,,,22-14,,Defensive rebound by E. Payton
4:32.0,,,22-16,2,E. Payton makes 2-pt shot from 2 ft (assist by N. Vucevic)
4:13.0,P. George misses 2-pt shot from 18 ft,,22-16,,
4:12.0,,,22-16,,Defensive rebound by S. Ibaka
3:59.0,,,22-18,2,A. Gordon makes 2-pt shot from 10 ft
