time,New York,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. J. Noah (P. Millsap gains possession),,,,Jump ball: D. Howard vs. J. Noah (P. Millsap gains possession)
11:46.0,Violation by S. Vujacic (kicked ball),,0-0,,
11:40.0,,,0-0,,D. Schroder misses 2-pt shot from 4 ft
11:38.0,,,0-0,,Offensive rebound by D. Howard
11:38.0,,,0-2,2,D. Howard makes 2-pt shot at rim
11:16.0,C. Anthony misses 3-pt shot from 23 ft,,0-2,,
11:13.0,,,0-2,,Defensive rebound by D. Howard
11:10.0,Personal foul by S. Vujacic (drawn by K. Bazemore),,0-2,,
10:57.0,,,0-5,3,P. Millsap makes 3-pt shot from 25 ft (assist by D. Howard)
10:41.0,D. Rose misses 2-pt shot from 2 ft,,0-5,,
10:40.0,,,0-5,,Defensive rebound by D. Howard
10:35.0,,,0-5,,Turnover by D. Howard (lost ball; steal by J. Noah)
10:26.0,K. Porzingis misses 2-pt shot from 19 ft,,0-5,,
10:24.0,,,0-5,,Defensive rebound by D. Howard
10:04.0,,,0-5,,D. Howard misses 2-pt shot from 21 ft
10:03.0,Defensive rebound by C. Anthony,,0-5,,
9:54.0,C. Anthony misses 2-pt shot from 20 ft,,0-5,,
9:53.0,Offensive rebound by J. Noah,,0-5,,
9:52.0,J. Noah misses 2-pt shot at rim,,0-5,,
9:51.0,,,0-5,,Defensive rebound by D. Howard
9:40.0,,,0-5,,P. Millsap misses 2-pt shot from 1 ft (block by K. Porzingis)
9:40.0,,,0-5,,Offensive rebound by Team
9:38.0,,,0-5,,D. Schroder misses 2-pt shot from 17 ft
9:35.0,Defensive rebound by D. Rose,,0-5,,
9:25.0,Shooting foul by K. Bazemore (drawn by D. Rose),,0-5,,
9:25.0,D. Rose makes free throw 1 of 2,1,1-5,,
9:25.0,D. Rose makes free throw 2 of 2,1,2-5,,
9:09.0,,,2-7,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
8:51.0,J. Noah misses 2-pt shot from 6 ft,,2-7,,
8:50.0,,,2-7,,Defensive rebound by T. Sefolosha
8:42.0,,,2-7,,Shooting foul by J. Noah (drawn by D. Howard)
8:42.0,,,2-7,,D. Howard misses free throw 1 of 2
8:42.0,,,2-7,,Offensive rebound by Team
8:42.0,,,2-8,1,D. Howard makes free throw 2 of 2
8:18.0,C. Anthony makes 3-pt shot from 24 ft (assist by D. Rose),3,5-8,,
7:58.0,,,5-8,,P. Millsap misses 3-pt shot from 25 ft
7:56.0,,,5-8,,Offensive rebound by T. Sefolosha
7:51.0,,,5-8,,T. Sefolosha misses 2-pt shot from 18 ft
7:49.0,Defensive rebound by S. Vujacic,,5-8,,
7:35.0,K. Porzingis misses 2-pt shot from 13 ft,,5-8,,
7:33.0,Offensive rebound by J. Noah,,5-8,,
7:33.0,J. Noah makes 2-pt shot at rim,2,7-8,,
7:24.0,,,7-8,,Turnover by D. Schroder (lost ball)
7:12.0,S. Vujacic misses 2-pt shot from 21 ft,,7-8,,
7:11.0,,,7-8,,Defensive rebound by D. Howard
6:50.0,,,7-10,2,T. Sefolosha makes 2-pt shot from 19 ft (assist by D. Schroder)
6:39.0,D. Rose makes 2-pt shot from 4 ft,2,9-10,,
6:39.0,,,9-10,,Atlanta full timeout
6:39.0,,,9-10,,K. Korver enters the game for T. Sefolosha
6:27.0,,,9-10,,P. Millsap misses 2-pt shot from 6 ft
6:26.0,Defensive rebound by C. Anthony,,9-10,,
6:19.0,K. Porzingis makes 3-pt shot from 26 ft (assist by D. Rose),3,12-10,,
6:03.0,,,12-10,,Turnover by K. Bazemore (bad pass; steal by J. Noah)
5:43.0,C. Anthony makes 2-pt shot from 18 ft,2,14-10,,
5:31.0,,,14-10,,D. Schroder misses 2-pt shot from 11 ft
5:30.0,Defensive rebound by J. Noah,,14-10,,
5:20.0,K. Porzingis misses 3-pt shot from 23 ft,,14-10,,
5:19.0,,,14-10,,Defensive rebound by K. Korver
5:13.0,,,14-13,3,K. Bazemore makes 3-pt shot from 26 ft (assist by D. Schroder)
4:52.0,C. Anthony misses 2-pt shot from 12 ft,,14-13,,
4:50.0,,,14-13,,Defensive rebound by D. Howard
4:44.0,,,14-13,,P. Millsap misses 3-pt shot from 25 ft
4:42.0,,,14-13,,Offensive rebound by D. Howard
4:39.0,,,14-16,3,K. Korver makes 3-pt shot from 25 ft (assist by D. Howard)
4:18.0,S. Vujacic misses 3-pt shot from 24 ft,,14-16,,
4:16.0,Offensive rebound by J. Noah,,14-16,,
4:16.0,Shooting foul by P. Millsap (drawn by J. Noah),,14-16,,
4:16.0,J. Noah makes free throw 1 of 2,1,15-16,,
4:16.0,J. Noah makes free throw 2 of 2,1,16-16,,
4:16.0,,,15-16,,T. Sefolosha enters the game for K. Bazemore
4:16.0,,,15-16,,M. Muscala enters the game for P. Millsap
4:16.0,J. Holiday enters the game for S. Vujacic,,15-16,,
4:04.0,,,16-18,2,D. Schroder makes 2-pt shot from 16 ft
3:48.0,C. Anthony makes 2-pt shot from 13 ft (assist by J. Noah),2,18-18,,
3:41.0,Personal foul by J. Noah (drawn by D. Howard),,18-18,,
3:41.0,K. O'Quinn enters the game for J. Noah,,18-18,,
3:41.0,W. Hernangomez enters the game for K. Porzingis,,18-18,,
3:37.0,,,18-18,,K. Korver misses 2-pt shot from 18 ft
3:36.0,Defensive rebound by C. Anthony,,18-18,,
3:22.0,K. O'Quinn makes 2-pt shot from 19 ft (assist by C. Anthony),2,20-18,,
3:16.0,,,20-20,2,D. Howard makes 2-pt shot at rim (assist by D. Schroder)
2:58.0,D. Rose makes 2-pt shot from 18 ft,2,22-20,,
2:41.0,,,22-20,,Turnover by T. Sefolosha (lost ball)
2:41.0,New York full timeout,,22-20,,
2:41.0,,,22-20,,M. Delaney enters the game for D. Schroder
2:41.0,,,22-20,,K. Humphries enters the game for D. Howard
2:15.0,D. Rose misses 2-pt shot from 10 ft,,22-20,,
2:14.0,,,22-20,,Defensive rebound by K. Humphries
2:08.0,,,22-20,,M. Delaney misses 3-pt shot from 23 ft
2:07.0,Defensive rebound by W. Hernangomez,,22-20,,
2:00.0,,,22-20,,Personal foul by M. Delaney (drawn by W. Hernangomez)
1:55.0,Shooting foul by T. Sefolosha (drawn by C. Anthony),,22-20,,
1:55.0,C. Anthony makes free throw 1 of 2,1,23-20,,
1:55.0,C. Anthony misses free throw 2 of 2,,23-20,,
1:54.0,,,23-20,,Defensive rebound by T. Sefolosha
1:41.0,,,23-20,,Turnover by T. Sefolosha (bad pass; steal by J. Holiday)
1:31.0,C. Anthony misses 2-pt shot from 16 ft,,23-20,,
1:29.0,Offensive rebound by C. Anthony,,23-20,,
1:27.0,C. Anthony makes 2-pt shot from 1 ft,2,25-20,,
1:09.0,,,25-20,,T. Sefolosha misses 3-pt shot from 25 ft
1:07.0,,,25-20,,Offensive rebound by M. Muscala
1:05.0,,,25-20,,Shooting foul by K. O'Quinn (drawn by M. Muscala)
1:05.0,,,25-21,1,T. Sefolosha makes free throw 1 of 2
1:05.0,,,25-22,1,T. Sefolosha makes free throw 2 of 2
0:43.0,J. Holiday misses 3-pt shot from 25 ft,,25-22,,
0:41.0,Offensive rebound by W. Hernangomez,,25-22,,
0:30.0,Turnover by W. Hernangomez (bad pass; steal by M. Muscala),,25-22,,
0:07.0,,,25-22,,T. Sefolosha misses 3-pt shot from 23 ft
0:05.0,Defensive rebound by D. Rose,,25-22,,
0:01.0,D. Rose misses 2-pt shot from 10 ft,,25-22,,
0:01.0,,,25-22,,Defensive rebound by M. Muscala
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,New York full timeout,,25-22,,
11:36.0,B. Jennings makes 2-pt shot from 9 ft,2,27-22,,
11:22.0,,,27-22,,M. Muscala misses 2-pt shot from 16 ft
11:19.0,,,27-22,,Offensive rebound by K. Humphries
11:19.0,,,27-22,,K. Humphries misses 2-pt shot from 1 ft
11:18.0,Defensive rebound by K. O'Quinn,,27-22,,
11:13.0,B. Jennings misses 3-pt shot from 25 ft,,27-22,,
11:10.0,,,27-22,,Defensive rebound by K. Humphries
11:05.0,,,27-22,,T. Hardaway misses 3-pt shot from 24 ft
11:03.0,Defensive rebound by K. O'Quinn,,27-22,,
10:54.0,J. Holiday makes 2-pt shot from 19 ft (assist by W. Hernangomez),2,29-22,,
10:36.0,,,29-24,2,M. Delaney makes 2-pt shot from 19 ft
10:16.0,J. Holiday misses 2-pt shot from 14 ft,,29-24,,
10:14.0,Offensive rebound by Team,,29-24,,
10:06.0,W. Hernangomez misses 2-pt shot from 7 ft,,29-24,,
10:04.0,,,29-24,,Defensive rebound by T. Hardaway
9:55.0,K. Porzingis enters the game for W. Hernangomez,,29-24,,
9:49.0,,,29-24,,K. Humphries misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by B. Jennings,,29-24,,
9:40.0,Turnover by K. Porzingis (bad pass),,29-24,,
9:27.0,,,29-24,,T. Hardaway misses 2-pt shot from 3 ft
9:26.0,,,29-24,,Offensive rebound by K. Humphries
9:25.0,,,29-24,,K. Humphries misses 2-pt shot from 2 ft
9:23.0,Defensive rebound by S. Vujacic,,29-24,,
9:14.0,Turnover by K. O'Quinn (traveling),,29-24,,
9:14.0,,,29-24,,P. Millsap enters the game for K. Humphries
9:14.0,,,29-24,,K. Bazemore enters the game for K. Korver
9:01.0,,,29-24,,Shooting foul by B. Jennings (drawn by M. Delaney)
9:01.0,,,29-26,2,M. Delaney makes 2-pt shot from 18 ft
9:01.0,,,29-26,,M. Delaney misses free throw 1 of 1
8:58.0,Defensive rebound by K. Porzingis,,29-26,,
8:52.0,J. Holiday misses 3-pt shot from 23 ft,,29-26,,
8:51.0,,,29-26,,Defensive rebound by P. Millsap
8:38.0,,,29-26,,K. Bazemore misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by B. Jennings,,29-26,,
8:26.0,K. O'Quinn misses 2-pt shot from 20 ft,,29-26,,
8:26.0,Offensive rebound by K. Porzingis,,29-26,,
8:26.0,,,29-26,,Personal foul by P. Millsap (drawn by K. Porzingis)
8:20.0,K. O'Quinn makes 2-pt shot from 19 ft (assist by B. Jennings),2,31-26,,
8:02.0,,,31-26,,T. Hardaway misses 2-pt shot from 1 ft (block by K. Porzingis)
8:00.0,Defensive rebound by K. O'Quinn,,31-26,,
7:53.0,K. Porzingis makes 3-pt shot from 26 ft (assist by B. Jennings),3,34-26,,
7:46.0,,,34-26,,Atlanta full timeout
7:46.0,,,34-26,,D. Howard enters the game for M. Muscala
7:46.0,,,34-26,,D. Schroder enters the game for T. Hardaway
7:46.0,J. Noah enters the game for K. O'Quinn,,34-26,,
7:33.0,,,34-28,2,D. Schroder makes 2-pt shot from 3 ft
7:29.0,Turnover by B. Jennings (bad pass),,34-28,,
7:22.0,,,34-28,,P. Millsap misses 2-pt shot from 15 ft
7:20.0,,,34-28,,Offensive rebound by P. Millsap
7:19.0,,,34-28,,P. Millsap misses 2-pt shot at rim (block by J. Holiday)
7:18.0,,,34-28,,Offensive rebound by P. Millsap
7:17.0,,,34-30,2,P. Millsap makes 2-pt shot from 1 ft
6:53.0,S. Vujacic misses 2-pt shot from 18 ft,,34-30,,
6:50.0,,,34-30,,Defensive rebound by D. Howard
6:37.0,,,34-32,2,D. Schroder makes 2-pt shot from 19 ft
6:25.0,J. Holiday misses 3-pt shot from 25 ft,,34-32,,
6:23.0,,,34-32,,Defensive rebound by D. Howard
6:16.0,,,34-35,3,D. Schroder makes 3-pt shot from 25 ft (assist by K. Bazemore)
5:56.0,Shooting foul by D. Howard (drawn by K. Porzingis),,34-35,,
5:56.0,K. Porzingis makes free throw 1 of 2,1,35-35,,
5:56.0,K. Porzingis makes free throw 2 of 2,1,36-35,,
5:56.0,,,35-35,,T. Sefolosha enters the game for K. Bazemore
5:56.0,D. Rose enters the game for B. Jennings,,35-35,,
5:56.0,C. Anthony enters the game for J. Holiday,,35-35,,
5:56.0,,,35-35,,K. Bazemore enters the game for M. Delaney
5:42.0,,,36-37,2,D. Schroder makes 2-pt shot from 18 ft
5:27.0,S. Vujacic misses 3-pt shot from 24 ft,,36-37,,
5:24.0,Offensive rebound by D. Rose,,36-37,,
