time,Milwaukee,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Maker (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. T. Maker (V. Oladipo gains possession)
11:45.0,,,0-0,,V. Oladipo misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by G. Antetokounmpo,,0-0,,
11:21.0,K. Middleton misses 2-pt shot from 15 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by R. Westbrook
11:01.0,Violation by T. Maker (def goaltending),,0-0,,
11:01.0,,,0-2,2,T. Gibson makes 2-pt shot from 5 ft
10:51.0,Turnover by T. Maker (bad pass),,0-2,,
10:41.0,Personal foul by T. Maker (drawn by S. Adams),,0-2,,
10:29.0,,,0-2,,S. Adams misses 2-pt shot from 1 ft
10:29.0,Defensive rebound by G. Antetokounmpo,,0-2,,
10:25.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by A. Roberson),,0-2,,
10:25.0,,,0-2,,Defensive rebound by Team
10:03.0,,,0-2,,R. Westbrook misses 2-pt shot from 18 ft
10:02.0,Defensive rebound by K. Middleton,,0-2,,
9:50.0,T. Maker makes 2-pt shot from 1 ft (assist by T. Snell),2,2-2,,
9:27.0,,,2-2,,Turnover by V. Oladipo (bad pass; steal by M. Dellavedova)
9:23.0,,,2-2,,Shooting block foul by V. Oladipo (drawn by G. Antetokounmpo)
9:23.0,G. Antetokounmpo makes free throw 1 of 2,1,3-2,,
9:23.0,G. Antetokounmpo misses free throw 2 of 2,,3-2,,
9:22.0,,,3-2,,Defensive rebound by R. Westbrook
9:04.0,,,3-5,3,R. Westbrook makes 3-pt shot from 24 ft (assist by S. Adams)
8:42.0,T. Maker misses 3-pt shot from 25 ft,,3-5,,
8:41.0,,,3-5,,Defensive rebound by R. Westbrook
8:30.0,,,3-5,,A. Roberson misses 3-pt shot from 24 ft
8:30.0,,,3-5,,Offensive rebound by R. Westbrook
8:23.0,,,3-5,,Turnover by S. Adams (bad pass)
8:10.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,3-5,,
8:09.0,Offensive rebound by G. Antetokounmpo,,3-5,,
8:09.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,3-5,,
8:08.0,,,3-5,,Defensive rebound by S. Adams
8:02.0,,,3-7,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:48.0,,,3-7,,Personal foul by R. Westbrook (drawn by G. Antetokounmpo)
7:43.0,M. Dellavedova misses 2-pt shot from 24 ft,,3-7,,
7:43.0,,,3-7,,Defensive rebound by A. Roberson
7:29.0,,,3-7,,V. Oladipo misses 3-pt shot from 26 ft
7:29.0,,,3-7,,Offensive rebound by Team
7:29.0,Loose ball foul by T. Maker (drawn by S. Adams),,3-7,,
7:29.0,G. Monroe enters the game for T. Maker,,3-7,,
7:20.0,,,3-7,,Turnover by V. Oladipo (lost ball; steal by T. Snell)
7:15.0,T. Snell misses 2-pt shot at rim (block by A. Roberson),,3-7,,
7:14.0,,,3-7,,Defensive rebound by R. Westbrook
7:08.0,,,3-7,,Turnover by R. Westbrook (bad pass; steal by K. Middleton)
7:03.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,5-7,,
6:50.0,,,5-7,,Shooting foul by K. Middleton (drawn by R. Westbrook)
6:50.0,,,5-8,1,R. Westbrook makes free throw 1 of 2
6:50.0,,,5-9,1,R. Westbrook makes free throw 2 of 2
6:30.0,G. Monroe misses 2-pt shot from 5 ft,,5-9,,
6:29.0,,,5-9,,Defensive rebound by R. Westbrook
6:21.0,,,5-11,2,S. Adams makes 2-pt shot at rim (assist by A. Roberson)
6:20.0,Milwaukee full timeout,,5-11,,
6:08.0,T. Snell makes 2-pt shot from 16 ft (assist by M. Dellavedova),2,7-11,,
5:53.0,,,7-11,,V. Oladipo misses 3-pt shot from 24 ft
5:52.0,,,7-11,,Offensive rebound by Team
5:52.0,Loose ball foul by G. Monroe (drawn by S. Adams),,7-11,,
5:52.0,,,7-11,,A. Abrines enters the game for V. Oladipo
5:52.0,J. Terry enters the game for M. Dellavedova,,7-11,,
5:39.0,,,7-11,,Turnover by R. Westbrook (lost ball; steal by T. Snell)
5:32.0,,,7-11,,E. Kanter enters the game for S. Adams
5:21.0,K. Middleton makes 2-pt shot from 1 ft,2,9-11,,
5:07.0,,,9-11,,A. Roberson misses 3-pt shot from 23 ft
5:06.0,Defensive rebound by G. Monroe,,9-11,,
4:52.0,G. Antetokounmpo makes 2-pt shot at rim,2,11-11,,
4:39.0,,,11-11,,E. Kanter misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
4:38.0,Defensive rebound by T. Snell,,11-11,,
4:29.0,K. Middleton misses 2-pt shot from 9 ft,,11-11,,
4:28.0,,,11-11,,Defensive rebound by T. Gibson
4:24.0,,,11-13,2,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook)
4:24.0,,,11-13,,Shooting foul by T. Snell (drawn by E. Kanter)
4:24.0,,,11-14,1,E. Kanter makes free throw 1 of 1
4:24.0,,,11-13,,J. Grant enters the game for T. Gibson
4:15.0,Shooting foul by J. Grant (drawn by G. Antetokounmpo),,11-14,,
4:15.0,G. Antetokounmpo makes free throw 1 of 2,1,12-14,,
4:15.0,G. Antetokounmpo makes free throw 2 of 2,1,13-14,,
4:06.0,,,13-14,,R. Westbrook misses 2-pt shot from 15 ft
4:05.0,Defensive rebound by G. Monroe,,13-14,,
3:52.0,Turnover by G. Antetokounmpo (bad pass; steal by A. Roberson),,13-14,,
3:49.0,,,13-16,2,R. Westbrook makes 2-pt shot at rim (assist by A. Roberson)
3:26.0,G. Monroe makes 2-pt shot from 4 ft,2,15-16,,
3:11.0,,,15-16,,A. Abrines misses 3-pt shot from 23 ft
3:10.0,Defensive rebound by G. Antetokounmpo,,15-16,,
3:05.0,Shooting foul by J. Grant (drawn by G. Antetokounmpo),,15-16,,
3:05.0,G. Antetokounmpo misses free throw 1 of 2,,15-16,,
3:05.0,Offensive rebound by Team,,15-16,,
3:05.0,G. Antetokounmpo makes free throw 2 of 2,1,16-16,,
3:05.0,M. Teletovic enters the game for K. Middleton,,15-16,,
2:43.0,,,16-16,,R. Westbrook misses 2-pt shot from 9 ft
2:43.0,,,16-16,,Offensive rebound by E. Kanter
2:42.0,,,16-18,2,E. Kanter makes 2-pt shot from 1 ft
2:17.0,M. Teletovic misses 3-pt shot from 25 ft,,16-18,,
2:15.0,Offensive rebound by G. Antetokounmpo,,16-18,,
2:15.0,G. Antetokounmpo misses 2-pt shot at rim,,16-18,,
2:15.0,Offensive rebound by G. Antetokounmpo,,16-18,,
2:08.0,Turnover by G. Monroe (lost ball; steal by A. Roberson),,16-18,,
2:03.0,,,16-18,,Oklahoma City full timeout
2:03.0,,,16-18,,S. Christon enters the game for R. Westbrook
2:03.0,G. Payton enters the game for T. Snell,,16-18,,
1:47.0,,,16-21,3,A. Abrines makes 3-pt shot from 23 ft (assist by S. Christon)
1:32.0,G. Payton makes 2-pt shot from 1 ft,2,18-21,,
1:13.0,,,18-23,2,E. Kanter makes 2-pt shot from 4 ft
0:56.0,G. Payton makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,20-23,,
0:56.0,Shooting foul by E. Kanter (drawn by G. Payton),,20-23,,
0:56.0,G. Payton misses free throw 1 of 1,,20-23,,
0:56.0,,,20-23,,Defensive rebound by A. Roberson
0:56.0,,,20-23,,D. Sabonis enters the game for J. Grant
0:43.0,,,20-25,2,E. Kanter makes 2-pt shot from 1 ft (assist by D. Sabonis)
0:31.0,M. Teletovic misses 2-pt shot from 2 ft,,20-25,,
0:31.0,Offensive rebound by G. Monroe,,20-25,,
0:27.0,Jump ball: S. Christon vs. G. Monroe (M. Teletovic gains possession),,,,Jump ball: S. Christon vs. G. Monroe (M. Teletovic gains possession)
0:10.0,G. Antetokounmpo misses 2-pt shot at rim (block by A. Abrines),,20-25,,
0:08.0,,,20-25,,Defensive rebound by S. Christon
0:01.0,,,20-28,3,A. Abrines makes 3-pt shot from 23 ft (assist by A. Roberson)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Turnover by G. Monroe (lost ball; steal by E. Kanter),,20-28,,
11:23.0,,,20-28,,E. Kanter misses 2-pt shot from 4 ft
11:22.0,Defensive rebound by M. Teletovic,,20-28,,
11:08.0,J. Terry misses 2-pt shot from 2 ft,,20-28,,
11:06.0,,,20-28,,Defensive rebound by E. Kanter
11:00.0,Violation by K. Middleton (kicked ball),,20-28,,
10:53.0,,,20-28,,Shooting foul by G. Monroe (drawn by S. Christon)
10:53.0,,,20-29,1,S. Christon makes free throw 1 of 2
10:53.0,,,20-30,1,S. Christon makes free throw 2 of 2
10:53.0,M. Dellavedova enters the game for J. Terry,,20-29,,
10:53.0,S. Hawes enters the game for G. Monroe,,20-29,,
10:39.0,K. Middleton misses 2-pt shot from 3 ft,,20-30,,
10:38.0,,,20-30,,Defensive rebound by D. Sabonis
10:31.0,,,20-32,2,S. Christon makes 2-pt shot from 1 ft (assist by V. Oladipo)
10:13.0,K. Middleton makes 2-pt shot from 4 ft,2,22-32,,
9:59.0,,,22-32,,D. Sabonis misses 2-pt shot from 1 ft
9:58.0,,,22-32,,Offensive rebound by E. Kanter
9:58.0,,,22-34,2,E. Kanter makes 2-pt shot from 1 ft
9:44.0,S. Hawes misses 3-pt shot from 25 ft,,22-34,,
9:44.0,,,22-34,,Defensive rebound by D. Sabonis
9:28.0,,,22-37,3,A. Abrines makes 3-pt shot from 22 ft (assist by S. Christon)
9:27.0,Milwaukee full timeout,,22-37,,
9:14.0,Turnover by K. Middleton (lost ball; steal by V. Oladipo),,22-37,,
9:10.0,,,22-40,3,A. Abrines makes 3-pt shot from 25 ft (assist by V. Oladipo)
8:43.0,M. Dellavedova makes 2-pt shot from 5 ft,2,24-40,,
8:25.0,,,24-40,,Turnover by A. Abrines (bad pass; steal by G. Payton)
8:19.0,G. Payton misses 2-pt shot from 2 ft,,24-40,,
8:18.0,,,24-40,,Defensive rebound by E. Kanter
8:04.0,,,24-40,,S. Christon misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by K. Middleton,,24-40,,
7:44.0,S. Hawes makes 3-pt shot from 24 ft (assist by G. Payton),3,27-40,,
7:43.0,,,27-40,,Oklahoma City full timeout
7:43.0,,,27-40,,R. Westbrook enters the game for E. Kanter
7:43.0,,,27-40,,S. Adams enters the game for S. Christon
7:43.0,T. Snell enters the game for G. Payton,,27-40,,
7:33.0,,,27-43,3,V. Oladipo makes 3-pt shot from 25 ft (assist by R. Westbrook)
7:10.0,K. Middleton misses 3-pt shot from 25 ft,,27-43,,
7:10.0,,,27-43,,Defensive rebound by R. Westbrook
7:03.0,,,27-43,,D. Sabonis misses 2-pt shot from 2 ft
7:02.0,Defensive rebound by M. Teletovic,,27-43,,
6:53.0,S. Hawes makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,29-43,,
6:37.0,,,29-43,,A. Abrines misses 3-pt shot from 24 ft
6:37.0,Defensive rebound by T. Snell,,29-43,,
6:22.0,S. Hawes misses 3-pt shot from 23 ft,,29-43,,
6:22.0,,,29-43,,Defensive rebound by A. Abrines
6:14.0,,,29-43,,Turnover by R. Westbrook (bad pass; steal by T. Snell)
6:08.0,M. Teletovic misses 2-pt shot from 2 ft (block by D. Sabonis),,29-43,,
6:08.0,,,29-43,,Defensive rebound by Team
6:08.0,,,29-43,,T. Gibson enters the game for A. Abrines
6:08.0,,,29-43,,A. Roberson enters the game for D. Sabonis
6:08.0,G. Antetokounmpo enters the game for M. Teletovic,,29-43,,
5:53.0,Violation by K. Middleton (kicked ball),,29-43,,
5:48.0,Violation by S. Hawes (def goaltending),,29-43,,
5:48.0,,,29-45,2,R. Westbrook makes 2-pt shot from 1 ft
5:30.0,S. Hawes misses 2-pt shot from 8 ft,,29-45,,
5:29.0,Offensive rebound by S. Hawes,,29-45,,
5:28.0,S. Hawes makes 2-pt shot from 2 ft,2,31-45,,
5:17.0,,,31-45,,R. Westbrook misses 2-pt shot from 2 ft
5:16.0,,,31-45,,Offensive rebound by S. Adams
5:16.0,,,31-47,2,S. Adams makes 2-pt shot from 1 ft
