time,Sacramento,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. M. Plumlee (D. Collison gains possession),,,,Jump ball: K. Koufos vs. M. Plumlee (D. Collison gains possession)
11:38.0,D. Cousins makes 2-pt shot from 21 ft (assist by D. Collison),2,2-0,,
11:23.0,,,2-0,,M. Harkless misses 2-pt shot at rim
11:22.0,Defensive rebound by D. Cousins,,2-0,,
11:13.0,D. Collison misses 2-pt shot from 22 ft,,2-0,,
11:12.0,,,2-0,,Defensive rebound by M. Plumlee
11:03.0,,,2-0,,Turnover by C. McCollum (lost ball; steal by B. McLemore)
10:50.0,D. Cousins misses 2-pt shot from 17 ft,,2-0,,
10:50.0,,,2-0,,Defensive rebound by A. Aminu
10:41.0,,,2-3,3,A. Crabbe makes 3-pt shot from 23 ft (assist by A. Aminu)
10:18.0,D. Cousins misses 2-pt shot from 20 ft,,2-3,,
10:17.0,,,2-3,,Defensive rebound by C. McCollum
10:08.0,,,2-3,,Turnover by M. Plumlee (bad pass; steal by B. McLemore)
10:03.0,Shooting foul by A. Crabbe (drawn by D. Collison),,2-3,,
10:03.0,D. Collison makes free throw 1 of 2,1,3-3,,
10:03.0,D. Collison makes free throw 2 of 2,1,4-3,,
9:51.0,,,4-3,,Turnover by M. Harkless (traveling)
9:34.0,B. McLemore misses 2-pt shot from 20 ft,,4-3,,
9:33.0,,,4-3,,Defensive rebound by M. Plumlee
9:24.0,,,4-5,2,C. McCollum makes 2-pt shot from 16 ft
8:57.0,D. Collison misses 2-pt shot from 14 ft,,4-5,,
8:56.0,Offensive rebound by K. Koufos,,4-5,,
8:55.0,K. Koufos makes 2-pt shot from 1 ft,2,6-5,,
8:42.0,,,6-5,,Shooting foul by M. Barnes (drawn by C. McCollum)
8:42.0,,,6-6,1,C. McCollum makes free throw 1 of 2
8:42.0,,,6-6,,C. McCollum misses free throw 2 of 2
8:42.0,Defensive rebound by K. Koufos,,6-6,,
8:24.0,D. Cousins misses 2-pt shot from 9 ft,,6-6,,
8:24.0,Offensive rebound by Team,,6-6,,
8:19.0,B. McLemore misses 3-pt shot from 26 ft,,6-6,,
8:18.0,,,6-6,,Defensive rebound by M. Plumlee
