time,Orlando,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. N. Vucevic (S. Ibaka gains possession),,,,Jump ball: J. Valanciunas vs. N. Vucevic (S. Ibaka gains possession)
11:35.0,,,0-0,,J. Valanciunas misses 2-pt shot from 6 ft
11:33.0,,,0-0,,Offensive rebound by Team
11:26.0,,,0-0,,C. Joseph misses 2-pt shot from 20 ft
11:25.0,Defensive rebound by T. Ross,,0-0,,
11:09.0,T. Ross makes 2-pt shot from 15 ft (assist by N. Vucevic),2,2-0,,
11:09.0,Shooting foul by D. DeRozan (drawn by T. Ross),,2-0,,
11:09.0,T. Ross makes free throw 1 of 1,1,3-0,,
10:54.0,,,3-0,,Turnover by D. DeRozan (bad pass; steal by A. Gordon)
10:53.0,,,3-0,,Clear path foul by P. Tucker
10:53.0,A. Gordon makes clear path free throw 1 of 2,1,4-0,,
10:53.0,A. Gordon makes clear path free throw 2 of 2,1,5-0,,
10:36.0,T. Ross makes 2-pt shot from 10 ft,2,7-0,,
10:29.0,,,7-2,2,D. DeRozan makes 2-pt shot from 2 ft
10:18.0,A. Gordon makes 2-pt shot at rim,2,9-2,,
10:07.0,,,9-4,2,D. DeRozan makes 2-pt shot from 4 ft
9:55.0,T. Ross makes 2-pt shot from 20 ft (assist by N. Vucevic),2,11-4,,
9:36.0,,,11-6,2,C. Joseph makes 2-pt shot from 9 ft
9:23.0,T. Ross misses 2-pt shot from 21 ft,,11-6,,
9:22.0,,,11-6,,Defensive rebound by P. Tucker
9:13.0,,,11-8,2,P. Tucker makes 2-pt shot from 4 ft (assist by C. Joseph)
9:02.0,E. Fournier makes 2-pt shot from 2 ft,2,13-8,,
8:56.0,,,13-8,,Toronto full timeout
8:42.0,,,13-8,,D. DeRozan misses 2-pt shot from 16 ft
8:41.0,Defensive rebound by N. Vucevic,,13-8,,
8:35.0,E. Payton misses 2-pt shot from 3 ft (block by C. Joseph),,13-8,,
8:34.0,,,13-8,,Defensive rebound by C. Joseph
8:22.0,Personal foul by E. Payton (drawn by J. Valanciunas),,13-8,,
8:07.0,,,13-8,,D. DeRozan misses 2-pt shot from 21 ft
8:06.0,Defensive rebound by N. Vucevic,,13-8,,
8:00.0,A. Gordon misses 2-pt shot from 2 ft,,13-8,,
7:59.0,,,13-8,,Defensive rebound by J. Valanciunas
7:47.0,,,13-11,3,D. DeRozan makes 3-pt shot from 24 ft (assist by C. Joseph)
7:26.0,A. Gordon misses 2-pt shot from 5 ft,,13-11,,
7:25.0,Offensive rebound by A. Gordon,,13-11,,
7:24.0,A. Gordon makes 2-pt shot at rim,2,15-11,,
7:14.0,,,15-11,,Turnover by D. DeRozan (bad pass; steal by T. Ross)
7:13.0,Turnover by T. Ross (bad pass),,15-11,,
7:11.0,,,15-13,2,D. DeRozan makes 2-pt shot from 3 ft (assist by C. Joseph)
6:59.0,N. Vucevic misses 2-pt shot from 20 ft,,15-13,,
6:58.0,,,15-13,,Defensive rebound by S. Ibaka
6:39.0,,,15-13,,S. Ibaka misses 2-pt shot from 2 ft
6:39.0,,,15-13,,Offensive rebound by S. Ibaka
6:36.0,Personal foul by T. Ross (drawn by J. Valanciunas),,15-13,,
6:29.0,,,15-13,,Turnover by C. Joseph (bad pass)
6:10.0,E. Fournier makes 3-pt shot from 24 ft (assist by N. Vucevic),3,18-13,,
5:50.0,,,18-15,2,J. Valanciunas makes 2-pt shot at rim (assist by C. Joseph)
5:36.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,20-15,,
5:14.0,,,20-17,2,S. Ibaka makes 2-pt shot from 5 ft (assist by C. Joseph)
5:08.0,E. Payton makes 2-pt shot from 1 ft,2,22-17,,
4:54.0,,,22-20,3,P. Tucker makes 3-pt shot from 23 ft (assist by C. Joseph)
4:44.0,Turnover by E. Payton (bad pass; steal by P. Tucker),,22-20,,
4:39.0,,,22-20,,P. Tucker misses 2-pt shot from 3 ft
4:39.0,Defensive rebound by N. Vucevic,,22-20,,
4:33.0,E. Payton misses 3-pt shot from 24 ft,,22-20,,
4:32.0,,,22-20,,Defensive rebound by P. Tucker
4:24.0,,,22-22,2,D. DeRozan makes 2-pt shot from 2 ft
4:24.0,Orlando full timeout,,22-22,,
4:24.0,,,22-22,,P. Patterson enters the game for S. Ibaka
4:24.0,,,22-22,,J. Poeltl enters the game for J. Valanciunas
4:10.0,T. Ross makes 2-pt shot at rim (assist by E. Payton),2,24-22,,
3:54.0,,,24-22,,Shooting foul by T. Ross (drawn by D. DeRozan)
3:54.0,,,24-23,1,D. DeRozan makes free throw 1 of 2
3:54.0,,,24-24,1,D. DeRozan makes free throw 2 of 2
3:54.0,M. Hezonja enters the game for T. Ross,,24-23,,
3:54.0,,,24-23,,D. Wright enters the game for P. Tucker
3:36.0,A. Gordon misses 2-pt shot at rim,,24-24,,
3:36.0,,,24-24,,Defensive rebound by Team
3:30.0,,,24-24,,J. Poeltl misses 2-pt shot from 2 ft (block by E. Payton)
3:30.0,,,24-24,,Offensive rebound by Team
3:21.0,,,24-26,2,J. Poeltl makes 2-pt shot from 1 ft (assist by C. Joseph)
3:07.0,Shooting foul by D. Wright (drawn by E. Payton),,24-26,,
3:07.0,E. Payton misses free throw 1 of 2,,24-26,,
3:07.0,Offensive rebound by Team,,24-26,,
3:07.0,E. Payton makes free throw 2 of 2,1,25-26,,
3:07.0,J. Meeks enters the game for E. Fournier,,24-26,,
3:07.0,B. Biyombo enters the game for N. Vucevic,,24-26,,
3:07.0,,,24-26,,N. Powell enters the game for C. Joseph
2:50.0,,,25-26,,Turnover by P. Patterson (bad pass; steal by J. Meeks)
2:43.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,27-26,,
2:26.0,,,27-26,,P. Patterson misses 3-pt shot from 25 ft
2:25.0,Defensive rebound by J. Meeks,,27-26,,
2:18.0,E. Payton makes 2-pt shot from 2 ft,2,29-26,,
1:55.0,,,29-28,2,D. DeRozan makes 2-pt shot from 17 ft
1:42.0,Shooting foul by J. Poeltl (drawn by J. Meeks),,29-28,,
1:42.0,J. Meeks makes free throw 1 of 2,1,30-28,,
1:42.0,J. Meeks makes free throw 2 of 2,1,31-28,,
1:42.0,D. Augustin enters the game for E. Payton,,30-28,,
1:28.0,,,31-30,2,J. Poeltl makes 2-pt shot from 2 ft (assist by N. Powell)
1:12.0,Turnover by J. Meeks (bad pass; steal by D. Wright),,31-30,,
1:07.0,,,31-32,2,D. Wright makes 2-pt shot at rim (assist by D. DeRozan)
0:49.0,M. Hezonja makes 3-pt shot from 26 ft,3,34-32,,
0:36.0,,,34-34,2,D. DeRozan makes 2-pt shot from 14 ft
0:36.0,,,34-34,,Shooting foul by A. Gordon (drawn by D. DeRozan)
0:36.0,,,34-35,1,D. DeRozan makes free throw 1 of 1
0:24.0,B. Biyombo misses 2-pt shot from 4 ft,,34-35,,
0:24.0,,,34-35,,Defensive rebound by P. Patterson
0:01.0,,,34-35,,D. DeRozan misses 2-pt shot from 19 ft
0:01.0,Defensive rebound by J. Meeks,,34-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Offensive foul by D. Augustin,,34-35,,
11:49.0,Turnover by D. Augustin (offensive foul),,34-35,,
11:34.0,,,34-35,,N. Powell misses 2-pt shot from 4 ft (block by B. Biyombo)
11:34.0,,,34-35,,Offensive rebound by Team
11:29.0,,,34-35,,P. Patterson misses 2-pt shot from 8 ft
11:29.0,,,34-35,,Offensive rebound by J. Poeltl
11:28.0,,,34-35,,Shooting foul by B. Biyombo (drawn by J. Poeltl)
11:28.0,,,34-35,,J. Poeltl misses free throw 1 of 2
11:28.0,,,34-35,,Offensive rebound by Team
11:28.0,,,34-36,1,J. Poeltl makes free throw 2 of 2
11:26.0,,,34-36,,Personal block foul by J. Poeltl (drawn by D. Augustin)
11:14.0,Turnover by D. Augustin (bad pass; steal by D. Wright),,34-36,,
11:10.0,Violation by B. Biyombo (def goaltending),,34-36,,
11:10.0,,,34-38,2,D. Wright makes 2-pt shot from 1 ft
10:58.0,J. Meeks misses 3-pt shot from 23 ft,,34-38,,
10:57.0,,,34-38,,Defensive rebound by D. Wright
10:51.0,,,34-38,,D. Wright misses 2-pt shot from 3 ft
10:50.0,Defensive rebound by D. Augustin,,34-38,,
10:44.0,D. Augustin misses 2-pt shot from 1 ft (block by D. Wright),,34-38,,
10:44.0,Offensive rebound by B. Biyombo,,34-38,,
10:40.0,B. Biyombo makes 2-pt shot from 4 ft,2,36-38,,
10:30.0,,,36-40,2,J. Poeltl makes 2-pt shot from 2 ft (assist by N. Powell)
10:18.0,J. Meeks makes 2-pt shot from 5 ft (assist by D. Augustin),2,38-40,,
10:06.0,,,38-40,,Turnover by D. Wright (lost ball; steal by J. Meeks)
10:01.0,D. Augustin makes 2-pt shot from 2 ft (assist by J. Meeks),2,40-40,,
9:51.0,,,40-40,,Toronto full timeout
9:44.0,,,40-40,,D. Wright misses 2-pt shot from 21 ft
9:43.0,,,40-40,,Offensive rebound by J. Poeltl
9:32.0,,,40-40,,N. Powell misses 2-pt shot from 5 ft
9:32.0,Defensive rebound by D. Augustin,,40-40,,
9:28.0,D. Augustin misses 2-pt shot from 3 ft (block by P. Tucker),,40-40,,
9:28.0,Offensive rebound by Team,,40-40,,
9:28.0,,,40-40,,J. Valanciunas enters the game for J. Poeltl
9:22.0,J. Meeks misses 2-pt shot from 4 ft (block by N. Powell),,40-40,,
9:22.0,Offensive rebound by Team,,40-40,,
9:10.0,C. Watson misses 3-pt shot from 22 ft,,40-40,,
9:10.0,Offensive rebound by Team,,40-40,,
