time,LA Lakers,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. T. Mozgov (L. Deng gains possession),,,,Jump ball: K. Koufos vs. T. Mozgov (L. Deng gains possession)
11:33.0,T. Mozgov makes 2-pt shot from 3 ft (assist by N. Young),2,2-0,,
11:09.0,,,2-0,,D. Cousins misses 2-pt shot from 13 ft
11:09.0,Defensive rebound by L. Deng,,2-0,,
11:01.0,Turnover by J. Randle (lost ball; steal by R. Gay),,2-0,,
10:55.0,,,2-0,,A. Afflalo misses 2-pt shot from 4 ft
10:53.0,Defensive rebound by L. Deng,,2-0,,
10:49.0,J. Randle makes 2-pt shot at rim (assist by L. Deng),2,4-0,,
10:31.0,,,4-2,2,K. Koufos makes 2-pt shot from 14 ft
10:18.0,Turnover by D. Russell (bad pass; steal by D. Cousins),,4-2,,
10:08.0,,,4-5,3,A. Afflalo makes 3-pt shot from 23 ft (assist by D. Cousins)
9:49.0,T. Mozgov makes 2-pt shot from 7 ft,2,6-5,,
9:25.0,,,6-7,2,D. Cousins makes 2-pt shot from 21 ft
9:17.0,Offensive foul by J. Randle,,6-7,,
9:17.0,Turnover by J. Randle (offensive foul),,6-7,,
9:04.0,,,6-7,,D. Cousins misses 2-pt shot from 8 ft
9:03.0,,,6-7,,Offensive rebound by K. Koufos
8:57.0,,,6-10,3,D. Cousins makes 3-pt shot from 24 ft (assist by K. Koufos)
8:46.0,N. Young makes 3-pt shot from 26 ft (assist by J. Randle),3,9-10,,
8:27.0,,,9-12,2,R. Gay makes 2-pt shot from 16 ft
8:12.0,L. Deng makes 2-pt shot from 8 ft (assist by J. Randle),2,11-12,,
7:57.0,,,11-15,3,D. Cousins makes 3-pt shot from 25 ft (assist by T. Lawson)
7:43.0,D. Russell misses 3-pt shot from 25 ft,,11-15,,
7:43.0,,,11-15,,Defensive rebound by R. Gay
7:34.0,,,11-15,,D. Cousins misses 3-pt shot from 26 ft
7:34.0,Defensive rebound by Team,,11-15,,
7:07.0,J. Randle misses 3-pt shot from 26 ft,,11-15,,
7:06.0,,,11-15,,Defensive rebound by D. Cousins
6:56.0,,,11-15,,Shooting foul by T. Mozgov (drawn by D. Cousins)
6:56.0,,,11-16,1,D. Cousins makes free throw 1 of 2
6:56.0,,,11-17,1,D. Cousins makes free throw 2 of 2
6:37.0,L. Deng misses 2-pt shot from 13 ft (block by K. Koufos),,11-17,,
6:36.0,,,11-17,,Defensive rebound by R. Gay
6:29.0,,,11-19,2,A. Afflalo makes 2-pt shot from 6 ft (assist by R. Gay)
6:29.0,LA Lakers full timeout,,11-19,,
6:15.0,N. Young misses 3-pt shot from 25 ft,,11-19,,
6:15.0,,,11-19,,Defensive rebound by D. Cousins
6:00.0,,,11-19,,A. Afflalo misses 2-pt shot from 16 ft
5:58.0,,,11-19,,Offensive rebound by D. Cousins
5:58.0,,,11-19,,D. Cousins misses 2-pt shot from 3 ft
5:57.0,,,11-19,,Offensive rebound by D. Cousins
5:55.0,,,11-19,,D. Cousins misses 2-pt shot from 3 ft (block by T. Mozgov)
5:53.0,Defensive rebound by L. Deng,,11-19,,
5:44.0,N. Young misses 3-pt shot from 24 ft,,11-19,,
5:42.0,,,11-19,,Defensive rebound by R. Gay
5:37.0,,,11-19,,A. Afflalo misses 2-pt shot from 12 ft
5:36.0,Defensive rebound by L. Deng,,11-19,,
5:27.0,N. Young misses 3-pt shot from 23 ft,,11-19,,
5:25.0,,,11-19,,Defensive rebound by A. Afflalo
5:05.0,,,11-21,2,T. Lawson makes 2-pt shot from 21 ft
4:57.0,,,11-21,,Violation by T. Lawson (kicked ball)
4:57.0,,,11-21,,W. Cauley-Stein enters the game for D. Cousins
4:57.0,J. Clarkson enters the game for T. Mozgov,,11-21,,
4:57.0,L. Nance enters the game for N. Young,,11-21,,
4:49.0,D. Russell makes 3-pt shot from 25 ft (assist by J. Clarkson),3,14-21,,
4:32.0,,,14-23,2,R. Gay makes 2-pt shot from 10 ft
4:11.0,J. Clarkson misses 2-pt shot from 8 ft,,14-23,,
4:10.0,,,14-23,,Defensive rebound by R. Gay
4:07.0,,,14-23,,Shooting foul by L. Nance (drawn by R. Gay)
4:07.0,,,14-24,1,R. Gay makes free throw 1 of 2
4:07.0,,,14-25,1,R. Gay makes free throw 2 of 2
4:07.0,,,14-24,,M. Barnes enters the game for K. Koufos
4:07.0,B. Ingram enters the game for L. Deng,,14-24,,
4:07.0,L. Williams enters the game for J. Randle,,14-24,,
4:01.0,,,14-25,,Personal foul by M. Barnes (drawn by B. Ingram)
3:49.0,Turnover by L. Williams (bad pass; steal by W. Cauley-Stein),,14-25,,
3:43.0,,,14-25,,Turnover by T. Lawson (bad pass)
3:31.0,D. Russell misses 3-pt shot from 26 ft,,14-25,,
3:30.0,,,14-25,,Defensive rebound by R. Gay
3:20.0,,,14-25,,R. Gay misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by B. Ingram,,14-25,,
3:13.0,B. Ingram misses 2-pt shot from 6 ft,,14-25,,
3:11.0,Offensive rebound by B. Ingram,,14-25,,
3:11.0,B. Ingram makes 2-pt shot from 3 ft,2,16-25,,
3:06.0,Violation by Team (jump ball),,16-25,,
3:06.0,,,16-25,,Sacramento full timeout
