time,Atlanta,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. D. Jordan (D. Schroder gains possession),,,,Jump ball: D. Howard vs. D. Jordan (D. Schroder gains possession)
11:34.0,P. Millsap misses 2-pt shot from 20 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by D. Jordan
11:10.0,,,0-2,2,A. Rivers makes 2-pt shot from 17 ft
10:57.0,D. Schroder misses 2-pt shot from 3 ft,,0-2,,
10:56.0,Offensive rebound by D. Howard,,0-2,,
10:56.0,D. Howard makes 2-pt shot at rim,2,2-2,,
10:38.0,,,2-4,2,B. Griffin makes 2-pt shot from 21 ft (assist by A. Rivers)
10:20.0,D. Howard misses 2-pt shot from 19 ft,,2-4,,
10:18.0,,,2-4,,Defensive rebound by D. Jordan
10:00.0,,,2-7,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by B. Griffin)
9:49.0,D. Schroder makes 3-pt shot from 27 ft,3,5-7,,
9:30.0,,,5-7,,J. Redick misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by D. Howard,,5-7,,
9:15.0,D. Schroder makes 2-pt shot from 7 ft,2,7-7,,
8:56.0,,,7-7,,J. Redick misses 2-pt shot from 16 ft (block by K. Bazemore)
8:55.0,Defensive rebound by D. Schroder,,7-7,,
8:35.0,Offensive foul by K. Bazemore,,7-7,,
8:35.0,Turnover by K. Bazemore (offensive foul),,7-7,,
8:13.0,,,7-7,,B. Griffin misses 2-pt shot from 7 ft
8:10.0,,,7-7,,Offensive rebound by B. Griffin
8:09.0,,,7-7,,B. Griffin misses 2-pt shot from 3 ft
8:08.0,Defensive rebound by D. Howard,,7-7,,
8:02.0,T. Hardaway misses 3-pt shot from 27 ft,,7-7,,
8:00.0,,,7-7,,Defensive rebound by A. Rivers
7:44.0,,,7-7,,B. Griffin misses 2-pt shot from 16 ft
7:42.0,Defensive rebound by D. Howard,,7-7,,
7:28.0,Jump ball: B. Griffin vs. P. Millsap (L. Mbah a Moute gains possession),,,,Jump ball: B. Griffin vs. P. Millsap (L. Mbah a Moute gains possession)
7:28.0,Turnover by P. Millsap (lost ball; steal by B. Griffin),,7-7,,
7:14.0,,,7-7,,A. Rivers misses 3-pt shot from 27 ft
7:12.0,Defensive rebound by D. Howard,,7-7,,
6:54.0,K. Bazemore misses 2-pt shot from 20 ft,,7-7,,
6:53.0,,,7-7,,Defensive rebound by Team
6:41.0,,,7-10,3,B. Griffin makes 3-pt shot from 28 ft (assist by A. Rivers)
6:28.0,D. Schroder misses 3-pt shot from 24 ft,,7-10,,
6:27.0,,,7-10,,Defensive rebound by D. Jordan
6:21.0,,,7-12,2,L. Mbah a Moute makes 2-pt shot at rim (assist by A. Rivers)
6:21.0,Atlanta full timeout,,7-12,,
6:21.0,T. Waller-Prince enters the game for K. Bazemore,,7-12,,
6:08.0,T. Hardaway makes 2-pt shot from 14 ft (assist by D. Schroder),2,9-12,,
5:54.0,,,9-12,,Turnover by B. Griffin (bad pass)
5:44.0,P. Millsap misses 3-pt shot from 27 ft,,9-12,,
5:43.0,,,9-12,,Defensive rebound by L. Mbah a Moute
5:28.0,,,9-12,,Turnover by B. Griffin (lost ball; steal by P. Millsap)
5:21.0,D. Schroder makes 2-pt shot from 17 ft (assist by T. Hardaway),2,11-12,,
5:07.0,,,11-12,,A. Rivers misses 2-pt shot from 3 ft
5:02.0,Defensive rebound by T. Waller-Prince,,11-12,,
5:00.0,T. Hardaway makes 2-pt shot from 1 ft (assist by D. Schroder),2,13-12,,
4:42.0,,,13-15,3,J. Redick makes 3-pt shot from 27 ft (assist by B. Griffin)
