time,Minnesota,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. K. Towns (T. McConnell gains possession),,,,Jump ball: J. Embiid vs. K. Towns (T. McConnell gains possession)
11:45.0,,,0-0,,R. Covington misses 3-pt shot from 25 ft
11:36.0,Defensive rebound by K. Towns,,0-0,,
11:32.0,Offensive foul by A. Wiggins,,0-0,,
11:32.0,Turnover by A. Wiggins (offensive foul),,0-0,,
11:22.0,Personal foul by G. Dieng (drawn by J. Embiid),,0-0,,
11:14.0,,,0-2,2,N. Stauskas makes 2-pt shot at rim (assist by E. Ilyasova)
10:58.0,G. Dieng makes 2-pt shot from 18 ft (assist by A. Wiggins),2,2-2,,
10:45.0,,,2-2,,E. Ilyasova misses 3-pt shot from 27 ft
10:43.0,Defensive rebound by G. Dieng,,2-2,,
10:30.0,K. Towns misses 2-pt shot from 5 ft,,2-2,,
10:29.0,,,2-2,,Defensive rebound by T. McConnell
10:21.0,,,2-2,,J. Embiid misses 2-pt shot from 2 ft
10:21.0,,,2-2,,Offensive rebound by J. Embiid
10:21.0,,,2-2,,J. Embiid misses 2-pt shot from 2 ft
10:19.0,,,2-2,,Offensive rebound by J. Embiid
10:19.0,,,2-4,2,J. Embiid makes 2-pt shot from 1 ft
10:00.0,G. Dieng makes 2-pt shot from 18 ft (assist by K. Towns),2,4-4,,
9:35.0,,,4-4,,R. Covington misses 3-pt shot from 27 ft
9:33.0,Defensive rebound by A. Wiggins,,4-4,,
9:22.0,G. Dieng makes 2-pt shot from 12 ft,2,6-4,,
9:05.0,,,6-7,3,N. Stauskas makes 3-pt shot from 27 ft (assist by R. Covington)
8:35.0,Z. LaVine misses 3-pt shot from 27 ft,,6-7,,
8:34.0,,,6-7,,Defensive rebound by J. Embiid
8:26.0,,,6-9,2,T. McConnell makes 2-pt shot from 4 ft
8:20.0,Turnover by R. Rubio (bad pass; steal by T. McConnell),,6-9,,
8:07.0,,,6-11,2,E. Ilyasova makes 2-pt shot from 15 ft (assist by T. McConnell)
7:59.0,Minnesota full timeout,,6-11,,
7:59.0,,,6-11,,N. Noel enters the game for J. Embiid
7:59.0,,,6-11,,T. Luwawu-Cabarrot enters the game for N. Stauskas
7:43.0,K. Towns misses 2-pt shot from 10 ft,,6-11,,
7:42.0,,,6-11,,Defensive rebound by E. Ilyasova
7:25.0,,,6-11,,Turnover by E. Ilyasova (lost ball; steal by R. Rubio)
7:19.0,G. Dieng misses 2-pt shot from 6 ft,,6-11,,
7:18.0,,,6-11,,Defensive rebound by R. Covington
7:14.0,,,6-13,2,N. Noel makes 2-pt shot at rim (assist by T. McConnell)
6:49.0,Z. LaVine misses 2-pt shot from 17 ft,,6-13,,
6:47.0,Offensive rebound by K. Towns,,6-13,,
6:47.0,Shooting foul by E. Ilyasova (drawn by K. Towns),,6-13,,
6:47.0,K. Towns makes free throw 1 of 2,1,7-13,,
6:47.0,K. Towns makes free throw 2 of 2,1,8-13,,
6:30.0,,,8-13,,E. Ilyasova misses 3-pt shot from 25 ft
6:29.0,Defensive rebound by K. Towns,,8-13,,
6:23.0,Shooting foul by N. Noel (drawn by A. Wiggins),,8-13,,
6:23.0,A. Wiggins makes free throw 1 of 2,1,9-13,,
6:23.0,A. Wiggins makes free throw 2 of 2,1,10-13,,
6:23.0,,,9-13,,D. Saric enters the game for E. Ilyasova
6:02.0,,,10-15,2,R. Covington makes 2-pt shot from 2 ft (assist by T. McConnell)
5:48.0,K. Towns makes 2-pt shot from 4 ft,2,12-15,,
5:33.0,,,12-15,,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft
5:32.0,Defensive rebound by G. Dieng,,12-15,,
5:19.0,A. Wiggins misses 2-pt shot from 18 ft,,12-15,,
5:18.0,,,12-15,,Defensive rebound by R. Covington
5:12.0,,,12-15,,D. Saric misses 2-pt shot from 2 ft
5:09.0,Defensive rebound by G. Dieng,,12-15,,
5:02.0,Turnover by A. Wiggins (bad pass; steal by T. McConnell),,12-15,,
4:56.0,,,12-17,2,N. Noel makes 2-pt shot at rim (assist by T. McConnell)
4:34.0,R. Rubio misses 3-pt shot from 25 ft,,12-17,,
4:32.0,,,12-17,,Defensive rebound by R. Covington
4:23.0,Personal foul by K. Towns (drawn by N. Noel),,12-17,,
4:23.0,,,12-17,,Philadelphia full timeout
4:23.0,S. Muhammad enters the game for Z. LaVine,,12-17,,
4:23.0,,,12-17,,N. Stauskas enters the game for T. McConnell
4:15.0,,,12-17,,D. Saric misses 3-pt shot from 27 ft
4:14.0,,,12-17,,Offensive rebound by Team
4:11.0,,,12-17,,N. Noel misses 2-pt shot from 2 ft
4:08.0,,,12-17,,Offensive rebound by N. Noel
4:08.0,,,12-19,2,N. Noel makes 2-pt shot from 2 ft
3:57.0,Turnover by R. Rubio (bad pass; steal by N. Noel),,12-19,,
3:53.0,,,12-21,2,N. Noel makes 2-pt shot at rim
3:33.0,K. Towns misses 2-pt shot from 17 ft,,12-21,,
3:32.0,,,12-21,,Defensive rebound by D. Saric
3:14.0,,,12-21,,Shooting foul by S. Muhammad (drawn by T. Luwawu-Cabarrot)
3:14.0,,,12-22,1,T. Luwawu-Cabarrot makes free throw 1 of 2
3:14.0,,,12-23,1,T. Luwawu-Cabarrot makes free throw 2 of 2
3:14.0,,,12-22,,E. Ilyasova enters the game for R. Covington
3:14.0,K. Dunn enters the game for R. Rubio,,12-22,,
3:14.0,,,12-22,,J. Embiid enters the game for N. Noel
3:14.0,N. Bjelica enters the game for G. Dieng,,12-22,,
3:07.0,A. Wiggins misses 2-pt shot from 17 ft,,12-23,,
3:06.0,,,12-23,,Defensive rebound by E. Ilyasova
2:56.0,,,12-23,,J. Embiid misses 2-pt shot from 8 ft
2:53.0,,,12-23,,Offensive rebound by D. Saric
2:53.0,,,12-23,,D. Saric misses 2-pt shot from 1 ft
2:51.0,Defensive rebound by A. Wiggins,,12-23,,
