time,New York,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: K. Porzingis vs. N. Vucevic (E. Payton gains possession)
11:41.0,,,0-2,2,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Payton)
11:21.0,D. Rose makes 2-pt shot from 3 ft (assist by K. Porzingis),2,2-2,,
11:21.0,Shooting foul by E. Payton (drawn by D. Rose),,2-2,,
11:21.0,D. Rose misses free throw 1 of 1,,2-2,,
11:19.0,,,2-2,,Defensive rebound by A. Gordon
11:07.0,,,2-2,,N. Vucevic misses 2-pt shot from 12 ft
11:06.0,Defensive rebound by L. Thomas,,2-2,,
10:52.0,,,2-2,,Personal foul by E. Payton (drawn by K. Porzingis)
10:49.0,D. Rose misses 2-pt shot from 1 ft,,2-2,,
10:47.0,,,2-2,,Defensive rebound by N. Vucevic
10:27.0,,,2-2,,N. Vucevic misses 2-pt shot from 11 ft
10:25.0,,,2-2,,Offensive rebound by A. Gordon
10:25.0,,,2-2,,A. Gordon misses 2-pt shot from 1 ft
10:23.0,,,2-2,,Offensive rebound by A. Gordon
10:17.0,,,2-2,,A. Gordon misses 2-pt shot from 11 ft
10:15.0,Defensive rebound by K. Porzingis,,2-2,,
10:01.0,K. Porzingis makes 3-pt shot from 26 ft (assist by D. Rose),3,5-2,,
9:46.0,,,5-2,,N. Vucevic misses 2-pt shot from 15 ft
9:45.0,,,5-2,,Offensive rebound by N. Vucevic
9:43.0,,,5-2,,N. Vucevic misses 2-pt shot from 2 ft
9:41.0,,,5-2,,Offensive rebound by N. Vucevic
9:41.0,,,5-2,,N. Vucevic misses 2-pt shot from 2 ft
9:38.0,Defensive rebound by K. Porzingis,,5-2,,
9:28.0,K. Porzingis misses 3-pt shot from 25 ft,,5-2,,
9:27.0,,,5-2,,Defensive rebound by E. Payton
9:21.0,,,5-4,2,E. Payton makes 2-pt shot from 8 ft
9:08.0,C. Anthony makes 2-pt shot from 22 ft,2,7-4,,
