time,Portland,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. J. Nurkic (D. Green gains possession),,,,Jump ball: D. Dedmon vs. J. Nurkic (D. Green gains possession)
11:46.0,,,0-2,2,L. Aldridge makes 2-pt shot from 17 ft (assist by D. Dedmon)
11:26.0,D. Lillard makes 3-pt shot from 25 ft,3,3-2,,
11:11.0,,,3-2,,Turnover by D. Green (bad pass; steal by J. Nurkic)
10:59.0,C. McCollum misses 2-pt shot from 17 ft,,3-2,,
10:59.0,Offensive rebound by J. Nurkic,,3-2,,
10:56.0,Turnover by J. Nurkic (lost ball; steal by K. Leonard),,3-2,,
10:42.0,,,3-5,3,P. Mills makes 3-pt shot from 23 ft (assist by K. Leonard)
10:25.0,Turnover by C. McCollum (bad pass),,3-5,,
10:00.0,,,3-5,,L. Aldridge misses 2-pt shot from 19 ft
9:58.0,,,3-5,,Offensive rebound by P. Mills
9:55.0,,,3-7,2,D. Dedmon makes 2-pt shot at rim (assist by P. Mills)
9:28.0,N. Vonleh makes 2-pt shot from 23 ft (assist by M. Harkless),2,5-7,,
9:17.0,,,5-7,,Turnover by K. Leonard (lost ball; steal by M. Harkless)
9:11.0,D. Lillard makes 2-pt shot from 1 ft (assist by C. McCollum),2,7-7,,
8:57.0,,,7-9,2,L. Aldridge makes 2-pt shot from 21 ft (assist by P. Mills)
8:42.0,J. Nurkic misses 2-pt shot from 2 ft,,7-9,,
8:41.0,,,7-9,,Defensive rebound by L. Aldridge
8:35.0,,,7-11,2,D. Dedmon makes 2-pt shot from 1 ft (assist by K. Leonard)
8:16.0,C. McCollum misses 2-pt shot from 4 ft,,7-11,,
8:16.0,,,7-11,,Defensive rebound by K. Leonard
8:07.0,,,7-11,,K. Leonard misses 2-pt shot from 15 ft
8:06.0,Defensive rebound by J. Nurkic,,7-11,,
7:57.0,D. Lillard misses 3-pt shot from 24 ft,,7-11,,
7:55.0,,,7-11,,Defensive rebound by K. Leonard
