time,Charlotte,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. C. Zeller (E. Payton gains possession),,,,Jump ball: N. Vucevic vs. C. Zeller (E. Payton gains possession)
11:45.0,,,0-0,,T. Ross misses 2-pt shot from 10 ft
11:43.0,Defensive rebound by M. Williams,,0-0,,
11:27.0,,,0-0,,Personal foul by T. Ross (drawn by C. Zeller)
11:17.0,M. Williams misses 3-pt shot from 24 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by N. Vucevic
11:05.0,,,0-2,2,T. Ross makes 2-pt shot from 17 ft (assist by N. Vucevic)
10:49.0,K. Walker misses 2-pt shot from 8 ft,,0-2,,
10:48.0,,,0-2,,Defensive rebound by N. Vucevic
10:39.0,,,0-4,2,N. Vucevic makes 2-pt shot from 5 ft (assist by E. Payton)
10:27.0,N. Batum misses 2-pt shot at rim,,0-4,,
10:25.0,,,0-4,,Defensive rebound by N. Vucevic
10:20.0,,,0-4,,T. Ross misses 3-pt shot from 26 ft
10:19.0,Defensive rebound by M. Williams,,0-4,,
10:06.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by C. Zeller),2,2-4,,
9:46.0,,,2-6,2,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Fournier)
9:26.0,Offensive foul by C. Zeller,,2-6,,
9:26.0,Turnover by C. Zeller (offensive foul),,2-6,,
9:10.0,,,2-6,,T. Ross misses 3-pt shot from 25 ft
9:09.0,Defensive rebound by C. Zeller,,2-6,,
9:01.0,Shooting foul by A. Gordon (drawn by K. Walker),,2-6,,
9:01.0,K. Walker makes free throw 1 of 2,1,3-6,,
9:01.0,K. Walker makes free throw 2 of 2,1,4-6,,
8:54.0,,,4-9,3,E. Fournier makes 3-pt shot from 27 ft (assist by E. Payton)
8:37.0,Turnover by N. Batum (bad pass; steal by T. Ross),,4-9,,
8:28.0,,,4-9,,N. Vucevic misses 3-pt shot from 25 ft
8:27.0,,,4-9,,Offensive rebound by T. Ross
8:18.0,,,4-11,2,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton)
8:03.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by C. Zeller),2,6-11,,
8:03.0,Shooting foul by N. Vucevic (drawn by M. Kidd-Gilchrist),,6-11,,
8:03.0,M. Kidd-Gilchrist makes free throw 1 of 1,1,7-11,,
7:49.0,,,7-13,2,T. Ross makes 2-pt shot from 10 ft (assist by N. Vucevic)
7:31.0,K. Walker makes 2-pt shot from 1 ft,2,9-13,,
7:12.0,,,9-13,,T. Ross misses 3-pt shot from 26 ft
7:09.0,,,9-13,,Offensive rebound by E. Fournier
6:56.0,,,9-13,,E. Fournier misses 3-pt shot from 24 ft
6:54.0,Defensive rebound by K. Walker,,9-13,,
6:48.0,,,9-13,,Violation by N. Vucevic (kicked ball)
6:38.0,K. Walker misses 3-pt shot from 25 ft,,9-13,,
6:35.0,,,9-13,,Defensive rebound by N. Vucevic
6:27.0,,,9-13,,Orlando full timeout
6:20.0,,,9-15,2,A. Gordon makes 2-pt shot from 10 ft
6:06.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,11-15,,
5:43.0,,,11-15,,E. Fournier misses 2-pt shot from 7 ft (block by M. Kidd-Gilchrist)
5:43.0,Defensive rebound by Team,,11-15,,
5:43.0,F. Kaminsky enters the game for M. Williams,,11-15,,
5:42.0,Jump ball: E. Fournier vs. M. Kidd-Gilchrist (N. Batum gains possession),,,,Jump ball: E. Fournier vs. M. Kidd-Gilchrist (N. Batum gains possession)
5:42.0,,,11-15,,Turnover by E. Fournier (lost ball; steal by M. Kidd-Gilchrist)
5:29.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,13-15,,
5:13.0,,,13-15,,A. Gordon misses 2-pt shot from 1 ft (block by F. Kaminsky)
5:10.0,Defensive rebound by K. Walker,,13-15,,
5:03.0,F. Kaminsky misses 3-pt shot from 24 ft,,13-15,,
5:02.0,,,13-15,,Defensive rebound by A. Gordon
4:56.0,,,13-15,,Turnover by A. Gordon (lost ball; steal by C. Zeller)
4:41.0,F. Kaminsky misses 2-pt shot from 5 ft,,13-15,,
4:38.0,Offensive rebound by C. Zeller,,13-15,,
4:23.0,K. Walker misses 2-pt shot from 12 ft,,13-15,,
4:21.0,,,13-15,,Defensive rebound by E. Fournier
4:16.0,,,13-15,,E. Payton misses 2-pt shot from 7 ft
4:14.0,Defensive rebound by N. Batum,,13-15,,
4:08.0,Turnover by N. Batum (bad pass; steal by E. Fournier),,13-15,,
