time,Detroit,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. P. Gasol (T. Harris gains possession),,,,Jump ball: A. Drummond vs. P. Gasol (T. Harris gains possession)
11:37.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by L. Aldridge
11:21.0,,,0-2,2,T. Parker makes 2-pt shot from 17 ft
11:04.0,,,0-2,,Personal foul by T. Parker (drawn by T. Harris)
10:56.0,T. Harris makes 2-pt shot from 17 ft (assist by I. Smith),2,2-2,,
10:37.0,,,2-2,,T. Parker misses 3-pt shot from 24 ft
10:37.0,Defensive rebound by A. Drummond,,2-2,,
10:26.0,T. Harris misses 3-pt shot from 26 ft,,2-2,,
10:24.0,Offensive rebound by A. Drummond,,2-2,,
10:24.0,A. Drummond makes 2-pt shot from 1 ft,2,4-2,,
10:10.0,,,4-4,2,P. Gasol makes 2-pt shot from 14 ft (assist by T. Parker)
9:54.0,Turnover by A. Drummond (bad pass; steal by K. Leonard),,4-4,,
9:36.0,,,4-4,,K. Anderson misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by T. Harris,,4-4,,
9:26.0,T. Harris makes 2-pt shot from 3 ft (assist by I. Smith),2,6-4,,
9:09.0,,,6-7,3,K. Leonard makes 3-pt shot from 25 ft (assist by T. Parker)
8:52.0,K. Caldwell-Pope makes 3-pt shot from 25 ft,3,9-7,,
8:36.0,,,9-7,,P. Gasol misses 2-pt shot from 19 ft
8:35.0,,,9-7,,Offensive rebound by L. Aldridge
8:33.0,,,9-9,2,L. Aldridge makes 2-pt shot from 5 ft
8:14.0,T. Harris misses 2-pt shot from 12 ft,,9-9,,
8:12.0,,,9-9,,Defensive rebound by L. Aldridge
8:02.0,,,9-11,2,K. Anderson makes 2-pt shot from 1 ft (assist by P. Gasol)
7:46.0,M. Morris misses 2-pt shot from 2 ft (block by P. Gasol),,9-11,,
7:44.0,Offensive rebound by K. Caldwell-Pope,,9-11,,
7:39.0,I. Smith makes 2-pt shot from 17 ft (assist by K. Caldwell-Pope),2,11-11,,
7:22.0,,,11-11,,Shooting foul by T. Harris (drawn by L. Aldridge)
7:22.0,,,11-12,1,L. Aldridge makes free throw 1 of 2
7:22.0,,,11-13,1,L. Aldridge makes free throw 2 of 2
7:22.0,,,11-12,,P. Mills enters the game for T. Parker
7:07.0,A. Drummond misses 2-pt shot from 8 ft,,11-13,,
7:06.0,,,11-13,,Defensive rebound by P. Gasol
6:55.0,,,11-15,2,P. Gasol makes 2-pt shot from 5 ft (assist by K. Anderson)
6:49.0,Detroit full timeout,,11-15,,
6:33.0,Turnover by A. Drummond (lost ball; steal by P. Gasol),,11-15,,
6:25.0,,,11-18,3,P. Gasol makes 3-pt shot from 24 ft (assist by P. Mills)
5:56.0,M. Morris misses 3-pt shot from 26 ft,,11-18,,
5:55.0,,,11-18,,Defensive rebound by L. Aldridge
5:47.0,,,11-18,,L. Aldridge misses 2-pt shot from 16 ft
5:45.0,,,11-18,,Offensive rebound by K. Anderson
5:45.0,,,11-18,,K. Anderson misses 2-pt shot from 2 ft
5:43.0,Defensive rebound by A. Drummond,,11-18,,
5:26.0,T. Harris makes 2-pt shot from 12 ft (assist by K. Caldwell-Pope),2,13-18,,
5:11.0,,,13-20,2,P. Gasol makes 2-pt shot from 17 ft (assist by P. Mills)
4:52.0,M. Morris misses 2-pt shot from 15 ft,,13-20,,
4:51.0,,,13-20,,Defensive rebound by K. Leonard
4:47.0,,,13-20,,Turnover by K. Leonard (discontinued dribble)
4:47.0,,,13-20,,M. Ginobili enters the game for K. Anderson
4:47.0,,,13-20,,D. Lee enters the game for L. Aldridge
4:47.0,J. Leuer enters the game for M. Morris,,13-20,,
4:31.0,Turnover by A. Drummond (lost ball; steal by K. Leonard),,13-20,,
4:08.0,,,13-20,,P. Gasol misses 3-pt shot from 24 ft
4:06.0,Defensive rebound by I. Smith,,13-20,,
4:00.0,I. Smith makes 2-pt shot from 2 ft,2,15-20,,
3:45.0,,,15-20,,Shooting foul by T. Harris (drawn by K. Leonard)
3:45.0,,,15-21,1,K. Leonard makes free throw 1 of 2
3:45.0,,,15-22,1,K. Leonard makes free throw 2 of 2
3:45.0,A. Baynes enters the game for A. Drummond,,15-21,,
3:45.0,B. Udrih enters the game for I. Smith,,15-21,,
3:45.0,M. Morris enters the game for T. Harris,,15-21,,
