time,LA Clippers,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: A. Drummond vs. D. Jordan (B. Griffin gains possession)
11:40.0,Turnover by D. Jordan (bad pass; steal by K. Caldwell-Pope),,0-0,,
11:31.0,,,0-0,,I. Smith misses 2-pt shot from 4 ft
11:29.0,,,0-0,,Offensive rebound by A. Drummond
11:22.0,,,0-2,2,A. Drummond makes 2-pt shot at rim (assist by T. Harris)
11:06.0,J. Redick makes 2-pt shot from 22 ft (assist by C. Paul),2,2-2,,
10:44.0,,,2-4,2,M. Morris makes 2-pt shot from 16 ft
10:31.0,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul),2,4-4,,
10:31.0,Shooting foul by M. Morris (drawn by D. Jordan),,4-4,,
10:31.0,D. Jordan makes free throw 1 of 1,1,5-4,,
10:17.0,,,5-7,3,T. Harris makes 3-pt shot from 27 ft (assist by K. Caldwell-Pope)
9:58.0,J. Redick misses 2-pt shot from 18 ft,,5-7,,
9:57.0,,,5-7,,Defensive rebound by T. Harris
9:51.0,,,5-7,,I. Smith misses 2-pt shot from 1 ft (block by D. Jordan)
9:50.0,Defensive rebound by J. Redick,,5-7,,
9:44.0,B. Griffin misses 2-pt shot from 1 ft,,5-7,,
9:43.0,,,5-7,,Defensive rebound by A. Drummond
9:30.0,,,5-9,2,T. Harris makes 2-pt shot from 8 ft
9:19.0,J. Redick misses 3-pt shot from 26 ft,,5-9,,
9:18.0,,,5-9,,Defensive rebound by T. Harris
9:03.0,,,5-11,2,K. Caldwell-Pope makes 2-pt shot from 6 ft
8:52.0,,,5-11,,Personal foul by M. Morris (drawn by D. Jordan)
8:52.0,,,5-11,,Violation by Team (delay of game)
8:52.0,,,5-11,,J. Leuer enters the game for M. Morris
8:42.0,C. Paul makes 2-pt shot from 14 ft (assist by D. Jordan),2,7-11,,
8:25.0,,,7-14,3,I. Smith makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
8:20.0,Turnover by D. Jordan (offensive foul),,7-14,,
8:20.0,Offensive foul by D. Jordan,,7-14,,
8:06.0,,,7-14,,K. Caldwell-Pope misses 2-pt shot from 17 ft
8:05.0,Defensive rebound by Team,,7-14,,
7:48.0,B. Griffin makes 2-pt shot from 1 ft,2,9-14,,
7:32.0,,,9-14,,Offensive foul by A. Drummond
7:32.0,,,9-14,,Turnover by A. Drummond (offensive foul)
7:18.0,Turnover by B. Griffin (bad pass; steal by A. Drummond),,9-14,,
7:10.0,,,9-17,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by A. Drummond)
7:10.0,LA Clippers full timeout,,9-17,,
6:59.0,Turnover by C. Paul (bad pass; steal by A. Drummond),,9-17,,
6:53.0,,,9-19,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
6:36.0,B. Griffin misses 2-pt shot from 17 ft,,9-19,,
6:35.0,,,9-19,,Defensive rebound by A. Drummond
6:28.0,,,9-21,2,I. Smith makes 2-pt shot at rim
6:14.0,D. Jordan makes 2-pt shot at rim,2,11-21,,
5:54.0,,,11-23,2,T. Harris makes 2-pt shot from 12 ft
5:32.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,11-23,,
5:31.0,,,11-23,,Defensive rebound by J. Leuer
5:22.0,,,11-25,2,A. Drummond makes 2-pt shot from 8 ft (assist by I. Smith)
5:00.0,,,11-25,,Personal foul by A. Drummond (drawn by D. Jordan)
5:00.0,J. Crawford enters the game for J. Redick,,11-25,,
5:00.0,A. Rivers enters the game for L. Mbah a Moute,,11-25,,
5:00.0,,,11-25,,A. Baynes enters the game for A. Drummond
4:47.0,C. Paul misses 2-pt shot from 8 ft,,11-25,,
4:45.0,,,11-25,,Defensive rebound by A. Baynes
4:40.0,,,11-25,,A. Baynes misses 2-pt shot from 2 ft (block by B. Griffin)
4:38.0,Defensive rebound by Team,,11-25,,
4:31.0,J. Crawford makes 3-pt shot from 26 ft (assist by C. Paul),3,14-25,,
4:19.0,Personal foul by A. Rivers (drawn by T. Harris),,14-25,,
4:11.0,,,14-27,2,I. Smith makes 2-pt shot from 18 ft
4:01.0,,,14-27,,Personal foul by K. Caldwell-Pope (drawn by C. Paul)
4:01.0,M. Speights enters the game for D. Jordan,,14-27,,
3:49.0,B. Griffin misses 2-pt shot from 3 ft,,14-27,,
3:48.0,Offensive rebound by B. Griffin,,14-27,,
3:45.0,B. Griffin misses 2-pt shot at rim,,14-27,,
3:43.0,,,14-27,,Defensive rebound by J. Leuer
3:40.0,,,14-29,2,J. Leuer makes 2-pt shot at rim (assist by I. Smith)
3:40.0,Offensive charge foul by C. Paul,,14-29,,
3:40.0,Turnover by C. Paul (offensive foul),,14-29,,
3:32.0,,,14-29,,Shooting foul by J. Crawford (drawn by K. Caldwell-Pope)
3:32.0,,,14-30,1,K. Caldwell-Pope makes free throw 1 of 2
3:32.0,,,14-31,1,K. Caldwell-Pope makes free throw 2 of 2
3:32.0,R. Felton enters the game for C. Paul,,14-30,,
3:32.0,,,14-30,,B. Udrih enters the game for I. Smith
3:06.0,J. Crawford misses 3-pt shot from 24 ft,,14-31,,
3:06.0,,,14-31,,Defensive rebound by A. Baynes
2:54.0,,,14-31,,J. Leuer misses 3-pt shot from 24 ft
2:54.0,,,14-31,,Offensive rebound by A. Baynes
2:49.0,,,14-31,,A. Baynes misses 2-pt shot from 5 ft (block by M. Speights)
2:48.0,Defensive rebound by R. Felton,,14-31,,
2:42.0,R. Felton makes 2-pt shot from 1 ft,2,16-31,,
2:20.0,,,16-33,2,T. Harris makes 2-pt shot at rim
2:04.0,J. Crawford misses 3-pt shot from 29 ft,,16-33,,
2:03.0,,,16-33,,Defensive rebound by K. Caldwell-Pope
1:54.0,,,16-33,,K. Caldwell-Pope misses 2-pt shot from 10 ft
1:52.0,Defensive rebound by B. Griffin,,16-33,,
1:28.0,B. Griffin makes 3-pt shot from 23 ft (assist by R. Felton),3,19-33,,
1:27.0,,,19-33,,Detroit full timeout
