time,Washington,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Gortat (B. Jennings gains possession),,,,Jump ball: A. Drummond vs. M. Gortat (B. Jennings gains possession)
11:41.0,M. Gortat misses 2-pt shot from 7 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by H. Ellenson
11:29.0,,,0-2,2,I. Smith makes 2-pt shot at rim
11:05.0,M. Morris makes 2-pt shot from 16 ft,2,2-2,,
10:48.0,,,2-2,,Turnover by I. Smith (lost ball; steal by B. Jennings)
10:42.0,B. Jennings makes 2-pt shot from 1 ft,2,4-2,,
10:20.0,,,4-2,,M. Morris misses 2-pt shot from 15 ft
10:20.0,Defensive rebound by K. Oubre,,4-2,,
10:14.0,,,4-2,,Personal foul by A. Drummond (drawn by M. Gortat)
9:59.0,M. Gortat makes 2-pt shot from 7 ft,2,6-2,,
9:39.0,,,6-4,2,M. Morris makes 2-pt shot from 16 ft
9:23.0,M. Morris misses 2-pt shot from 10 ft,,6-4,,
9:23.0,,,6-4,,Defensive rebound by M. Morris
9:15.0,,,6-4,,H. Ellenson misses 3-pt shot from 24 ft
9:15.0,,,6-4,,Offensive rebound by A. Drummond
9:09.0,,,6-4,,A. Drummond misses 2-pt shot from 5 ft
9:08.0,Defensive rebound by M. Gortat,,6-4,,
9:02.0,B. Jennings misses 3-pt shot from 25 ft,,6-4,,
9:02.0,,,6-4,,Defensive rebound by A. Drummond
8:52.0,,,6-4,,A. Drummond misses 2-pt shot at rim (block by M. Morris)
8:52.0,Defensive rebound by M. Gortat,,6-4,,
8:45.0,K. Oubre misses 2-pt shot at rim,,6-4,,
8:44.0,Offensive rebound by M. Gortat,,6-4,,
8:42.0,M. Gortat makes 2-pt shot at rim,2,8-4,,
8:38.0,,,8-4,,Detroit full timeout
8:37.0,,,8-4,,Turnover by M. Morris (bad pass; steal by B. Jennings)
8:31.0,B. Jennings misses 2-pt shot from 3 ft (block by I. Smith),,8-4,,
8:31.0,Offensive rebound by B. Jennings,,8-4,,
8:28.0,B. Jennings misses 2-pt shot from 4 ft,,8-4,,
8:27.0,,,8-4,,Defensive rebound by M. Morris
8:21.0,,,8-4,,M. Morris misses 2-pt shot from 12 ft
8:20.0,Defensive rebound by M. Gortat,,8-4,,
8:15.0,K. Oubre makes 2-pt shot from 1 ft (assist by B. Jennings),2,10-4,,
7:53.0,,,10-6,2,K. Caldwell-Pope makes 2-pt shot from 19 ft
7:38.0,,,10-6,,Def 3 sec tech foul by H. Ellenson
7:38.0,B. Beal makes technical free throw,1,11-6,,
7:27.0,B. Beal misses 3-pt shot from 25 ft,,11-6,,
7:26.0,,,11-6,,Defensive rebound by H. Ellenson
7:20.0,,,11-8,2,I. Smith makes 2-pt shot from 17 ft
7:01.0,B. Beal makes 2-pt shot from 19 ft (assist by B. Jennings),2,13-8,,
6:47.0,,,13-11,3,H. Ellenson makes 3-pt shot from 24 ft (assist by I. Smith)
6:36.0,B. Beal misses 2-pt shot from 16 ft,,13-11,,
6:36.0,,,13-11,,Defensive rebound by A. Drummond
