time,Utah,pts.away,score,pts.home,Houston
11:44.0,,,30-22,,Offensive rebound by M. Harrell
11:44.0,,,30-22,,Shooting foul by J. Withey (drawn by M. Harrell)
11:44.0,,,30-23,1,M. Harrell makes free throw 1 of 2
11:44.0,,,30-24,1,M. Harrell makes free throw 2 of 2
11:36.0,Turnover by B. Diaw (bad pass; steal by P. Beverley),,30-24,,
11:30.0,,,30-24,,E. Gordon misses 3-pt shot from 23 ft
11:28.0,Defensive rebound by R. Hood,,30-24,,
11:11.0,R. Hood misses 2-pt shot from 6 ft,,30-24,,
11:10.0,Offensive rebound by J. Withey,,30-24,,
11:09.0,J. Withey makes 2-pt shot from 1 ft,2,32-24,,
11:03.0,,,32-24,,Shooting foul by J. Withey (drawn by E. Gordon)
11:03.0,,,32-25,1,E. Gordon makes free throw 1 of 2
11:03.0,,,32-26,1,E. Gordon makes free throw 2 of 2
10:40.0,Shooting foul by M. Harrell (drawn by R. Hood),,32-26,,
10:40.0,R. Hood makes 2-pt shot from 8 ft,2,34-26,,
10:40.0,R. Hood makes free throw 1 of 1,1,35-26,,
10:29.0,,,35-26,,E. Gordon misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by J. Withey,,35-26,,
10:15.0,,,35-26,,Personal foul by M. Harrell (drawn by J. Ingles)
10:15.0,D. Exum enters the game for R. Neto,,35-26,,
10:00.0,Turnover by Team (shot clock),,35-26,,
9:50.0,,,35-26,,S. Dekker misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by J. Ingles,,35-26,,
9:31.0,J. Withey misses 2-pt shot from 4 ft (block by P. Beverley),,35-26,,
9:29.0,,,35-26,,Defensive rebound by S. Dekker
9:24.0,,,35-29,3,L. Williams makes 3-pt shot from 23 ft (assist by P. Beverley)
9:23.0,Utah full timeout,,35-29,,
9:23.0,A. Burks enters the game for R. Hood,,35-29,,
9:09.0,J. Withey misses 2-pt shot from 2 ft (block by M. Harrell),,35-29,,
9:08.0,,,35-29,,Defensive rebound by M. Harrell
9:05.0,,,35-29,,Shooting foul by D. Exum (drawn by L. Williams)
9:05.0,,,35-30,1,L. Williams makes free throw 1 of 2
9:05.0,,,35-31,1,L. Williams makes free throw 2 of 2
8:49.0,J. Ingles makes 3-pt shot from 24 ft (assist by D. Exum),3,38-31,,
