time,Phoenix,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. M. Gasol (M. Conley gains possession),,,,Jump ball: T. Chandler vs. M. Gasol (M. Conley gains possession)
11:36.0,,,0-0,,M. Conley misses 3-pt shot from 25 ft
11:35.0,Defensive rebound by T. Chandler,,0-0,,
11:29.0,E. Bledsoe makes 2-pt shot from 2 ft,2,2-0,,
11:11.0,,,2-0,,T. Allen misses 2-pt shot from 14 ft (block by M. Chriss)
11:10.0,Defensive rebound by T. Warren,,2-0,,
10:55.0,D. Booker makes 2-pt shot from 18 ft,2,4-0,,
10:39.0,,,4-0,,T. Allen misses 2-pt shot from 2 ft
10:38.0,Defensive rebound by T. Chandler,,4-0,,
10:32.0,D. Booker misses 3-pt shot from 24 ft,,4-0,,
10:30.0,,,4-0,,Defensive rebound by J. Green
10:24.0,,,4-0,,Turnover by J. Green (lost ball)
10:10.0,D. Booker misses 3-pt shot from 25 ft,,4-0,,
10:10.0,,,4-0,,Defensive rebound by C. Parsons
10:05.0,,,4-2,2,T. Allen makes 2-pt shot from 2 ft (assist by C. Parsons)
9:54.0,E. Bledsoe misses 2-pt shot from 18 ft,,4-2,,
9:53.0,Offensive rebound by T. Chandler,,4-2,,
9:38.0,Offensive foul by T. Chandler,,4-2,,
9:38.0,Turnover by T. Chandler (offensive foul),,4-2,,
9:18.0,,,4-5,3,C. Parsons makes 3-pt shot from 23 ft (assist by M. Conley)
9:10.0,Turnover by E. Bledsoe (bad pass),,4-5,,
8:58.0,,,4-5,,M. Gasol misses 2-pt shot from 13 ft
8:57.0,Defensive rebound by M. Chriss,,4-5,,
8:49.0,T. Chandler makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,6-5,,
8:38.0,,,6-7,2,M. Conley makes 2-pt shot from 2 ft (assist by T. Allen)
8:18.0,T. Warren misses 2-pt shot from 19 ft,,6-7,,
8:16.0,,,6-7,,Defensive rebound by C. Parsons
8:08.0,,,6-9,2,M. Gasol makes 2-pt shot from 17 ft (assist by C. Parsons)
7:55.0,Offensive foul by T. Chandler,,6-9,,
7:55.0,Turnover by T. Chandler (offensive foul),,6-9,,
7:55.0,A. Len enters the game for T. Chandler,,6-9,,
7:40.0,,,6-9,,M. Gasol misses 2-pt shot from 8 ft
7:38.0,Defensive rebound by D. Booker,,6-9,,
7:29.0,Turnover by M. Chriss (bad pass; steal by M. Conley),,6-9,,
7:24.0,,,6-11,2,J. Green makes 2-pt shot at rim (assist by M. Conley)
7:07.0,Shooting foul by T. Allen (drawn by E. Bledsoe),,6-11,,
7:07.0,E. Bledsoe makes free throw 1 of 2,1,7-11,,
7:07.0,E. Bledsoe makes free throw 2 of 2,1,8-11,,
6:53.0,,,8-11,,T. Allen misses 2-pt shot from 19 ft
6:52.0,Defensive rebound by A. Len,,8-11,,
6:41.0,E. Bledsoe misses 2-pt shot from 2 ft (block by T. Allen),,8-11,,
6:40.0,,,8-11,,Defensive rebound by M. Gasol
6:34.0,,,8-13,2,T. Allen makes 2-pt shot from 3 ft (assist by M. Gasol)
6:15.0,Turnover by D. Booker (bad pass; steal by T. Allen),,8-13,,
6:07.0,,,8-16,3,C. Parsons makes 3-pt shot from 24 ft (assist by T. Allen)
6:06.0,Phoenix full timeout,,8-16,,
6:06.0,P. Tucker enters the game for T. Warren,,8-16,,
6:00.0,Shooting foul by M. Conley (drawn by E. Bledsoe),,8-16,,
6:00.0,E. Bledsoe makes free throw 1 of 2,1,9-16,,
6:00.0,E. Bledsoe makes free throw 2 of 2,1,10-16,,
5:44.0,,,10-16,,M. Conley misses 2-pt shot from 21 ft
5:42.0,Defensive rebound by P. Tucker,,10-16,,
5:40.0,,,10-16,,Personal foul by M. Conley (drawn by D. Booker)
5:40.0,,,10-16,,T. Douglas enters the game for M. Conley
5:40.0,,,10-16,,J. Ennis enters the game for C. Parsons
5:32.0,P. Tucker misses 3-pt shot from 23 ft,,10-16,,
5:31.0,,,10-16,,Defensive rebound by T. Allen
5:08.0,,,10-18,2,J. Ennis makes 2-pt shot from 3 ft (assist by J. Green)
5:03.0,Turnover by P. Tucker (lost ball),,10-18,,
4:47.0,,,10-18,,T. Douglas misses 2-pt shot from 18 ft
4:46.0,Defensive rebound by A. Len,,10-18,,
4:39.0,E. Bledsoe misses 2-pt shot from 20 ft,,10-18,,
4:36.0,,,10-18,,Defensive rebound by T. Douglas
4:20.0,,,10-18,,T. Allen misses 2-pt shot from 3 ft
4:18.0,Defensive rebound by A. Len,,10-18,,
4:11.0,M. Chriss makes 3-pt shot from 23 ft (assist by D. Booker),3,13-18,,
3:51.0,,,13-18,,Shooting foul by E. Bledsoe (drawn by J. Ennis)
3:51.0,,,13-19,1,J. Ennis makes free throw 1 of 2
3:51.0,,,13-20,1,J. Ennis makes free throw 2 of 2
3:51.0,,,13-19,,T. Daniels enters the game for T. Allen
3:51.0,,,13-19,,B. Wright enters the game for J. Green
3:51.0,B. Knight enters the game for E. Bledsoe,,13-19,,
3:35.0,D. Booker misses 2-pt shot from 11 ft (block by J. Ennis),,13-20,,
3:34.0,,,13-20,,Defensive rebound by T. Daniels
3:18.0,Personal foul by B. Knight (drawn by T. Douglas),,13-20,,
3:09.0,,,13-22,2,T. Daniels makes 2-pt shot from 19 ft (assist by T. Douglas)
2:48.0,M. Chriss misses 2-pt shot from 2 ft,,13-22,,
2:47.0,,,13-22,,Defensive rebound by M. Gasol
2:37.0,,,13-22,,T. Douglas misses 2-pt shot from 22 ft
2:35.0,,,13-22,,Offensive rebound by B. Wright
2:26.0,,,13-22,,T. Daniels misses 3-pt shot from 23 ft
2:26.0,Defensive rebound by B. Knight,,13-22,,
2:13.0,M. Chriss misses 3-pt shot from 23 ft,,13-22,,
2:12.0,,,13-22,,Defensive rebound by J. Ennis
2:03.0,,,13-22,,Turnover by T. Douglas (bad pass; steal by A. Len)
1:59.0,P. Tucker misses 2-pt shot from 2 ft (block by J. Ennis),,13-22,,
1:59.0,,,13-22,,Defensive rebound by Team
1:59.0,,,13-22,,Memphis full timeout
1:59.0,J. Dudley enters the game for M. Chriss,,13-22,,
1:59.0,,,13-22,,C. Parsons enters the game for M. Gasol
1:42.0,,,13-22,,Turnover by C. Parsons (bad pass)
1:31.0,A. Len makes 2-pt shot from 18 ft (assist by B. Knight),2,15-22,,
1:18.0,,,15-22,,Turnover by T. Douglas (lost ball; steal by B. Knight)
1:18.0,,,15-22,,Loose ball foul by T. Douglas (drawn by B. Knight)
1:09.0,Turnover by A. Len (3 sec),,15-22,,
0:49.0,,,15-22,,B. Wright misses 2-pt shot from 2 ft
0:47.0,,,15-22,,Offensive rebound by B. Wright
0:47.0,,,15-22,,B. Wright misses 2-pt shot from 1 ft (block by A. Len)
0:45.0,,,15-22,,Offensive rebound by J. Ennis
0:32.0,,,15-22,,C. Parsons misses 2-pt shot from 5 ft
0:30.0,Defensive rebound by J. Dudley,,15-22,,
0:14.0,Turnover by B. Knight (lost ball; steal by T. Daniels),,15-22,,
0:11.0,Clear path foul by J. Dudley,,15-22,,
0:11.0,,,15-22,,B. Wright misses clear path free throw 1 of 2
0:11.0,,,15-22,,Offensive rebound by Team
0:11.0,,,15-22,,B. Wright misses clear path free throw 2 of 2
0:11.0,,,15-22,,Offensive rebound by Team
0:03.0,,,15-24,2,B. Wright makes 2-pt shot from 13 ft
0:00.0,P. Tucker misses 3-pt shot from 28 ft,,15-24,,
0:00.0,Offensive rebound by Team,,15-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,15-24,,Violation by T. Douglas (kicked ball)
11:43.0,B. Knight makes 2-pt shot from 8 ft,2,17-24,,
11:29.0,,,17-24,,C. Parsons misses 2-pt shot from 19 ft
