time,Indiana,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. M. Turner (C. Frye gains possession),,,,Jump ball: T. Thompson vs. M. Turner (C. Frye gains possession)
11:37.0,,,0-0,,Shooting foul by J. Teague (drawn by K. Irving)
11:37.0,,,0-1,1,K. Irving makes free throw 1 of 2
11:37.0,,,0-2,1,K. Irving makes free throw 2 of 2
11:23.0,P. George makes 3-pt shot from 25 ft (assist by J. Teague),3,3-2,,
11:02.0,,,3-2,,K. Irving misses 3-pt shot from 26 ft
11:02.0,Defensive rebound by M. Turner,,3-2,,
10:52.0,J. Teague makes 2-pt shot from 13 ft,2,5-2,,
10:40.0,,,5-2,,L. James misses 2-pt shot from 1 ft
10:39.0,Defensive rebound by G. Robinson,,5-2,,
10:27.0,J. Teague makes 3-pt shot from 26 ft (assist by G. Robinson),3,8-2,,
10:07.0,,,8-2,,K. Irving misses 3-pt shot from 26 ft
10:07.0,Defensive rebound by P. George,,8-2,,
9:57.0,P. George misses 3-pt shot from 25 ft,,8-2,,
9:57.0,,,8-2,,Defensive rebound by C. Frye
9:45.0,,,8-4,2,T. Thompson makes 2-pt shot from 1 ft (assist by L. James)
9:33.0,Shooting foul by C. Frye (drawn by P. George),,8-4,,
9:33.0,P. George makes free throw 1 of 2,1,9-4,,
9:33.0,P. George makes free throw 2 of 2,1,10-4,,
9:19.0,,,10-7,3,L. James makes 3-pt shot from 26 ft (assist by K. Irving)
9:00.0,M. Turner misses 2-pt shot from 19 ft,,10-7,,
9:00.0,,,10-7,,Defensive rebound by Team
8:52.0,,,10-7,,L. James misses 2-pt shot from 8 ft
8:50.0,Defensive rebound by G. Robinson,,10-7,,
8:44.0,P. George makes 3-pt shot from 25 ft (assist by J. Teague),3,13-7,,
8:19.0,,,13-7,,C. Frye misses 3-pt shot from 26 ft
8:19.0,Defensive rebound by M. Turner,,13-7,,
8:10.0,K. Seraphin misses 2-pt shot from 8 ft,,13-7,,
8:08.0,,,13-7,,Defensive rebound by T. Thompson
8:00.0,,,13-9,2,K. Irving makes 2-pt shot from 1 ft
7:40.0,K. Seraphin makes 2-pt shot from 7 ft (assist by P. George),2,15-9,,
7:22.0,,,15-9,,C. Frye misses 3-pt shot from 24 ft
7:21.0,Defensive rebound by P. George,,15-9,,
7:10.0,P. George misses 2-pt shot from 22 ft,,15-9,,
7:09.0,Offensive rebound by M. Turner,,15-9,,
7:09.0,M. Turner misses 2-pt shot from 1 ft,,15-9,,
7:08.0,,,15-9,,Defensive rebound by C. Frye
6:53.0,,,15-12,3,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James)
6:38.0,Turnover by J. Teague (bad pass; steal by K. Irving),,15-12,,
6:36.0,,,15-12,,K. Irving misses 2-pt shot from 1 ft
6:36.0,Defensive rebound by Team,,15-12,,
6:36.0,,,15-12,,Loose ball foul by T. Thompson (drawn by M. Turner)
6:20.0,G. Robinson makes 3-pt shot from 23 ft (assist by P. George),3,18-12,,
6:05.0,Personal block foul by G. Robinson (drawn by I. Shumpert),,18-12,,
5:55.0,,,18-12,,C. Frye misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by J. Teague,,18-12,,
5:48.0,K. Seraphin makes 2-pt shot from 8 ft (assist by J. Teague),2,20-12,,
5:48.0,,,20-12,,Cleveland full timeout
5:48.0,M. Ellis enters the game for G. Robinson,,20-12,,
5:42.0,,,20-15,3,L. James makes 3-pt shot from 24 ft (assist by K. Irving)
5:11.0,J. Teague misses 2-pt shot from 11 ft,,20-15,,
5:10.0,,,20-15,,Defensive rebound by L. James
5:00.0,,,20-15,,L. James misses 2-pt shot from 3 ft (block by M. Turner)
4:59.0,Defensive rebound by J. Teague,,20-15,,
4:52.0,P. George makes 2-pt shot from 1 ft (assist by J. Teague),2,22-15,,
4:33.0,,,22-18,3,L. James makes 3-pt shot from 24 ft (assist by T. Thompson)
4:23.0,P. George misses 3-pt shot from 25 ft,,22-18,,
4:22.0,,,22-18,,Defensive rebound by C. Frye
4:02.0,,,22-18,,C. Frye misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by M. Ellis,,22-18,,
3:55.0,J. Teague misses 3-pt shot from 23 ft,,22-18,,
3:53.0,Offensive rebound by P. George,,22-18,,
3:49.0,P. George misses 2-pt shot from 17 ft,,22-18,,
3:48.0,,,22-18,,Defensive rebound by C. Frye
3:39.0,,,22-20,2,K. Irving makes 2-pt shot from 14 ft
3:25.0,M. Turner makes 2-pt shot at rim (assist by J. Teague),2,24-20,,
3:25.0,,,24-20,,Cleveland full timeout
3:25.0,C. Miles enters the game for K. Seraphin,,24-20,,
3:25.0,A. Jefferson enters the game for M. Turner,,24-20,,
3:25.0,,,24-20,,D. Williams enters the game for L. James
3:25.0,,,24-20,,K. Korver enters the game for I. Shumpert
3:12.0,Personal foul by A. Jefferson (drawn by K. Irving),,24-20,,
3:12.0,G. Robinson enters the game for P. George,,24-20,,
3:12.0,,,24-20,,R. Jefferson enters the game for C. Frye
2:59.0,,,24-20,,T. Thompson misses 2-pt shot from 8 ft
2:59.0,,,24-20,,Offensive rebound by T. Thompson
2:54.0,,,24-22,2,T. Thompson makes 2-pt shot from 8 ft
2:36.0,M. Ellis makes 2-pt shot from 1 ft (assist by J. Teague),2,26-22,,
2:23.0,,,26-25,3,K. Irving makes 3-pt shot from 25 ft
2:03.0,G. Robinson misses 3-pt shot from 25 ft,,26-25,,
2:02.0,Offensive rebound by J. Teague,,26-25,,
1:56.0,Turnover by J. Teague (bad pass; steal by T. Thompson),,26-25,,
1:37.0,,,26-25,,K. Irving misses 2-pt shot from 20 ft
1:36.0,Defensive rebound by G. Robinson,,26-25,,
1:33.0,Indiana full timeout,,26-25,,
1:33.0,,,26-25,,C. Frye enters the game for T. Thompson
1:33.0,R. Stuckey enters the game for J. Teague,,26-25,,
1:25.0,,,26-25,,Personal foul by K. Korver (drawn by A. Jefferson)
1:14.0,A. Jefferson misses 2-pt shot from 10 ft,,26-25,,
1:13.0,,,26-25,,Defensive rebound by D. Williams
0:55.0,,,26-25,,D. Williams misses 2-pt shot from 9 ft
0:53.0,Defensive rebound by G. Robinson,,26-25,,
0:46.0,C. Miles misses 3-pt shot from 24 ft,,26-25,,
0:45.0,Offensive rebound by G. Robinson,,26-25,,
0:45.0,G. Robinson makes 2-pt shot from 2 ft,2,28-25,,
0:33.0,,,28-28,3,K. Korver makes 3-pt shot from 26 ft (assist by K. Irving)
0:27.0,R. Stuckey makes 2-pt shot from 11 ft,2,30-28,,
0:09.0,,,30-28,,Turnover by K. Korver (bad pass; steal by M. Ellis)
0:05.0,M. Ellis makes 2-pt shot at rim (assist by A. Jefferson),2,32-28,,
0:02.0,Personal foul by R. Stuckey (drawn by K. Irving),,32-28,,
0:02.0,M. Turner enters the game for A. Jefferson,,32-28,,
0:00.0,,,32-28,,K. Irving misses 2-pt shot from 20 ft
0:00.0,,,32-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by M. Ellis (traveling),,32-28,,
11:38.0,Personal foul by R. Stuckey (drawn by D. Williams),,32-28,,
11:28.0,,,32-30,2,L. James makes 2-pt shot from 2 ft
11:09.0,M. Turner makes 2-pt shot from 15 ft (assist by M. Ellis),2,34-30,,
10:48.0,,,34-32,2,L. James makes 2-pt shot at rim (assist by K. Korver)
10:31.0,,,34-32,,Personal foul by C. Frye (drawn by P. George)
10:18.0,P. George misses 2-pt shot from 13 ft,,34-32,,
10:17.0,,,34-32,,Defensive rebound by C. Frye
10:02.0,,,34-34,2,C. Frye makes 2-pt shot at rim (assist by L. James)
9:49.0,P. George misses 2-pt shot from 2 ft,,34-34,,
9:47.0,,,34-34,,Defensive rebound by C. Frye
9:45.0,,,34-34,,Shooting foul by M. Turner (drawn by L. James)
9:45.0,,,34-35,1,L. James makes free throw 1 of 2
9:45.0,,,34-36,1,L. James makes free throw 2 of 2
9:27.0,M. Turner misses 3-pt shot from 25 ft,,34-36,,
9:27.0,,,34-36,,Defensive rebound by D. Williams
9:13.0,,,34-39,3,K. Korver makes 3-pt shot from 23 ft (assist by C. Frye)
9:09.0,Indiana full timeout,,34-39,,
8:53.0,Turnover by C. Miles (bad pass; steal by K. Korver),,34-39,,
8:45.0,,,34-41,2,L. James makes 2-pt shot from 1 ft
8:35.0,R. Stuckey misses 2-pt shot from 15 ft,,34-41,,
8:34.0,,,34-41,,Defensive rebound by K. Korver
8:28.0,Shooting block foul by R. Stuckey (drawn by D. Williams),,34-41,,
8:28.0,,,34-41,,D. Williams misses free throw 1 of 2
8:28.0,,,34-41,,Offensive rebound by Team
8:28.0,,,34-42,1,D. Williams makes free throw 2 of 2
8:28.0,J. Teague enters the game for R. Stuckey,,34-41,,
8:17.0,M. Turner makes 2-pt shot at rim (assist by M. Ellis),2,36-42,,
8:17.0,Shooting foul by K. Korver (drawn by M. Turner),,36-42,,
8:17.0,M. Turner makes free throw 1 of 1,1,37-42,,
8:05.0,,,37-42,,Turnover by L. James (bad pass; steal by M. Turner)
7:58.0,C. Miles makes 2-pt shot from 1 ft (assist by J. Teague),2,39-42,,
7:58.0,,,39-42,,Cleveland full timeout
7:58.0,,,39-42,,T. Thompson enters the game for C. Frye
7:35.0,,,39-42,,T. Thompson misses 2-pt shot from 1 ft
7:34.0,Defensive rebound by M. Turner,,39-42,,
7:19.0,M. Turner makes 2-pt shot at rim (assist by M. Ellis),2,41-42,,
7:02.0,,,41-42,,K. Korver misses 2-pt shot from 10 ft
7:01.0,Defensive rebound by C. Miles,,41-42,,
6:50.0,P. George misses 2-pt shot from 1 ft,,41-42,,
6:48.0,,,41-42,,Defensive rebound by K. Korver
6:46.0,,,41-42,,Turnover by L. James (traveling)
6:46.0,,,41-42,,I. Shumpert enters the game for R. Jefferson
6:46.0,,,41-42,,K. Irving enters the game for L. James
6:38.0,Offensive foul by M. Turner,,41-42,,
6:38.0,Turnover by M. Turner (offensive foul),,41-42,,
6:19.0,,,41-44,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
6:03.0,M. Turner makes 2-pt shot from 7 ft (assist by J. Teague),2,43-44,,
5:37.0,,,43-47,3,D. Williams makes 3-pt shot from 24 ft (assist by I. Shumpert)
5:26.0,J. Teague makes 2-pt shot from 1 ft,2,45-47,,
5:26.0,Shooting foul by I. Shumpert (drawn by J. Teague),,45-47,,
5:26.0,J. Teague makes free throw 1 of 1,1,46-47,,
5:12.0,Personal foul by M. Ellis (drawn by K. Irving),,46-47,,
5:12.0,K. Seraphin enters the game for C. Miles,,46-47,,
5:12.0,,,46-47,,C. Frye enters the game for D. Williams
5:05.0,,,46-50,3,K. Korver makes 3-pt shot from 33 ft (assist by C. Frye)
4:54.0,J. Teague misses 2-pt shot from 18 ft,,46-50,,
4:53.0,Offensive rebound by M. Turner,,46-50,,
4:52.0,Turnover by M. Ellis (lost ball),,46-50,,
4:41.0,,,46-50,,I. Shumpert misses 3-pt shot from 24 ft
4:40.0,,,46-50,,Offensive rebound by T. Thompson
4:28.0,Violation by M. Turner (kicked ball),,46-50,,
4:28.0,A. Jefferson enters the game for M. Turner,,46-50,,
4:16.0,,,46-52,2,K. Irving makes 2-pt shot from 2 ft
3:54.0,J. Teague misses 2-pt shot from 9 ft,,46-52,,
3:53.0,,,46-52,,Defensive rebound by K. Irving
3:48.0,,,46-54,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
3:30.0,J. Teague makes 3-pt shot from 25 ft (assist by P. George),3,49-54,,
3:11.0,,,49-54,,C. Frye misses 3-pt shot from 27 ft
3:11.0,Defensive rebound by A. Jefferson,,49-54,,
2:55.0,M. Ellis makes 3-pt shot from 24 ft (assist by K. Seraphin),3,52-54,,
2:53.0,,,52-54,,Cleveland full timeout
2:53.0,,,52-54,,L. James enters the game for K. Korver
2:35.0,,,52-54,,C. Frye misses 3-pt shot from 25 ft
2:34.0,Defensive rebound by J. Teague,,52-54,,
2:16.0,P. George misses 2-pt shot from 16 ft,,52-54,,
2:15.0,,,52-54,,Defensive rebound by L. James
2:08.0,,,52-54,,Shooting foul by A. Jefferson (drawn by L. James)
2:08.0,,,52-54,,L. James misses free throw 1 of 2
2:08.0,,,52-54,,Offensive rebound by Team
2:08.0,,,52-55,1,L. James makes free throw 2 of 2
2:08.0,G. Robinson enters the game for M. Ellis,,52-54,,
1:51.0,A. Jefferson makes 2-pt shot from 15 ft,2,54-55,,
1:40.0,,,54-57,2,K. Irving makes 2-pt shot from 17 ft
1:18.0,A. Jefferson misses 2-pt shot from 17 ft,,54-57,,
1:17.0,Offensive rebound by P. George,,54-57,,
1:17.0,P. George misses 2-pt shot from 2 ft,,54-57,,
1:15.0,,,54-57,,Defensive rebound by C. Frye
1:08.0,,,54-57,,K. Irving misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by P. George,,54-57,,
1:00.0,,,54-57,,Personal foul by L. James (drawn by P. George)
1:00.0,,,54-57,,D. Williams enters the game for C. Frye
0:46.0,J. Teague misses 3-pt shot from 27 ft,,54-57,,
0:45.0,,,54-57,,Defensive rebound by I. Shumpert
0:24.0,,,54-57,,D. Williams misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by A. Jefferson,,54-57,,
0:17.0,Indiana full timeout,,54-57,,
0:17.0,,,54-57,,D. Liggins enters the game for K. Irving
0:17.0,M. Turner enters the game for K. Seraphin,,54-57,,
0:17.0,C. Miles enters the game for A. Jefferson,,54-57,,
0:00.0,P. George misses 2-pt shot from 7 ft (block by D. Liggins),,54-57,,
0:00.0,Offensive rebound by Team,,54-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,J. Teague misses 2-pt shot from 16 ft,,54-57,,
11:45.0,Offensive rebound by M. Turner,,54-57,,
11:33.0,P. George misses 2-pt shot from 17 ft,,54-57,,
11:31.0,,,54-57,,Defensive rebound by C. Frye
11:21.0,,,54-57,,Offensive charge foul by C. Frye
11:21.0,,,54-57,,Turnover by C. Frye (offensive foul)
11:14.0,,,54-57,,Personal foul by I. Shumpert (drawn by P. George)
11:04.0,P. George misses 2-pt shot from 23 ft,,54-57,,
11:04.0,,,54-57,,Defensive rebound by T. Thompson
10:47.0,,,54-57,,K. Irving misses 2-pt shot from 9 ft
10:47.0,Defensive rebound by Team,,54-57,,
10:47.0,,,54-57,,Loose ball foul by T. Thompson (drawn by M. Turner)
10:32.0,Turnover by M. Turner (bad pass; steal by L. James),,54-57,,
10:26.0,,,54-59,2,L. James makes 2-pt shot from 1 ft
10:08.0,M. Turner misses 2-pt shot from 12 ft,,54-59,,
10:08.0,,,54-59,,Defensive rebound by L. James
9:59.0,,,54-62,3,I. Shumpert makes 3-pt shot from 25 ft (assist by K. Irving)
9:30.0,G. Robinson makes 2-pt shot from 19 ft (assist by J. Teague),2,56-62,,
9:11.0,,,56-64,2,L. James makes 2-pt shot from 12 ft
8:54.0,J. Teague misses 2-pt shot from 10 ft,,56-64,,
8:53.0,,,56-64,,Defensive rebound by T. Thompson
8:33.0,,,56-64,,Turnover by K. Irving (traveling)
8:22.0,,,56-64,,Personal foul by I. Shumpert (drawn by M. Turner)
8:15.0,G. Robinson makes 3-pt shot from 26 ft (assist by M. Turner),3,59-64,,
7:53.0,,,59-66,2,L. James makes 2-pt shot from 15 ft
7:37.0,Shooting foul by L. James (drawn by M. Turner),,59-66,,
7:37.0,M. Turner misses free throw 1 of 2,,59-66,,
7:37.0,Offensive rebound by Team,,59-66,,
7:37.0,M. Turner misses free throw 2 of 2,,59-66,,
7:36.0,,,59-66,,Defensive rebound by T. Thompson
7:15.0,,,59-66,,Shooting foul by K. Seraphin (drawn by C. Frye)
7:15.0,,,59-67,1,C. Frye makes free throw 1 of 2
7:15.0,,,59-68,1,C. Frye makes free throw 2 of 2
7:02.0,P. George misses 2-pt shot from 19 ft,,59-68,,
7:02.0,,,59-68,,Defensive rebound by Team
7:00.0,Jump ball: C. Frye vs. M. Turner (I. Shumpert gains possession),,,,Jump ball: C. Frye vs. M. Turner (I. Shumpert gains possession)
6:43.0,,,59-68,,T. Thompson misses 2-pt shot from 11 ft
6:43.0,Defensive rebound by K. Seraphin,,59-68,,
6:31.0,G. Robinson misses 3-pt shot from 24 ft,,59-68,,
6:30.0,,,59-68,,Defensive rebound by L. James
6:06.0,,,59-68,,L. James misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by K. Seraphin,,59-68,,
5:59.0,J. Teague makes 2-pt shot from 2 ft,2,61-68,,
5:59.0,,,61-68,,Cleveland full timeout
5:59.0,,,61-68,,D. Williams enters the game for I. Shumpert
5:59.0,M. Ellis enters the game for G. Robinson,,61-68,,
5:44.0,,,61-68,,C. Frye misses 2-pt shot from 18 ft
5:43.0,,,61-68,,Offensive rebound by T. Thompson
5:43.0,,,61-70,2,T. Thompson makes 2-pt shot from 1 ft
5:22.0,P. George misses 2-pt shot from 19 ft,,61-70,,
5:22.0,,,61-70,,Defensive rebound by K. Irving
5:04.0,,,61-70,,K. Irving misses 3-pt shot from 26 ft
5:04.0,Defensive rebound by M. Ellis,,61-70,,
4:43.0,M. Ellis makes 3-pt shot from 25 ft (assist by J. Teague),3,64-70,,
4:23.0,,,64-73,3,D. Williams makes 3-pt shot from 24 ft (assist by L. James)
4:16.0,M. Ellis makes 2-pt shot from 19 ft (assist by J. Teague),2,66-73,,
3:49.0,,,66-76,3,L. James makes 3-pt shot from 25 ft
3:34.0,M. Turner misses 2-pt shot from 20 ft,,66-76,,
3:33.0,,,66-76,,Defensive rebound by D. Williams
3:11.0,,,66-78,2,L. James makes 2-pt shot from 1 ft
3:11.0,Indiana full timeout,,66-78,,
3:11.0,C. Miles enters the game for K. Seraphin,,66-78,,
3:11.0,A. Jefferson enters the game for M. Turner,,66-78,,
3:01.0,Shooting foul by C. Frye (drawn by C. Miles),,66-78,,
3:01.0,C. Miles makes free throw 1 of 3,1,67-78,,
3:01.0,C. Miles makes free throw 2 of 3,1,68-78,,
3:01.0,C. Miles makes free throw 3 of 3,1,69-78,,
3:01.0,,,68-78,,K. Korver enters the game for C. Frye
2:43.0,,,69-78,,D. Williams misses 3-pt shot from 24 ft
2:43.0,Defensive rebound by P. George,,69-78,,
2:33.0,J. Teague misses 2-pt shot from 9 ft,,69-78,,
2:32.0,Offensive rebound by A. Jefferson,,69-78,,
2:31.0,C. Miles makes 3-pt shot from 25 ft (assist by A. Jefferson),3,72-78,,
2:11.0,,,72-78,,D. Williams misses 3-pt shot from 23 ft
2:10.0,Defensive rebound by A. Jefferson,,72-78,,
2:08.0,,,72-78,,Personal foul by K. Irving (drawn by J. Teague)
2:08.0,J. Teague makes free throw 1 of 2,1,73-78,,
2:08.0,J. Teague makes free throw 2 of 2,1,74-78,,
2:08.0,,,73-78,,R. Jefferson enters the game for L. James
2:08.0,G. Robinson enters the game for P. George,,73-78,,
1:50.0,,,74-78,,Turnover by K. Irving (offensive foul)
1:50.0,,,74-78,,Offensive foul by K. Irving
1:50.0,A. Brooks enters the game for J. Teague,,74-78,,
1:38.0,A. Jefferson makes 2-pt shot from 8 ft (assist by M. Ellis),2,76-78,,
1:23.0,,,76-78,,K. Irving misses 2-pt shot from 12 ft
1:23.0,Defensive rebound by A. Jefferson,,76-78,,
1:01.0,A. Jefferson misses 2-pt shot from 10 ft,,76-78,,
1:00.0,,,76-78,,Defensive rebound by K. Korver
0:48.0,,,76-78,,Shooting foul by C. Miles (drawn by K. Irving)
0:48.0,,,76-79,1,K. Irving makes free throw 1 of 3
0:48.0,,,76-80,1,K. Irving makes free throw 2 of 3
0:48.0,,,76-81,1,K. Irving makes free throw 3 of 3
