time,Minnesota,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. K. Towns (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. K. Towns (R. Jackson gains possession)
11:44.0,Def 3 sec tech foul by K. Towns,,0-0,,
11:44.0,,,0-0,,J. Leuer misses technical free throw
11:44.0,,,0-0,,Offensive rebound by Team
11:35.0,,,0-3,3,J. Leuer makes 3-pt shot from 26 ft (assist by R. Jackson)
11:22.0,K. Towns misses 2-pt shot from 3 ft (block by A. Drummond),,0-3,,
11:20.0,,,0-3,,Defensive rebound by R. Jackson
11:17.0,,,0-3,,M. Morris misses 3-pt shot from 25 ft
11:15.0,,,0-3,,Offensive rebound by A. Drummond
11:14.0,,,0-3,,A. Drummond misses 2-pt shot from 3 ft (block by G. Dieng)
11:13.0,,,0-3,,Offensive rebound by A. Drummond
11:12.0,,,0-5,2,A. Drummond makes 2-pt shot from 1 ft
11:02.0,Minnesota full timeout,,0-5,,
10:57.0,,,0-5,,Personal foul by A. Drummond (drawn by K. Towns)
10:48.0,,,0-5,,Def 3 sec tech foul by A. Drummond
10:48.0,R. Rubio makes technical free throw,1,1-5,,
10:37.0,,,1-5,,Violation by A. Drummond (def goaltending)
10:37.0,K. Towns makes 2-pt shot from 1 ft,2,3-5,,
10:25.0,,,3-5,,J. Leuer misses 3-pt shot from 26 ft
10:24.0,Defensive rebound by A. Wiggins,,3-5,,
10:15.0,Shooting foul by J. Leuer (drawn by K. Towns),,3-5,,
10:15.0,K. Towns makes free throw 1 of 2,1,4-5,,
10:15.0,K. Towns misses free throw 2 of 2,,4-5,,
10:14.0,,,4-5,,Defensive rebound by A. Drummond
10:00.0,,,4-7,2,J. Leuer makes 2-pt shot from 18 ft (assist by K. Caldwell-Pope)
9:43.0,K. Towns misses 2-pt shot from 7 ft,,4-7,,
9:42.0,,,4-7,,Defensive rebound by A. Drummond
9:30.0,,,4-7,,K. Caldwell-Pope misses 2-pt shot from 18 ft
9:29.0,,,4-7,,Offensive rebound by M. Morris
9:18.0,,,4-7,,J. Leuer misses 2-pt shot from 12 ft
9:16.0,Defensive rebound by G. Dieng,,4-7,,
9:04.0,Z. LaVine makes 2-pt shot from 19 ft (assist by K. Towns),2,6-7,,
8:53.0,Personal foul by A. Wiggins (drawn by M. Morris),,6-7,,
8:53.0,,,6-7,,Turnover by M. Morris (bad pass; steal by R. Rubio)
8:50.0,R. Rubio misses 2-pt shot at rim,,6-7,,
8:48.0,Offensive rebound by K. Towns,,6-7,,
8:46.0,R. Rubio misses 2-pt shot from 15 ft,,6-7,,
8:44.0,,,6-7,,Defensive rebound by J. Leuer
8:32.0,,,6-9,2,R. Jackson makes 2-pt shot from 15 ft
8:15.0,R. Rubio misses 2-pt shot from 1 ft (block by A. Drummond),,6-9,,
8:14.0,,,6-9,,Defensive rebound by A. Drummond
8:07.0,,,6-12,3,M. Morris makes 3-pt shot from 26 ft (assist by R. Jackson)
7:46.0,G. Dieng makes 2-pt shot from 1 ft,2,8-12,,
7:34.0,,,8-12,,R. Jackson misses 2-pt shot from 1 ft (block by K. Towns)
7:32.0,Defensive rebound by G. Dieng,,8-12,,
7:25.0,A. Wiggins misses 2-pt shot from 7 ft,,8-12,,
7:24.0,,,8-12,,Defensive rebound by R. Jackson
7:16.0,,,8-14,2,R. Jackson makes 2-pt shot from 5 ft
6:53.0,R. Rubio misses 3-pt shot from 26 ft,,8-14,,
6:53.0,Offensive rebound by Z. LaVine,,8-14,,
6:50.0,Z. LaVine makes 2-pt shot from 1 ft,2,10-14,,
6:33.0,,,10-16,2,J. Leuer makes 2-pt shot from 16 ft (assist by K. Caldwell-Pope)
6:13.0,Z. LaVine misses 3-pt shot from 25 ft,,10-16,,
