time,Boston,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: A. Johnson vs. J. Valanciunas (K. Lowry gains possession)
11:42.0,,,0-0,,J. Valanciunas misses 2-pt shot from 18 ft
11:42.0,Defensive rebound by A. Horford,,0-0,,
11:19.0,A. Horford misses 2-pt shot from 14 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by J. Valanciunas
11:12.0,,,0-0,,Shooting foul by A. Johnson (drawn by J. Valanciunas)
11:12.0,,,0-1,1,J. Valanciunas makes free throw 1 of 2
11:12.0,,,0-2,1,J. Valanciunas makes free throw 2 of 2
10:57.0,I. Thomas misses 2-pt shot from 20 ft,,0-2,,
10:57.0,,,0-2,,Defensive rebound by J. Valanciunas
10:39.0,,,0-4,2,J. Valanciunas makes 2-pt shot from 2 ft
10:23.0,M. Smart misses 2-pt shot from 19 ft,,0-4,,
10:23.0,,,0-4,,Defensive rebound by J. Valanciunas
10:11.0,,,0-4,,K. Lowry misses 2-pt shot from 7 ft
10:11.0,Defensive rebound by M. Smart,,0-4,,
10:06.0,A. Horford makes 2-pt shot at rim (assist by M. Smart),2,2-4,,
9:47.0,,,2-4,,Turnover by J. Valanciunas (offensive foul)
9:47.0,,,2-4,,Offensive charge foul by J. Valanciunas
9:33.0,J. Crowder misses 3-pt shot from 26 ft,,2-4,,
9:33.0,,,2-4,,Defensive rebound by D. DeRozan
9:22.0,,,2-6,2,D. DeRozan makes 2-pt shot at rim
9:06.0,A. Johnson misses 3-pt shot from 26 ft,,2-6,,
9:05.0,Offensive rebound by A. Horford,,2-6,,
8:56.0,M. Smart makes 3-pt shot from 23 ft (assist by J. Crowder),3,5-6,,
8:29.0,,,5-6,,D. Carroll misses 2-pt shot from 19 ft
8:28.0,Defensive rebound by I. Thomas,,5-6,,
8:10.0,Turnover by A. Horford (bad pass; steal by D. DeRozan),,5-6,,
8:02.0,,,5-6,,P. Patterson misses 3-pt shot from 24 ft
8:02.0,Defensive rebound by A. Horford,,5-6,,
7:53.0,A. Johnson makes 2-pt shot from 5 ft (assist by A. Horford),2,7-6,,
7:33.0,,,7-6,,D. DeRozan misses 2-pt shot from 9 ft
7:32.0,,,7-6,,Offensive rebound by J. Valanciunas
7:32.0,,,7-6,,J. Valanciunas misses 2-pt shot from 1 ft
7:29.0,,,7-6,,Offensive rebound by J. Valanciunas
7:26.0,,,7-8,2,J. Valanciunas makes 2-pt shot from 2 ft
7:04.0,A. Johnson misses 2-pt shot at rim (block by P. Patterson),,7-8,,
7:03.0,Offensive rebound by A. Johnson,,7-8,,
7:02.0,A. Johnson makes 2-pt shot from 1 ft,2,9-8,,
6:40.0,,,9-8,,J. Valanciunas misses 2-pt shot from 9 ft
6:39.0,Defensive rebound by A. Johnson,,9-8,,
6:29.0,I. Thomas misses 3-pt shot from 25 ft,,9-8,,
6:28.0,,,9-8,,Defensive rebound by D. DeRozan
6:12.0,,,9-8,,D. DeRozan misses 2-pt shot from 7 ft
6:12.0,,,9-8,,Offensive rebound by J. Valanciunas
6:11.0,,,9-8,,J. Valanciunas misses 2-pt shot from 2 ft
6:08.0,,,9-8,,Offensive rebound by J. Valanciunas
6:08.0,Jump ball: I. Thomas vs. J. Valanciunas (P. Patterson gains possession),,,,Jump ball: I. Thomas vs. J. Valanciunas (P. Patterson gains possession)
6:04.0,,,9-8,,Turnover by Team (back court)
5:51.0,M. Smart misses 3-pt shot from 25 ft,,9-8,,
5:50.0,,,9-8,,Defensive rebound by D. DeRozan
5:41.0,,,9-10,2,K. Lowry makes 2-pt shot from 1 ft
5:41.0,Boston full timeout,,9-10,,
5:27.0,Turnover by J. Crowder (bad pass; steal by K. Lowry),,9-10,,
5:21.0,,,9-13,3,D. Carroll makes 3-pt shot from 24 ft (assist by K. Lowry)
5:08.0,,,9-13,,Personal block foul by D. Carroll (drawn by I. Thomas)
5:04.0,I. Thomas makes 3-pt shot from 26 ft (assist by A. Johnson),3,12-13,,
4:43.0,,,12-15,2,D. DeRozan makes 2-pt shot from 4 ft
4:43.0,,,12-15,,Shooting foul by A. Johnson (drawn by D. DeRozan)
4:43.0,,,12-16,1,D. DeRozan makes free throw 1 of 1
4:43.0,K. Olynyk enters the game for A. Johnson,,12-15,,
4:43.0,J. Brown enters the game for M. Smart,,12-15,,
4:24.0,A. Horford misses 3-pt shot from 23 ft,,12-16,,
4:24.0,,,12-16,,Defensive rebound by J. Valanciunas
4:10.0,,,12-16,,D. DeRozan misses 2-pt shot from 6 ft
4:10.0,,,12-16,,Offensive rebound by K. Lowry
4:03.0,,,12-19,3,K. Lowry makes 3-pt shot from 27 ft
3:55.0,I. Thomas makes 2-pt shot from 3 ft,2,14-19,,
3:40.0,,,14-19,,Turnover by J. Valanciunas (3 sec)
3:40.0,,,14-19,,L. Nogueira enters the game for P. Patterson
3:24.0,J. Crowder misses 3-pt shot from 24 ft,,14-19,,
3:24.0,,,14-19,,Defensive rebound by K. Lowry
3:18.0,,,14-21,2,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry)
3:01.0,J. Crowder misses 2-pt shot from 5 ft,,14-21,,
3:00.0,Offensive rebound by K. Olynyk,,14-21,,
3:00.0,Shooting foul by J. Valanciunas (drawn by K. Olynyk),,14-21,,
3:00.0,K. Olynyk misses free throw 1 of 2,,14-21,,
3:00.0,Offensive rebound by Team,,14-21,,
3:00.0,K. Olynyk misses free throw 2 of 2,,14-21,,
3:00.0,,,14-21,,Defensive rebound by J. Valanciunas
3:00.0,,,14-21,,Toronto full timeout
3:00.0,T. Rozier enters the game for I. Thomas,,14-21,,
3:00.0,,,14-21,,C. Joseph enters the game for J. Valanciunas
3:00.0,,,14-21,,T. Ross enters the game for K. Lowry
2:45.0,,,14-21,,D. DeRozan misses 2-pt shot from 18 ft
2:45.0,Defensive rebound by A. Horford,,14-21,,
2:28.0,K. Olynyk makes 2-pt shot from 1 ft (assist by A. Horford),2,16-21,,
2:04.0,,,16-21,,C. Joseph misses 3-pt shot from 26 ft
2:03.0,Defensive rebound by K. Olynyk,,16-21,,
1:52.0,J. Brown misses 2-pt shot from 13 ft,,16-21,,
1:52.0,Offensive rebound by A. Horford,,16-21,,
1:49.0,Turnover by J. Brown (traveling),,16-21,,
1:49.0,J. Jerebko enters the game for A. Horford,,16-21,,
1:36.0,M. Smart enters the game for J. Crowder,,16-21,,
1:27.0,,,16-21,,D. Carroll misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by J. Brown,,16-21,,
1:19.0,J. Jerebko misses 2-pt shot at rim (block by L. Nogueira),,16-21,,
1:18.0,,,16-21,,Defensive rebound by C. Joseph
1:14.0,,,16-21,,Offensive charge foul by D. Carroll
1:14.0,,,16-21,,Turnover by D. Carroll (offensive foul)
0:55.0,T. Rozier misses 3-pt shot from 26 ft,,16-21,,
0:55.0,,,16-21,,Defensive rebound by Team
0:55.0,Loose ball foul by J. Jerebko (drawn by D. DeRozan),,16-21,,
0:55.0,,,16-21,,N. Powell enters the game for D. Carroll
0:38.0,,,16-21,,Turnover by D. DeRozan (bad pass)
0:29.0,Turnover by K. Olynyk (lost ball; steal by D. DeRozan),,16-21,,
0:09.0,,,16-21,,C. Joseph misses 2-pt shot from 5 ft
0:09.0,,,16-21,,Offensive rebound by L. Nogueira
0:08.0,,,16-23,2,L. Nogueira makes 2-pt shot from 1 ft
0:01.0,M. Smart makes 2-pt shot from 2 ft (assist by T. Rozier),2,18-23,,
0:00.0,,,18-23,,L. Nogueira misses 3-pt shot from 58 ft
0:00.0,,,18-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,J. Brown makes 2-pt shot from 4 ft,2,20-23,,
11:26.0,,,20-23,,Shooting foul by J. Brown (drawn by K. Lowry)
11:26.0,,,20-24,1,K. Lowry makes free throw 1 of 3
11:26.0,,,20-24,,K. Lowry misses free throw 2 of 3
11:26.0,,,20-24,,Offensive rebound by Team
11:26.0,,,20-25,1,K. Lowry makes free throw 3 of 3
11:26.0,G. Green enters the game for J. Brown,,20-24,,
11:13.0,K. Olynyk makes 2-pt shot from 4 ft (assist by I. Thomas),2,22-25,,
10:59.0,,,22-27,2,N. Powell makes 2-pt shot from 1 ft (assist by L. Nogueira)
10:43.0,K. Olynyk makes 2-pt shot from 3 ft (assist by I. Thomas),2,24-27,,
10:26.0,,,24-29,2,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry)
10:04.0,I. Thomas misses 2-pt shot from 20 ft,,24-29,,
10:03.0,,,24-29,,Defensive rebound by K. Lowry
9:59.0,,,24-29,,Turnover by K. Lowry (bad pass)
