time,Brooklyn,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. B. Lopez (I. Whitehead gains possession),,,,Jump ball: P. Gasol vs. B. Lopez (I. Whitehead gains possession)
11:47.0,B. Lopez makes 2-pt shot from 12 ft (assist by I. Whitehead),2,2-0,,
11:30.0,,,2-3,3,P. Gasol makes 3-pt shot from 23 ft (assist by T. Parker)
11:13.0,B. Lopez misses 2-pt shot from 10 ft,,2-3,,
11:11.0,,,2-3,,Defensive rebound by P. Gasol
11:03.0,,,2-5,2,T. Parker makes 2-pt shot at rim
10:56.0,I. Whitehead misses 2-pt shot from 19 ft,,2-5,,
10:54.0,,,2-5,,Defensive rebound by K. Leonard
10:41.0,,,2-7,2,L. Aldridge makes 2-pt shot from 16 ft (assist by T. Parker)
10:20.0,T. Booker misses 2-pt shot from 1 ft,,2-7,,
10:20.0,,,2-7,,Defensive rebound by P. Gasol
10:12.0,,,2-7,,T. Parker misses 2-pt shot from 1 ft
10:12.0,Defensive rebound by B. Bogdanovic,,2-7,,
10:03.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,4-7,,
9:47.0,,,4-9,2,P. Gasol makes 2-pt shot from 19 ft (assist by T. Parker)
9:37.0,,,4-9,,Personal foul by P. Gasol (drawn by B. Lopez)
9:32.0,S. Kilpatrick misses 3-pt shot from 26 ft,,4-9,,
9:32.0,,,4-9,,Defensive rebound by K. Leonard
9:20.0,,,4-11,2,D. Green makes 2-pt shot from 1 ft (assist by P. Gasol)
9:01.0,T. Booker makes 2-pt shot from 14 ft (assist by S. Kilpatrick),2,6-11,,
8:42.0,,,6-13,2,K. Leonard makes 2-pt shot from 6 ft (assist by T. Parker)
8:36.0,Brooklyn full timeout,,6-13,,
8:33.0,S. Kilpatrick makes 2-pt shot from 1 ft (assist by B. Lopez),2,8-13,,
8:16.0,,,8-13,,L. Aldridge misses 2-pt shot from 18 ft
8:16.0,Defensive rebound by T. Booker,,8-13,,
8:03.0,B. Lopez misses 2-pt shot from 7 ft,,8-13,,
8:02.0,,,8-13,,Defensive rebound by D. Green
7:48.0,,,8-15,2,T. Parker makes 2-pt shot from 19 ft
7:30.0,I. Whitehead makes 2-pt shot from 2 ft,2,10-15,,
7:13.0,,,10-15,,P. Gasol misses 2-pt shot from 17 ft
7:13.0,Defensive rebound by T. Booker,,10-15,,
7:04.0,Turnover by T. Booker (bad pass; steal by T. Parker),,10-15,,
6:53.0,,,10-18,3,T. Parker makes 3-pt shot from 23 ft (assist by K. Leonard)
6:34.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,12-18,,
6:14.0,,,12-18,,K. Leonard misses 2-pt shot from 16 ft
6:12.0,,,12-18,,Offensive rebound by L. Aldridge
6:11.0,,,12-18,,L. Aldridge misses 2-pt shot from 1 ft
6:11.0,,,12-18,,Offensive rebound by Team
6:11.0,R. Foye enters the game for I. Whitehead,,12-18,,
6:11.0,A. Bennett enters the game for B. Lopez,,12-18,,
5:57.0,,,12-20,2,K. Leonard makes 2-pt shot from 2 ft (assist by P. Gasol)
5:38.0,B. Bogdanovic makes 3-pt shot from 26 ft,3,15-20,,
5:21.0,,,15-20,,K. Leonard misses 3-pt shot from 24 ft
5:20.0,Defensive rebound by A. Bennett,,15-20,,
5:15.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by R. Foye),2,17-20,,
5:15.0,,,17-20,,San Antonio full timeout
5:15.0,,,17-20,,M. Ginobili enters the game for P. Gasol
5:15.0,,,17-20,,P. Mills enters the game for D. Green
5:15.0,,,17-20,,D. Bertans enters the game for T. Parker
5:04.0,,,17-22,2,K. Leonard makes 2-pt shot from 13 ft (assist by L. Aldridge)
4:45.0,A. Bennett makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,20-22,,
4:35.0,,,20-22,,K. Leonard misses 2-pt shot from 20 ft
4:33.0,,,20-22,,Offensive rebound by L. Aldridge
4:25.0,,,20-24,2,L. Aldridge makes 2-pt shot from 11 ft
4:02.0,A. Bennett misses 3-pt shot from 24 ft,,20-24,,
4:01.0,,,20-24,,Defensive rebound by L. Aldridge
3:53.0,,,20-24,,K. Leonard misses 3-pt shot from 25 ft
3:51.0,,,20-24,,Offensive rebound by L. Aldridge
3:43.0,,,20-27,3,K. Leonard makes 3-pt shot from 26 ft (assist by P. Mills)
3:28.0,B. Bogdanovic misses 3-pt shot from 28 ft,,20-27,,
3:27.0,,,20-27,,Defensive rebound by L. Aldridge
3:19.0,,,20-29,2,L. Aldridge makes 2-pt shot from 17 ft (assist by P. Mills)
3:19.0,Brooklyn full timeout,,20-29,,
3:19.0,,,20-29,,D. Dedmon enters the game for L. Aldridge
3:19.0,J. Harris enters the game for S. Kilpatrick,,20-29,,
3:05.0,J. Harris misses 3-pt shot from 24 ft,,20-29,,
3:05.0,,,20-29,,Defensive rebound by D. Dedmon
2:52.0,,,20-29,,M. Ginobili misses 2-pt shot from 6 ft
2:50.0,Defensive rebound by A. Bennett,,20-29,,
2:37.0,T. Booker makes 2-pt shot from 7 ft,2,22-29,,
2:37.0,Shooting foul by D. Bertans (drawn by T. Booker),,22-29,,
2:37.0,T. Booker makes free throw 1 of 1,1,23-29,,
2:37.0,R. Hollis-Jefferson enters the game for B. Bogdanovic,,22-29,,
2:28.0,,,23-29,,P. Mills misses 3-pt shot from 25 ft
2:28.0,Defensive rebound by J. Harris,,23-29,,
2:12.0,A. Bennett misses 2-pt shot from 1 ft (block by D. Bertans),,23-29,,
2:11.0,Offensive rebound by R. Hollis-Jefferson,,23-29,,
2:03.0,R. Foye makes 3-pt shot from 32 ft (assist by R. Hollis-Jefferson),3,26-29,,
1:46.0,,,26-32,3,P. Mills makes 3-pt shot from 23 ft (assist by K. Leonard)
1:27.0,R. Hollis-Jefferson misses 3-pt shot from 26 ft,,26-32,,
1:25.0,,,26-32,,Defensive rebound by D. Bertans
1:18.0,,,26-32,,P. Mills misses 3-pt shot from 25 ft
1:15.0,Defensive rebound by J. Harris,,26-32,,
1:06.0,R. Foye misses 3-pt shot from 25 ft,,26-32,,
1:05.0,,,26-32,,Defensive rebound by K. Leonard
0:58.0,,,26-35,3,M. Ginobili makes 3-pt shot from 26 ft (assist by K. Leonard)
0:44.0,J. Harris misses 2-pt shot from 17 ft,,26-35,,
0:44.0,,,26-35,,Defensive rebound by K. Leonard
0:34.0,,,26-38,3,K. Leonard makes 3-pt shot from 25 ft
0:18.0,A. Bennett misses 3-pt shot from 24 ft,,26-38,,
0:17.0,,,26-38,,Defensive rebound by D. Dedmon
0:04.0,,,26-40,2,D. Dedmon makes 2-pt shot at rim (assist by P. Mills)
0:04.0,,,26-40,,Shooting foul by A. Bennett (drawn by D. Dedmon)
0:04.0,,,26-41,1,D. Dedmon makes free throw 1 of 1
0:00.0,R. Hollis-Jefferson misses 2-pt shot from 6 ft (block by K. Leonard),,26-41,,
0:00.0,,,26-41,,Defensive rebound by D. Dedmon
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,26-43,2,J. Simmons makes 2-pt shot at rim (assist by P. Mills)
11:32.0,,,26-43,,Personal foul by D. Dedmon (drawn by B. Lopez)
11:22.0,I. Whitehead makes 3-pt shot from 26 ft (assist by B. Lopez),3,29-43,,
11:11.0,Personal foul by C. LeVert (drawn by J. Simmons),,29-43,,
11:11.0,Personal foul by I. Whitehead,,29-43,,
11:05.0,,,29-45,2,D. Dedmon makes 2-pt shot from 7 ft (assist by J. Simmons)
10:52.0,,,29-45,,Shooting block foul by J. Simmons (drawn by B. Bogdanovic)
10:52.0,B. Bogdanovic makes free throw 1 of 2,1,30-45,,
10:52.0,B. Bogdanovic makes free throw 2 of 2,1,31-45,,
10:40.0,,,31-45,,Turnover by M. Ginobili (lost ball; steal by C. LeVert)
10:35.0,Turnover by C. LeVert (lost ball; steal by D. Bertans),,31-45,,
10:28.0,,,31-47,2,P. Mills makes 2-pt shot from 1 ft (assist by J. Simmons)
10:20.0,C. LeVert misses 3-pt shot from 24 ft,,31-47,,
10:20.0,,,31-47,,Defensive rebound by D. Dedmon
10:07.0,,,31-47,,P. Mills misses 2-pt shot from 16 ft (block by R. Hollis-Jefferson)
10:06.0,Defensive rebound by R. Hollis-Jefferson,,31-47,,
10:03.0,Turnover by I. Whitehead (bad pass; steal by P. Mills),,31-47,,
9:58.0,,,31-47,,J. Simmons misses 2-pt shot from 3 ft (block by B. Lopez)
9:56.0,Defensive rebound by B. Lopez,,31-47,,
9:48.0,B. Lopez misses 3-pt shot from 24 ft,,31-47,,
9:47.0,,,31-47,,Defensive rebound by D. Dedmon
9:31.0,Personal foul by I. Whitehead (drawn by M. Ginobili),,31-47,,
9:31.0,,,31-47,,D. Green enters the game for M. Ginobili
9:31.0,,,31-47,,D. Lee enters the game for D. Bertans
9:23.0,,,31-47,,Turnover by P. Mills (bad pass; steal by R. Hollis-Jefferson)
9:23.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by C. LeVert),3,34-47,,
9:21.0,,,34-47,,San Antonio full timeout
9:10.0,,,34-47,,T. Parker enters the game for P. Mills
8:54.0,,,34-49,2,J. Simmons makes 2-pt shot from 18 ft (assist by D. Dedmon)
8:42.0,B. Lopez makes 2-pt shot from 13 ft,2,36-49,,
