time,Cleveland,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. T. Thompson (G. Henderson gains possession),,,,Jump ball: J. Embiid vs. T. Thompson (G. Henderson gains possession)
11:37.0,,,0-0,,S. Rodriguez misses 3-pt shot from 25 ft
11:36.0,,,0-0,,Offensive rebound by J. Embiid
11:30.0,,,0-0,,S. Rodriguez misses 3-pt shot from 25 ft
11:29.0,Defensive rebound by K. Irving,,0-0,,
11:19.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,3-0,,
11:01.0,,,3-2,2,J. Embiid makes 2-pt shot from 4 ft
10:41.0,K. Love makes 2-pt shot from 21 ft,2,5-2,,
10:27.0,,,5-5,3,G. Henderson makes 3-pt shot from 25 ft (assist by D. Saric)
10:12.0,K. Irving misses 3-pt shot from 25 ft,,5-5,,
10:11.0,,,5-5,,Defensive rebound by D. Saric
10:03.0,,,5-7,2,G. Henderson makes 2-pt shot at rim (assist by S. Rodriguez)
9:47.0,,,5-7,,Personal foul by D. Saric (drawn by K. Love)
9:42.0,Shooting foul by D. Saric (drawn by K. Love),,5-7,,
9:42.0,K. Love makes free throw 1 of 2,1,6-7,,
9:42.0,K. Love misses free throw 2 of 2,,6-7,,
9:42.0,,,5-7,,E. Ilyasova enters the game for D. Saric
9:41.0,,,6-7,,Defensive rebound by J. Embiid
9:34.0,,,6-7,,S. Rodriguez misses 2-pt shot from 6 ft
9:31.0,Defensive rebound by K. Love,,6-7,,
9:28.0,Offensive charge foul by K. Irving,,6-7,,
9:28.0,Turnover by K. Irving (offensive foul),,6-7,,
9:18.0,Violation by J. Smith (kicked ball),,6-7,,
9:10.0,,,6-7,,G. Henderson misses 2-pt shot from 6 ft
9:09.0,Defensive rebound by J. Smith,,6-7,,
8:56.0,K. Irving makes 2-pt shot from 16 ft (assist by L. James),2,8-7,,
8:47.0,,,8-7,,E. Ilyasova misses 2-pt shot from 14 ft
8:45.0,Defensive rebound by L. James,,8-7,,
8:40.0,L. James misses 2-pt shot from 2 ft (block by J. Embiid),,8-7,,
8:38.0,Offensive rebound by Team,,8-7,,
8:34.0,Turnover by L. James (bad pass; steal by R. Covington),,8-7,,
8:20.0,,,8-7,,Turnover by G. Henderson (bad pass)
8:09.0,L. James misses 2-pt shot from 7 ft,,8-7,,
8:07.0,,,8-7,,Defensive rebound by R. Covington
7:59.0,,,8-7,,J. Embiid misses 2-pt shot from 5 ft
7:57.0,Defensive rebound by K. Love,,8-7,,
7:46.0,K. Irving makes 2-pt shot from 18 ft,2,10-7,,
7:30.0,,,10-7,,R. Covington misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by T. Thompson,,10-7,,
7:17.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,12-7,,
7:05.0,,,12-7,,Offensive foul by J. Embiid
7:05.0,,,12-7,,Turnover by J. Embiid (offensive foul)
7:05.0,,,12-7,,J. Okafor enters the game for J. Embiid
7:05.0,,,12-7,,N. Stauskas enters the game for G. Henderson
6:53.0,K. Love misses 2-pt shot from 16 ft,,12-7,,
6:51.0,,,12-7,,Defensive rebound by J. Okafor
6:36.0,,,12-7,,J. Okafor misses 2-pt shot from 15 ft
6:35.0,Defensive rebound by L. James,,12-7,,
6:26.0,L. James misses 2-pt shot from 7 ft (block by R. Covington),,12-7,,
6:23.0,,,12-7,,Defensive rebound by S. Rodriguez
6:19.0,,,12-7,,R. Covington misses 3-pt shot from 27 ft
6:18.0,,,12-7,,Offensive rebound by Team
6:18.0,,,12-7,,Philadelphia full timeout
6:08.0,,,12-7,,J. Okafor misses 2-pt shot from 9 ft
6:05.0,Defensive rebound by T. Thompson,,12-7,,
6:02.0,L. James makes 2-pt shot from 1 ft,2,14-7,,
5:47.0,,,14-9,2,S. Rodriguez makes 2-pt shot from 3 ft
5:33.0,Turnover by L. James (bad pass; steal by R. Covington),,14-9,,
5:27.0,,,14-12,3,R. Covington makes 3-pt shot from 24 ft
5:12.0,L. James misses 3-pt shot from 26 ft,,14-12,,
5:11.0,,,14-12,,Defensive rebound by S. Rodriguez
5:07.0,,,14-14,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by S. Rodriguez)
4:56.0,K. Irving misses 2-pt shot from 18 ft,,14-14,,
4:54.0,Offensive rebound by T. Thompson,,14-14,,
4:54.0,T. Thompson misses 2-pt shot at rim,,14-14,,
4:52.0,Offensive rebound by T. Thompson,,14-14,,
4:44.0,L. James misses 2-pt shot from 3 ft (block by J. Okafor),,14-14,,
4:42.0,,,14-14,,Defensive rebound by E. Ilyasova
4:39.0,Personal foul by K. Irving (drawn by N. Stauskas),,14-14,,
4:39.0,,,14-14,,T. McConnell enters the game for S. Rodriguez
4:39.0,I. Shumpert enters the game for K. Irving,,14-14,,
4:39.0,R. Jefferson enters the game for K. Love,,14-14,,
4:39.0,,,14-14,,T. McConnell misses 2-pt shot from 8 ft (block by J. Smith)
4:37.0,,,14-14,,Offensive rebound by Team
4:19.0,,,14-17,3,E. Ilyasova makes 3-pt shot from 27 ft (assist by T. McConnell)
3:56.0,T. Thompson misses 2-pt shot from 7 ft (block by J. Okafor),,14-17,,
3:55.0,Offensive rebound by T. Thompson,,14-17,,
3:54.0,,,14-17,,H. Thompson enters the game for R. Covington
3:49.0,Shooting foul by J. Okafor (drawn by T. Thompson),,14-17,,
3:49.0,T. Thompson misses free throw 1 of 2,,14-17,,
3:49.0,Offensive rebound by Team,,14-17,,
3:49.0,T. Thompson makes free throw 2 of 2,1,15-17,,
3:36.0,,,15-17,,H. Thompson misses 3-pt shot from 25 ft
3:34.0,Defensive rebound by L. James,,15-17,,
3:22.0,J. Smith makes 3-pt shot from 29 ft (assist by L. James),3,18-17,,
3:09.0,,,18-19,2,T. McConnell makes 2-pt shot from 11 ft
2:57.0,R. Jefferson misses 2-pt shot from 20 ft,,18-19,,
2:55.0,Offensive rebound by T. Thompson,,18-19,,
2:44.0,Shooting foul by H. Thompson (drawn by R. Jefferson),,18-19,,
2:44.0,R. Jefferson makes 2-pt shot from 5 ft (assist by L. James),2,20-19,,
2:44.0,Cleveland full timeout,,20-19,,
2:44.0,R. Jefferson makes free throw 1 of 1,1,21-19,,
2:44.0,C. Frye enters the game for T. Thompson,,20-19,,
2:44.0,,,20-19,,J. Embiid enters the game for J. Okafor
2:21.0,,,21-19,,Offensive charge foul by H. Thompson
2:21.0,,,21-19,,Turnover by H. Thompson (offensive foul)
2:07.0,,,21-19,,Def 3 sec tech foul by E. Ilyasova
2:07.0,L. James misses technical free throw,,21-19,,
2:07.0,Offensive rebound by Team,,21-19,,
2:07.0,,,21-19,,G. Henderson enters the game for H. Thompson
2:07.0,M. Dunleavy enters the game for J. Smith,,21-19,,
2:01.0,Turnover by R. Jefferson (bad pass),,21-19,,
1:49.0,,,21-19,,N. Stauskas misses 3-pt shot from 26 ft
1:48.0,Defensive rebound by R. Jefferson,,21-19,,
1:42.0,L. James makes 2-pt shot from 1 ft,2,23-19,,
1:33.0,Personal foul by M. Dunleavy (drawn by N. Stauskas),,23-19,,
1:17.0,,,23-19,,J. Embiid misses 2-pt shot from 12 ft
1:15.0,Defensive rebound by L. James,,23-19,,
1:10.0,I. Shumpert makes 3-pt shot from 25 ft (assist by L. James),3,26-19,,
1:00.0,,,26-19,,E. Ilyasova misses 2-pt shot from 15 ft
0:58.0,Defensive rebound by C. Frye,,26-19,,
