time,Portland,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Barnes vs. M. Plumlee (M. Harkless gains possession),,,,Jump ball: H. Barnes vs. M. Plumlee (M. Harkless gains possession)
11:43.0,Shooting foul by J. Barea (drawn by C. McCollum),,0-0,,
11:43.0,C. McCollum makes 2-pt shot from 14 ft (assist by M. Plumlee),2,2-0,,
11:43.0,C. McCollum misses free throw 1 of 1,,2-0,,
11:43.0,,,2-0,,Defensive rebound by D. Nowitzki
11:24.0,,,2-0,,D. Nowitzki misses 2-pt shot from 13 ft
11:23.0,Defensive rebound by A. Aminu,,2-0,,
11:10.0,A. Aminu misses 3-pt shot from 23 ft,,2-0,,
11:09.0,,,2-0,,Defensive rebound by H. Barnes
11:01.0,,,2-0,,J. Barea misses 2-pt shot from 9 ft
11:00.0,Defensive rebound by M. Plumlee,,2-0,,
10:54.0,M. Plumlee makes 2-pt shot at rim (assist by A. Aminu),2,4-0,,
10:36.0,,,4-0,,Turnover by W. Matthews (bad pass; steal by M. Plumlee)
10:32.0,Turnover by M. Plumlee (bad pass),,4-0,,
10:08.0,,,4-0,,W. Matthews misses 3-pt shot from 25 ft
10:07.0,Defensive rebound by A. Aminu,,4-0,,
9:59.0,D. Lillard makes 2-pt shot from 2 ft,2,6-0,,
9:58.0,,,6-0,,Dallas full timeout
9:45.0,,,6-2,2,H. Barnes makes 2-pt shot from 4 ft
9:21.0,C. McCollum misses 3-pt shot from 25 ft,,6-2,,
9:20.0,,,6-2,,Defensive rebound by H. Barnes
9:09.0,,,6-2,,Shooting foul by C. McCollum (drawn by W. Matthews)
9:09.0,,,6-3,1,W. Matthews makes free throw 1 of 2
9:09.0,,,6-4,1,W. Matthews makes free throw 2 of 2
8:55.0,D. Lillard misses 2-pt shot from 5 ft (block by D. Nowitzki),,6-4,,
8:55.0,Offensive rebound by Team,,6-4,,
8:54.0,M. Plumlee makes 2-pt shot at rim (assist by M. Harkless),2,8-4,,
8:29.0,,,8-4,,H. Barnes misses 2-pt shot from 11 ft
8:28.0,Defensive rebound by A. Aminu,,8-4,,
8:21.0,C. McCollum misses 2-pt shot from 5 ft,,8-4,,
8:20.0,,,8-4,,Defensive rebound by D. Nowitzki
8:09.0,,,8-4,,W. Matthews misses 2-pt shot from 7 ft
8:08.0,Defensive rebound by C. McCollum,,8-4,,
8:03.0,Offensive foul by M. Plumlee,,8-4,,
8:03.0,Turnover by M. Plumlee (offensive foul),,8-4,,
7:55.0,,,8-6,2,J. Barea makes 2-pt shot from 1 ft (assist by D. Williams)
7:35.0,D. Lillard makes 2-pt shot from 1 ft (assist by C. McCollum),2,10-6,,
7:35.0,Shooting foul by H. Barnes (drawn by D. Lillard),,10-6,,
7:35.0,D. Lillard makes free throw 1 of 1,1,11-6,,
7:16.0,,,11-6,,J. Barea misses 2-pt shot from 3 ft (block by A. Aminu)
7:16.0,,,11-6,,Offensive rebound by Team
7:12.0,,,11-6,,H. Barnes misses 2-pt shot from 19 ft
7:11.0,Defensive rebound by M. Harkless,,11-6,,
7:00.0,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard),3,14-6,,
6:42.0,,,14-8,2,D. Nowitzki makes 2-pt shot at rim (assist by J. Barea)
6:20.0,A. Aminu misses 3-pt shot from 25 ft,,14-8,,
6:19.0,Offensive rebound by M. Plumlee,,14-8,,
6:19.0,M. Plumlee makes 2-pt shot from 1 ft,2,16-8,,
6:09.0,,,16-11,3,J. Barea makes 3-pt shot from 24 ft
5:56.0,M. Harkless misses 3-pt shot from 24 ft,,16-11,,
5:55.0,,,16-11,,Defensive rebound by D. Williams
5:46.0,,,16-11,,Turnover by J. Barea (bad pass)
5:34.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard),2,18-11,,
5:34.0,,,18-11,,Shooting block foul by W. Matthews (drawn by M. Plumlee)
5:34.0,M. Plumlee makes free throw 1 of 1,1,19-11,,
5:34.0,,,18-11,,S. Curry enters the game for J. Barea
5:34.0,,,18-11,,D. Powell enters the game for D. Nowitzki
5:34.0,E. Turner enters the game for C. McCollum,,18-11,,
5:34.0,A. Crabbe enters the game for A. Aminu,,18-11,,
5:18.0,Shooting block foul by D. Lillard (drawn by D. Williams),,19-11,,
5:18.0,,,19-12,1,D. Williams makes free throw 1 of 2
5:18.0,,,19-13,1,D. Williams makes free throw 2 of 2
5:18.0,E. Davis enters the game for M. Plumlee,,19-12,,
5:03.0,Turnover by E. Turner (bad pass; steal by D. Powell),,19-13,,
4:57.0,,,19-13,,H. Barnes misses 2-pt shot from 2 ft
4:57.0,Defensive rebound by Team,,19-13,,
4:42.0,E. Turner misses 2-pt shot from 14 ft,,19-13,,
4:41.0,,,19-13,,Defensive rebound by H. Barnes
4:29.0,,,19-16,3,D. Williams makes 3-pt shot from 25 ft (assist by W. Matthews)
4:28.0,Portland full timeout,,19-16,,
4:14.0,Offensive foul by E. Davis,,19-16,,
