time,San Antonio,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. K. Towns (G. Dieng gains possession),,,,Jump ball: D. Dedmon vs. K. Towns (G. Dieng gains possession)
11:47.0,,,0-2,2,A. Wiggins makes 2-pt shot at rim (assist by G. Dieng)
11:19.0,K. Leonard misses 3-pt shot from 24 ft,,0-2,,
11:16.0,Offensive rebound by D. Dedmon,,0-2,,
11:02.0,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard),3,3-2,,
10:48.0,,,3-2,,Turnover by K. Towns (lost ball; steal by L. Aldridge)
10:42.0,T. Parker misses 2-pt shot from 12 ft,,3-2,,
10:41.0,,,3-2,,Defensive rebound by R. Rubio
10:31.0,,,3-4,2,G. Dieng makes 2-pt shot from 15 ft
10:18.0,L. Aldridge misses 2-pt shot from 20 ft,,3-4,,
10:17.0,,,3-4,,Defensive rebound by R. Rubio
10:13.0,,,3-4,,R. Rubio misses 2-pt shot from 20 ft
10:11.0,Defensive rebound by D. Dedmon,,3-4,,
10:01.0,L. Aldridge misses 2-pt shot from 17 ft,,3-4,,
10:00.0,,,3-4,,Defensive rebound by R. Rubio
9:43.0,,,3-4,,A. Wiggins misses 2-pt shot from 18 ft
9:42.0,Defensive rebound by D. Green,,3-4,,
9:35.0,T. Parker misses 2-pt shot from 18 ft,,3-4,,
9:32.0,,,3-4,,Defensive rebound by K. Towns
9:21.0,,,3-4,,R. Rubio misses 2-pt shot from 1 ft (block by D. Green)
9:19.0,Defensive rebound by D. Green,,3-4,,
9:12.0,K. Leonard misses 3-pt shot from 24 ft,,3-4,,
9:10.0,Offensive rebound by L. Aldridge,,3-4,,
9:06.0,Turnover by L. Aldridge (lost ball; steal by R. Rubio),,3-4,,
8:55.0,,,3-4,,Turnover by R. Rubio (bad pass; steal by T. Parker)
8:53.0,Offensive charge foul by T. Parker,,3-4,,
8:53.0,Turnover by T. Parker (offensive foul),,3-4,,
8:42.0,,,3-4,,A. Wiggins misses 2-pt shot from 10 ft
8:41.0,,,3-4,,Offensive rebound by K. Towns
8:40.0,,,3-4,,K. Towns misses 2-pt shot from 2 ft
8:38.0,Defensive rebound by D. Dedmon,,3-4,,
8:19.0,L. Aldridge makes 2-pt shot from 7 ft,2,5-4,,
8:07.0,,,5-7,3,K. Towns makes 3-pt shot from 25 ft (assist by R. Rubio)
7:40.0,D. Green misses 3-pt shot from 24 ft,,5-7,,
7:38.0,Offensive rebound by L. Aldridge,,5-7,,
7:30.0,K. Leonard makes 2-pt shot from 12 ft (assist by T. Parker),2,7-7,,
7:12.0,,,7-7,,Shooting foul by D. Green (drawn by A. Wiggins)
7:12.0,,,7-8,1,A. Wiggins makes free throw 1 of 2
7:12.0,San Antonio full timeout,,7-8,,
7:12.0,,,7-9,1,A. Wiggins makes free throw 2 of 2
6:59.0,K. Leonard misses 2-pt shot from 20 ft,,7-9,,
6:57.0,,,7-9,,Defensive rebound by K. Towns
6:36.0,,,7-9,,A. Wiggins misses 2-pt shot from 2 ft (block by K. Leonard)
6:34.0,Defensive rebound by D. Green,,7-9,,
6:27.0,L. Aldridge makes 2-pt shot from 18 ft (assist by D. Green),2,9-9,,
6:03.0,,,9-9,,B. Rush misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by D. Dedmon,,9-9,,
5:54.0,T. Parker misses 2-pt shot from 7 ft,,9-9,,
5:53.0,,,9-9,,Defensive rebound by K. Towns
5:40.0,,,9-9,,K. Towns misses 2-pt shot from 18 ft (block by L. Aldridge)
5:38.0,Defensive rebound by D. Dedmon,,9-9,,
5:27.0,D. Dedmon misses 2-pt shot from 15 ft,,9-9,,
5:26.0,Offensive rebound by Team,,9-9,,
5:26.0,,,9-9,,Loose ball foul by B. Rush (drawn by L. Aldridge)
5:26.0,P. Gasol enters the game for D. Dedmon,,9-9,,
5:26.0,M. Ginobili enters the game for D. Green,,9-9,,
5:26.0,P. Mills enters the game for T. Parker,,9-9,,
5:20.0,L. Aldridge makes 2-pt shot at rim (assist by P. Gasol),2,11-9,,
4:57.0,,,11-11,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
4:39.0,M. Ginobili misses 3-pt shot from 26 ft,,11-11,,
4:37.0,,,11-11,,Defensive rebound by A. Wiggins
4:31.0,,,11-11,,Shooting foul by P. Gasol (drawn by R. Rubio)
4:31.0,,,11-12,1,R. Rubio makes free throw 1 of 2
4:31.0,,,11-13,1,R. Rubio makes free throw 2 of 2
4:31.0,,,11-12,,C. Aldrich enters the game for K. Towns
4:13.0,L. Aldridge makes 2-pt shot from 2 ft (assist by K. Leonard),2,13-13,,
3:58.0,,,13-13,,C. Aldrich misses 2-pt shot at rim
3:57.0,Defensive rebound by P. Gasol,,13-13,,
3:47.0,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Gasol),2,15-13,,
3:20.0,,,15-13,,B. Rush misses 2-pt shot from 22 ft
3:18.0,Defensive rebound by P. Mills,,15-13,,
3:15.0,Turnover by P. Mills (bad pass; steal by A. Wiggins),,15-13,,
3:12.0,,,15-15,2,G. Dieng makes 2-pt shot at rim (assist by A. Wiggins)
2:56.0,L. Aldridge makes 2-pt shot at rim (assist by K. Leonard),2,17-15,,
2:33.0,,,17-15,,Offensive foul by C. Aldrich
2:33.0,,,17-15,,Turnover by C. Aldrich (offensive foul)
2:33.0,,,17-15,,Minnesota full timeout
2:33.0,,,17-15,,K. Dunn enters the game for R. Rubio
2:33.0,,,17-15,,S. Muhammad enters the game for B. Rush
2:33.0,,,17-15,,O. Casspi enters the game for C. Aldrich
2:33.0,J. Simmons enters the game for K. Leonard,,17-15,,
2:18.0,L. Aldridge misses 2-pt shot from 7 ft,,17-15,,
2:17.0,,,17-15,,Defensive rebound by O. Casspi
2:02.0,,,17-17,2,A. Wiggins makes 2-pt shot from 16 ft
1:42.0,M. Ginobili misses 3-pt shot from 25 ft,,17-17,,
1:40.0,Offensive rebound by L. Aldridge,,17-17,,
1:37.0,P. Gasol makes 2-pt shot from 15 ft (assist by L. Aldridge),2,19-17,,
1:21.0,,,19-17,,Offensive foul by K. Dunn
1:21.0,,,19-17,,Turnover by K. Dunn (offensive foul)
1:21.0,D. Bertans enters the game for L. Aldridge,,19-17,,
1:07.0,J. Simmons misses 3-pt shot from 23 ft,,19-17,,
1:06.0,Offensive rebound by M. Ginobili,,19-17,,
1:03.0,P. Mills makes 3-pt shot from 24 ft (assist by M. Ginobili),3,22-17,,
0:44.0,,,22-17,,Shooting foul by J. Simmons (drawn by A. Wiggins)
0:44.0,,,22-19,2,A. Wiggins makes 2-pt shot at rim
0:44.0,,,22-20,1,A. Wiggins makes free throw 1 of 1
0:20.0,J. Simmons makes 3-pt shot from 26 ft (assist by P. Mills),3,25-20,,
0:01.0,,,25-23,3,G. Dieng makes 3-pt shot from 24 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by P. Gasol (lost ball; steal by T. Jones),,25-23,,
11:37.0,,,25-23,,S. Muhammad misses 2-pt shot from 10 ft
11:36.0,,,25-23,,Offensive rebound by K. Towns
11:35.0,,,25-23,,K. Towns misses 2-pt shot from 2 ft
11:33.0,Defensive rebound by J. Simmons,,25-23,,
11:14.0,P. Gasol makes 2-pt shot from 4 ft,2,27-23,,
10:59.0,,,27-23,,Shooting foul by P. Gasol (drawn by K. Towns)
10:59.0,,,27-23,,K. Towns misses free throw 1 of 2
