time,Miami,pts.away,score,pts.home,Boston
1:24.0,,,24-19,2,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Crowder)
1:12.0,W. Ellington misses 3-pt shot from 26 ft,,24-19,,
1:11.0,,,24-19,,Defensive rebound by K. Olynyk
1:00.0,,,24-19,,K. Olynyk misses 2-pt shot from 2 ft (block by J. Johnson)
1:00.0,Defensive rebound by W. Reed,,24-19,,
0:40.0,J. Richardson misses 2-pt shot from 20 ft,,24-19,,
0:39.0,,,24-19,,Defensive rebound by M. Smart
0:36.0,,,24-19,,Turnover by M. Smart (bad pass; steal by J. Richardson)
0:24.0,Shooting foul by K. Olynyk (drawn by W. Reed),,24-19,,
0:24.0,W. Reed makes free throw 1 of 2,1,25-19,,
0:24.0,W. Reed misses free throw 2 of 2,,25-19,,
0:24.0,Offensive rebound by J. Johnson,,25-19,,
0:24.0,R. McGruder enters the game for J. Richardson,,25-19,,
0:05.0,Shooting foul by K. Olynyk (drawn by T. Johnson),,25-19,,
0:05.0,T. Johnson makes free throw 1 of 2,1,26-19,,
0:05.0,T. Johnson makes free throw 2 of 2,1,27-19,,
0:05.0,,,26-19,,A. Johnson enters the game for K. Olynyk
0:05.0,,,26-19,,A. Horford enters the game for J. Jerebko
0:05.0,,,26-19,,I. Thomas enters the game for J. Crowder
0:00.0,,,27-22,3,M. Smart makes 3-pt shot from 26 ft (assist by A. Johnson)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Personal foul by T. Johnson (drawn by M. Smart),,27-22,,
11:39.0,,,27-22,,Turnover by G. Green (bad pass; steal by T. Johnson)
11:37.0,Shooting foul by M. Smart (drawn by T. Johnson),,27-22,,
11:37.0,T. Johnson makes free throw 1 of 2,1,28-22,,
11:37.0,T. Johnson makes free throw 2 of 2,1,29-22,,
11:22.0,,,29-22,,Shooting foul by J. Johnson (drawn by A. Horford)
11:22.0,,,29-23,1,A. Horford makes free throw 1 of 2
11:22.0,,,29-24,1,A. Horford makes free throw 2 of 2
11:10.0,T. Johnson makes 2-pt shot from 21 ft (assist by J. Johnson),2,31-24,,
10:52.0,,,31-24,,G. Green misses 2-pt shot from 19 ft
10:50.0,Defensive rebound by W. Reed,,31-24,,
10:28.0,J. Johnson misses 3-pt shot from 26 ft,,31-24,,
10:27.0,,,31-24,,Defensive rebound by J. Brown
10:21.0,,,31-24,,M. Smart misses 3-pt shot from 24 ft
10:19.0,Defensive rebound by W. Reed,,31-24,,
10:13.0,,,31-24,,Personal foul by M. Smart (drawn by T. Johnson)
10:07.0,W. Ellington misses 2-pt shot from 19 ft,,31-24,,
10:06.0,,,31-24,,Defensive rebound by A. Horford
9:55.0,,,31-26,2,J. Brown makes 2-pt shot from 16 ft (assist by A. Horford)
9:40.0,J. Johnson makes 2-pt shot from 2 ft,2,33-26,,
9:18.0,,,33-26,,G. Green misses 3-pt shot from 24 ft
9:16.0,Defensive rebound by W. Reed,,33-26,,
9:04.0,R. McGruder makes 3-pt shot from 23 ft (assist by J. Johnson),3,36-26,,
9:04.0,,,36-26,,Boston full timeout
9:04.0,G. Dragic enters the game for R. McGruder,,36-26,,
8:43.0,,,36-26,,A. Horford misses 2-pt shot from 8 ft (block by J. Johnson)
8:42.0,,,36-26,,Offensive rebound by A. Horford
8:42.0,,,36-26,,A. Horford misses 2-pt shot from 5 ft
8:41.0,,,36-26,,Offensive rebound by K. Olynyk
8:40.0,,,36-26,,Turnover by Team (shot clock)
8:25.0,J. Johnson makes 2-pt shot at rim (assist by T. Johnson),2,38-26,,
8:11.0,,,38-26,,J. Brown misses 3-pt shot from 25 ft
8:10.0,,,38-26,,Offensive rebound by A. Horford
8:04.0,,,38-26,,A. Bradley enters the game for G. Green
8:04.0,,,38-26,,A. Johnson enters the game for K. Olynyk
8:00.0,,,38-28,2,A. Bradley makes 2-pt shot from 6 ft (assist by J. Brown)
7:46.0,W. Reed makes 2-pt shot at rim (assist by G. Dragic),2,40-28,,
7:32.0,,,40-28,,Turnover by A. Bradley (bad pass)
7:25.0,Offensive foul by J. Johnson,,40-28,,
7:25.0,Turnover by J. Johnson (offensive foul),,40-28,,
7:25.0,,,40-28,,I. Thomas enters the game for M. Smart
7:25.0,L. Babbitt enters the game for J. Johnson,,40-28,,
7:22.0,,,40-28,,Turnover by A. Bradley (bad pass)
7:10.0,L. Babbitt makes 3-pt shot from 27 ft (assist by G. Dragic),3,43-28,,
6:48.0,,,43-30,2,A. Bradley makes 2-pt shot from 5 ft (assist by A. Horford)
6:29.0,Turnover by G. Dragic (lost ball; steal by A. Horford),,43-30,,
6:15.0,,,43-32,2,A. Horford makes 2-pt shot from 4 ft (assist by A. Bradley)
6:09.0,Miami full timeout,,43-32,,
6:09.0,,,43-32,,J. Crowder enters the game for A. Horford
6:09.0,J. Richardson enters the game for T. Johnson,,43-32,,
6:09.0,H. Whiteside enters the game for W. Reed,,43-32,,
6:01.0,W. Ellington misses 3-pt shot from 26 ft,,43-32,,
6:00.0,,,43-32,,Defensive rebound by I. Thomas
