time,Miami,pts.away,score,pts.home,Boston
3:04.0,Offensive rebound by J. Johnson,,101-102,,
3:01.0,G. Dragic misses 3-pt shot from 26 ft,,101-102,,
3:00.0,,,101-102,,Defensive rebound by A. Bradley
2:53.0,,,101-102,,Shooting foul by J. Johnson (drawn by I. Thomas)
2:53.0,,,101-103,1,I. Thomas makes free throw 1 of 2
2:53.0,,,101-104,1,I. Thomas makes free throw 2 of 2
2:30.0,H. Whiteside misses 2-pt shot from 2 ft (block by J. Crowder),,101-104,,
2:29.0,Offensive rebound by Team,,101-104,,
2:29.0,Turnover by Team (shot clock),,101-104,,
2:12.0,,,101-106,2,I. Thomas makes 2-pt shot from 2 ft
2:00.0,J. Johnson makes 2-pt shot at rim,2,103-106,,
1:36.0,,,103-106,,Turnover by Team (shot clock)
1:23.0,Shooting foul by J. Crowder (drawn by J. Johnson),,103-106,,
1:23.0,J. Johnson makes free throw 1 of 2,1,104-106,,
1:23.0,J. Johnson makes free throw 2 of 2,1,105-106,,
1:08.0,,,105-106,,J. Crowder misses 3-pt shot from 25 ft
1:07.0,,,105-106,,Offensive rebound by M. Smart
1:00.0,,,105-108,2,I. Thomas makes 2-pt shot at rim (assist by M. Smart)
1:00.0,Miami full timeout,,105-108,,
1:00.0,,,105-108,,J. Brown enters the game for I. Thomas
0:57.0,Shooting foul by J. Crowder (drawn by J. Johnson),,105-108,,
0:57.0,J. Johnson makes free throw 1 of 2,1,106-108,,
0:57.0,J. Johnson misses free throw 2 of 2,,106-108,,
0:57.0,,,106-108,,Defensive rebound by M. Smart
0:57.0,,,106-108,,I. Thomas enters the game for J. Brown
0:43.0,,,106-108,,I. Thomas misses 2-pt shot from 2 ft (block by J. Richardson)
0:41.0,Defensive rebound by J. Johnson,,106-108,,
0:21.0,J. Johnson misses 2-pt shot from 16 ft,,106-108,,
0:21.0,,,106-108,,Defensive rebound by Team
0:21.0,Loose ball foul by G. Dragic (drawn by M. Smart),,106-108,,
0:21.0,,,106-109,1,M. Smart makes free throw 1 of 2
0:21.0,,,106-110,1,M. Smart makes free throw 2 of 2
0:21.0,Violation by H. Whiteside (def goaltending),,106-110,,
0:21.0,Miami full timeout,,106-110,,
0:21.0,,,106-109,,J. Brown enters the game for I. Thomas
0:14.0,J. Johnson misses 2-pt shot from 4 ft,,106-110,,
0:13.0,Offensive rebound by H. Whiteside,,106-110,,
0:12.0,,,106-110,,Personal foul by M. Smart (drawn by H. Whiteside)
0:12.0,H. Whiteside makes free throw 1 of 2,1,107-110,,
0:12.0,H. Whiteside makes free throw 2 of 2,1,108-110,,
0:12.0,,,108-110,,Boston full timeout
0:12.0,,,107-110,,A. Johnson enters the game for J. Brown
0:12.0,,,108-110,,I. Thomas enters the game for A. Johnson
0:12.0,R. McGruder enters the game for H. Whiteside,,108-110,,
0:12.0,W. Ellington enters the game for G. Dragic,,108-110,,
0:08.0,Personal take foul by R. McGruder (drawn by J. Crowder),,108-110,,
0:08.0,,,108-111,1,J. Crowder makes free throw 1 of 2
0:08.0,,,108-112,1,J. Crowder makes free throw 2 of 2
0:08.0,Miami full timeout,,108-112,,
0:08.0,G. Dragic enters the game for W. Ellington,,108-111,,
0:08.0,H. Whiteside enters the game for R. McGruder,,108-111,,
0:08.0,,,108-111,,J. Brown enters the game for I. Thomas
0:06.0,T. Johnson misses 2-pt shot from 4 ft (block by A. Horford),,108-112,,
0:04.0,Offensive rebound by J. Johnson,,108-112,,
0:03.0,J. Johnson misses 3-pt shot from 24 ft,,108-112,,
0:02.0,,,108-112,,Defensive rebound by A. Horford
0:00.0,End of 4th quarter,,,,End of 4th quarter
