time,New Orleans,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. A. Davis,,,,Jump ball: C. Capela vs. A. Davis
11:45.0,Shooting foul by J. Harden (drawn by A. Ajinca),,0-0,,
11:45.0,A. Ajinca makes free throw 1 of 2,1,1-0,,
11:45.0,A. Ajinca makes free throw 2 of 2,1,2-0,,
11:32.0,,,2-0,,T. Ariza misses 3-pt shot from 25 ft
11:31.0,,,2-0,,Offensive rebound by C. Capela
11:27.0,,,2-0,,P. Beverley misses 3-pt shot from 24 ft
11:26.0,Defensive rebound by A. Ajinca,,2-0,,
11:16.0,J. Holiday misses 3-pt shot from 27 ft,,2-0,,
11:15.0,,,2-0,,Defensive rebound by J. Harden
11:06.0,,,2-0,,R. Anderson misses 3-pt shot from 24 ft
11:04.0,Defensive rebound by B. Hield,,2-0,,
10:52.0,A. Davis makes 2-pt shot from 16 ft,2,4-0,,
10:38.0,,,4-0,,T. Ariza misses 3-pt shot from 23 ft
10:37.0,,,4-0,,Offensive rebound by P. Beverley
10:28.0,,,4-2,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
10:22.0,Turnover by J. Holiday (bad pass; steal by T. Ariza),,4-2,,
10:19.0,,,4-4,2,T. Ariza makes 2-pt shot at rim (assist by P. Beverley)
10:03.0,A. Davis makes 2-pt shot from 11 ft,2,6-4,,
9:54.0,,,6-7,3,J. Harden makes 3-pt shot from 26 ft
9:47.0,New Orleans full timeout,,6-7,,
9:47.0,,,6-7,,Violation by T. Ariza (kicked ball)
9:38.0,Turnover by B. Hield (traveling),,6-7,,
9:28.0,,,6-7,,Turnover by J. Harden (bad pass)
9:12.0,B. Hield makes 3-pt shot from 24 ft (assist by A. Davis),3,9-7,,
9:03.0,,,9-7,,R. Anderson misses 3-pt shot from 29 ft
9:02.0,Defensive rebound by B. Hield,,9-7,,
8:54.0,B. Hield makes 2-pt shot from 20 ft,2,11-7,,
8:36.0,,,11-10,3,T. Ariza makes 3-pt shot from 23 ft (assist by P. Beverley)
8:21.0,A. Ajinca misses 2-pt shot from 12 ft,,11-10,,
8:20.0,,,11-10,,Defensive rebound by T. Ariza
8:11.0,,,11-12,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
8:00.0,A. Ajinca misses 2-pt shot from 19 ft,,11-12,,
7:58.0,,,11-12,,Defensive rebound by J. Harden
7:53.0,,,11-15,3,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden)
7:33.0,A. Davis makes 2-pt shot from 15 ft,2,13-15,,
7:22.0,,,13-15,,Turnover by C. Capela (3 sec)
7:09.0,,,13-15,,Personal foul by J. Harden (drawn by A. Davis)
7:09.0,T. Jones enters the game for A. Ajinca,,13-15,,
6:55.0,A. Davis misses 2-pt shot from 11 ft,,13-15,,
6:54.0,,,13-15,,Defensive rebound by J. Harden
6:42.0,,,13-15,,J. Harden misses 2-pt shot from 5 ft (block by E. Moore)
6:42.0,,,13-15,,Offensive rebound by Team
6:31.0,,,13-15,,T. Ariza misses 3-pt shot from 24 ft
6:30.0,Defensive rebound by B. Hield,,13-15,,
6:17.0,A. Davis makes 2-pt shot from 12 ft,2,15-15,,
6:05.0,,,15-17,2,J. Harden makes 2-pt shot from 2 ft
5:50.0,E. Moore makes 2-pt shot from 5 ft,2,17-17,,
5:38.0,,,17-17,,Shooting foul by J. Holiday (drawn by J. Harden)
5:38.0,,,17-18,1,J. Harden makes free throw 1 of 3
5:38.0,,,17-19,1,J. Harden makes free throw 2 of 3
5:38.0,,,17-20,1,J. Harden makes free throw 3 of 3
5:38.0,,,17-18,,E. Gordon enters the game for P. Beverley
5:31.0,Turnover by T. Jones (lost ball; steal by T. Ariza),,17-20,,
