time,Dallas,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. S. Mejri (D. Murray gains possession),,,,Jump ball: P. Gasol vs. S. Mejri (D. Murray gains possession)
11:48.0,,,0-0,,Turnover by P. Gasol (bad pass; steal by S. Mejri)
11:29.0,H. Barnes misses 2-pt shot from 2 ft,,0-0,,
11:28.0,,,0-0,,Defensive rebound by D. Bertans
11:16.0,Personal foul by S. Mejri (drawn by P. Gasol),,0-0,,
11:10.0,,,0-0,,K. Leonard misses 2-pt shot from 17 ft
11:08.0,Defensive rebound by S. Mejri,,0-0,,
10:46.0,S. Mejri misses 2-pt shot from 12 ft,,0-0,,
10:45.0,,,0-0,,Defensive rebound by P. Gasol
10:31.0,,,0-2,2,P. Gasol makes 2-pt shot from 17 ft (assist by K. Leonard)
10:13.0,S. Curry misses 2-pt shot from 14 ft,,0-2,,
10:11.0,,,0-2,,Defensive rebound by P. Gasol
10:03.0,,,0-2,,Turnover by D. Murray (bad pass)
9:37.0,S. Mejri makes 2-pt shot from 10 ft (assist by S. Curry),2,2-2,,
9:19.0,,,2-4,2,D. Murray makes 2-pt shot from 8 ft
9:01.0,H. Barnes makes 2-pt shot from 6 ft,2,4-4,,
8:47.0,,,4-4,,Turnover by D. Murray (lost ball; steal by S. Mejri)
8:46.0,,,4-4,,Personal foul by D. Murray (drawn by S. Mejri)
8:27.0,D. Finney-Smith misses 3-pt shot from 24 ft,,4-4,,
8:26.0,,,4-4,,Defensive rebound by P. Gasol
8:08.0,,,4-4,,K. Leonard misses 2-pt shot from 16 ft
8:08.0,Defensive rebound by H. Barnes,,4-4,,
7:53.0,H. Barnes makes 2-pt shot from 17 ft,2,6-4,,
7:32.0,,,6-4,,D. Green misses 3-pt shot from 22 ft
7:31.0,Defensive rebound by S. Curry,,6-4,,
7:17.0,S. Curry makes 3-pt shot from 25 ft (assist by W. Matthews),3,9-4,,
6:59.0,,,9-6,2,K. Leonard makes 2-pt shot from 17 ft
6:44.0,S. Curry makes 3-pt shot from 26 ft (assist by W. Matthews),3,12-6,,
6:36.0,,,12-8,2,K. Leonard makes 2-pt shot from 2 ft (assist by D. Murray)
6:36.0,,,12-8,,Shooting foul by H. Barnes (drawn by K. Leonard)
