time,Miami,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. H. Whiteside (D. Exum gains possession),,,,Jump ball: R. Gobert vs. H. Whiteside (D. Exum gains possession)
11:38.0,,,0-0,,J. Johnson misses 3-pt shot from 23 ft
11:37.0,Defensive rebound by J. McRoberts,,0-0,,
11:20.0,J. McRoberts makes 2-pt shot from 10 ft (assist by G. Dragic),2,2-0,,
10:53.0,,,2-0,,B. Diaw misses 2-pt shot from 18 ft
10:52.0,Defensive rebound by G. Dragic,,2-0,,
10:29.0,H. Whiteside misses 2-pt shot from 7 ft,,2-0,,
10:28.0,,,2-0,,Defensive rebound by J. Johnson
10:20.0,,,2-0,,G. Hayward misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by H. Whiteside,,2-0,,
10:07.0,R. McGruder makes 3-pt shot from 23 ft (assist by G. Dragic),3,5-0,,
9:46.0,,,5-3,3,D. Exum makes 3-pt shot from 24 ft (assist by G. Hayward)
9:26.0,H. Whiteside misses 2-pt shot from 1 ft (block by R. Gobert),,5-3,,
9:25.0,,,5-3,,Defensive rebound by R. Gobert
9:12.0,,,5-3,,D. Exum misses 2-pt shot from 2 ft
9:12.0,,,5-3,,Offensive rebound by D. Exum
9:12.0,,,5-3,,D. Exum misses 2-pt shot from 2 ft
9:11.0,,,5-3,,Offensive rebound by G. Hayward
9:06.0,,,5-3,,D. Exum misses 3-pt shot from 23 ft
9:06.0,,,5-3,,Offensive rebound by Team
8:48.0,Personal foul by L. Babbitt (drawn by B. Diaw),,5-3,,
8:36.0,,,5-6,3,G. Hayward makes 3-pt shot from 24 ft (assist by J. Johnson)
8:15.0,R. McGruder misses 3-pt shot from 26 ft,,5-6,,
8:15.0,Offensive rebound by G. Dragic,,5-6,,
7:54.0,G. Dragic misses 2-pt shot from 15 ft,,5-6,,
7:53.0,,,5-6,,Defensive rebound by B. Diaw
7:36.0,,,5-6,,B. Diaw misses 3-pt shot from 25 ft
7:35.0,Defensive rebound by G. Dragic,,5-6,,
7:23.0,H. Whiteside misses 2-pt shot from 3 ft,,5-6,,
7:23.0,,,5-6,,Defensive rebound by J. Johnson
7:18.0,,,5-6,,Turnover by D. Exum (lost ball; steal by L. Babbitt)
7:17.0,,,5-6,,Clear path foul by R. Gobert
7:17.0,R. McGruder makes clear path free throw 1 of 2,1,6-6,,
7:17.0,R. McGruder makes clear path free throw 2 of 2,1,7-6,,
7:04.0,G. Dragic makes 2-pt shot from 3 ft,2,9-6,,
6:44.0,,,9-6,,R. Gobert misses 2-pt shot from 8 ft
6:44.0,Defensive rebound by H. Whiteside,,9-6,,
6:35.0,G. Dragic makes 2-pt shot from 3 ft,2,11-6,,
6:09.0,,,11-6,,J. Johnson misses 2-pt shot from 17 ft
6:08.0,,,11-6,,Offensive rebound by R. Gobert
6:07.0,,,11-8,2,R. Gobert makes 2-pt shot from 1 ft
5:55.0,G. Dragic makes 2-pt shot from 3 ft,2,13-8,,
5:49.0,,,13-8,,Shooting foul by G. Dragic (drawn by D. Exum)
5:49.0,,,13-8,,Utah full timeout
5:49.0,,,13-9,1,D. Exum makes free throw 1 of 2
5:49.0,,,13-10,1,D. Exum makes free throw 2 of 2
5:49.0,,,13-8,,T. Lyles enters the game for B. Diaw
5:34.0,Turnover by G. Dragic (lost ball; steal by T. Lyles),,13-10,,
5:19.0,,,13-12,2,T. Lyles makes 2-pt shot from 2 ft
4:57.0,Shooting foul by J. Johnson (drawn by L. Babbitt),,13-12,,
4:57.0,L. Babbitt misses free throw 1 of 2,,13-12,,
4:57.0,Offensive rebound by Team,,13-12,,
4:57.0,L. Babbitt makes free throw 2 of 2,1,14-12,,
4:57.0,,,13-12,,S. Mack enters the game for D. Exum
4:37.0,,,14-14,2,G. Hayward makes 2-pt shot from 22 ft
4:19.0,J. McRoberts misses 2-pt shot from 18 ft,,14-14,,
4:18.0,,,14-14,,Defensive rebound by Team
4:18.0,Loose ball foul by H. Whiteside (drawn by R. Gobert),,14-14,,
4:18.0,T. Johnson enters the game for R. McGruder,,14-14,,
4:08.0,,,14-16,2,G. Hayward makes 2-pt shot at rim (assist by S. Mack)
4:08.0,Miami full timeout,,14-16,,
4:08.0,W. Ellington enters the game for L. Babbitt,,14-16,,
3:46.0,W. Ellington makes 2-pt shot from 1 ft (assist by J. McRoberts),2,16-16,,
3:30.0,,,16-18,2,J. Johnson makes 2-pt shot from 2 ft (assist by T. Lyles)
3:10.0,T. Johnson misses 2-pt shot from 2 ft,,16-18,,
3:10.0,Offensive rebound by H. Whiteside,,16-18,,
3:08.0,H. Whiteside makes 2-pt shot at rim,2,18-18,,
2:51.0,,,18-21,3,J. Johnson makes 3-pt shot from 24 ft (assist by S. Mack)
2:29.0,J. McRoberts makes 2-pt shot from 2 ft (assist by G. Dragic),2,20-21,,
2:12.0,,,20-21,,Turnover by T. Lyles (traveling)
2:12.0,J. Johnson enters the game for H. Whiteside,,20-21,,
2:12.0,W. Reed enters the game for J. McRoberts,,20-21,,
2:12.0,,,20-21,,J. Ingles enters the game for J. Johnson
2:12.0,,,20-21,,J. Withey enters the game for R. Gobert
1:54.0,G. Dragic misses 2-pt shot from 2 ft (block by J. Withey),,20-21,,
1:53.0,,,20-21,,Defensive rebound by S. Mack
1:44.0,Personal foul by T. Johnson (drawn by G. Hayward),,20-21,,
1:44.0,R. McGruder enters the game for G. Dragic,,20-21,,
1:40.0,Personal foul by J. Johnson (drawn by G. Hayward),,20-21,,
1:40.0,,,20-22,1,G. Hayward makes free throw 1 of 2
1:40.0,,,20-22,,G. Hayward misses free throw 2 of 2
1:40.0,Defensive rebound by W. Reed,,20-22,,
1:30.0,W. Reed makes 2-pt shot at rim (assist by T. Johnson),2,22-22,,
1:13.0,,,22-25,3,T. Lyles makes 3-pt shot from 25 ft (assist by J. Ingles)
0:54.0,J. Johnson makes 2-pt shot from 1 ft,2,24-25,,
0:41.0,,,24-25,,S. Mack misses 2-pt shot from 18 ft
0:40.0,Defensive rebound by W. Reed,,24-25,,
0:31.0,Shooting foul by S. Mack (drawn by T. Johnson),,24-25,,
0:31.0,T. Johnson makes free throw 1 of 2,1,25-25,,
0:31.0,T. Johnson makes free throw 2 of 2,1,26-25,,
0:10.0,,,26-27,2,G. Hayward makes 2-pt shot from 19 ft
0:01.0,T. Johnson misses 2-pt shot from 7 ft,,26-27,,
0:00.0,Offensive rebound by Team,,26-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,Violation by Team (jump ball),,26-27,,
11:42.0,W. Ellington misses 3-pt shot from 24 ft,,26-27,,
11:42.0,,,26-27,,Defensive rebound by J. Ingles
11:28.0,,,26-30,3,T. Lyles makes 3-pt shot from 25 ft (assist by J. Johnson)
11:10.0,W. Ellington makes 3-pt shot from 25 ft,3,29-30,,
10:51.0,,,29-30,,J. Ingles misses 2-pt shot from 18 ft
10:51.0,Defensive rebound by J. Johnson,,29-30,,
10:40.0,J. Johnson misses 3-pt shot from 24 ft,,29-30,,
10:39.0,,,29-30,,Defensive rebound by J. Ingles
