time,Charlotte,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. C. Zeller (W. Matthews gains possession),,,,Jump ball: A. Bogut vs. C. Zeller (W. Matthews gains possession)
11:35.0,,,0-0,,H. Barnes misses 2-pt shot from 11 ft
11:35.0,Defensive rebound by F. Kaminsky,,0-0,,
11:15.0,F. Kaminsky makes 2-pt shot at rim (assist by N. Batum),2,2-0,,
11:01.0,,,2-2,2,H. Barnes makes 2-pt shot from 17 ft (assist by D. Williams)
10:44.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,2-2,,
10:43.0,,,2-2,,Defensive rebound by A. Bogut
10:37.0,,,2-5,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Williams)
10:19.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,2-5,,
10:17.0,Offensive rebound by M. Kidd-Gilchrist,,2-5,,
10:16.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by A. Bogut),,2-5,,
10:15.0,Offensive rebound by M. Kidd-Gilchrist,,2-5,,
10:12.0,C. Zeller makes 2-pt shot at rim (assist by M. Kidd-Gilchrist),2,4-5,,
9:58.0,,,4-5,,D. Williams misses 3-pt shot from 24 ft (block by K. Walker)
9:56.0,Defensive rebound by N. Batum,,4-5,,
9:52.0,K. Walker makes 2-pt shot at rim (assist by N. Batum),2,6-5,,
9:34.0,,,6-5,,W. Matthews misses 2-pt shot from 24 ft
9:34.0,,,6-5,,Offensive rebound by H. Barnes
9:15.0,,,6-5,,H. Barnes misses 2-pt shot from 17 ft
9:15.0,Defensive rebound by N. Batum,,6-5,,
9:04.0,K. Walker makes 2-pt shot from 1 ft,2,8-5,,
8:41.0,,,8-5,,D. Finney-Smith misses 2-pt shot from 4 ft
8:39.0,Defensive rebound by C. Zeller,,8-5,,
8:31.0,F. Kaminsky misses 2-pt shot from 10 ft,,8-5,,
8:30.0,,,8-5,,Defensive rebound by W. Matthews
8:11.0,,,8-5,,W. Matthews misses 3-pt shot from 25 ft
8:11.0,,,8-5,,Offensive rebound by A. Bogut
7:59.0,,,8-7,2,W. Matthews makes 2-pt shot from 12 ft
7:43.0,K. Walker misses 3-pt shot from 25 ft,,8-7,,
7:42.0,,,8-7,,Defensive rebound by Team
7:30.0,,,8-7,,H. Barnes misses 2-pt shot from 18 ft
7:30.0,Defensive rebound by N. Batum,,8-7,,
7:23.0,K. Walker misses 2-pt shot from 17 ft,,8-7,,
7:22.0,,,8-7,,Defensive rebound by A. Bogut
7:02.0,,,8-7,,D. Finney-Smith misses 3-pt shot from 25 ft
7:00.0,Defensive rebound by M. Kidd-Gilchrist,,8-7,,
6:50.0,N. Batum misses 3-pt shot from 25 ft,,8-7,,
6:49.0,,,8-7,,Defensive rebound by W. Matthews
6:34.0,Shooting block foul by C. Zeller (drawn by H. Barnes),,8-7,,
6:34.0,,,8-8,1,H. Barnes makes free throw 1 of 2
6:34.0,,,8-9,1,H. Barnes makes free throw 2 of 2
6:34.0,,,8-8,,D. Powell enters the game for A. Bogut
6:20.0,,,8-9,,Def 3 sec tech foul by D. Finney-Smith
6:20.0,N. Batum makes technical free throw,1,9-9,,
6:12.0,Turnover by C. Zeller (bad pass; steal by H. Barnes),,9-9,,
6:04.0,,,9-9,,Turnover by D. Williams (bad pass; steal by K. Walker)
5:59.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,11-9,,
5:59.0,,,11-9,,Dallas full timeout
5:59.0,,,11-9,,A. Bogut enters the game for H. Barnes
5:42.0,,,11-9,,D. Williams misses 3-pt shot from 24 ft
5:41.0,Defensive rebound by M. Kidd-Gilchrist,,11-9,,
5:33.0,N. Batum misses 2-pt shot from 18 ft,,11-9,,
5:32.0,,,11-9,,Defensive rebound by D. Powell
5:19.0,,,11-11,2,D. Powell makes 2-pt shot at rim (assist by D. Williams)
5:19.0,,,11-11,,Shooting foul by C. Zeller (drawn by D. Powell)
5:19.0,,,11-11,,D. Powell misses free throw 1 of 1
5:19.0,R. Hibbert enters the game for C. Zeller,,11-11,,
5:18.0,Defensive rebound by F. Kaminsky,,11-11,,
5:01.0,F. Kaminsky makes 2-pt shot from 5 ft,2,13-11,,
4:43.0,,,13-11,,Shooting foul by R. Hibbert (drawn by D. Finney-Smith)
4:43.0,,,13-12,1,D. Finney-Smith makes free throw 1 of 2
4:43.0,,,13-12,,D. Finney-Smith misses free throw 2 of 2
4:43.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,13-12,,
4:42.0,Defensive rebound by K. Walker,,13-12,,
4:25.0,F. Kaminsky misses 2-pt shot from 21 ft,,13-12,,
4:25.0,,,13-12,,Defensive rebound by A. Bogut
4:01.0,,,13-14,2,D. Williams makes 2-pt shot from 18 ft
3:48.0,K. Walker misses 3-pt shot from 24 ft,,13-14,,
3:46.0,,,13-14,,Defensive rebound by A. Bogut
3:36.0,,,13-14,,D. Williams misses 3-pt shot from 25 ft
3:35.0,Defensive rebound by N. Batum,,13-14,,
3:32.0,Charlotte full timeout,,13-14,,
3:32.0,,,13-14,,D. Harris enters the game for D. Finney-Smith
3:32.0,,,13-14,,J. Anderson enters the game for W. Matthews
3:32.0,,,13-14,,H. Barnes enters the game for D. Williams
3:32.0,,,13-14,,J. Gibson enters the game for D. Powell
3:32.0,R. Sessions enters the game for K. Walker,,13-14,,
3:27.0,N. Batum makes 2-pt shot from 18 ft (assist by R. Sessions),2,15-14,,
3:07.0,,,15-17,3,D. Harris makes 3-pt shot from 25 ft (assist by J. Gibson)
2:50.0,Shooting foul by A. Bogut (drawn by N. Batum),,15-17,,
2:50.0,N. Batum makes free throw 1 of 2,1,16-17,,
2:50.0,N. Batum makes free throw 2 of 2,1,17-17,,
2:34.0,,,17-17,,Turnover by J. Gibson (traveling)
2:24.0,F. Kaminsky misses 2-pt shot from 2 ft,,17-17,,
2:23.0,,,17-17,,Defensive rebound by A. Bogut
2:04.0,,,17-17,,A. Bogut misses 2-pt shot from 7 ft
2:03.0,Defensive rebound by N. Batum,,17-17,,
1:57.0,Shooting foul by J. Gibson (drawn by R. Sessions),,17-17,,
1:57.0,R. Sessions makes free throw 1 of 2,1,18-17,,
1:57.0,R. Sessions makes free throw 2 of 2,1,19-17,,
1:57.0,S. Hawes enters the game for F. Kaminsky,,18-17,,
1:45.0,,,19-19,2,H. Barnes makes 2-pt shot from 17 ft (assist by D. Harris)
1:25.0,R. Sessions misses 2-pt shot from 19 ft,,19-19,,
1:24.0,,,19-19,,Defensive rebound by D. Harris
1:20.0,,,19-19,,Shooting foul by M. Belinelli (drawn by D. Harris)
1:20.0,,,19-20,1,D. Harris makes free throw 1 of 2
1:20.0,,,19-21,1,D. Harris makes free throw 2 of 2
1:09.0,Turnover by N. Batum (bad pass),,19-21,,
0:52.0,,,19-21,,J. Anderson misses 2-pt shot from 3 ft
0:50.0,Defensive rebound by S. Hawes,,19-21,,
0:45.0,,,19-21,,Personal take foul by D. Harris (drawn by R. Sessions)
0:45.0,R. Sessions makes free throw 1 of 2,1,20-21,,
0:45.0,R. Sessions makes free throw 2 of 2,1,21-21,,
0:45.0,,,19-21,,D. Powell enters the game for A. Bogut
0:35.0,,,21-23,2,D. Harris makes 2-pt shot from 19 ft
0:23.0,N. Batum makes 2-pt shot at rim,2,23-23,,
0:01.0,,,23-23,,J. Anderson misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by R. Hibbert,,23-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,M. Belinelli makes 2-pt shot from 18 ft (assist by S. Hawes),2,25-23,,
11:31.0,,,25-26,3,J. Gibson makes 3-pt shot from 26 ft (assist by D. Harris)
11:19.0,Turnover by R. Sessions (lost ball),,25-26,,
11:08.0,,,25-29,3,J. Anderson makes 3-pt shot from 25 ft (assist by J. Gibson)
10:40.0,R. Hibbert makes 2-pt shot from 8 ft,2,27-29,,
10:22.0,,,27-29,,J. Gibson misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by M. Belinelli,,27-29,,
10:10.0,Shooting foul by J. Anderson (drawn by R. Sessions),,27-29,,
10:10.0,R. Sessions makes free throw 1 of 3,1,28-29,,
10:10.0,R. Sessions makes free throw 2 of 3,1,29-29,,
10:10.0,R. Sessions makes free throw 3 of 3,1,30-29,,
9:54.0,,,30-31,2,J. Gibson makes 2-pt shot from 1 ft
9:37.0,Turnover by J. Lamb (step out of bounds),,30-31,,
9:25.0,Personal foul by J. Lamb (drawn by H. Barnes),,30-31,,
9:25.0,K. Walker enters the game for R. Sessions,,30-31,,
9:23.0,Personal foul by J. Lamb (drawn by H. Barnes),,30-31,,
9:14.0,,,30-31,,H. Barnes misses 2-pt shot from 19 ft
9:14.0,Defensive rebound by K. Walker,,30-31,,
9:02.0,J. Lamb misses 2-pt shot from 18 ft,,30-31,,
9:01.0,Offensive rebound by R. Hibbert,,30-31,,
8:55.0,J. Lamb misses 3-pt shot from 24 ft,,30-31,,
8:54.0,,,30-31,,Defensive rebound by J. Gibson
8:45.0,,,30-31,,J. Anderson misses 3-pt shot from 23 ft
8:44.0,Defensive rebound by R. Hibbert,,30-31,,
8:26.0,M. Belinelli misses 3-pt shot from 24 ft,,30-31,,
8:25.0,Offensive rebound by J. Lamb,,30-31,,
8:22.0,J. Lamb makes 2-pt shot from 6 ft,2,32-31,,
8:22.0,,,32-31,,Dallas full timeout
8:22.0,,,32-31,,D. Williams enters the game for H. Barnes
8:22.0,,,32-31,,D. Finney-Smith enters the game for D. Powell
8:22.0,,,32-31,,S. Mejri enters the game for J. Gibson
8:22.0,,,32-31,,W. Matthews enters the game for D. Harris
8:11.0,,,32-31,,J. Anderson misses 3-pt shot from 25 ft
8:10.0,Defensive rebound by K. Walker,,32-31,,
7:57.0,S. Hawes makes 2-pt shot from 9 ft,2,34-31,,
7:31.0,,,34-31,,D. Finney-Smith misses 3-pt shot from 24 ft
7:30.0,Defensive rebound by R. Hibbert,,34-31,,
7:23.0,Turnover by M. Belinelli (lost ball; steal by J. Anderson),,34-31,,
7:17.0,,,34-34,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Williams)
6:56.0,,,34-34,,Personal foul by W. Matthews (drawn by M. Belinelli)
6:56.0,M. Kidd-Gilchrist enters the game for M. Belinelli,,34-34,,
6:52.0,S. Hawes misses 3-pt shot from 24 ft,,34-34,,
6:51.0,,,34-34,,Defensive rebound by S. Mejri
6:41.0,,,34-34,,D. Williams misses 2-pt shot from 18 ft
6:40.0,Defensive rebound by J. Lamb,,34-34,,
6:27.0,R. Hibbert misses 2-pt shot from 20 ft,,34-34,,
6:26.0,Offensive rebound by S. Hawes,,34-34,,
6:18.0,S. Hawes makes 2-pt shot from 3 ft (assist by K. Walker),2,36-34,,
5:53.0,,,36-34,,W. Matthews misses 3-pt shot from 24 ft
5:52.0,Defensive rebound by M. Kidd-Gilchrist,,36-34,,
5:42.0,S. Hawes misses 3-pt shot from 25 ft,,36-34,,
5:41.0,,,36-34,,Defensive rebound by Team
5:41.0,Official timeout,,36-34,,
5:41.0,F. Kaminsky enters the game for R. Hibbert,,36-34,,
5:41.0,C. Zeller enters the game for S. Hawes,,36-34,,
5:27.0,,,36-36,2,J. Anderson makes 2-pt shot from 4 ft
5:12.0,J. Lamb makes 2-pt shot from 19 ft (assist by K. Walker),2,38-36,,
4:50.0,,,38-36,,D. Williams misses 2-pt shot from 17 ft
4:49.0,Defensive rebound by M. Kidd-Gilchrist,,38-36,,
4:42.0,K. Walker makes 2-pt shot from 17 ft,2,40-36,,
4:40.0,,,40-36,,Dallas full timeout
4:40.0,,,40-36,,D. Powell enters the game for J. Anderson
4:40.0,,,40-36,,H. Barnes enters the game for S. Mejri
4:40.0,N. Batum enters the game for J. Lamb,,40-36,,
4:29.0,,,40-38,2,H. Barnes makes 2-pt shot from 17 ft (assist by D. Williams)
4:10.0,M. Kidd-Gilchrist makes 2-pt shot from 20 ft (assist by C. Zeller),2,42-38,,
3:51.0,,,42-38,,W. Matthews misses 2-pt shot from 2 ft
3:50.0,Defensive rebound by N. Batum,,42-38,,
3:29.0,N. Batum misses 3-pt shot from 24 ft,,42-38,,
3:28.0,,,42-38,,Defensive rebound by H. Barnes
3:05.0,,,42-38,,D. Finney-Smith misses 3-pt shot from 25 ft
3:04.0,Defensive rebound by N. Batum,,42-38,,
2:59.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum),2,44-38,,
2:42.0,Def 3 sec tech foul by C. Zeller,,44-38,,
2:42.0,Charlotte full timeout,,44-38,,
2:42.0,,,44-39,1,D. Williams makes technical free throw
2:42.0,,,44-38,,D. Harris enters the game for D. Finney-Smith
2:42.0,R. Hibbert enters the game for C. Zeller,,44-38,,
2:42.0,M. Belinelli enters the game for R. Hibbert,,44-39,,
2:39.0,Personal foul by M. Kidd-Gilchrist (drawn by H. Barnes),,44-39,,
2:30.0,,,44-39,,H. Barnes misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist)
2:28.0,,,44-39,,Offensive rebound by H. Barnes
2:28.0,,,44-39,,Shooting foul by M. Kidd-Gilchrist (drawn by H. Barnes)
2:28.0,,,44-41,2,H. Barnes makes 2-pt shot from 1 ft
2:28.0,,,44-42,1,H. Barnes makes free throw 1 of 1
2:17.0,K. Walker misses 2-pt shot from 2 ft,,44-42,,
2:16.0,,,44-42,,Defensive rebound by H. Barnes
1:59.0,,,44-44,2,H. Barnes makes 2-pt shot from 1 ft (assist by W. Matthews)
1:53.0,Charlotte full timeout,,44-44,,
1:53.0,J. Lamb enters the game for M. Kidd-Gilchrist,,44-44,,
1:42.0,M. Belinelli makes 2-pt shot from 3 ft,2,46-44,,
1:29.0,,,46-44,,D. Powell misses 2-pt shot from 16 ft
1:28.0,Defensive rebound by J. Lamb,,46-44,,
1:13.0,F. Kaminsky makes 2-pt shot from 11 ft,2,48-44,,
1:00.0,,,48-46,2,D. Powell makes 2-pt shot from 2 ft (assist by D. Williams)
0:51.0,,,48-46,,Personal foul by H. Barnes (drawn by F. Kaminsky)
0:39.0,Turnover by M. Belinelli (lost ball; steal by D. Harris),,48-46,,
0:29.0,,,48-48,2,D. Williams makes 2-pt shot from 6 ft
0:07.0,M. Belinelli misses 3-pt shot from 23 ft,,48-48,,
0:06.0,,,48-48,,Defensive rebound by D. Williams
0:01.0,,,48-50,2,D. Williams makes 2-pt shot from 4 ft
