time,Boston,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. J. Valanciunas (C. Joseph gains possession),,,,Jump ball: A. Johnson vs. J. Valanciunas (C. Joseph gains possession)
11:37.0,Personal foul by J. Brown (drawn by D. DeRozan),,0-0,,
11:37.0,,,0-1,1,D. DeRozan makes free throw 1 of 2
11:37.0,,,0-2,1,D. DeRozan makes free throw 2 of 2
11:14.0,A. Horford misses 2-pt shot from 10 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by Team
10:53.0,,,0-2,,S. Ibaka misses 3-pt shot from 26 ft
10:53.0,Defensive rebound by J. Crowder,,0-2,,
10:44.0,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas),2,2-2,,
10:25.0,,,2-4,2,D. DeRozan makes 2-pt shot from 12 ft
10:06.0,J. Crowder misses 3-pt shot from 25 ft,,2-4,,
10:06.0,,,2-4,,Defensive rebound by Team
9:54.0,,,2-4,,D. DeRozan misses 2-pt shot from 4 ft
9:54.0,Defensive rebound by A. Horford,,2-4,,
9:42.0,Turnover by A. Johnson (step out of bounds),,2-4,,
9:26.0,,,2-4,,D. Carroll misses 3-pt shot from 24 ft
9:25.0,Defensive rebound by I. Thomas,,2-4,,
9:05.0,I. Thomas misses 2-pt shot from 7 ft (block by S. Ibaka),,2-4,,
9:03.0,,,2-4,,Defensive rebound by D. DeRozan
8:56.0,,,2-6,2,S. Ibaka makes 2-pt shot from 12 ft (assist by D. DeRozan)
8:38.0,I. Thomas makes 2-pt shot from 1 ft,2,4-6,,
8:18.0,,,4-6,,D. DeRozan misses 2-pt shot from 6 ft (block by J. Brown)
8:18.0,,,4-6,,Offensive rebound by Team
8:16.0,,,4-6,,C. Joseph misses 2-pt shot from 4 ft (block by A. Johnson)
8:14.0,Defensive rebound by I. Thomas,,4-6,,
8:06.0,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas),3,7-6,,
7:41.0,,,7-6,,D. DeRozan misses 3-pt shot from 25 ft
7:40.0,,,7-6,,Offensive rebound by J. Valanciunas
7:31.0,,,7-6,,Turnover by C. Joseph (bad pass)
7:21.0,I. Thomas makes 3-pt shot from 24 ft,3,10-6,,
7:02.0,,,10-8,2,D. DeRozan makes 2-pt shot from 8 ft
6:49.0,J. Brown misses 3-pt shot from 24 ft,,10-8,,
6:48.0,,,10-8,,Defensive rebound by J. Valanciunas
6:39.0,,,10-10,2,S. Ibaka makes 2-pt shot from 20 ft
6:19.0,J. Crowder makes 2-pt shot from 6 ft (assist by I. Thomas),2,12-10,,
6:05.0,,,12-10,,D. DeRozan misses 2-pt shot from 3 ft (block by A. Johnson)
6:04.0,Defensive rebound by A. Horford,,12-10,,
5:59.0,J. Brown makes 2-pt shot from 3 ft (assist by A. Horford),2,14-10,,
5:59.0,Shooting foul by S. Ibaka (drawn by J. Brown),,14-10,,
5:59.0,,,14-10,,Toronto full timeout
5:59.0,J. Brown makes free throw 1 of 1,1,15-10,,
5:59.0,,,14-10,,L. Nogueira enters the game for J. Valanciunas
5:43.0,,,15-10,,S. Ibaka misses 2-pt shot from 15 ft
5:42.0,Defensive rebound by A. Horford,,15-10,,
5:36.0,Turnover by A. Horford (bad pass; steal by C. Joseph),,15-10,,
5:22.0,,,15-12,2,D. DeRozan makes 2-pt shot from 10 ft
5:03.0,J. Brown makes 2-pt shot from 3 ft,2,17-12,,
4:36.0,,,17-12,,D. DeRozan misses 2-pt shot from 19 ft
4:35.0,Defensive rebound by A. Johnson,,17-12,,
4:26.0,Turnover by J. Brown (lost ball; steal by S. Ibaka),,17-12,,
4:17.0,,,17-12,,Turnover by D. DeRozan (lost ball; steal by A. Horford)
4:15.0,,,17-12,,Personal foul by D. Carroll (drawn by J. Brown)
4:15.0,K. Olynyk enters the game for I. Thomas,,17-12,,
4:15.0,M. Smart enters the game for A. Johnson,,17-12,,
4:03.0,A. Horford makes 2-pt shot from 2 ft (assist by M. Smart),2,19-12,,
3:49.0,,,19-12,,D. DeRozan misses 2-pt shot from 13 ft
3:48.0,Defensive rebound by J. Crowder,,19-12,,
3:38.0,Shooting foul by C. Joseph (drawn by M. Smart),,19-12,,
3:38.0,M. Smart makes free throw 1 of 2,1,20-12,,
3:38.0,M. Smart makes free throw 2 of 2,1,21-12,,
3:38.0,T. Rozier enters the game for J. Brown,,20-12,,
3:38.0,,,20-12,,D. Wright enters the game for C. Joseph
3:38.0,,,20-12,,P. Patterson enters the game for S. Ibaka
3:12.0,,,21-12,,D. Wright misses 2-pt shot from 10 ft
3:11.0,Defensive rebound by A. Horford,,21-12,,
2:58.0,M. Smart misses 2-pt shot from 15 ft (block by D. Wright),,21-12,,
2:56.0,Offensive rebound by M. Smart,,21-12,,
2:49.0,T. Rozier misses 2-pt shot from 6 ft (block by D. Carroll),,21-12,,
2:48.0,,,21-12,,Defensive rebound by D. Carroll
2:34.0,,,21-14,2,D. DeRozan makes 2-pt shot from 4 ft
2:31.0,Boston full timeout,,21-14,,
2:31.0,,,21-14,,P. Tucker enters the game for D. Carroll
2:31.0,J. Young enters the game for J. Crowder,,21-14,,
2:23.0,Shooting foul by P. Patterson (drawn by A. Horford),,21-14,,
2:23.0,A. Horford makes free throw 1 of 2,1,22-14,,
2:23.0,A. Horford makes free throw 2 of 2,1,23-14,,
2:07.0,,,23-14,,D. Wright misses 2-pt shot from 4 ft
2:07.0,Defensive rebound by T. Rozier,,23-14,,
1:56.0,K. Olynyk makes 2-pt shot from 2 ft,2,25-14,,
1:36.0,,,25-16,2,P. Patterson makes 2-pt shot from 2 ft (assist by P. Tucker)
1:19.0,K. Olynyk misses 2-pt shot from 13 ft,,25-16,,
1:18.0,,,25-16,,Defensive rebound by L. Nogueira
1:16.0,,,25-16,,Offensive foul by P. Patterson
1:16.0,,,25-16,,Turnover by P. Patterson (offensive foul)
1:16.0,J. Jerebko enters the game for A. Horford,,25-16,,
1:03.0,M. Smart misses 2-pt shot at rim (block by L. Nogueira),,25-16,,
1:02.0,,,25-16,,Defensive rebound by P. Patterson
1:00.0,,,25-16,,Turnover by D. DeRozan (bad pass; steal by J. Young)
0:59.0,M. Smart makes 2-pt shot at rim (assist by T. Rozier),2,27-16,,
0:35.0,,,27-16,,Turnover by Team (shot clock)
0:29.0,T. Rozier makes 2-pt shot from 4 ft,2,29-16,,
0:05.0,,,29-18,2,P. Patterson makes 2-pt shot from 3 ft
0:01.0,M. Smart misses 3-pt shot from 30 ft,,29-18,,
0:00.0,,,29-18,,Defensive rebound by D. DeRozan
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,M. Smart makes 2-pt shot from 17 ft,2,31-18,,
11:23.0,,,31-20,2,N. Powell makes 2-pt shot from 2 ft
11:03.0,M. Smart misses 3-pt shot from 23 ft,,31-20,,
11:03.0,,,31-20,,Defensive rebound by P. Tucker
10:52.0,,,31-22,2,P. Tucker makes 2-pt shot from 2 ft (assist by D. Wright)
10:35.0,J. Young makes 3-pt shot from 24 ft (assist by T. Rozier),3,34-22,,
10:11.0,,,34-22,,P. Patterson misses 3-pt shot from 25 ft
10:10.0,,,34-22,,Offensive rebound by Team
10:10.0,,,34-22,,Turnover by Team (shot clock)
10:10.0,I. Thomas enters the game for T. Rozier,,34-22,,
9:57.0,J. Young misses 3-pt shot from 26 ft,,34-22,,
9:56.0,,,34-22,,Defensive rebound by D. Wright
9:49.0,,,34-22,,Shooting foul by J. Jerebko (drawn by P. Patterson)
9:49.0,,,34-23,1,P. Patterson makes free throw 1 of 2
9:49.0,,,34-24,1,P. Patterson makes free throw 2 of 2
9:35.0,,,34-24,,Personal foul by P. Patterson (drawn by I. Thomas)
9:30.0,Turnover by I. Thomas (traveling),,34-24,,
9:19.0,,,34-24,,D. Wright misses 2-pt shot from 4 ft
9:18.0,,,34-24,,Offensive rebound by S. Ibaka
9:17.0,,,34-24,,Turnover by S. Ibaka (lost ball; steal by J. Young)
9:07.0,J. Young makes 2-pt shot at rim,2,36-24,,
9:07.0,,,36-24,,Toronto full timeout
9:07.0,,,36-24,,C. Joseph enters the game for D. Wright
9:07.0,,,36-24,,J. Valanciunas enters the game for P. Patterson
8:54.0,,,36-26,2,S. Ibaka makes 2-pt shot from 4 ft
8:30.0,M. Smart misses 3-pt shot from 25 ft,,36-26,,
8:29.0,Offensive rebound by J. Jerebko,,36-26,,
8:24.0,J. Young misses 3-pt shot from 24 ft,,36-26,,
8:24.0,Offensive rebound by K. Olynyk,,36-26,,
8:16.0,J. Jerebko misses 3-pt shot from 25 ft,,36-26,,
8:16.0,,,36-26,,Defensive rebound by J. Valanciunas
8:01.0,,,36-26,,N. Powell misses 3-pt shot from 24 ft
8:01.0,,,36-26,,Offensive rebound by J. Valanciunas
8:00.0,,,36-26,,Shooting foul by K. Olynyk (drawn by J. Valanciunas)
8:00.0,,,36-26,,J. Valanciunas misses free throw 1 of 2
8:00.0,,,36-26,,Offensive rebound by Team
8:00.0,,,36-27,1,J. Valanciunas makes free throw 2 of 2
8:00.0,A. Johnson enters the game for K. Olynyk,,36-26,,
8:00.0,J. Brown enters the game for M. Smart,,36-26,,
7:33.0,I. Thomas misses 3-pt shot from 39 ft,,36-27,,
7:33.0,,,36-27,,Defensive rebound by S. Ibaka
7:24.0,,,36-27,,C. Joseph misses 2-pt shot from 2 ft
7:23.0,,,36-27,,Offensive rebound by P. Tucker
7:21.0,,,36-27,,P. Tucker misses 2-pt shot from 2 ft
7:20.0,Defensive rebound by J. Jerebko,,36-27,,
7:06.0,Turnover by J. Young (lost ball; steal by P. Tucker),,36-27,,
7:04.0,,,36-27,,Offensive foul by S. Ibaka
7:04.0,,,36-27,,Turnover by S. Ibaka (offensive foul)
7:04.0,T. Rozier enters the game for J. Young,,36-27,,
6:55.0,I. Thomas makes 3-pt shot from 25 ft,3,39-27,,
6:55.0,Shooting foul by C. Joseph (drawn by I. Thomas),,39-27,,
6:55.0,I. Thomas makes free throw 1 of 1,1,40-27,,
6:39.0,,,40-27,,S. Ibaka misses 2-pt shot from 16 ft
6:39.0,Defensive rebound by A. Johnson,,40-27,,
6:23.0,A. Johnson misses 2-pt shot from 4 ft (block by J. Valanciunas),,40-27,,
6:23.0,,,40-27,,Defensive rebound by Team
5:59.0,,,40-27,,J. Valanciunas misses 2-pt shot from 4 ft
5:59.0,Defensive rebound by A. Johnson,,40-27,,
5:44.0,J. Jerebko makes 3-pt shot from 23 ft (assist by T. Rozier),3,43-27,,
5:38.0,,,43-27,,Toronto full timeout
5:38.0,Official timeout,,43-27,,
5:38.0,,,43-27,,D. Carroll enters the game for S. Ibaka
5:38.0,,,43-27,,D. DeRozan enters the game for P. Tucker
5:38.0,M. Smart enters the game for I. Thomas,,43-27,,
5:24.0,,,43-29,2,J. Valanciunas makes 2-pt shot at rim (assist by C. Joseph)
5:03.0,T. Rozier misses 2-pt shot from 4 ft,,43-29,,
5:03.0,,,43-29,,Defensive rebound by D. DeRozan
4:54.0,,,43-31,2,D. Carroll makes 2-pt shot from 21 ft (assist by C. Joseph)
4:37.0,T. Rozier misses 3-pt shot from 25 ft,,43-31,,
4:36.0,,,43-31,,Defensive rebound by J. Valanciunas
4:19.0,,,43-33,2,D. DeRozan makes 2-pt shot from 3 ft
4:19.0,Boston full timeout,,43-33,,
4:19.0,A. Horford enters the game for A. Johnson,,43-33,,
4:19.0,I. Thomas enters the game for T. Rozier,,43-33,,
4:19.0,J. Crowder enters the game for J. Jerebko,,43-33,,
4:04.0,A. Horford misses 2-pt shot from 22 ft,,43-33,,
4:04.0,,,43-33,,Defensive rebound by N. Powell
3:45.0,,,43-33,,C. Joseph misses 2-pt shot from 3 ft
