time,Washington,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Vucevic (E. Fournier gains possession),,,,Jump ball: M. Gortat vs. N. Vucevic (E. Fournier gains possession)
11:56.0,,,0-0,,Shooting foul by O. Porter (drawn by A. Gordon)
11:56.0,,,0-0,,A. Gordon misses free throw 1 of 2
11:56.0,,,0-0,,Offensive rebound by Team
11:56.0,,,0-1,1,A. Gordon makes free throw 2 of 2
11:40.0,M. Gortat misses 2-pt shot from 11 ft,,0-1,,
11:38.0,,,0-1,,Defensive rebound by A. Gordon
11:32.0,,,0-4,3,E. Fournier makes 3-pt shot from 25 ft (assist by A. Gordon)
11:20.0,Turnover by M. Morris (bad pass),,0-4,,
11:01.0,,,0-6,2,N. Vucevic makes 2-pt shot from 8 ft
10:49.0,Shooting foul by N. Vucevic (drawn by B. Beal),,0-6,,
10:49.0,B. Beal makes free throw 1 of 2,1,1-6,,
10:49.0,B. Beal makes free throw 2 of 2,1,2-6,,
10:24.0,,,2-6,,E. Payton misses 2-pt shot from 3 ft (block by B. Beal)
10:21.0,Defensive rebound by T. Satoransky,,2-6,,
10:12.0,M. Morris misses 2-pt shot from 19 ft,,2-6,,
10:08.0,,,2-6,,Defensive rebound by E. Fournier
10:07.0,,,2-6,,Shooting foul by B. Beal (drawn by E. Fournier)
10:07.0,,,2-7,1,E. Fournier makes free throw 1 of 2
10:07.0,,,2-8,1,E. Fournier makes free throw 2 of 2
9:45.0,T. Satoransky makes 2-pt shot from 11 ft,2,4-8,,
9:37.0,,,4-8,,E. Fournier misses 2-pt shot from 10 ft
9:36.0,Defensive rebound by O. Porter,,4-8,,
9:27.0,M. Gortat makes 2-pt shot at rim (assist by T. Satoransky),2,6-8,,
9:08.0,,,6-8,,S. Ibaka misses 2-pt shot at rim
9:07.0,Defensive rebound by O. Porter,,6-8,,
8:56.0,B. Beal makes 2-pt shot from 3 ft,2,8-8,,
8:41.0,,,8-8,,N. Vucevic misses 2-pt shot from 10 ft
8:40.0,Defensive rebound by M. Gortat,,8-8,,
8:22.0,T. Satoransky makes 2-pt shot from 7 ft,2,10-8,,
8:00.0,,,10-8,,A. Gordon misses 2-pt shot from 19 ft
7:58.0,Defensive rebound by O. Porter,,10-8,,
7:50.0,M. Morris misses 2-pt shot from 7 ft,,10-8,,
7:49.0,,,10-8,,Defensive rebound by N. Vucevic
7:45.0,,,10-10,2,S. Ibaka makes 2-pt shot at rim (assist by A. Gordon)
7:34.0,Washington full timeout,,10-10,,
7:27.0,B. Beal makes 2-pt shot from 18 ft,2,12-10,,
7:06.0,,,12-10,,S. Ibaka misses 2-pt shot from 9 ft
7:05.0,Defensive rebound by M. Gortat,,12-10,,
6:53.0,M. Morris misses 3-pt shot from 25 ft,,12-10,,
6:52.0,,,12-10,,Defensive rebound by A. Gordon
6:37.0,,,12-10,,N. Vucevic misses 2-pt shot from 6 ft
6:36.0,Defensive rebound by O. Porter,,12-10,,
6:25.0,A. Nicholson enters the game for M. Morris,,12-10,,
6:21.0,B. Beal misses 2-pt shot from 16 ft,,12-10,,
6:19.0,Offensive rebound by A. Nicholson,,12-10,,
6:18.0,A. Nicholson makes 2-pt shot from 3 ft,2,14-10,,
5:54.0,,,14-10,,E. Fournier misses 3-pt shot from 25 ft
5:53.0,,,14-10,,Offensive rebound by Team
5:38.0,,,14-10,,S. Ibaka misses 3-pt shot from 25 ft
5:37.0,Defensive rebound by A. Nicholson,,14-10,,
5:28.0,Shooting foul by S. Ibaka (drawn by M. Gortat),,14-10,,
5:28.0,M. Gortat makes free throw 1 of 2,1,15-10,,
