time,Sacramento,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. J. Noah (K. Porzingis gains possession),,,,Jump ball: K. Koufos vs. J. Noah (K. Porzingis gains possession)
11:41.0,,,0-0,,K. Porzingis misses 2-pt shot from 11 ft
11:40.0,,,0-0,,Offensive rebound by J. Noah
11:39.0,,,0-0,,J. Noah misses 2-pt shot from 1 ft
11:38.0,Defensive rebound by K. Koufos,,0-0,,
11:26.0,Shooting foul by C. Anthony (drawn by R. Gay),,0-0,,
11:26.0,R. Gay makes free throw 1 of 2,1,1-0,,
11:26.0,R. Gay makes free throw 2 of 2,1,2-0,,
11:09.0,,,2-3,3,J. Holiday makes 3-pt shot from 26 ft (assist by D. Rose)
10:53.0,D. Cousins makes 2-pt shot from 20 ft (assist by D. Collison),2,4-3,,
10:44.0,,,4-3,,J. Noah misses 2-pt shot from 2 ft
10:44.0,Defensive rebound by K. Koufos,,4-3,,
10:38.0,K. Koufos makes 2-pt shot at rim (assist by D. Collison),2,6-3,,
10:24.0,,,6-3,,K. Porzingis misses 3-pt shot from 25 ft
10:23.0,,,6-3,,Offensive rebound by D. Rose
10:23.0,,,6-5,2,D. Rose makes 2-pt shot from 2 ft
10:05.0,,,6-5,,Personal foul by J. Holiday (drawn by D. Cousins)
9:53.0,D. Cousins misses 3-pt shot from 25 ft,,6-5,,
9:52.0,,,6-5,,Defensive rebound by J. Holiday
9:41.0,,,6-5,,K. Porzingis misses 2-pt shot from 13 ft
9:39.0,Defensive rebound by D. Cousins,,6-5,,
9:32.0,D. Collison misses 2-pt shot from 1 ft,,6-5,,
9:31.0,,,6-5,,Defensive rebound by K. Porzingis
9:30.0,,,6-5,,Turnover by K. Porzingis (bad pass; steal by R. Gay)
9:29.0,Turnover by R. Gay (bad pass),,6-5,,
9:11.0,,,6-5,,C. Anthony misses 2-pt shot from 1 ft (block by K. Koufos)
9:09.0,Defensive rebound by R. Gay,,6-5,,
9:04.0,R. Gay misses 3-pt shot from 26 ft,,6-5,,
9:04.0,Offensive rebound by K. Koufos,,6-5,,
8:59.0,,,6-5,,Personal foul by K. Porzingis (drawn by D. Cousins)
8:59.0,,,6-5,,L. Thomas enters the game for C. Anthony
8:51.0,,,6-5,,Personal foul by D. Rose (drawn by D. Collison)
8:44.0,Turnover by R. Gay (bad pass; steal by J. Noah),,6-5,,
8:39.0,,,6-5,,Turnover by L. Thomas (bad pass; steal by R. Gay)
8:31.0,A. Afflalo misses 2-pt shot from 23 ft,,6-5,,
8:30.0,,,6-5,,Defensive rebound by J. Noah
8:20.0,,,6-5,,Turnover by K. Porzingis (lost ball; steal by D. Cousins)
8:15.0,D. Cousins makes 2-pt shot at rim (assist by R. Gay),2,8-5,,
8:02.0,,,8-7,2,D. Rose makes 2-pt shot from 14 ft (assist by K. Porzingis)
7:49.0,,,8-7,,Personal foul by L. Thomas (drawn by D. Cousins)
7:49.0,D. Cousins makes free throw 1 of 2,1,9-7,,
7:49.0,D. Cousins makes free throw 2 of 2,1,10-7,,
7:32.0,,,10-7,,K. Porzingis misses 2-pt shot from 15 ft (block by D. Cousins)
7:31.0,Defensive rebound by K. Koufos,,10-7,,
