time,LA Lakers,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. I. Zubac (J. Clarkson gains possession),,,,Jump ball: K. Towns vs. I. Zubac (J. Clarkson gains possession)
11:47.0,J. Randle misses 3-pt shot from 25 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by R. Rubio
11:33.0,,,0-0,,Shooting foul by C. Brewer (drawn by A. Wiggins)
11:33.0,,,0-1,1,A. Wiggins makes free throw 1 of 2
11:33.0,,,0-2,1,A. Wiggins makes free throw 2 of 2
11:21.0,I. Zubac makes 2-pt shot from 14 ft (assist by D. Russell),2,2-2,,
11:04.0,,,2-5,3,B. Rush makes 3-pt shot from 23 ft (assist by R. Rubio)
10:49.0,D. Russell makes 3-pt shot from 24 ft (assist by J. Randle),3,5-5,,
10:26.0,,,5-5,,K. Towns misses 2-pt shot from 7 ft
10:25.0,,,5-5,,Offensive rebound by K. Towns
10:24.0,,,5-5,,Shooting foul by I. Zubac (drawn by K. Towns)
10:24.0,,,5-6,1,K. Towns makes free throw 1 of 2
10:24.0,,,5-7,1,K. Towns makes free throw 2 of 2
10:11.0,C. Brewer misses 3-pt shot from 23 ft,,5-7,,
10:10.0,,,5-7,,Defensive rebound by G. Dieng
10:02.0,,,5-10,3,B. Rush makes 3-pt shot from 23 ft (assist by R. Rubio)
9:58.0,,,5-10,,Personal foul by R. Rubio (drawn by J. Clarkson)
9:50.0,I. Zubac misses 2-pt shot from 5 ft,,5-10,,
9:48.0,Offensive rebound by J. Randle,,5-10,,
9:46.0,J. Randle misses 2-pt shot from 6 ft,,5-10,,
9:46.0,Offensive rebound by Team,,5-10,,
9:46.0,,,5-10,,Personal foul by K. Towns (drawn by C. Brewer)
9:46.0,T. Black enters the game for I. Zubac,,5-10,,
9:41.0,Turnover by D. Russell (bad pass; steal by R. Rubio),,5-10,,
9:36.0,,,5-12,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
9:26.0,D. Russell misses 3-pt shot from 25 ft,,5-12,,
9:25.0,,,5-12,,Defensive rebound by K. Towns
9:10.0,,,5-12,,Shooting foul by J. Randle (drawn by K. Towns)
9:10.0,,,5-13,1,K. Towns makes free throw 1 of 2
9:10.0,,,5-14,1,K. Towns makes free throw 2 of 2
8:58.0,C. Brewer misses 2-pt shot from 4 ft,,5-14,,
8:57.0,,,5-14,,Defensive rebound by G. Dieng
8:44.0,,,5-14,,K. Towns misses 2-pt shot from 23 ft
8:43.0,,,5-14,,Offensive rebound by G. Dieng
8:38.0,,,5-16,2,R. Rubio makes 2-pt shot from 6 ft (assist by G. Dieng)
8:37.0,LA Lakers full timeout,,5-16,,
8:20.0,D. Russell misses 2-pt shot from 2 ft (block by K. Towns),,5-16,,
8:19.0,,,5-16,,Defensive rebound by G. Dieng
8:12.0,,,5-16,,B. Rush misses 3-pt shot from 24 ft
8:11.0,,,5-16,,Offensive rebound by Team
8:02.0,,,5-18,2,K. Towns makes 2-pt shot from 19 ft (assist by R. Rubio)
7:50.0,J. Randle makes 2-pt shot from 5 ft (assist by J. Clarkson),2,7-18,,
7:34.0,,,7-18,,G. Dieng misses 2-pt shot from 15 ft
7:34.0,Defensive rebound by C. Brewer,,7-18,,
7:28.0,C. Brewer makes 2-pt shot from 2 ft,2,9-18,,
7:16.0,,,9-18,,B. Rush misses 2-pt shot from 5 ft
7:15.0,Defensive rebound by J. Randle,,9-18,,
7:10.0,T. Black makes 2-pt shot at rim (assist by J. Clarkson),2,11-18,,
6:42.0,,,11-20,2,R. Rubio makes 2-pt shot from 12 ft (assist by K. Towns)
6:17.0,J. Randle misses 2-pt shot from 8 ft,,11-20,,
6:16.0,Offensive rebound by T. Black,,11-20,,
6:15.0,T. Black makes 2-pt shot from 1 ft,2,13-20,,
6:01.0,,,13-20,,R. Rubio misses 2-pt shot from 3 ft (block by T. Black)
6:00.0,,,13-20,,Offensive rebound by G. Dieng
5:59.0,,,13-22,2,G. Dieng makes 2-pt shot from 3 ft
5:49.0,J. Clarkson misses 3-pt shot from 24 ft,,13-22,,
5:48.0,Offensive rebound by Team,,13-22,,
5:35.0,T. Black makes 2-pt shot from 1 ft (assist by J. Clarkson),2,15-22,,
5:35.0,Shooting foul by G. Dieng (drawn by T. Black),,15-22,,
5:35.0,T. Black makes free throw 1 of 1,1,16-22,,
