time,LA Clippers,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. R. Lopez (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. R. Lopez (B. Griffin gains possession)
11:44.0,J. Redick makes 2-pt shot from 19 ft (assist by B. Griffin),2,2-0,,
11:23.0,,,2-2,2,J. Grant makes 2-pt shot from 6 ft
11:09.0,C. Paul makes 2-pt shot from 17 ft,2,4-2,,
10:50.0,,,4-2,,J. Grant misses 2-pt shot from 4 ft (block by C. Paul)
10:50.0,,,4-2,,Offensive rebound by Team
10:47.0,,,4-4,2,R. Lopez makes 2-pt shot from 20 ft (assist by J. Grant)
10:31.0,J. Redick makes 2-pt shot from 20 ft (assist by D. Jordan),2,6-4,,
10:19.0,,,6-4,,Turnover by D. Wade (bad pass)
10:08.0,J. Redick makes 2-pt shot from 23 ft (assist by C. Paul),2,8-4,,
9:47.0,,,8-6,2,R. Lopez makes 2-pt shot from 20 ft (assist by J. Butler)
9:29.0,,,8-6,,Personal foul by R. Lopez (drawn by L. Mbah a Moute)
9:21.0,C. Paul makes 2-pt shot from 22 ft,2,10-6,,
8:55.0,,,10-8,2,J. Butler makes 2-pt shot from 17 ft
8:35.0,B. Griffin misses 2-pt shot from 20 ft,,10-8,,
8:34.0,,,10-8,,Defensive rebound by D. Wade
8:24.0,,,10-8,,B. Portis misses 3-pt shot from 23 ft
8:23.0,,,10-8,,Offensive rebound by J. Butler
8:17.0,,,10-8,,Shooting foul by J. Redick (drawn by D. Wade)
8:17.0,,,10-9,1,D. Wade makes free throw 1 of 2
8:17.0,,,10-10,1,D. Wade makes free throw 2 of 2
8:05.0,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul),2,12-10,,
7:45.0,,,12-12,2,B. Portis makes 2-pt shot from 16 ft (assist by J. Butler)
7:24.0,Turnover by L. Mbah a Moute (lost ball),,12-12,,
7:13.0,,,12-12,,Shooting foul by B. Griffin (drawn by J. Butler)
7:13.0,,,12-13,1,J. Butler makes free throw 1 of 2
7:13.0,,,12-14,1,J. Butler makes free throw 2 of 2
6:59.0,C. Paul makes 2-pt shot from 15 ft (assist by B. Griffin),2,14-14,,
6:49.0,,,14-14,,J. Grant misses 2-pt shot from 16 ft
6:48.0,,,14-14,,Offensive rebound by R. Lopez
6:48.0,,,14-16,2,R. Lopez makes 2-pt shot from 2 ft
6:47.0,,,14-16,,Personal foul by J. Grant (drawn by C. Paul)
6:36.0,B. Griffin misses 2-pt shot from 20 ft,,14-16,,
6:35.0,,,14-16,,Defensive rebound by J. Butler
6:26.0,,,14-16,,B. Portis misses 2-pt shot from 15 ft
6:25.0,Defensive rebound by D. Jordan,,14-16,,
6:22.0,,,14-16,,Personal foul by B. Portis (drawn by B. Griffin)
6:14.0,Shooting foul by J. Grant (drawn by C. Paul),,14-16,,
6:14.0,C. Paul misses free throw 1 of 2,,14-16,,
6:14.0,Offensive rebound by Team,,14-16,,
6:14.0,C. Paul makes free throw 2 of 2,1,15-16,,
6:14.0,,,14-16,,R. Rondo enters the game for J. Grant
5:53.0,,,15-16,,R. Lopez misses 2-pt shot from 7 ft
5:52.0,Defensive rebound by D. Jordan,,15-16,,
5:43.0,C. Paul misses 2-pt shot from 19 ft,,15-16,,
5:42.0,,,15-16,,Defensive rebound by B. Portis
5:35.0,,,15-19,3,D. Wade makes 3-pt shot from 27 ft (assist by R. Rondo)
5:16.0,J. Redick misses 2-pt shot from 19 ft,,15-19,,
5:16.0,,,15-19,,Defensive rebound by B. Portis
5:05.0,,,15-19,,D. Wade misses 2-pt shot from 16 ft
5:04.0,Defensive rebound by D. Jordan,,15-19,,
4:52.0,L. Mbah a Moute makes 2-pt shot from 21 ft (assist by B. Griffin),2,17-19,,
4:38.0,,,17-19,,R. Lopez misses 2-pt shot from 17 ft
4:37.0,Defensive rebound by B. Griffin,,17-19,,
4:19.0,B. Griffin misses 3-pt shot from 26 ft,,17-19,,
4:18.0,,,17-19,,Defensive rebound by R. Lopez
4:05.0,,,17-19,,B. Portis misses 2-pt shot from 7 ft
4:03.0,Defensive rebound by D. Jordan,,17-19,,
